state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
02,020,0018,42101,1,61.205861,-149.824602,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - Gas Filter Correlation Thermo Electron 48i-TLE,2017,Parts per million,No Events,4345,50.0,Y,182,365,0,23,0.0,0.0,Certified,0.682745,0.628623,4.712,2017-01-09 16:00,4.634,2017-01-10 08:00,4.617,2017-01-08 14:00,4.601,2017-01-09 08:00,,,,,3.082,2.631,2.034,1.48,0.867,0.442,0.203,GARDEN/TRINITY CHRISTIAN CHURCH,3000 EAST 16TH AVENUE,Alaska,Anchorage ,Anchorage,11260,"Anchorage, AK",2021-11-05
02,020,0018,42101,1,61.205861,-149.824602,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2017,Parts per million,No Events,4352,50.0,Y,182,365,0,0,0.0,0.0,Certified,0.681824,0.523287,3.7,2017-01-08 18:00,3.7,2017-01-08 19:00,3.7,2017-01-08 20:00,3.6,2017-01-08 17:00,3.7,2017-01-08 18:00,3.5,2017-01-09 20:00,2.5,2.1,1.7,1.4,0.9,0.5,0.2,GARDEN/TRINITY CHRISTIAN CHURCH,3000 EAST 16TH AVENUE,Alaska,Anchorage ,Anchorage,11260,"Anchorage, AK",2021-11-05
02,020,0018,81102,3,61.205861,-149.824602,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,Daily Mean,,2017,Micrograms/cubic meter (25 C),No Events,320,88.0,Y,320,365,0,0,0.0,0.0,Certified,12.75,10.327854,68.0,2017-04-19 00:00,65.0,2017-04-14 00:00,53.0,2017-04-20 00:00,50.0,2017-04-12 00:00,,,,,50.0,43.0,36.0,26.0,17.0,10.0,4.0,GARDEN/TRINITY CHRISTIAN CHURCH,3000 EAST 16TH AVENUE,Alaska,Anchorage ,Anchorage,11260,"Anchorage, AK",2021-11-05
02,020,1004,81102,3,61.3267,-149.569707,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,Daily Mean,,2017,Micrograms/cubic meter (25 C),No Events,354,97.0,Y,354,365,0,0,0.0,0.0,Certified,12.533898,8.97969,63.0,2017-04-21 00:00,59.0,2017-04-13 00:00,54.0,2017-04-14 00:00,46.0,2017-04-19 00:00,,,,,46.0,39.0,30.0,22.0,15.0,10.0,5.0,PARKGATE/EAGLE RIVER,11723 OLD GLENN HIGHWAY,Alaska,Anchorage ,Anchorage,11260,"Anchorage, AK",2021-11-05
02,020,0045,81102,3,61.181117,-149.834003,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,Daily Mean,,2017,Micrograms/cubic meter (25 C),No Events,345,95.0,Y,345,365,0,0,0.0,0.0,Certified,19.205797,15.793764,100.0,2017-04-20 00:00,88.0,2017-03-10 00:00,76.0,2017-03-09 00:00,74.0,2017-04-13 00:00,,,,,74.0,72.0,53.0,41.0,22.0,15.0,6.0,ON THE ROOF OF THE TUDOR PROFESSIONAL BUILDING,4335 LAUREL STREET ANCHORAGE AK 99508,Alaska,Anchorage ,Anchorage,11260,"Anchorage, AK",2021-11-05
02,020,0018,88101,3,61.205861,-149.824602,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2006,Daily Mean,,2017,Micrograms/cubic meter (LC),No Events,345,95.0,Y,345,365,0,0,1.0,1.0,Certified,5.355072,5.678763,37.0,2017-01-08 00:00,31.1,2017-01-09 00:00,29.1,2017-01-11 00:00,28.8,2017-02-05 00:00,,,,,28.8,26.9,16.5,12.2,6.6,4.0,0.7,GARDEN/TRINITY CHRISTIAN CHURCH,3000 EAST 16TH AVENUE,Alaska,Anchorage ,Anchorage,11260,"Anchorage, AK",2021-11-05
02,020,1004,88101,3,61.3267,-149.569707,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2006,Daily Mean,,2017,Micrograms/cubic meter (LC),No Events,345,95.0,Y,345,365,0,0,0.0,0.0,Certified,4.236812,3.475681,21.2,2017-12-25 00:00,20.0,2017-01-01 00:00,18.8,2017-01-02 00:00,16.2,2017-01-12 00:00,,,,,16.2,15.4,11.2,8.6,5.0,3.3,1.1,PARKGATE/EAGLE RIVER,11723 OLD GLENN HIGHWAY,Alaska,Anchorage ,Anchorage,11260,"Anchorage, AK",2021-11-05
02,020,0018,88101,3,61.205861,-149.824602,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2006,Quarterly Means of Daily Means,,2017,Micrograms/cubic meter (LC),No Events,345,95.0,Y,345,365,0,0,,,Certified,5.355072,5.678763,37.0,2017-01-08 00:00,31.1,2017-01-09 00:00,29.1,2017-01-11 00:00,28.8,2017-02-05 00:00,,,,,28.8,26.9,16.5,12.2,6.6,4.0,0.7,GARDEN/TRINITY CHRISTIAN CHURCH,3000 EAST 16TH AVENUE,Alaska,Anchorage ,Anchorage,11260,"Anchorage, AK",2021-11-05
02,020,1004,88101,3,61.3267,-149.569707,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2006,Quarterly Means of Daily Means,,2017,Micrograms/cubic meter (LC),No Events,345,95.0,Y,345,365,0,0,,,Certified,4.236812,3.475681,21.2,2017-12-25 00:00,20.0,2017-01-01 00:00,18.8,2017-01-02 00:00,16.2,2017-01-12 00:00,,,,,16.2,15.4,11.2,8.6,5.0,3.3,1.1,PARKGATE/EAGLE RIVER,11723 OLD GLENN HIGHWAY,Alaska,Anchorage ,Anchorage,11260,"Anchorage, AK",2021-11-05
02,020,0018,88101,3,61.205861,-149.824602,WGS84,PM2.5 - Local Conditions,1,1 HOUR,,Observed Values,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2017,Micrograms/cubic meter (LC),No Events,8317,95.0,Y,353,365,0,443,,,Certified,5.377059,7.673812,123.0,2017-04-19 03:00,78.0,2017-08-20 07:00,75.0,2017-01-08 17:00,75.0,2017-12-25 20:00,,,,,37.0,30.0,20.0,13.0,7.0,3.0,-1.0,GARDEN/TRINITY CHRISTIAN CHURCH,3000 EAST 16TH AVENUE,Alaska,Anchorage ,Anchorage,11260,"Anchorage, AK",2021-11-05
