state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
05,001,0011,88101,1,34.518515,-91.55896,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,113,93.0,Y,113,122,0,9,0.0,0.0,Certified,7.755752,3.435527,17.8,2017-09-04 00:00,16.5,2017-04-28 00:00,16.3,2017-09-25 00:00,15.4,2017-07-21 00:00,,,,,16.5,16.3,13.6,12.3,10.2,7.1,3.9,STUTTGART,1703 N BEURKLE - HWY 63,Arkansas,Arkansas,Stuttgart,,,2021-11-05
05,001,0011,88101,1,34.518515,-91.55896,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,113,93.0,Y,113,122,0,9,,,Certified,7.755752,3.435527,17.8,2017-09-04 00:00,16.5,2017-04-28 00:00,16.3,2017-09-25 00:00,15.4,2017-07-21 00:00,,,,,16.5,16.3,13.6,12.3,10.2,7.1,3.9,STUTTGART,1703 N BEURKLE - HWY 63,Arkansas,Arkansas,Stuttgart,,,2021-11-05
05,001,0011,88101,1,34.518515,-91.55896,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,113,93.0,Y,113,122,0,9,0.0,0.0,Certified,7.755752,3.435527,17.8,2017-09-04 00:00,16.5,2017-04-28 00:00,16.3,2017-09-25 00:00,15.4,2017-07-21 00:00,,,,,16.5,16.3,13.6,12.3,10.2,7.1,3.9,STUTTGART,1703 N BEURKLE - HWY 63,Arkansas,Arkansas,Stuttgart,,,2021-11-05
05,001,0011,88101,1,34.518515,-91.55896,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,113,93.0,Y,113,122,0,9,,,Certified,7.755752,3.435527,17.8,2017-09-04 00:00,16.5,2017-04-28 00:00,16.3,2017-09-25 00:00,15.4,2017-07-21 00:00,,,,,16.5,16.3,13.6,12.3,10.2,7.1,3.9,STUTTGART,1703 N BEURKLE - HWY 63,Arkansas,Arkansas,Stuttgart,,,2021-11-05
05,001,0011,88101,1,34.518515,-91.55896,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,113,93.0,Y,113,122,0,9,0.0,0.0,Certified,7.755752,3.435527,17.8,2017-09-04 00:00,16.5,2017-04-28 00:00,16.3,2017-09-25 00:00,15.4,2017-07-21 00:00,,,,,16.5,16.3,13.6,12.3,10.2,7.1,3.9,STUTTGART,1703 N BEURKLE - HWY 63,Arkansas,Arkansas,Stuttgart,,,2021-11-05
05,001,0011,88101,1,34.518515,-91.55896,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 1997,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,113,93.0,Y,113,122,0,9,,,Certified,7.755752,3.435527,17.8,2017-09-04 00:00,16.5,2017-04-28 00:00,16.3,2017-09-25 00:00,15.4,2017-07-21 00:00,,,,,16.5,16.3,13.6,12.3,10.2,7.1,3.9,STUTTGART,1703 N BEURKLE - HWY 63,Arkansas,Arkansas,Stuttgart,,,2021-11-05
05,003,0005,88101,1,33.139471,-91.939208,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,121,100.0,Y,61,61,0,1,0.0,0.0,Certified,8.252066,3.263155,19.0,2017-09-04 00:00,18.7,2017-04-28 00:00,14.0,2017-12-03 00:00,13.6,2017-11-30 00:00,,,,,19.0,18.7,13.6,13.2,11.7,10.8,8.5,CROSSETT,1015 UNITY ROAD,Arkansas,Ashley,Crossett,,,2021-11-05
05,003,0005,88101,1,33.139471,-91.939208,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,121,100.0,Y,61,61,0,1,,,Certified,8.252066,3.263155,19.0,2017-09-04 00:00,18.7,2017-04-28 00:00,14.0,2017-12-03 00:00,13.6,2017-11-30 00:00,,,,,19.0,18.7,13.6,13.2,11.7,10.8,8.5,CROSSETT,1015 UNITY ROAD,Arkansas,Ashley,Crossett,,,2021-11-05
05,003,0005,88101,1,33.139471,-91.939208,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,121,100.0,Y,61,61,0,1,0.0,0.0,Certified,8.252066,3.263155,19.0,2017-09-04 00:00,18.7,2017-04-28 00:00,14.0,2017-12-03 00:00,13.6,2017-11-30 00:00,,,,,19.0,18.7,13.6,13.2,11.7,10.8,8.5,CROSSETT,1015 UNITY ROAD,Arkansas,Ashley,Crossett,,,2021-11-05
05,003,0005,88101,1,33.139471,-91.939208,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,121,100.0,Y,61,61,0,1,,,Certified,8.252066,3.263155,19.0,2017-09-04 00:00,18.7,2017-04-28 00:00,14.0,2017-12-03 00:00,13.6,2017-11-30 00:00,,,,,19.0,18.7,13.6,13.2,11.7,10.8,8.5,CROSSETT,1015 UNITY ROAD,Arkansas,Ashley,Crossett,,,2021-11-05
