state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
08,001,3001,42401,2,39.838119,-104.94984,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,Multiple Methods Used,2006,Parts per billion,No Events,7622,87.0,N,332,365,0,0,0.0,,Certified,7.966867,7.810179,52.0,2006-04-26 09:00,41.0,2006-04-21 08:00,37.0,2006-03-06 10:00,37.0,2006-05-16 09:00,,,,,37.0,34.0,24.0,17.0,11.0,6.0,0.0,Welby,3174 E. 78TH AVE.,Colorado,Adams,Welby,19740,"Denver-Aurora-Lakewood, CO",2021-11-09
08,001,3001,42602,1,39.838119,-104.94984,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2006,Parts per billion,No Events,7425,85.0,Y,322,365,0,0,0.0,,Certified,40.996894,15.092343,90.0,2006-11-20 08:00,90.0,2006-12-27 13:00,82.0,2006-12-22 08:00,79.0,2006-02-07 09:00,,,,,82.0,75.0,63.0,59.0,50.0,42.0,21.0,Welby,3174 E. 78TH AVE.,Colorado,Adams,Welby,19740,"Denver-Aurora-Lakewood, CO",2021-11-09
08,001,3001,42101,1,39.838119,-104.94984,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,2006,Parts per million,No Events,8633,99.0,Y,364,365,0,0,0.0,0.0,Certified,0.503324,0.352134,3.8,2006-11-20 21:00,3.8,2006-12-08 20:00,3.7,2006-12-08 19:00,3.3,2006-11-20 20:00,,,,,1.9,1.6,1.2,0.9,0.6,0.4,0.2,Welby,3174 E. 78TH AVE.,Colorado,Adams,Welby,19740,"Denver-Aurora-Lakewood, CO",2021-11-08
08,001,3001,42101,1,39.838119,-104.94984,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2006,Parts per million,No Events,8641,99.0,Y,364,365,0,0,0.0,0.0,Certified,0.508124,0.278793,2.6,2006-11-22 00:00,2.5,2006-11-21 00:00,2.5,2006-11-21 01:00,2.5,2006-11-21 02:00,2.6,2006-11-22 00:00,2.5,2006-11-21 00:00,1.5,1.3,1.0,0.8,0.6,0.4,0.3,Welby,3174 E. 78TH AVE.,Colorado,Adams,Welby,19740,"Denver-Aurora-Lakewood, CO",2021-11-08
08,001,3001,42401,2,39.838119,-104.94984,WGS84,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,Multiple Methods Used,2006,Parts per billion,No Events,2286,78.0,N,323,365,0,0,,0.0,Certified,1.350437,2.617896,26.6,2006-02-26 11:00,25.0,2006-03-06 11:00,24.0,2006-10-05 11:00,23.6,2006-04-26 11:00,,,,,12.3,9.6,6.3,4.0,1.6,0.0,0.0,Welby,3174 E. 78TH AVE.,Colorado,Adams,Welby,19740,"Denver-Aurora-Lakewood, CO",2021-11-09
08,001,3001,42401,2,39.838119,-104.94984,WGS84,Sulfur dioxide,X,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,Multiple Methods Used,2006,Parts per billion,No Events,332,91.0,N,332,365,0,0,0.0,,Certified,1.371386,1.290563,6.4,2006-04-26 00:00,5.4,2006-11-21 00:00,5.3,2006-04-09 00:00,5.1,2006-11-25 00:00,,,,,5.1,5.0,3.8,3.3,2.1,1.0,0.0,Welby,3174 E. 78TH AVE.,Colorado,Adams,Welby,19740,"Denver-Aurora-Lakewood, CO",2021-11-09
08,001,3001,42401,2,39.838119,-104.94984,WGS84,Sulfur dioxide,1,1 HOUR,SO2 Annual 1971,Observed Values,Multiple Methods Used,2006,Parts per billion,No Events,7622,87.0,N,332,365,0,0,,,Certified,1.363684,3.046201,52.0,2006-04-26 09:00,41.0,2006-04-21 08:00,37.0,2006-03-06 10:00,37.0,2006-05-16 09:00,,,,,14.0,10.0,7.0,4.0,2.0,0.0,0.0,Welby,3174 E. 78TH AVE.,Colorado,Adams,Welby,19740,"Denver-Aurora-Lakewood, CO",2021-11-09
08,001,3001,42602,1,39.838119,-104.94984,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2006,Parts per billion,No Events,7425,85.0,Y,322,365,0,0,,,Certified,19.038788,16.322743,90.0,2006-11-20 08:00,90.0,2006-12-27 13:00,83.0,2006-01-03 09:00,82.0,2006-12-22 08:00,,,,,58.0,53.0,47.0,43.0,32.0,15.0,1.0,Welby,3174 E. 78TH AVE.,Colorado,Adams,Welby,19740,"Denver-Aurora-Lakewood, CO",2021-11-09
08,001,3001,44201,2,39.838119,-104.94984,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Multiple Methods Used,2006,Parts per million,No Events,8436,99.0,Y,211,214,0,0,0.0,0.0,Certified,0.056076,0.011444,0.089,2006-07-23 12:00,0.087,2006-07-29 14:00,0.084,2006-07-20 12:00,0.082,2006-07-02 13:00,,,,,0.084,0.079,0.073,0.069,0.064,0.057,0.044,Welby,3174 E. 78TH AVE.,Colorado,Adams,Welby,19740,"Denver-Aurora-Lakewood, CO",2021-12-23
08,001,3001,44201,2,39.838119,-104.94984,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,Multiple Methods Used,2006,Parts per million,No Events,8429,96.0,Y,206,214,0,0,0.0,0.0,Certified,0.048694,0.010773,0.081,2006-07-29 10:00,0.07,2006-07-02 09:00,0.069,2006-07-14 11:00,0.069,2006-07-15 10:00,,,,,0.069,0.068,0.064,0.061,0.055,0.05,0.038,Welby,3174 E. 78TH AVE.,Colorado,Adams,Welby,19740,"Denver-Aurora-Lakewood, CO",2021-12-23
08,001,3001,44201,2,39.838119,-104.94984,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,Multiple Methods Used,2006,Parts per million,No Events,8429,96.0,Y,206,214,0,0,1.0,1.0,Certified,0.048694,0.010773,0.081,2006-07-29 10:00,0.07,2006-07-02 09:00,0.069,2006-07-14 11:00,0.069,2006-07-15 10:00,,,,,0.069,0.068,0.064,0.061,0.055,0.05,0.038,Welby,3174 E. 78TH AVE.,Colorado,Adams,Welby,19740,"Denver-Aurora-Lakewood, CO",2021-12-23
08,001,2002,81102,1,39.986324,-104.817683,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,HI-VOL SA/GMW-1200 - GRAVIMETRIC,2006,Micrograms/cubic meter (25 C),No Events,57,93.0,Y,57,61,0,4,0.0,0.0,Certified,22.736842,9.357057,46.0,2006-03-06 00:00,41.0,2006-04-23 00:00,40.0,2006-09-14 00:00,39.0,2006-05-17 00:00,,,,,46.0,41.0,40.0,36.0,29.0,23.0,10.0,,22 S. 4TH AVE,Colorado,Adams,Brighton,19740,"Denver-Aurora-Lakewood, CO",2021-11-08
08,001,0006,81102,1,39.826007,-104.937438,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,Multiple Methods Used,2006,Micrograms/cubic meter (25 C),No Events,345,95.0,Y,345,365,0,20,0.0,0.0,Certified,34.991304,16.629948,115.0,2006-11-21 00:00,111.0,2006-11-20 00:00,82.0,2006-01-03 00:00,78.0,2006-04-04 00:00,,,,,78.0,75.0,65.0,57.0,44.0,32.0,17.0,Alsup Elementry School - Commerce City,7101 BIRCH ST.,Colorado,Adams,Commerce City,19740,"Denver-Aurora-Lakewood, CO",2021-11-08
08,001,3001,81102,3,39.838119,-104.94984,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,Daily Mean,,2006,Micrograms/cubic meter (25 C),No Events,355,97.0,Y,355,365,0,0,0.0,0.0,Certified,27.338028,12.141287,83.0,2006-11-20 00:00,82.0,2006-11-21 00:00,62.0,2006-11-03 00:00,61.0,2006-09-16 00:00,,,,,61.0,55.0,50.0,44.0,34.0,25.0,13.0,Welby,3174 E. 78TH AVE.,Colorado,Adams,Welby,19740,"Denver-Aurora-Lakewood, CO",2021-11-08
08,001,3001,81102,2,39.838119,-104.94984,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,HI-VOL SA/GMW-1200 - GRAVIMETRIC,2006,Micrograms/cubic meter (25 C),No Events,57,93.0,Y,57,61,0,4,0.0,0.0,Certified,27.596491,11.93563,50.0,2006-06-28 00:00,49.0,2006-03-06 00:00,48.0,2006-01-05 00:00,48.0,2006-01-23 00:00,,,,,50.0,49.0,48.0,46.0,34.0,28.0,12.0,Welby,3174 E. 78TH AVE.,Colorado,Adams,Welby,19740,"Denver-Aurora-Lakewood, CO",2021-11-08
08,001,0006,88101,2,39.826007,-104.937438,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2006,Micrograms/cubic meter (LC),No Events,63,98.0,Y,60,61,0,0,0.0,0.0,Certified,9.853968,4.853227,27.8,2006-12-27 00:00,26.3,2006-12-19 00:00,20.5,2006-12-07 00:00,18.0,2006-09-08 00:00,,,,,27.8,26.3,20.5,16.6,11.6,9.3,5.8,Alsup Elementry School - Commerce City,7101 BIRCH ST.,Colorado,Adams,Commerce City,19740,"Denver-Aurora-Lakewood, CO",2021-11-09
08,001,0006,88101,1,39.826007,-104.937438,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2006,Micrograms/cubic meter (LC),No Events,121,99.0,Y,121,122,0,1,1.0,1.0,Certified,9.898347,5.045394,36.7,2006-02-19 00:00,27.5,2006-12-27 00:00,25.7,2006-12-19 00:00,20.4,2006-12-28 00:00,,,,,27.5,25.7,17.9,15.6,11.5,9.5,4.4,Alsup Elementry School - Commerce City,7101 BIRCH ST.,Colorado,Adams,Commerce City,19740,"Denver-Aurora-Lakewood, CO",2021-11-09
08,001,0006,88101,2,39.826007,-104.937438,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2006,Micrograms/cubic meter (LC),No Events,63,98.0,Y,60,61,0,0,,,Certified,9.853968,4.853227,27.8,2006-12-27 00:00,26.3,2006-12-19 00:00,20.5,2006-12-07 00:00,18.0,2006-09-08 00:00,,,,,27.8,26.3,20.5,16.6,11.6,9.3,5.8,Alsup Elementry School - Commerce City,7101 BIRCH ST.,Colorado,Adams,Commerce City,19740,"Denver-Aurora-Lakewood, CO",2021-11-09
08,001,0006,88101,1,39.826007,-104.937438,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2006,Micrograms/cubic meter (LC),No Events,121,99.0,Y,121,122,0,1,,,Certified,9.898347,5.045394,36.7,2006-02-19 00:00,27.5,2006-12-27 00:00,25.7,2006-12-19 00:00,20.4,2006-12-28 00:00,,,,,27.5,25.7,17.9,15.6,11.5,9.5,4.4,Alsup Elementry School - Commerce City,7101 BIRCH ST.,Colorado,Adams,Commerce City,19740,"Denver-Aurora-Lakewood, CO",2021-11-09
08,001,3001,81102,3,39.838119,-104.94984,WGS84,PM10 Total 0-10um STP,1,1 HOUR,,Observed Values,INSTRUMENTAL-R&P SA246B-INLET - TEOM-GRAVIMETRIC,2006,Micrograms/cubic meter (25 C),No Events,8538,97.0,Y,355,365,0,0,,,Certified,27.817287,23.841544,500.0,2006-09-16 17:00,356.0,2006-04-07 04:00,337.0,2006-01-08 03:00,291.0,2006-05-22 14:00,,,,,113.0,97.0,71.0,54.0,34.0,22.0,8.0,Welby,3174 E. 78TH AVE.,Colorado,Adams,Welby,19740,"Denver-Aurora-Lakewood, CO",2021-11-08
08,001,0006,88101,2,39.826007,-104.937438,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2006,Micrograms/cubic meter (LC),No Events,63,98.0,Y,60,61,0,0,0.0,0.0,Certified,9.853968,4.853227,27.8,2006-12-27 00:00,26.3,2006-12-19 00:00,20.5,2006-12-07 00:00,18.0,2006-09-08 00:00,,,,,27.8,26.3,20.5,16.6,11.6,9.3,5.8,Alsup Elementry School - Commerce City,7101 BIRCH ST.,Colorado,Adams,Commerce City,19740,"Denver-Aurora-Lakewood, CO",2021-11-09
08,001,0006,88101,1,39.826007,-104.937438,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2006,Micrograms/cubic meter (LC),No Events,121,99.0,Y,121,122,0,1,1.0,1.0,Certified,9.898347,5.045394,36.7,2006-02-19 00:00,27.5,2006-12-27 00:00,25.7,2006-12-19 00:00,20.4,2006-12-28 00:00,,,,,27.5,25.7,17.9,15.6,11.5,9.5,4.4,Alsup Elementry School - Commerce City,7101 BIRCH ST.,Colorado,Adams,Commerce City,19740,"Denver-Aurora-Lakewood, CO",2021-11-09
08,001,0006,88101,2,39.826007,-104.937438,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2006,Micrograms/cubic meter (LC),No Events,63,98.0,Y,60,61,0,0,,,Certified,9.853968,4.853227,27.8,2006-12-27 00:00,26.3,2006-12-19 00:00,20.5,2006-12-07 00:00,18.0,2006-09-08 00:00,,,,,27.8,26.3,20.5,16.6,11.6,9.3,5.8,Alsup Elementry School - Commerce City,7101 BIRCH ST.,Colorado,Adams,Commerce City,19740,"Denver-Aurora-Lakewood, CO",2021-11-09
08,001,0006,88101,1,39.826007,-104.937438,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2006,Micrograms/cubic meter (LC),No Events,121,99.0,Y,121,122,0,1,,,Certified,9.898347,5.045394,36.7,2006-02-19 00:00,27.5,2006-12-27 00:00,25.7,2006-12-19 00:00,20.4,2006-12-28 00:00,,,,,27.5,25.7,17.9,15.6,11.5,9.5,4.4,Alsup Elementry School - Commerce City,7101 BIRCH ST.,Colorado,Adams,Commerce City,19740,"Denver-Aurora-Lakewood, CO",2021-11-09
08,001,3001,44201,2,39.838119,-104.94984,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,Multiple Methods Used,2006,Parts per million,No Events,5990,97.0,Y,207,214,0,0,1.0,1.0,Certified,0.048778,0.010795,0.081,2006-07-29 10:00,0.07,2006-07-02 09:00,0.069,2006-07-14 11:00,0.069,2006-07-15 10:00,,,,,0.069,0.068,0.064,0.061,0.055,0.05,0.038,Welby,3174 E. 78TH AVE.,Colorado,Adams,Welby,19740,"Denver-Aurora-Lakewood, CO",2021-12-23
