state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
11,001,0043,42401,2,38.921847,-77.013178,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,Instrumental - Ultraviolet Fluorescence EC9850T,2011,Parts per billion,No Events,4898,56.0,N,197,365,0,3300,0.0,,Uncertified (past due),0.61269,1.306886,5.5,2011-12-02 08:00,5.4,2011-09-20 21:00,5.4,2011-09-24 12:00,5.0,2011-09-27 04:00,,,,,5.4,5.0,4.0,2.8,0.2,0.0,0.0,MCMILLAN  NCore-PAMS,"2500 1ST STREET, N.W. WASHINGTON DC",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2021-11-09
11,001,0041,42401,1,38.895572,-76.958072,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,2011,Parts per billion,No Events,8556,98.0,Y,359,365,0,0,0.0,,Uncertified (past due),5.785515,3.3926,34.0,2011-12-07 13:00,23.0,2011-07-20 11:00,20.0,2011-07-05 11:00,20.0,2011-07-26 12:00,,,,,20.0,15.0,11.0,10.0,7.0,5.0,2.0,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2021-11-09
11,001,0043,42602,1,38.921847,-77.013178,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,2011,Parts per billion,No Events,8404,96.0,Y,353,365,0,0,0.0,,Uncertified (past due),28.447592,11.819581,72.0,2011-12-14 07:00,59.0,2011-11-09 09:00,58.0,2011-03-29 23:00,58.0,2011-03-30 01:00,,,,,58.0,52.0,48.0,45.0,37.0,27.0,14.0,MCMILLAN  NCore-PAMS,"2500 1ST STREET, N.W. WASHINGTON DC",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2021-11-09
11,001,0041,42602,1,38.895572,-76.958072,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,2011,Parts per billion,No Events,8490,97.0,Y,357,365,0,0,0.0,,Uncertified (past due),30.347339,11.458637,62.0,2011-12-14 10:00,61.0,2011-02-11 07:00,60.0,2011-02-07 08:00,60.0,2011-03-30 05:00,,,,,60.0,55.0,49.0,45.0,39.0,30.0,15.0,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2021-11-09
11,001,0043,42101,1,38.921847,-77.013178,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - Gas Filter Correlation Ecotech EC9830T,2011,Parts per million,No Events,2734,31.0,Y,115,365,0,3,0.0,0.0,Uncertified (past due),0.59631,0.350233,3.168,2011-11-09 23:00,3.027,2011-10-07 05:00,2.999,2011-11-08 07:00,2.966,2011-11-07 23:00,,,,,2.165,1.768,1.293,0.919,0.641,0.502,0.343,MCMILLAN  NCore-PAMS,"2500 1ST STREET, N.W. WASHINGTON DC",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2021-11-08
11,001,0041,42101,1,38.895572,-76.958072,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,2011,Parts per million,No Events,8561,98.0,Y,363,365,0,0,0.0,0.0,Uncertified (past due),0.675809,0.351223,2.7,2011-11-09 08:00,2.7,2011-11-09 09:00,2.6,2011-11-08 02:00,2.6,2011-11-08 03:00,,,,,1.9,1.7,1.3,1.1,0.8,0.6,0.3,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2021-11-08
11,001,0023,42101,1,38.903889,-77.046389,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,2011,Parts per million,No Events,8680,99.0,Y,365,365,0,0,0.0,0.0,Uncertified (past due),0.740795,0.281762,5.0,2011-08-30 07:00,4.2,2011-08-30 08:00,3.3,2011-03-25 08:00,3.2,2011-03-25 09:00,,,,,1.6,1.4,1.2,1.1,0.9,0.7,0.4,Verizon,VERIZON PHONE CO.2055 L ST.  N.W.,District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2021-11-08
11,001,0043,42101,1,38.921847,-77.013178,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2011,Parts per million,No Events,2730,31.0,Y,116,365,0,0,0.0,0.0,Uncertified (past due),0.597326,0.29495,2.5,2011-11-08 02:00,2.5,2011-11-08 03:00,2.4,2011-11-08 01:00,2.4,2011-11-08 04:00,2.5,2011-11-08 02:00,2.4,2011-11-09 08:00,1.8,1.6,1.2,0.9,0.6,0.5,0.4,MCMILLAN  NCore-PAMS,"2500 1ST STREET, N.W. WASHINGTON DC",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2021-11-08
11,001,0041,42101,1,38.895572,-76.958072,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2011,Parts per million,No Events,8590,98.0,Y,363,365,0,0,0.0,0.0,Uncertified (past due),0.678219,0.331122,2.5,2011-11-08 08:00,2.4,2011-11-08 06:00,2.4,2011-11-08 07:00,2.4,2011-11-08 09:00,2.5,2011-11-08 08:00,2.3,2011-11-09 08:00,1.7,1.6,1.3,1.1,0.8,0.6,0.3,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2021-11-08
11,001,0023,42101,1,38.903889,-77.046389,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2011,Parts per million,No Events,8748,100.0,Y,365,365,0,0,0.0,0.0,Uncertified (past due),0.745027,0.257845,2.2,2011-03-25 13:00,2.2,2011-03-25 14:00,2.1,2011-03-25 12:00,2.0,2011-03-25 15:00,2.2,2011-03-25 13:00,1.9,2011-01-01 05:00,1.5,1.3,1.2,1.1,0.9,0.7,0.4,Verizon,VERIZON PHONE CO.2055 L ST.  N.W.,District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2021-11-08
11,001,0043,42401,2,38.921847,-77.013178,WGS84,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2011,Parts per billion,No Events,1606,55.0,N,193,365,0,0,,0.0,Uncertified (past due),0.252304,0.666018,5.2,2011-09-20 23:00,4.5,2011-12-02 08:00,4.2,2011-09-24 14:00,4.2,2011-09-27 02:00,,,,,3.3,2.7,1.7,0.9,0.0,0.0,0.0,MCMILLAN  NCore-PAMS,"2500 1ST STREET, N.W. WASHINGTON DC",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2021-11-09
