state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
12,001,3011,44201,1,29.544722,-82.296111,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2006,Parts per million,No Events,8707,100.0,Y,244,245,0,53,0.0,0.0,Certified,0.052844,0.015727,0.089,2006-04-05 15:00,0.086,2006-04-06 16:00,0.085,2006-05-02 16:00,0.085,2006-06-07 14:00,,,,,0.085,0.084,0.078,0.073,0.064,0.056,0.044,Paynes Prarie,918 SE 119TH AVE,Florida,Alachua,Micanopy,23540,"Gainesville, FL",2021-12-23
12,001,3011,44201,1,29.544722,-82.296111,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,8724,100.0,Y,244,245,0,0,0.0,0.0,Certified,0.046012,0.014554,0.078,2006-04-06 11:00,0.077,2006-04-05 12:00,0.075,2006-05-02 11:00,0.075,2006-05-03 10:00,,,,,0.075,0.073,0.068,0.065,0.057,0.049,0.039,Paynes Prarie,918 SE 119TH AVE,Florida,Alachua,Micanopy,23540,"Gainesville, FL",2021-12-23
12,001,3011,44201,1,29.544722,-82.296111,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,8724,100.0,Y,244,245,0,0,2.0,2.0,Certified,0.046012,0.014554,0.078,2006-04-06 11:00,0.077,2006-04-05 12:00,0.075,2006-05-02 11:00,0.075,2006-05-03 10:00,,,,,0.075,0.073,0.068,0.065,0.057,0.049,0.039,Paynes Prarie,918 SE 119TH AVE,Florida,Alachua,Micanopy,23540,"Gainesville, FL",2021-12-23
12,001,3011,44201,1,29.544722,-82.296111,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2006,Parts per million,No Events,6178,100.0,Y,244,245,0,0,10.0,10.0,Certified,0.04598,0.014603,0.078,2006-04-06 11:00,0.077,2006-04-05 12:00,0.075,2006-05-02 11:00,0.075,2006-05-03 10:00,,,,,0.075,0.073,0.068,0.065,0.057,0.049,0.039,Paynes Prarie,918 SE 119TH AVE,Florida,Alachua,Micanopy,23540,"Gainesville, FL",2021-12-23
12,001,0023,81102,3,29.706111,-82.387778,WGS84,PM10 Total 0-10um STP,1,1 HOUR,,Observed Values,INSTRUMENTAL-R&P SA246B-INLET - TEOM-GRAVIMETRIC,2006,Micrograms/cubic meter (25 C),No Events,8502,97.0,Y,353,365,0,258,,,Certified,17.86168,11.750891,257.0,2006-10-13 06:00,253.0,2006-05-03 06:00,248.0,2006-10-09 06:00,230.0,2006-06-11 15:00,,,,,54.0,45.0,35.0,29.0,22.0,16.0,7.0,MILLHOPPER,5400 NW 43RD ST,Florida,Alachua,Gainesville,23540,"Gainesville, FL",2021-11-08
12,001,0023,81102,3,29.706111,-82.387778,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,Daily Mean,,2006,Micrograms/cubic meter (25 C),No Events,353,97.0,Y,353,365,0,0,0.0,0.0,Certified,17.376771,6.149854,54.0,2006-08-03 00:00,39.0,2006-08-04 00:00,38.0,2006-05-03 00:00,37.0,2006-04-18 00:00,,,,,37.0,33.0,28.0,25.0,21.0,16.0,11.0,MILLHOPPER,5400 NW 43RD ST,Florida,Alachua,Gainesville,23540,"Gainesville, FL",2021-11-08
12,001,0023,88101,1,29.706111,-82.387778,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,113,93.0,Y,113,122,0,9,0.0,0.0,Certified,9.036283,4.140179,21.1,2006-06-10 00:00,20.9,2006-06-16 00:00,20.1,2006-03-06 00:00,18.2,2006-07-01 00:00,,,,,20.9,20.1,16.7,14.8,11.5,8.2,4.1,MILLHOPPER,5400 NW 43RD ST,Florida,Alachua,Gainesville,23540,"Gainesville, FL",2021-11-09
12,001,0023,88101,1,29.706111,-82.387778,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,113,93.0,Y,113,122,0,9,,,Certified,9.036283,4.140179,21.1,2006-06-10 00:00,20.9,2006-06-16 00:00,20.1,2006-03-06 00:00,18.2,2006-07-01 00:00,,,,,20.9,20.1,16.7,14.8,11.5,8.2,4.1,MILLHOPPER,5400 NW 43RD ST,Florida,Alachua,Gainesville,23540,"Gainesville, FL",2021-11-09
12,001,0023,88101,1,29.706111,-82.387778,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,113,93.0,Y,113,122,0,9,0.0,0.0,Certified,9.036283,4.140179,21.1,2006-06-10 00:00,20.9,2006-06-16 00:00,20.1,2006-03-06 00:00,18.2,2006-07-01 00:00,,,,,20.9,20.1,16.7,14.8,11.5,8.2,4.1,MILLHOPPER,5400 NW 43RD ST,Florida,Alachua,Gainesville,23540,"Gainesville, FL",2021-11-09
12,001,0023,88101,1,29.706111,-82.387778,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,113,93.0,Y,113,122,0,9,,,Certified,9.036283,4.140179,21.1,2006-06-10 00:00,20.9,2006-06-16 00:00,20.1,2006-03-06 00:00,18.2,2006-07-01 00:00,,,,,20.9,20.1,16.7,14.8,11.5,8.2,4.1,MILLHOPPER,5400 NW 43RD ST,Florida,Alachua,Gainesville,23540,"Gainesville, FL",2021-11-09
