state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
16,001,0010,42401,1,43.600699,-116.347853,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,Instrumental - Ultraviolet Fluorescence API 100 EU,2011,Parts per billion,No Events,8225,94.0,Y,353,365,0,484,0.0,,Certified,2.027479,1.579002,12.3,2011-11-28 17:00,11.1,2011-12-09 14:00,10.8,2011-10-26 09:00,7.6,2011-01-05 04:00,,,,,7.6,6.5,4.8,3.8,2.6,1.7,0.6,Meridian - St. Luke's,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,,14260,"Boise City, ID",2021-11-09
16,001,0010,42602,1,43.600699,-116.347853,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2011,Parts per billion,No Events,661,8.0,N,27,365,0,94,0.0,,Uncertified (past due),18.807407,10.918718,35.7,2011-01-03 08:00,34.0,2011-01-20 08:00,32.9,2011-01-22 21:00,31.6,2011-01-21 16:00,,,,,35.7,35.7,34.0,32.9,30.0,18.2,3.6,Meridian - St. Luke's,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,,14260,"Boise City, ID",2021-11-09
16,001,0014,42101,1,43.616379,-116.203817,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,2011,Parts per million,No Events,8395,96.0,Y,356,365,0,365,0.0,0.0,Certified,0.35271,0.433853,20.4,2011-06-26 12:00,8.7,2011-06-26 09:00,4.3,2011-06-26 13:00,3.3,2011-07-09 19:00,,,,,1.5,1.3,1.1,0.8,0.5,0.3,0.0,Boise - Eastman Garage,EASTMAN BLDG/166 N. 9TH ST,Idaho,Ada,Boise (corporate name Boise City),14260,"Boise City, ID",2021-11-08
16,001,0010,42101,1,43.600699,-116.347853,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,2011,Parts per million,No Events,8254,94.0,Y,363,365,0,504,0.0,0.0,Certified,0.190314,0.147703,1.42,2011-12-08 19:00,1.41,2011-12-14 08:00,1.24,2011-12-12 08:00,1.23,2011-12-16 19:00,,,,,0.78,0.67,0.5,0.38,0.2,0.14,0.09,Meridian - St. Luke's,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,,14260,"Boise City, ID",2021-11-08
16,001,0014,42101,1,43.616379,-116.203817,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2011,Parts per million,No Events,8386,96.0,Y,356,365,0,0,0.0,0.0,Certified,0.356714,0.340214,4.4,2011-06-26 13:00,4.4,2011-06-26 14:00,4.4,2011-06-26 15:00,4.4,2011-06-26 16:00,4.4,2011-06-26 13:00,1.6,2011-12-11 00:00,1.4,1.2,1.0,0.8,0.5,0.3,0.0,Boise - Eastman Garage,EASTMAN BLDG/166 N. 9TH ST,Idaho,Ada,Boise (corporate name Boise City),14260,"Boise City, ID",2021-11-08
16,001,0010,42101,1,43.600699,-116.347853,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2011,Parts per million,No Events,8615,98.0,Y,363,365,0,0,0.0,0.0,Certified,0.189727,0.118882,1.0,2011-12-09 00:00,1.0,2011-12-09 01:00,0.9,2011-12-08 23:00,0.9,2011-12-09 02:00,1.0,2011-12-09 00:00,0.8,2011-12-12 23:00,0.6,0.6,0.4,0.3,0.2,0.2,0.1,Meridian - St. Luke's,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,,14260,"Boise City, ID",2021-11-08
16,001,0010,42401,1,43.600699,-116.347853,WGS84,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2011,Parts per billion,No Events,2485,85.0,Y,353,365,0,0,,0.0,Certified,0.905513,0.843607,8.9,2011-11-28 17:00,8.4,2011-12-09 17:00,7.2,2011-12-09 14:00,5.9,2011-11-28 23:00,,,,,3.6,3.2,2.5,1.9,1.3,0.7,0.0,Meridian - St. Luke's,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,,14260,"Boise City, ID",2021-11-09
16,001,0010,42401,1,43.600699,-116.347853,WGS84,Sulfur dioxide,X,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,2011,Parts per billion,No Events,353,97.0,Y,353,365,0,0,0.0,,Certified,0.926346,0.723048,4.5,2011-12-09 00:00,4.0,2011-11-28 00:00,3.5,2011-12-12 00:00,3.3,2011-12-11 00:00,,,,,3.3,3.0,2.1,1.7,1.4,0.8,0.1,Meridian - St. Luke's,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,,14260,"Boise City, ID",2021-11-09
16,001,0010,42401,1,43.600699,-116.347853,WGS84,Sulfur dioxide,1,1 HOUR,SO2 Annual 1971,Observed Values,Instrumental - Ultraviolet Fluorescence API 100 EU,2011,Parts per billion,No Events,8225,94.0,Y,353,365,0,484,,,Certified,0.918687,0.89041,12.3,2011-11-28 17:00,11.8,2011-11-28 16:00,11.1,2011-12-09 14:00,10.8,2011-10-26 09:00,,,,,3.9,3.3,2.5,1.9,1.3,0.7,0.0,Meridian - St. Luke's,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,,14260,"Boise City, ID",2021-11-09
16,001,0010,42602,1,43.600699,-116.347853,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2011,Parts per billion,No Events,661,8.0,N,27,365,0,94,,,Uncertified (past due),10.52708,8.519024,35.7,2011-01-03 08:00,35.6,2011-01-03 20:00,34.0,2011-01-20 08:00,33.6,2011-01-03 07:00,,,,,31.5,30.3,27.5,23.9,16.0,8.6,1.2,Meridian - St. Luke's,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,,14260,"Boise City, ID",2021-11-09
