state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
17,001,0007,44201,1,39.915409,-91.335868,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2011,Parts per million,No Events,8702,100.0,Y,214,214,0,0,0.0,0.0,Certified,0.049804,0.010477,0.078,2011-09-02 16:00,0.076,2011-10-05 17:00,0.072,2011-06-04 16:00,0.072,2011-07-19 17:00,,,,,0.072,0.072,0.07,0.063,0.056,0.051,0.044,JOHN WOOD COMMUNITY COLLEGE,1301 S. 48TH ST.,Illinois,Adams,Quincy,39500,"Quincy, IL-MO",2021-11-28
17,001,0007,44201,1,39.915409,-91.335868,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,8749,100.0,Y,214,214,0,0,0.0,0.0,Certified,0.04472,0.009491,0.07,2011-09-02 11:00,0.07,2011-10-05 11:00,0.067,2011-09-01 12:00,0.066,2011-04-14 12:00,,,,,0.067,0.065,0.062,0.057,0.051,0.046,0.04,JOHN WOOD COMMUNITY COLLEGE,1301 S. 48TH ST.,Illinois,Adams,Quincy,39500,"Quincy, IL-MO",2021-11-28
17,001,0007,44201,1,39.915409,-91.335868,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,8749,100.0,Y,214,214,0,0,0.0,0.0,Certified,0.04472,0.009491,0.07,2011-09-02 11:00,0.07,2011-10-05 11:00,0.067,2011-09-01 12:00,0.066,2011-04-14 12:00,,,,,0.067,0.065,0.062,0.057,0.051,0.046,0.04,JOHN WOOD COMMUNITY COLLEGE,1301 S. 48TH ST.,Illinois,Adams,Quincy,39500,"Quincy, IL-MO",2021-11-28
17,001,0007,44201,1,39.915409,-91.335868,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2011,Parts per million,No Events,6197,100.0,Y,214,214,0,0,0.0,0.0,Certified,0.044458,0.009517,0.07,2011-09-02 11:00,0.07,2011-10-05 11:00,0.067,2011-09-01 12:00,0.066,2011-04-14 12:00,,,,,0.067,0.065,0.062,0.057,0.05,0.046,0.04,JOHN WOOD COMMUNITY COLLEGE,1301 S. 48TH ST.,Illinois,Adams,Quincy,39500,"Quincy, IL-MO",2021-11-28
17,019,0007,44201,1,40.244913,-88.188519,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2011,Parts per million,No Events,5737,84.0,Y,179,214,0,0,0.0,0.0,Certified,0.051827,0.013812,0.096,2011-09-01 14:00,0.087,2011-09-02 15:00,0.086,2011-06-08 15:00,0.08,2011-08-31 15:00,,,,,0.087,0.08,0.073,0.068,0.061,0.053,0.036,Thomasboro,NORTH THOMAS ST.,Illinois,Champaign,Thomasboro,16580,"Champaign-Urbana, IL",2021-11-28
17,019,0007,44201,1,40.244913,-88.188519,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,5766,84.0,Y,179,214,0,0,1.0,1.0,Certified,0.046687,0.01334,0.088,2011-09-01 10:00,0.081,2011-06-08 09:00,0.08,2011-09-02 09:00,0.076,2011-06-03 11:00,,,,,0.081,0.076,0.066,0.062,0.056,0.048,0.031,Thomasboro,NORTH THOMAS ST.,Illinois,Champaign,Thomasboro,16580,"Champaign-Urbana, IL",2021-11-28
17,019,0007,44201,1,40.244913,-88.188519,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,5766,84.0,Y,179,214,0,0,4.0,4.0,Certified,0.046687,0.01334,0.088,2011-09-01 10:00,0.081,2011-06-08 09:00,0.08,2011-09-02 09:00,0.076,2011-06-03 11:00,,,,,0.081,0.076,0.066,0.062,0.056,0.048,0.031,Thomasboro,NORTH THOMAS ST.,Illinois,Champaign,Thomasboro,16580,"Champaign-Urbana, IL",2021-11-28
17,019,0007,44201,1,40.244913,-88.188519,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2011,Parts per million,No Events,4085,84.0,Y,179,214,0,0,7.0,7.0,Certified,0.046575,0.013472,0.088,2011-09-01 10:00,0.081,2011-06-08 09:00,0.08,2011-09-02 09:00,0.076,2011-06-03 11:00,,,,,0.081,0.076,0.066,0.062,0.056,0.048,0.031,Thomasboro,NORTH THOMAS ST.,Illinois,Champaign,Thomasboro,16580,"Champaign-Urbana, IL",2021-11-28
17,019,1001,44201,1,40.05278,-88.37251,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2011,Parts per million,No Events,5633,82.0,Y,175,214,0,967,0.0,0.0,Certified,0.051611,0.012904,0.09,2011-09-01 14:00,0.088,2011-09-02 12:00,0.085,2011-06-08 15:00,0.083,2011-06-07 17:00,,,,,0.088,0.083,0.073,0.066,0.059,0.053,0.037,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Bondville,16580,"Champaign-Urbana, IL",2021-11-28
17,019,1001,44201,1,40.05278,-88.37251,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,5660,80.0,Y,172,214,0,0,0.0,0.0,Certified,0.047006,0.012309,0.082,2011-09-01 10:00,0.078,2011-06-08 09:00,0.077,2011-09-02 09:00,0.074,2011-06-07 11:00,,,,,0.078,0.074,0.067,0.062,0.054,0.048,0.033,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Bondville,16580,"Champaign-Urbana, IL",2021-11-28
