state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
18,003,0011,42101,1,41.07445,-85.136729,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,2011,Parts per million,No Events,7990,91.0,Y,343,365,0,770,0.0,0,Uncertified (past due),0.383367,0.405028,2.9,2011-09-21 06:00,2.8,2011-09-20 16:00,2.8,2011-09-20 17:00,2.8,2011-09-20 18:00,,,,,1.7,1.6,1.2,0.9,0.6,0.3,0.0,SW CORNER OF OLD FORT WAYNE CENTRAL H.S.- FWCC,203 E. DOUGLAS ST. Fort Wayne- Career Center,Indiana,Allen,Fort Wayne,23060,"Fort Wayne, IN",2021-11-08
18,003,0011,42101,1,41.07445,-85.136729,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2011,Parts per million,No Events,8033,92.0,Y,342,365,0,0,0.0,0,Uncertified (past due),0.385298,0.395554,2.7,2011-09-20 18:00,2.7,2011-09-20 19:00,2.7,2011-09-20 20:00,2.7,2011-09-20 21:00,2.7,2011-09-20 18:00,2.7,2011-09-21 08:00,1.7,1.6,1.2,0.8,0.6,0.3,0.0,SW CORNER OF OLD FORT WAYNE CENTRAL H.S.- FWCC,203 E. DOUGLAS ST. Fort Wayne- Career Center,Indiana,Allen,Fort Wayne,23060,"Fort Wayne, IN",2021-11-08
18,003,0002,44201,1,41.221418,-85.016821,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2011,Parts per million,No Events,4346,99.0,Y,182,183,0,46,0.0,0.0,Certified,0.049995,0.012646,0.085,2011-07-05 16:00,0.078,2011-06-08 13:00,0.077,2011-05-26 12:00,0.077,2011-06-06 12:00,,,,,0.078,0.077,0.071,0.066,0.059,0.05,0.032,Leo High School,"14600 AMSTUTZ RD., LEO HS",Indiana,Allen,Leo-Cedarville,23060,"Fort Wayne, IN",2021-11-28
18,003,0002,44201,1,41.221418,-85.016821,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,4373,99.0,Y,182,183,0,0,0.0,0.0,Certified,0.045533,0.011901,0.075,2011-06-08 10:00,0.073,2011-07-05 11:00,0.071,2011-07-17 10:00,0.07,2011-06-06 11:00,,,,,0.073,0.07,0.066,0.061,0.053,0.046,0.03,Leo High School,"14600 AMSTUTZ RD., LEO HS",Indiana,Allen,Leo-Cedarville,23060,"Fort Wayne, IN",2021-11-28
18,003,0002,44201,1,41.221418,-85.016821,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,4373,99.0,Y,182,183,0,0,0.0,0.0,Certified,0.045533,0.011901,0.075,2011-06-08 10:00,0.073,2011-07-05 11:00,0.071,2011-07-17 10:00,0.07,2011-06-06 11:00,,,,,0.073,0.07,0.066,0.061,0.053,0.046,0.03,Leo High School,"14600 AMSTUTZ RD., LEO HS",Indiana,Allen,Leo-Cedarville,23060,"Fort Wayne, IN",2021-11-28
18,003,0002,44201,1,41.221418,-85.016821,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2011,Parts per million,No Events,3092,98.0,Y,180,183,0,0,3.0,3.0,Certified,0.045506,0.011982,0.075,2011-06-08 10:00,0.073,2011-07-05 11:00,0.071,2011-07-17 10:00,0.07,2011-06-06 11:00,,,,,0.073,0.07,0.066,0.062,0.053,0.046,0.03,Leo High School,"14600 AMSTUTZ RD., LEO HS",Indiana,Allen,Leo-Cedarville,23060,"Fort Wayne, IN",2021-11-28
18,003,0004,44201,1,41.094965,-85.101816,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2011,Parts per million,No Events,4354,100.0,Y,183,183,0,38,0.0,0.0,Certified,0.050951,0.01295,0.081,2011-06-08 12:00,0.08,2011-07-05 12:00,0.079,2011-06-04 17:00,0.076,2011-09-01 17:00,,,,,0.08,0.076,0.07,0.067,0.06,0.051,0.033,Ft. Wayne- Beacon St.,2022 NORTH BEACON/ Fort Wayne- Beacon St.,Indiana,Allen,Fort Wayne,23060,"Fort Wayne, IN",2021-11-28
18,003,0004,44201,1,41.094965,-85.101816,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,4382,99.0,Y,182,183,0,0,0.0,0.0,Certified,0.046385,0.01266,0.077,2011-06-08 10:00,0.076,2011-07-05 11:00,0.073,2011-07-17 10:00,0.072,2011-09-01 11:00,,,,,0.076,0.072,0.067,0.063,0.054,0.046,0.029,Ft. Wayne- Beacon St.,2022 NORTH BEACON/ Fort Wayne- Beacon St.,Indiana,Allen,Fort Wayne,23060,"Fort Wayne, IN",2021-11-28
18,003,0004,44201,1,41.094965,-85.101816,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,4382,99.0,Y,182,183,0,0,2.0,2.0,Certified,0.046385,0.01266,0.077,2011-06-08 10:00,0.076,2011-07-05 11:00,0.073,2011-07-17 10:00,0.072,2011-09-01 11:00,,,,,0.076,0.072,0.067,0.063,0.054,0.046,0.029,Ft. Wayne- Beacon St.,2022 NORTH BEACON/ Fort Wayne- Beacon St.,Indiana,Allen,Fort Wayne,23060,"Fort Wayne, IN",2021-11-28
18,003,0004,44201,1,41.094965,-85.101816,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2011,Parts per million,No Events,3101,99.0,Y,181,183,0,0,7.0,7.0,Certified,0.046265,0.012801,0.077,2011-06-08 10:00,0.076,2011-07-05 11:00,0.073,2011-07-17 10:00,0.072,2011-09-01 11:00,,,,,0.076,0.072,0.067,0.063,0.054,0.046,0.029,Ft. Wayne- Beacon St.,2022 NORTH BEACON/ Fort Wayne- Beacon St.,Indiana,Allen,Fort Wayne,23060,"Fort Wayne, IN",2021-11-28
