state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
19,013,0008,81102,2,42.493042,-92.344074,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,R - P Co Partisol Model 2025 - Gravimetric,2011,Micrograms/cubic meter (25 C),No Events,120,99.0,Y,120,121,0,4,0.0,0.0,Uncertified (past due),22.45,10.875808,60.0,2011-10-06 00:00,53.0,2011-10-03 00:00,49.0,2011-06-08 00:00,44.0,2011-08-18 00:00,,,,,53.0,49.0,43.0,40.0,28.0,20.0,11.0,,"GROUT MUSEUM, W. PARK ST. & SOUTH ST.",Iowa,Black Hawk,Waterloo,47940,"Waterloo-Cedar Falls, IA",2021-11-08
19,013,0008,88101,1,42.493042,-92.344074,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,120,99.0,Y,120,121,0,4,0.0,0.0,Uncertified (past due),10.521667,5.371793,29.8,2011-03-04 00:00,24.4,2011-11-23 00:00,22.7,2011-07-17 00:00,22.5,2011-04-09 00:00,,,,,24.4,22.7,21.6,18.3,13.5,9.3,5.0,,"GROUT MUSEUM, W. PARK ST. & SOUTH ST.",Iowa,Black Hawk,Waterloo,47940,"Waterloo-Cedar Falls, IA",2021-11-08
19,013,0009,88101,1,42.501543,-92.316017,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,117,97.0,Y,117,121,0,13,0.0,0.0,Uncertified (past due),10.510256,5.322373,29.2,2011-03-04 00:00,25.2,2011-11-23 00:00,23.6,2011-07-17 00:00,22.1,2011-04-09 00:00,,,,,25.2,23.6,21.4,18.4,14.2,9.4,4.7,Water Tower,Vine St. & Steely,Iowa,Black Hawk,Waterloo,47940,"Waterloo-Cedar Falls, IA",2021-11-08
19,013,0008,88101,1,42.493042,-92.344074,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,120,99.0,Y,120,121,0,4,,,Uncertified (past due),10.521667,5.371793,29.8,2011-03-04 00:00,24.4,2011-11-23 00:00,22.7,2011-07-17 00:00,22.5,2011-04-09 00:00,,,,,24.4,22.7,21.6,18.3,13.5,9.3,5.0,,"GROUT MUSEUM, W. PARK ST. & SOUTH ST.",Iowa,Black Hawk,Waterloo,47940,"Waterloo-Cedar Falls, IA",2021-11-08
19,013,0009,88101,1,42.501543,-92.316017,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,117,97.0,Y,117,121,0,13,,,Uncertified (past due),10.510256,5.322373,29.2,2011-03-04 00:00,25.2,2011-11-23 00:00,23.6,2011-07-17 00:00,22.1,2011-04-09 00:00,,,,,25.2,23.6,21.4,18.4,14.2,9.4,4.7,Water Tower,Vine St. & Steely,Iowa,Black Hawk,Waterloo,47940,"Waterloo-Cedar Falls, IA",2021-11-08
19,013,0008,88101,1,42.493042,-92.344074,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,120,99.0,Y,120,121,0,4,0.0,0.0,Uncertified (past due),10.521667,5.371793,29.8,2011-03-04 00:00,24.4,2011-11-23 00:00,22.7,2011-07-17 00:00,22.5,2011-04-09 00:00,,,,,24.4,22.7,21.6,18.3,13.5,9.3,5.0,,"GROUT MUSEUM, W. PARK ST. & SOUTH ST.",Iowa,Black Hawk,Waterloo,47940,"Waterloo-Cedar Falls, IA",2021-11-08
19,013,0009,88101,1,42.501543,-92.316017,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,117,97.0,Y,117,121,0,13,0.0,0.0,Uncertified (past due),10.510256,5.322373,29.2,2011-03-04 00:00,25.2,2011-11-23 00:00,23.6,2011-07-17 00:00,22.1,2011-04-09 00:00,,,,,25.2,23.6,21.4,18.4,14.2,9.4,4.7,Water Tower,Vine St. & Steely,Iowa,Black Hawk,Waterloo,47940,"Waterloo-Cedar Falls, IA",2021-11-08
19,013,0008,88101,1,42.493042,-92.344074,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,120,99.0,Y,120,121,0,4,,,Uncertified (past due),10.521667,5.371793,29.8,2011-03-04 00:00,24.4,2011-11-23 00:00,22.7,2011-07-17 00:00,22.5,2011-04-09 00:00,,,,,24.4,22.7,21.6,18.3,13.5,9.3,5.0,,"GROUT MUSEUM, W. PARK ST. & SOUTH ST.",Iowa,Black Hawk,Waterloo,47940,"Waterloo-Cedar Falls, IA",2021-11-08
19,013,0009,88101,1,42.501543,-92.316017,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,117,97.0,Y,117,121,0,13,,,Uncertified (past due),10.510256,5.322373,29.2,2011-03-04 00:00,25.2,2011-11-23 00:00,23.6,2011-07-17 00:00,22.1,2011-04-09 00:00,,,,,25.2,23.6,21.4,18.4,14.2,9.4,4.7,Water Tower,Vine St. & Steely,Iowa,Black Hawk,Waterloo,47940,"Waterloo-Cedar Falls, IA",2021-11-08
19,013,0008,88101,1,42.493042,-92.344074,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,120,99.0,Y,120,121,0,4,0.0,0.0,Uncertified (past due),10.521667,5.371793,29.8,2011-03-04 00:00,24.4,2011-11-23 00:00,22.7,2011-07-17 00:00,22.5,2011-04-09 00:00,,,,,24.4,22.7,21.6,18.3,13.5,9.3,5.0,,"GROUT MUSEUM, W. PARK ST. & SOUTH ST.",Iowa,Black Hawk,Waterloo,47940,"Waterloo-Cedar Falls, IA",2021-11-08
19,013,0009,88101,1,42.501543,-92.316017,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,117,97.0,Y,117,121,0,13,0.0,0.0,Uncertified (past due),10.510256,5.322373,29.2,2011-03-04 00:00,25.2,2011-11-23 00:00,23.6,2011-07-17 00:00,22.1,2011-04-09 00:00,,,,,25.2,23.6,21.4,18.4,14.2,9.4,4.7,Water Tower,Vine St. & Steely,Iowa,Black Hawk,Waterloo,47940,"Waterloo-Cedar Falls, IA",2021-11-08
19,013,0008,88101,1,42.493042,-92.344074,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 1997,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,120,99.0,Y,120,121,0,4,,,Uncertified (past due),10.521667,5.371793,29.8,2011-03-04 00:00,24.4,2011-11-23 00:00,22.7,2011-07-17 00:00,22.5,2011-04-09 00:00,,,,,24.4,22.7,21.6,18.3,13.5,9.3,5.0,,"GROUT MUSEUM, W. PARK ST. & SOUTH ST.",Iowa,Black Hawk,Waterloo,47940,"Waterloo-Cedar Falls, IA",2021-11-08
19,013,0009,88101,1,42.501543,-92.316017,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 1997,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,117,97.0,Y,117,121,0,13,,,Uncertified (past due),10.510256,5.322373,29.2,2011-03-04 00:00,25.2,2011-11-23 00:00,23.6,2011-07-17 00:00,22.1,2011-04-09 00:00,,,,,25.2,23.6,21.4,18.4,14.2,9.4,4.7,Water Tower,Vine St. & Steely,Iowa,Black Hawk,Waterloo,47940,"Waterloo-Cedar Falls, IA",2021-11-08
