state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
21,013,0002,44201,1,36.60843,-83.73694,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2017,Parts per million,No Events,5840,100.0,Y,244,245,0,40,0.0,0.0,Certified,0.045939,0.008223,0.067,2017-04-14 15:00,0.066,2017-04-10 14:00,0.065,2017-04-13 16:00,0.063,2017-05-10 12:00,,,,,0.065,0.063,0.06,0.056,0.051,0.046,0.034,MIDDLESBORO,1420 DORCHESTER AVENUE,Kentucky,Bell,Middlesborough (corporate name for Middlesboro),33180,"Middlesborough, KY",2021-11-06
21,013,0002,44201,1,36.60843,-83.73694,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,5864,100.0,Y,244,245,0,0,0.0,0.0,Certified,0.041525,0.008399,0.064,2017-04-10 10:00,0.064,2017-04-14 11:00,0.061,2017-04-13 11:00,0.06,2017-04-11 11:00,,,,,0.061,0.059,0.055,0.052,0.047,0.042,0.03,MIDDLESBORO,1420 DORCHESTER AVENUE,Kentucky,Bell,Middlesborough (corporate name for Middlesboro),33180,"Middlesborough, KY",2021-11-06
21,013,0002,44201,1,36.60843,-83.73694,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,5864,100.0,Y,244,245,0,0,0.0,0.0,Certified,0.041525,0.008399,0.064,2017-04-10 10:00,0.064,2017-04-14 11:00,0.061,2017-04-13 11:00,0.06,2017-04-11 11:00,,,,,0.061,0.059,0.055,0.052,0.047,0.042,0.03,MIDDLESBORO,1420 DORCHESTER AVENUE,Kentucky,Bell,Middlesborough (corporate name for Middlesboro),33180,"Middlesborough, KY",2021-11-06
21,013,0002,44201,1,36.60843,-83.73694,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2017,Parts per million,No Events,4152,99.0,Y,243,245,0,0,0.0,0.0,Certified,0.041342,0.008499,0.064,2017-04-10 10:00,0.064,2017-04-14 11:00,0.061,2017-04-13 11:00,0.06,2017-04-11 11:00,,,,,0.061,0.059,0.055,0.052,0.047,0.042,0.03,MIDDLESBORO,1420 DORCHESTER AVENUE,Kentucky,Bell,Middlesborough (corporate name for Middlesboro),33180,"Middlesborough, KY",2021-11-06
21,013,0002,88101,1,36.60843,-83.73694,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,60,98.0,Y,60,61,0,1,0.0,0.0,Certified,7.605,3.505754,19.7,2017-12-15 00:00,15.5,2017-02-18 00:00,14.2,2017-07-12 00:00,13.1,2017-11-27 00:00,,,,,19.7,15.5,14.2,12.7,9.9,7.4,3.3,MIDDLESBORO,1420 DORCHESTER AVENUE,Kentucky,Bell,Middlesborough (corporate name for Middlesboro),33180,"Middlesborough, KY",2021-11-06
21,013,0002,88101,1,36.60843,-83.73694,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,60,98.0,Y,60,61,0,1,,,Certified,7.605,3.505754,19.7,2017-12-15 00:00,15.5,2017-02-18 00:00,14.2,2017-07-12 00:00,13.1,2017-11-27 00:00,,,,,19.7,15.5,14.2,12.7,9.9,7.4,3.3,MIDDLESBORO,1420 DORCHESTER AVENUE,Kentucky,Bell,Middlesborough (corporate name for Middlesboro),33180,"Middlesborough, KY",2021-11-06
21,013,0002,88101,1,36.60843,-83.73694,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,60,98.0,Y,60,61,0,1,0.0,0.0,Certified,7.605,3.505754,19.7,2017-12-15 00:00,15.5,2017-02-18 00:00,14.2,2017-07-12 00:00,13.1,2017-11-27 00:00,,,,,19.7,15.5,14.2,12.7,9.9,7.4,3.3,MIDDLESBORO,1420 DORCHESTER AVENUE,Kentucky,Bell,Middlesborough (corporate name for Middlesboro),33180,"Middlesborough, KY",2021-11-06
21,013,0002,88101,1,36.60843,-83.73694,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,60,98.0,Y,60,61,0,1,,,Certified,7.605,3.505754,19.7,2017-12-15 00:00,15.5,2017-02-18 00:00,14.2,2017-07-12 00:00,13.1,2017-11-27 00:00,,,,,19.7,15.5,14.2,12.7,9.9,7.4,3.3,MIDDLESBORO,1420 DORCHESTER AVENUE,Kentucky,Bell,Middlesborough (corporate name for Middlesboro),33180,"Middlesborough, KY",2021-11-06
21,013,0002,88101,1,36.60843,-83.73694,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,60,98.0,Y,60,61,0,1,0.0,0.0,Certified,7.605,3.505754,19.7,2017-12-15 00:00,15.5,2017-02-18 00:00,14.2,2017-07-12 00:00,13.1,2017-11-27 00:00,,,,,19.7,15.5,14.2,12.7,9.9,7.4,3.3,MIDDLESBORO,1420 DORCHESTER AVENUE,Kentucky,Bell,Middlesborough (corporate name for Middlesboro),33180,"Middlesborough, KY",2021-11-06
21,013,0002,88101,1,36.60843,-83.73694,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 1997,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,60,98.0,Y,60,61,0,1,,,Certified,7.605,3.505754,19.7,2017-12-15 00:00,15.5,2017-02-18 00:00,14.2,2017-07-12 00:00,13.1,2017-11-27 00:00,,,,,19.7,15.5,14.2,12.7,9.9,7.4,3.3,MIDDLESBORO,1420 DORCHESTER AVENUE,Kentucky,Bell,Middlesborough (corporate name for Middlesboro),33180,"Middlesborough, KY",2021-11-06
