state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
23,001,0014,44201,2,43.974622,-70.124608,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2006,Parts per million,No Events,2019,46.0,N,84,183,0,189,0.0,0.0,Certified,0.04119,0.016901,0.087,2006-07-10 17:00,0.087,2006-07-25 15:00,0.086,2006-07-15 16:00,0.075,2006-07-26 15:00,,,,,0.087,0.087,0.074,0.065,0.051,0.035,0.024,DURHAM FIRE STATION,"ROUTE 9, DURHAM",Maine,Androscoggin,,30340,"Lewiston-Auburn, ME",2021-12-24
23,001,0014,44201,2,43.974622,-70.124608,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,2028,45.0,N,83,183,0,0,0.0,0.0,Certified,0.035012,0.014219,0.079,2006-07-25 11:00,0.074,2006-07-10 12:00,0.067,2006-07-26 09:00,0.065,2006-07-27 10:00,,,,,0.079,0.074,0.064,0.056,0.042,0.03,0.022,DURHAM FIRE STATION,"ROUTE 9, DURHAM",Maine,Androscoggin,,30340,"Lewiston-Auburn, ME",2021-12-24
23,001,0014,44201,2,43.974622,-70.124608,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,2028,45.0,N,83,183,0,0,1.0,1.0,Certified,0.035012,0.014219,0.079,2006-07-25 11:00,0.074,2006-07-10 12:00,0.067,2006-07-26 09:00,0.065,2006-07-27 10:00,,,,,0.079,0.074,0.064,0.056,0.042,0.03,0.022,DURHAM FIRE STATION,"ROUTE 9, DURHAM",Maine,Androscoggin,,30340,"Lewiston-Auburn, ME",2021-12-24
23,001,0014,44201,2,43.974622,-70.124608,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2006,Parts per million,No Events,1442,46.0,N,84,183,0,0,2.0,2.0,Certified,0.035202,0.014316,0.079,2006-07-25 11:00,0.074,2006-07-10 12:00,0.067,2006-07-26 09:00,0.065,2006-07-27 10:00,,,,,0.079,0.074,0.064,0.057,0.043,0.031,0.022,DURHAM FIRE STATION,"ROUTE 9, DURHAM",Maine,Androscoggin,,30340,"Lewiston-Auburn, ME",2021-12-24
23,001,0011,81102,2,44.089406,-70.214219,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,R - P Co Partisol Model 2000 - Gravimetric,2006,Micrograms/cubic meter (25 C),No Events,60,98.0,Y,60,61,0,1,0.0,0.0,Certified,16.566667,9.499985,44.0,2006-02-16 00:00,36.0,2006-02-22 00:00,36.0,2006-03-30 00:00,36.0,2006-07-04 00:00,,,,,44.0,36.0,36.0,31.0,24.0,14.0,6.0,COUNTRY KITCHEN BAKERY PARKING LOT,Lewiston Country Kitchen Bakery Lot & CANAL ST,Maine,Androscoggin,Lewiston,30340,"Lewiston-Auburn, ME",2021-11-08
23,003,1100,42602,1,46.696431,-68.033006,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - CHEMILUMINESCENCE,2006,Parts per billion,No Events,7993,91.0,Y,357,365,0,767,,,Uncertified (past due),2.328162,2.949878,35.1,2006-01-03 16:00,29.7,2006-01-03 18:00,28.2,2006-01-24 06:00,28.1,2006-01-09 00:00,,,,,14.9,11.3,7.9,5.4,2.8,1.4,0.2,MICMAC HEALTH DEPARTMENT,"8 NORTHERN ROAD, PRESQUE ISLE, ME 04769",Maine,Aroostook,Presque Isle,,,2021-11-09
23,003,1100,42602,1,46.696431,-68.033006,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,2006,Parts per billion,No Events,7993,91.0,Y,357,365,0,767,0.0,,Uncertified (past due),6.337255,5.230334,35.1,2006-01-03 16:00,28.2,2006-01-24 06:00,28.1,2006-01-09 00:00,26.8,2006-12-12 16:00,,,,,26.8,22.5,17.0,12.5,8.9,4.6,1.8,MICMAC HEALTH DEPARTMENT,"8 NORTHERN ROAD, PRESQUE ISLE, ME 04769",Maine,Aroostook,Presque Isle,,,2021-11-09
23,003,1100,42401,1,46.696431,-68.033006,WGS84,Sulfur dioxide,1,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE,2006,Parts per billion,No Events,7144,82.0,N,319,365,0,1616,,,Uncertified (past due),0.765468,1.388409,21.2,2006-01-10 17:00,21.2,2006-01-11 01:00,18.3,2006-01-10 20:00,18.2,2006-01-19 05:00,,,,,6.5,4.9,3.0,1.9,0.9,0.3,0.0,MICMAC HEALTH DEPARTMENT,"8 NORTHERN ROAD, PRESQUE ISLE, ME 04769",Maine,Aroostook,Presque Isle,,,2021-11-09
23,003,1100,42401,1,46.696431,-68.033006,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE,2006,Parts per billion,No Events,7144,82.0,N,319,365,0,1616,0.0,,Uncertified (past due),2.142633,3.055524,21.2,2006-01-10 17:00,21.2,2006-01-11 01:00,18.2,2006-01-19 05:00,16.9,2006-10-09 11:00,,,,,16.9,13.3,7.6,5.6,2.6,1.1,0.2,MICMAC HEALTH DEPARTMENT,"8 NORTHERN ROAD, PRESQUE ISLE, ME 04769",Maine,Aroostook,Presque Isle,,,2021-11-09
23,003,1100,42401,1,46.696431,-68.033006,WGS84,Sulfur dioxide,X,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,2006,Parts per billion,No Events,319,87.0,N,319,365,0,0,0.0,,Uncertified (past due),0.769906,1.083018,8.1,2006-01-10 00:00,6.4,2006-01-03 00:00,5.8,2006-01-04 00:00,5.7,2006-01-09 00:00,,,,,5.7,4.3,2.9,1.9,0.9,0.4,0.1,MICMAC HEALTH DEPARTMENT,"8 NORTHERN ROAD, PRESQUE ISLE, ME 04769",Maine,Aroostook,Presque Isle,,,2021-11-09
