state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
24,003,0014,44201,1,38.9025,-76.653056,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2011,Parts per million,No Events,5002,97.0,Y,208,214,0,47,0.0,0.0,Uncertified (past due),0.054413,0.017458,0.111,2011-07-22 13:00,0.11,2011-06-10 13:00,0.102,2011-06-09 13:00,0.098,2011-07-18 13:00,,,,,0.102,0.097,0.086,0.077,0.064,0.053,0.031, Davidsonville,"Davidsonville  Recreation Center, 3801 Queen Anne  Bridge  Road",Maryland,Anne Arundel,,12580,"Baltimore-Columbia-Towson, MD",2022-07-08
24,003,0014,44201,1,38.9025,-76.653056,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,4990,96.0,Y,206,214,0,0,4.0,4.0,Uncertified (past due),0.048442,0.015468,0.094,2011-06-10 11:00,0.092,2011-07-22 09:00,0.088,2011-06-08 10:00,0.087,2011-06-09 09:00,,,,,0.088,0.081,0.076,0.068,0.058,0.048,0.027, Davidsonville,"Davidsonville  Recreation Center, 3801 Queen Anne  Bridge  Road",Maryland,Anne Arundel,,12580,"Baltimore-Columbia-Towson, MD",2022-07-08
24,003,0014,44201,1,38.9025,-76.653056,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,4990,96.0,Y,206,214,0,0,11.0,11.0,Uncertified (past due),0.048442,0.015468,0.094,2011-06-10 11:00,0.092,2011-07-22 09:00,0.088,2011-06-08 10:00,0.087,2011-06-09 09:00,,,,,0.088,0.081,0.076,0.068,0.058,0.048,0.027, Davidsonville,"Davidsonville  Recreation Center, 3801 Queen Anne  Bridge  Road",Maryland,Anne Arundel,,12580,"Baltimore-Columbia-Towson, MD",2022-07-08
24,003,0014,44201,1,38.9025,-76.653056,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2011,Parts per million,No Events,3532,95.0,Y,204,214,0,0,17.0,17.0,Uncertified (past due),0.048534,0.015577,0.094,2011-06-10 11:00,0.092,2011-07-22 09:00,0.088,2011-06-08 10:00,0.087,2011-06-09 09:00,,,,,0.088,0.081,0.076,0.068,0.058,0.048,0.029, Davidsonville,"Davidsonville  Recreation Center, 3801 Queen Anne  Bridge  Road",Maryland,Anne Arundel,,12580,"Baltimore-Columbia-Towson, MD",2022-07-08
24,003,1003,88101,1,39.169533,-76.627933,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,112,92.0,Y,111,121,0,0,0.0,0.0,Uncertified (past due),10.739286,5.527382,26.4,2011-06-11 00:00,24.7,2011-01-30 00:00,24.4,2011-06-08 00:00,22.7,2011-01-15 00:00,,,,,24.7,24.4,21.7,19.7,14.4,9.4,5.2,GLEN BURNIE, ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.,Maryland,Anne Arundel,Glen Burnie,12580,"Baltimore-Columbia-Towson, MD",2021-11-08
24,003,1003,88101,1,39.169533,-76.627933,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,112,92.0,Y,111,121,0,0,,,Uncertified (past due),10.739286,5.527382,26.4,2011-06-11 00:00,24.7,2011-01-30 00:00,24.4,2011-06-08 00:00,22.7,2011-01-15 00:00,,,,,24.7,24.4,21.7,19.7,14.4,9.4,5.2,GLEN BURNIE, ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.,Maryland,Anne Arundel,Glen Burnie,12580,"Baltimore-Columbia-Towson, MD",2021-11-08
24,003,1003,88101,1,39.169533,-76.627933,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,112,92.0,Y,111,121,0,0,0.0,0.0,Uncertified (past due),10.739286,5.527382,26.4,2011-06-11 00:00,24.7,2011-01-30 00:00,24.4,2011-06-08 00:00,22.7,2011-01-15 00:00,,,,,24.7,24.4,21.7,19.7,14.4,9.4,5.2,GLEN BURNIE, ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.,Maryland,Anne Arundel,Glen Burnie,12580,"Baltimore-Columbia-Towson, MD",2021-11-08
24,003,1003,88101,1,39.169533,-76.627933,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,112,92.0,Y,111,121,0,0,,,Uncertified (past due),10.739286,5.527382,26.4,2011-06-11 00:00,24.7,2011-01-30 00:00,24.4,2011-06-08 00:00,22.7,2011-01-15 00:00,,,,,24.7,24.4,21.7,19.7,14.4,9.4,5.2,GLEN BURNIE, ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.,Maryland,Anne Arundel,Glen Burnie,12580,"Baltimore-Columbia-Towson, MD",2021-11-08
24,003,1003,88101,1,39.169533,-76.627933,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,112,92.0,Y,111,121,0,0,0.0,0.0,Uncertified (past due),10.739286,5.527382,26.4,2011-06-11 00:00,24.7,2011-01-30 00:00,24.4,2011-06-08 00:00,22.7,2011-01-15 00:00,,,,,24.7,24.4,21.7,19.7,14.4,9.4,5.2,GLEN BURNIE, ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.,Maryland,Anne Arundel,Glen Burnie,12580,"Baltimore-Columbia-Towson, MD",2021-11-08
24,003,1003,88101,1,39.169533,-76.627933,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 1997,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,112,92.0,Y,111,121,0,0,,,Uncertified (past due),10.739286,5.527382,26.4,2011-06-11 00:00,24.7,2011-01-30 00:00,24.4,2011-06-08 00:00,22.7,2011-01-15 00:00,,,,,24.7,24.4,21.7,19.7,14.4,9.4,5.2,GLEN BURNIE, ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.,Maryland,Anne Arundel,Glen Burnie,12580,"Baltimore-Columbia-Towson, MD",2021-11-08
