state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
25,001,0002,44201,1,41.975804,-70.023598,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2011,Parts per million,No Events,5512,96.0,Y,176,183,0,368,0.0,0,Certified,0.044443,0.012791,0.083,2011-06-08 21:00,0.082,2011-06-07 21:00,0.08,2011-07-17 00:00,0.078,2011-07-22 16:00,,,,,0.082,0.078,0.07,0.062,0.052,0.047,0.039,TRURO NATIONAL SEASHORE,FOX BOTTOM AREA,Massachusetts,Barnstable,Truro,12700,"Barnstable Town, MA",2021-11-29
25,001,0002,44201,1,41.975804,-70.023598,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,5607,95.0,Y,174,183,0,0,0.0,0,Certified,0.040121,0.011159,0.074,2011-06-08 17:00,0.073,2011-07-22 11:00,0.071,2011-07-16 18:00,0.068,2011-06-07 16:00,,,,,0.073,0.068,0.061,0.055,0.047,0.043,0.035,TRURO NATIONAL SEASHORE,FOX BOTTOM AREA,Massachusetts,Barnstable,Truro,12700,"Barnstable Town, MA",2021-11-29
25,001,0002,44201,1,41.975804,-70.023598,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,5607,95.0,Y,174,183,0,0,0.0,0,Certified,0.040121,0.011159,0.074,2011-06-08 17:00,0.073,2011-07-22 11:00,0.071,2011-07-16 18:00,0.068,2011-06-07 16:00,,,,,0.073,0.068,0.061,0.055,0.047,0.043,0.035,TRURO NATIONAL SEASHORE,FOX BOTTOM AREA,Massachusetts,Barnstable,Truro,12700,"Barnstable Town, MA",2021-11-29
25,001,0002,44201,1,41.975804,-70.023598,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2011,Parts per million,No Events,3973,95.0,Y,174,183,0,0,3.0,3,Certified,0.039713,0.011367,0.074,2011-06-08 17:00,0.073,2011-07-22 11:00,0.071,2011-07-16 18:00,0.068,2011-06-07 16:00,,,,,0.073,0.068,0.061,0.055,0.047,0.043,0.034,TRURO NATIONAL SEASHORE,FOX BOTTOM AREA,Massachusetts,Barnstable,Truro,12700,"Barnstable Town, MA",2021-11-29
25,003,4002,44201,1,42.63668,-73.167428,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2011,Parts per million,No Events,3439,75.0,Y,137,183,0,2441,0.0,0.0,Certified,0.048737,0.01268,0.108,2011-07-20 18:00,0.074,2011-07-17 22:00,0.074,2011-07-21 15:00,0.073,2011-07-22 00:00,,,,,0.074,0.074,0.071,0.066,0.057,0.047,0.036,MT GREYLOCK SUMMIT,ROUTE 8 ADAMS,Massachusetts,Berkshire,Adams,38340,"Pittsfield, MA",2021-11-29
25,003,4002,44201,1,42.63668,-73.167428,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,3517,95.0,Y,135,183,0,0,1.0,1.0,Certified,0.044593,0.011012,0.088,2011-07-20 15:00,0.071,2011-07-21 15:00,0.068,2011-07-17 21:00,0.067,2011-06-08 01:00,,,,,0.071,0.068,0.065,0.06,0.052,0.043,0.034,MT GREYLOCK SUMMIT,ROUTE 8 ADAMS,Massachusetts,Berkshire,Adams,38340,"Pittsfield, MA",2021-11-29
25,003,4002,44201,1,42.63668,-73.167428,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,3517,95.0,Y,135,183,0,0,1.0,1.0,Certified,0.044593,0.011012,0.088,2011-07-20 15:00,0.071,2011-07-21 15:00,0.068,2011-07-17 21:00,0.067,2011-06-08 01:00,,,,,0.071,0.068,0.065,0.06,0.052,0.043,0.034,MT GREYLOCK SUMMIT,ROUTE 8 ADAMS,Massachusetts,Berkshire,Adams,38340,"Pittsfield, MA",2021-11-29
25,003,5001,88101,1,42.448009,-73.254108,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,117,97.0,Y,117,121,0,4,0.0,0.0,Uncertified (past due),9.079487,6.346877,29.8,2011-02-11 00:00,29.7,2011-02-17 00:00,28.8,2011-01-15 00:00,25.3,2011-11-26 00:00,,,,,29.7,28.8,22.7,18.9,12.0,6.8,3.3,AT THE CORNER OF CENTER ST AND COLUMBUS AVE,78 CENTER ST,Massachusetts,Berkshire,Pittsfield,38340,"Pittsfield, MA",2021-11-08
25,003,5001,88101,1,42.448009,-73.254108,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,117,97.0,Y,117,121,0,4,,,Uncertified (past due),9.079487,6.346877,29.8,2011-02-11 00:00,29.7,2011-02-17 00:00,28.8,2011-01-15 00:00,25.3,2011-11-26 00:00,,,,,29.7,28.8,22.7,18.9,12.0,6.8,3.3,AT THE CORNER OF CENTER ST AND COLUMBUS AVE,78 CENTER ST,Massachusetts,Berkshire,Pittsfield,38340,"Pittsfield, MA",2021-11-08
25,003,5001,88101,1,42.448009,-73.254108,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,117,97.0,Y,117,121,0,4,0.0,0.0,Uncertified (past due),9.079487,6.346877,29.8,2011-02-11 00:00,29.7,2011-02-17 00:00,28.8,2011-01-15 00:00,25.3,2011-11-26 00:00,,,,,29.7,28.8,22.7,18.9,12.0,6.8,3.3,AT THE CORNER OF CENTER ST AND COLUMBUS AVE,78 CENTER ST,Massachusetts,Berkshire,Pittsfield,38340,"Pittsfield, MA",2021-11-08
