state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
27,003,0600,42101,1,45.07694,-93.2541,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,2006,Parts per million,No Events,8694,99.0,Y,365,365,0,52,0.0,0.0,Uncertified (past due),0.225316,0.179944,3.0,2006-06-01 12:00,2.5,2006-11-19 00:00,2.0,2006-06-01 04:00,1.9,2006-08-28 08:00,,,,,0.9,0.7,0.5,0.4,0.3,0.2,0.1,Fridley High School,6000 W. Moore Lake Rd.,Minnesota,Anoka,Fridley,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2021-11-08
27,003,0600,42101,1,45.07694,-93.2541,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2006,Parts per million,No Events,8702,99.0,Y,365,365,0,0,0.0,0.0,Uncertified (past due),0.2282,0.157098,1.5,2006-11-23 02:00,1.4,2006-11-19 02:00,1.4,2006-11-19 03:00,1.4,2006-11-19 04:00,1.5,2006-11-23 02:00,1.4,2006-11-19 02:00,0.8,0.7,0.5,0.4,0.3,0.2,0.1,Fridley High School,6000 W. Moore Lake Rd.,Minnesota,Anoka,Fridley,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2021-11-08
27,003,1002,42401,1,45.13768,-93.207615,WGS84,Sulfur dioxide,1,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - ULTRA VIOLET FLUORESCENCE,2006,Parts per billion,No Events,8628,98.0,Y,360,365,0,131,,,Uncertified (past due),0.230413,1.142047,20.0,2006-07-08 04:00,17.0,2006-10-08 04:00,16.0,2006-03-28 13:00,16.0,2006-04-10 20:00,,,,,6.0,4.0,1.0,0.0,0.0,0.0,0.0,Anoka County Airport,9399 Lima St,Minnesota,Anoka,Blaine,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2021-11-09
27,003,1002,42401,1,45.13768,-93.207615,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - ULTRA VIOLET FLUORESCENCE,2006,Parts per billion,No Events,8628,98.0,Y,360,365,0,131,0.0,,Uncertified (past due),1.427778,3.155277,20.0,2006-07-08 04:00,17.0,2006-10-08 04:00,16.0,2006-03-28 13:00,16.0,2006-04-10 20:00,,,,,16.0,11.0,9.0,6.0,1.0,0.0,0.0,Anoka County Airport,9399 Lima St,Minnesota,Anoka,Blaine,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2021-11-09
27,003,1002,42401,1,45.13768,-93.207615,WGS84,Sulfur dioxide,X,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,2006,Parts per billion,No Events,360,99.0,Y,360,365,0,0,0.0,,Uncertified (past due),0.2275,0.617971,4.5,2006-03-28 00:00,3.8,2006-04-10 00:00,3.6,2006-04-05 00:00,3.3,2006-03-19 00:00,,,,,3.3,2.6,1.5,0.8,0.1,0.0,0.0,Anoka County Airport,9399 Lima St,Minnesota,Anoka,Blaine,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2021-11-09
27,003,1002,42401,1,45.13768,-93.207615,WGS84,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2006,Parts per billion,No Events,2858,98.0,Y,360,365,0,0,,0.0,Uncertified (past due),0.225682,1.006384,14.3,2006-04-10 20:00,13.6,2006-03-28 14:00,13.6,2006-07-08 05:00,10.3,2006-10-08 05:00,,,,,5.3,3.6,1.6,0.3,0.0,0.0,0.0,Anoka County Airport,9399 Lima St,Minnesota,Anoka,Blaine,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2021-11-09
27,003,1002,42602,1,45.13768,-93.207615,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - GAS-PHASE CHEMILUMINESCENCE,2006,Parts per billion,No Events,8509,97.0,Y,357,365,0,251,,,Uncertified (past due),9.46586,8.305544,50.0,2006-03-17 23:00,50.0,2006-11-25 11:00,49.0,2006-03-17 20:00,49.0,2006-03-17 21:00,,,,,36.0,32.0,27.0,22.0,13.0,7.0,2.0,Anoka County Airport,9399 Lima St,Minnesota,Anoka,Blaine,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2021-11-09
27,003,1002,42602,1,45.13768,-93.207615,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,INSTRUMENTAL - GAS-PHASE CHEMILUMINESCENCE,2006,Parts per billion,No Events,8509,97.0,Y,357,365,0,251,0.0,,Uncertified (past due),21.571429,10.179489,50.0,2006-03-17 23:00,50.0,2006-11-25 11:00,49.0,2006-03-18 00:00,46.0,2006-02-26 06:00,,,,,46.0,41.0,39.0,35.0,29.0,21.0,8.0,Anoka County Airport,9399 Lima St,Minnesota,Anoka,Blaine,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2021-11-09
27,003,1001,44201,1,45.40184,-93.20306,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2006,Parts per million,No Events,4346,86.0,Y,183,214,0,46,0.0,0,Uncertified (past due),0.049984,0.013604,0.091,2006-07-25 14:00,0.086,2006-06-16 15:00,0.084,2006-07-18 17:00,0.081,2006-06-30 15:00,,,,,0.086,0.081,0.072,0.066,0.059,0.05,0.032,Cedar Creek,2660 Fawn Rd.,Minnesota,Anoka,East Bethel,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2021-12-24
27,003,1001,44201,1,45.40184,-93.20306,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,4364,86.0,Y,183,214,0,0,0.0,0,Uncertified (past due),0.044967,0.012438,0.075,2006-06-30 12:00,0.074,2006-06-16 11:00,0.073,2006-07-12 13:00,0.072,2006-05-23 13:00,,,,,0.074,0.072,0.067,0.06,0.053,0.046,0.028,Cedar Creek,2660 Fawn Rd.,Minnesota,Anoka,East Bethel,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2021-12-24
