state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
29,019,0004,88101,1,38.956431,-92.321834,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,60,49.0,N,60,122,0,0,0.0,0.0,Uncertified (past due),10.498333,4.270375,22.5,2006-06-16 00:00,19.6,2006-01-20 00:00,18.7,2006-02-16 00:00,18.0,2006-01-23 00:00,,,,,22.5,19.6,18.7,16.9,13.6,10.1,5.3,,"WILSON MEAT PACKERS, PARIS & COLLEGE",Missouri,Boone,Columbia,17860,"Columbia, MO",2021-11-09
29,019,0004,88101,1,38.956431,-92.321834,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,60,49.0,N,60,122,0,0,,,Uncertified (past due),10.498333,4.270375,22.5,2006-06-16 00:00,19.6,2006-01-20 00:00,18.7,2006-02-16 00:00,18.0,2006-01-23 00:00,,,,,22.5,19.6,18.7,16.9,13.6,10.1,5.3,,"WILSON MEAT PACKERS, PARIS & COLLEGE",Missouri,Boone,Columbia,17860,"Columbia, MO",2021-11-09
29,019,0004,88101,1,38.956431,-92.321834,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,60,49.0,N,60,122,0,0,0.0,0.0,Uncertified (past due),10.498333,4.270375,22.5,2006-06-16 00:00,19.6,2006-01-20 00:00,18.7,2006-02-16 00:00,18.0,2006-01-23 00:00,,,,,22.5,19.6,18.7,16.9,13.6,10.1,5.3,,"WILSON MEAT PACKERS, PARIS & COLLEGE",Missouri,Boone,Columbia,17860,"Columbia, MO",2021-11-09
29,019,0004,88101,1,38.956431,-92.321834,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,60,49.0,N,60,122,0,0,,,Uncertified (past due),10.498333,4.270375,22.5,2006-06-16 00:00,19.6,2006-01-20 00:00,18.7,2006-02-16 00:00,18.0,2006-01-23 00:00,,,,,22.5,19.6,18.7,16.9,13.6,10.1,5.3,,"WILSON MEAT PACKERS, PARIS & COLLEGE",Missouri,Boone,Columbia,17860,"Columbia, MO",2021-11-09
29,019,0004,88101,1,38.956431,-92.321834,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,60,49.0,N,60,122,0,0,0.0,0.0,Uncertified (past due),10.498333,4.270375,22.5,2006-06-16 00:00,19.6,2006-01-20 00:00,18.7,2006-02-16 00:00,18.0,2006-01-23 00:00,,,,,22.5,19.6,18.7,16.9,13.6,10.1,5.3,,"WILSON MEAT PACKERS, PARIS & COLLEGE",Missouri,Boone,Columbia,17860,"Columbia, MO",2021-11-09
29,019,0004,88101,1,38.956431,-92.321834,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 1997,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,60,49.0,N,60,122,0,0,,,Uncertified (past due),10.498333,4.270375,22.5,2006-06-16 00:00,19.6,2006-01-20 00:00,18.7,2006-02-16 00:00,18.0,2006-01-23 00:00,,,,,22.5,19.6,18.7,16.9,13.6,10.1,5.3,,"WILSON MEAT PACKERS, PARIS & COLLEGE",Missouri,Boone,Columbia,17860,"Columbia, MO",2021-11-09
29,021,0005,81102,2,39.741694,-94.858584,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,Multiple Methods Used,2006,Micrograms/cubic meter (25 C),No Events,60,98.0,Y,60,61,0,1,0.0,0.0,Uncertified (past due),30.116667,16.183368,76.0,2006-02-28 00:00,69.0,2006-05-23 00:00,67.0,2006-06-16 00:00,60.0,2006-04-11 00:00,,,,,76.0,69.0,67.0,52.0,39.0,28.0,13.0,St. Joseph Pump Station,"ST. JOSEPH PUMP STATION: South  Highway 759, St. Joseph, MO 64501",Missouri,Buchanan,St. Joseph,41140,"St. Joseph, MO-KS",2021-11-08
29,021,0005,81102,1,39.741694,-94.858584,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,Multiple Methods Used,2006,Micrograms/cubic meter (25 C),No Events,117,96.0,Y,117,122,0,4,0.0,0.0,Uncertified (past due),28.205128,13.903943,76.0,2006-02-28 00:00,68.0,2006-11-22 00:00,66.0,2006-05-23 00:00,63.0,2006-06-16 00:00,,,,,68.0,66.0,60.0,45.0,35.0,27.0,12.0,St. Joseph Pump Station,"ST. JOSEPH PUMP STATION: South  Highway 759, St. Joseph, MO 64501",Missouri,Buchanan,St. Joseph,41140,"St. Joseph, MO-KS",2021-11-08
29,021,0005,88101,2,39.741694,-94.858584,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,58,48.0,N,58,122,0,2,0.0,0.0,Uncertified (past due),11.944828,5.383606,26.7,2006-05-23 00:00,26.4,2006-06-16 00:00,26.0,2006-01-23 00:00,21.0,2006-01-20 00:00,,,,,26.7,26.4,26.0,18.7,15.0,10.9,5.8,St. Joseph Pump Station,"ST. JOSEPH PUMP STATION: South  Highway 759, St. Joseph, MO 64501",Missouri,Buchanan,St. Joseph,41140,"St. Joseph, MO-KS",2021-11-09
29,021,0005,88101,2,39.741694,-94.858584,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,58,48.0,N,58,122,0,2,,,Uncertified (past due),11.944828,5.383606,26.7,2006-05-23 00:00,26.4,2006-06-16 00:00,26.0,2006-01-23 00:00,21.0,2006-01-20 00:00,,,,,26.7,26.4,26.0,18.7,15.0,10.9,5.8,St. Joseph Pump Station,"ST. JOSEPH PUMP STATION: South  Highway 759, St. Joseph, MO 64501",Missouri,Buchanan,St. Joseph,41140,"St. Joseph, MO-KS",2021-11-09
