state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
31,025,0002,81102,1,40.865557,-96.146955,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,R - P Co Partisol Model 2025 - Gravimetric,2006,Micrograms/cubic meter (25 C),No Events,242,96.0,Y,242,251,0,9,0.0,0.0,Uncertified (past due),27.450413,14.871218,95.0,2006-12-19 00:00,79.0,2006-04-21 00:00,78.0,2006-11-07 00:00,74.0,2006-01-25 00:00,,,,,78.0,74.0,56.0,48.0,35.0,24.0,12.0,,CITY SANITATION BLDG (WEEPING WATER),Nebraska,Cass,Weeping Water,36540,"Omaha-Council Bluffs, NE-IA",2021-11-08
31,025,0002,81102,2,40.865557,-96.146955,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,R - P Co Partisol Model 2025 - Gravimetric,2006,Micrograms/cubic meter (25 C),No Events,59,97.0,Y,59,61,0,2,0.0,0.0,Uncertified (past due),31.694915,21.548865,105.0,2006-02-22 00:00,96.0,2006-12-19 00:00,86.0,2006-11-07 00:00,77.0,2006-02-28 00:00,,,,,105.0,96.0,86.0,62.0,39.0,27.0,12.0,,CITY SANITATION BLDG (WEEPING WATER),Nebraska,Cass,Weeping Water,36540,"Omaha-Council Bluffs, NE-IA",2021-11-08
31,025,0008,81102,1,40.868854,-96.143089,WGS84,PM10 Total 0-10um STP,1,1 HOUR,,Observed Values,INSTRUMENTAL-R&P SA246B-INLET - TEOM-GRAVIMETRIC,2006,Micrograms/cubic meter (25 C),No Events,8429,96.0,Y,353,365,0,331,,,Uncertified (past due),31.993356,33.680299,388.0,2006-01-25 09:00,369.0,2006-07-12 20:00,368.0,2006-01-25 08:00,352.0,2006-03-01 09:00,,,,,178.0,144.0,93.0,64.0,38.0,22.0,8.0,,112 SOUTH RANDOLPH STREET,Nebraska,Cass,Weeping Water,36540,"Omaha-Council Bluffs, NE-IA",2021-11-08
31,025,0008,81102,1,40.868854,-96.143089,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,Daily Mean,,2006,Micrograms/cubic meter (25 C),No Events,353,97.0,Y,353,365,0,0,0.0,0.0,Uncertified (past due),31.518414,20.180727,117.0,2006-01-25 00:00,111.0,2006-06-07 00:00,109.0,2006-05-18 00:00,109.0,2006-12-19 00:00,,,,,109.0,93.0,72.0,59.0,40.0,26.0,12.0,,112 SOUTH RANDOLPH STREET,Nebraska,Cass,Weeping Water,36540,"Omaha-Council Bluffs, NE-IA",2021-11-08
31,025,0009,81102,1,40.873309,-96.183359,WGS84,PM10 Total 0-10um STP,1,1 HOUR,,Observed Values,INSTRUMENTAL-R&P SA246B-INLET - TEOM-GRAVIMETRIC,2006,Micrograms/cubic meter (25 C),No Events,8505,97.0,Y,354,365,0,255,,,Uncertified (past due),32.725103,44.333333,915.0,2006-12-13 08:00,899.0,2006-01-24 10:00,777.0,2006-01-06 08:00,688.0,2006-12-15 08:00,,,,,219.0,151.0,93.0,63.0,38.0,22.0,7.0,,5102 HIGHWAY 50,Nebraska,Cass,Weeping Water,36540,"Omaha-Council Bluffs, NE-IA",2021-11-08
31,025,0009,81102,1,40.873309,-96.183359,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,Daily Mean,,2006,Micrograms/cubic meter (25 C),No Events,354,97.0,Y,354,365,0,0,0.0,0.0,Uncertified (past due),32.347458,22.163842,140.0,2006-01-24 00:00,129.0,2006-02-22 00:00,122.0,2006-11-22 00:00,119.0,2006-11-08 00:00,,,,,119.0,97.0,73.0,59.0,43.0,26.0,11.0,,5102 HIGHWAY 50,Nebraska,Cass,Weeping Water,36540,"Omaha-Council Bluffs, NE-IA",2021-11-08
31,047,0001,81102,1,40.859451,-99.988178,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,Multiple Methods Used,2006,Micrograms/cubic meter (25 C),No Events,54,89.0,N,54,61,0,7,0.0,0.0,Uncertified (past due),29.037037,18.676959,118.0,2006-09-14 00:00,59.0,2006-11-07 00:00,57.0,2006-10-02 00:00,56.0,2006-05-23 00:00,,,,,118.0,59.0,57.0,54.0,37.0,28.0,10.0,,CHAMBER OF COMMERCE  H & 8TH STS.,Nebraska,Dawson,Cozad,30420,"Lexington, NE",2021-11-08
31,047,0003,81102,1,40.927507,-100.163183,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,Multiple Methods Used,2006,Micrograms/cubic meter (25 C),No Events,43,69.0,N,42,61,0,20,0.0,0.0,Uncertified (past due),37.139535,25.514311,141.0,2006-01-23 00:00,82.0,2006-04-17 00:00,82.0,2006-10-02 00:00,80.0,2006-01-11 00:00,,,,,141.0,141.0,82.0,67.0,46.0,32.0,13.0,,"GOTHENBURG, NEBRASKA",Nebraska,Dawson,Gothenburg,30420,"Lexington, NE",2021-11-08
31,055,0035,42101,1,41.306758,-95.960967,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,2006,Parts per million,No Events,8358,95.0,Y,356,365,0,402,0.0,0.0,Uncertified (past due),0.500203,0.309282,2.6,2006-12-26 20:00,2.5,2006-12-01 19:00,2.5,2006-12-23 22:00,2.5,2006-12-26 19:00,,,,,1.7,1.5,1.1,0.9,0.6,0.4,0.2,, METRO-TECH CAMPUS  30TH & FORT ST,Nebraska,Douglas,Omaha,36540,"Omaha-Council Bluffs, NE-IA",2021-11-08
31,055,0035,42101,1,41.306758,-95.960967,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2006,Parts per million,No Events,8364,95.0,Y,356,365,0,0,0.0,0.0,Uncertified (past due),0.504161,0.270821,2.1,2006-12-24 00:00,2.1,2006-12-24 01:00,2.0,2006-12-23 23:00,2.0,2006-12-24 02:00,2.1,2006-12-24 00:00,2.0,2006-12-26 22:00,1.5,1.3,1.0,0.8,0.6,0.5,0.2,, METRO-TECH CAMPUS  30TH & FORT ST,Nebraska,Douglas,Omaha,36540,"Omaha-Council Bluffs, NE-IA",2021-11-08
