state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
33,001,2004,44201,1,43.566122,-71.496335,NAD83,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2006,Parts per million,No Events,4176,95.0,Y,174,183,0,216,0.0,0.0,Certified,0.044011,0.012892,0.081,2006-07-27 20:00,0.079,2006-05-26 14:00,0.079,2006-07-25 20:00,0.076,2006-04-12 16:00,,,,,0.079,0.076,0.065,0.059,0.054,0.043,0.028,FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON,"GREEN STREET, LACONIA",New Hampshire,Belknap,Laconia,29060,"Laconia, NH",2021-12-25
33,001,2004,44201,1,43.566122,-71.496335,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,4205,94.0,Y,172,183,0,0,0.0,0.0,Certified,0.03986,0.011917,0.074,2006-05-26 10:00,0.071,2006-04-12 13:00,0.068,2006-07-27 16:00,0.067,2006-05-31 17:00,,,,,0.071,0.067,0.058,0.055,0.049,0.04,0.025,FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON,"GREEN STREET, LACONIA",New Hampshire,Belknap,Laconia,29060,"Laconia, NH",2021-12-25
33,001,2004,44201,1,43.566122,-71.496335,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,4205,94.0,Y,172,183,0,0,0.0,0.0,Certified,0.03986,0.011917,0.074,2006-05-26 10:00,0.071,2006-04-12 13:00,0.068,2006-07-27 16:00,0.067,2006-05-31 17:00,,,,,0.071,0.067,0.058,0.055,0.049,0.04,0.025,FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON,"GREEN STREET, LACONIA",New Hampshire,Belknap,Laconia,29060,"Laconia, NH",2021-12-25
33,001,2004,44201,1,43.566122,-71.496335,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2006,Parts per million,No Events,3000,96.0,Y,175,183,0,0,2.0,2.0,Certified,0.039326,0.012148,0.074,2006-05-26 10:00,0.071,2006-04-12 13:00,0.068,2006-07-27 16:00,0.067,2006-05-31 17:00,,,,,0.071,0.067,0.058,0.055,0.049,0.038,0.024,FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON,"GREEN STREET, LACONIA",New Hampshire,Belknap,Laconia,29060,"Laconia, NH",2021-12-25
33,001,2004,88101,2,43.566122,-71.496335,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,BGI Model PQ200 PM2.5 Sampler w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,59,97.0,Y,59,61,0,1,0.0,0.0,Certified,7.557627,5.458786,22.6,2006-07-10 00:00,22.4,2006-07-04 00:00,19.5,2006-07-28 00:00,19.2,2006-06-22 00:00,,,,,22.6,22.4,19.5,17.8,9.6,6.3,2.2,FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON,"GREEN STREET, LACONIA",New Hampshire,Belknap,Laconia,29060,"Laconia, NH",2021-11-09
33,001,2004,88101,2,43.566122,-71.496335,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,BGI Model PQ200 PM2.5 Sampler w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,59,97.0,Y,59,61,0,1,,,Certified,7.557627,5.458786,22.6,2006-07-10 00:00,22.4,2006-07-04 00:00,19.5,2006-07-28 00:00,19.2,2006-06-22 00:00,,,,,22.6,22.4,19.5,17.8,9.6,6.3,2.2,FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON,"GREEN STREET, LACONIA",New Hampshire,Belknap,Laconia,29060,"Laconia, NH",2021-11-09
33,001,2004,88101,2,43.566122,-71.496335,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,BGI Model PQ200 PM2.5 Sampler w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,59,97.0,Y,59,61,0,1,0.0,0.0,Certified,7.557627,5.458786,22.6,2006-07-10 00:00,22.4,2006-07-04 00:00,19.5,2006-07-28 00:00,19.2,2006-06-22 00:00,,,,,22.6,22.4,19.5,17.8,9.6,6.3,2.2,FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON,"GREEN STREET, LACONIA",New Hampshire,Belknap,Laconia,29060,"Laconia, NH",2021-11-09
33,001,2004,88101,2,43.566122,-71.496335,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,BGI Model PQ200 PM2.5 Sampler w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,59,97.0,Y,59,61,0,1,,,Certified,7.557627,5.458786,22.6,2006-07-10 00:00,22.4,2006-07-04 00:00,19.5,2006-07-28 00:00,19.2,2006-06-22 00:00,,,,,22.6,22.4,19.5,17.8,9.6,6.3,2.2,FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON,"GREEN STREET, LACONIA",New Hampshire,Belknap,Laconia,29060,"Laconia, NH",2021-11-09
33,001,2004,88101,2,43.566122,-71.496335,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,Daily Mean,BGI Model PQ200 PM2.5 Sampler w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,59,97.0,Y,59,61,0,1,0.0,0.0,Certified,7.557627,5.458786,22.6,2006-07-10 00:00,22.4,2006-07-04 00:00,19.5,2006-07-28 00:00,19.2,2006-06-22 00:00,,,,,22.6,22.4,19.5,17.8,9.6,6.3,2.2,FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON,"GREEN STREET, LACONIA",New Hampshire,Belknap,Laconia,29060,"Laconia, NH",2021-11-09
33,001,2004,88101,2,43.566122,-71.496335,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 1997,Quarterly Means of Daily Means,BGI Model PQ200 PM2.5 Sampler w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,59,97.0,Y,59,61,0,1,,,Certified,7.557627,5.458786,22.6,2006-07-10 00:00,22.4,2006-07-04 00:00,19.5,2006-07-28 00:00,19.2,2006-06-22 00:00,,,,,22.6,22.4,19.5,17.8,9.6,6.3,2.2,FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON,"GREEN STREET, LACONIA",New Hampshire,Belknap,Laconia,29060,"Laconia, NH",2021-11-09
