state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
35,001,0023,42401,1,35.1343,-106.5852,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,Instrumental - Ultraviolet Fluorescence API 100 EU,2017,Parts per billion,No Events,8344,95.0,Y,355,365,0,416,0.0,,Certified,0.98507,0.815996,4.6,2017-12-13 07:00,4.1,2017-12-08 08:00,3.9,2017-01-04 08:00,3.9,2017-12-28 09:00,,,,,3.9,3.4,2.9,2.3,1.2,0.7,0.3,DEL NORTE HIGH SCHOOL,4700A SAN MATEO NE,New Mexico,Bernalillo,Albuquerque,10740,"Albuquerque, NM",2021-11-07
35,001,0023,42602,1,35.1343,-106.5852,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2017,Parts per billion,No Events,8249,94.0,Y,355,365,0,510,0.0,,Certified,23.10507,11.039609,48.8,2017-12-20 08:00,48.6,2017-11-09 18:00,47.3,2017-11-08 22:00,45.8,2017-11-20 18:00,,,,,45.8,44.6,42.0,39.8,31.8,21.4,9.8,DEL NORTE HIGH SCHOOL,4700A SAN MATEO NE,New Mexico,Bernalillo,Albuquerque,10740,"Albuquerque, NM",2021-11-07
35,001,0023,14129,1,35.1343,-106.5852,WGS84,Lead (TSP) LC,7,24 HOUR,Lead 3-Month 2009,Observed Values,Hi-Vol - Emission Spectra ICAP (ICP-OES) EPA 1.03M HNO3/2.23M HCl sonicate 50 min at 100C,2017,Micrograms/cubic meter (LC),No Events,58,95.0,Y,58,61,0,2,0.0,0.0,Certified,0.000948,0.000605,0.003,2017-10-16 00:00,0.002,2017-01-13 00:00,0.002,2017-02-06 00:00,0.002,2017-11-27 00:00,,,,,0.003,0.002,0.002,0.002,0.001,0.001,0.0,DEL NORTE HIGH SCHOOL,4700A SAN MATEO NE,New Mexico,Bernalillo,Albuquerque,10740,"Albuquerque, NM",2021-11-07
35,001,0029,42101,1,35.01708,-106.65739,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,2017,Parts per million,No Events,8164,93.0,Y,365,365,0,596,0.0,0.0,Certified,0.182068,0.195651,2.4,2017-03-03 18:00,2.2,2017-11-10 18:00,2.2,2017-12-13 07:00,2.0,2017-12-08 06:00,,,,,0.9,0.8,0.6,0.4,0.2,0.1,0.0,SOUTH VALLEY,201 PROSPERITY SE,New Mexico,Bernalillo,South Valley,10740,"Albuquerque, NM",2021-11-07
35,001,0023,42101,1,35.1343,-106.5852,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,2017,Parts per million,No Events,8354,95.0,Y,364,365,0,403,0.0,0.0,Certified,0.236065,0.16337,1.723,2017-12-12 07:00,1.491,2017-12-11 19:00,1.425,2017-12-13 07:00,1.406,2017-01-08 00:00,,,,,0.933,0.781,0.569,0.422,0.261,0.186,0.114,DEL NORTE HIGH SCHOOL,4700A SAN MATEO NE,New Mexico,Bernalillo,Albuquerque,10740,"Albuquerque, NM",2021-11-07
35,001,0029,42101,1,35.01708,-106.65739,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2017,Parts per million,No Events,7942,91.0,Y,364,365,0,0,0.0,0.0,Certified,0.185319,0.150693,1.1,2017-12-31 07:00,1.1,2017-12-31 08:00,1.1,2017-12-31 09:00,1.0,2017-12-16 09:00,1.1,2017-12-31 07:00,1.0,2017-12-16 09:00,0.7,0.6,0.5,0.4,0.2,0.1,0.1,SOUTH VALLEY,201 PROSPERITY SE,New Mexico,Bernalillo,South Valley,10740,"Albuquerque, NM",2021-11-07
35,001,0023,42101,1,35.1343,-106.5852,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2017,Parts per million,No Events,8112,93.0,Y,364,365,0,0,0.0,0.0,Certified,0.235441,0.134871,1.1,2017-12-09 00:00,1.1,2017-12-09 01:00,1.1,2017-12-09 02:00,1.1,2017-12-09 03:00,1.1,2017-12-09 00:00,1.0,2017-01-08 03:00,0.7,0.6,0.5,0.4,0.3,0.2,0.1,DEL NORTE HIGH SCHOOL,4700A SAN MATEO NE,New Mexico,Bernalillo,Albuquerque,10740,"Albuquerque, NM",2021-11-07
35,001,0023,42401,1,35.1343,-106.5852,WGS84,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2017,Parts per billion,No Events,2749,94.0,Y,350,365,0,0,,0.0,Certified,0.396399,0.331857,4.0,2017-12-13 08:00,2.9,2017-12-11 20:00,2.9,2017-12-26 08:00,2.8,2017-12-12 08:00,,,,,1.9,1.5,0.9,0.7,0.5,0.3,0.1,DEL NORTE HIGH SCHOOL,4700A SAN MATEO NE,New Mexico,Bernalillo,Albuquerque,10740,"Albuquerque, NM",2021-11-07
35,001,0023,42401,1,35.1343,-106.5852,WGS84,Sulfur dioxide,X,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,2017,Parts per billion,No Events,355,97.0,Y,355,365,0,0,0.0,,Certified,0.429577,0.22823,1.8,2017-12-13 00:00,1.3,2017-12-08 00:00,1.3,2017-12-09 00:00,1.3,2017-12-11 00:00,,,,,1.3,1.2,0.8,0.7,0.5,0.4,0.2,DEL NORTE HIGH SCHOOL,4700A SAN MATEO NE,New Mexico,Bernalillo,Albuquerque,10740,"Albuquerque, NM",2021-11-07
35,001,0023,42401,1,35.1343,-106.5852,WGS84,Sulfur dioxide,1,1 HOUR,SO2 Annual 1971,Observed Values,Instrumental - Ultraviolet Fluorescence API 100 EU,2017,Parts per billion,No Events,8344,95.0,Y,355,365,0,416,,,Certified,0.425803,0.365266,4.6,2017-12-13 07:00,4.4,2017-12-13 08:00,4.1,2017-12-08 08:00,3.9,2017-01-04 08:00,,,,,2.1,1.6,1.0,0.7,0.5,0.4,0.2,DEL NORTE HIGH SCHOOL,4700A SAN MATEO NE,New Mexico,Bernalillo,Albuquerque,10740,"Albuquerque, NM",2021-11-07
35,001,0023,42602,1,35.1343,-106.5852,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2017,Parts per billion,No Events,8249,94.0,Y,355,365,0,510,,,Certified,10.396412,9.412657,48.8,2017-12-20 08:00,48.6,2017-11-09 18:00,48.2,2017-12-20 07:00,47.3,2017-11-08 22:00,,,,,40.0,38.1,32.6,25.7,13.0,6.6,2.8,DEL NORTE HIGH SCHOOL,4700A SAN MATEO NE,New Mexico,Bernalillo,Albuquerque,10740,"Albuquerque, NM",2021-11-07
35,001,0023,42401,3,35.1343,-106.5852,WGS84,Sulfur dioxide,H,5 MINUTE,,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,2017,Parts per billion,No Events,101625,97.0,Y,358,365,0,3156,,,Certification not required,0.425342,0.395996,5.9,2017-12-13 08:00,5.9,2017-12-13 08:05,5.7,2017-12-13 08:10,5.4,2017-12-13 07:55,,,,,2.3,1.7,1.0,0.7,0.5,0.4,0.1,DEL NORTE HIGH SCHOOL,4700A SAN MATEO NE,New Mexico,Bernalillo,Albuquerque,10740,"Albuquerque, NM",2021-11-07
35,001,0029,44201,1,35.01708,-106.65739,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2017,Parts per million,No Events,8498,99.0,Y,361,365,0,262,0.0,0.0,Certified,0.049695,0.010476,0.075,2017-07-06 15:00,0.074,2017-06-03 15:00,0.073,2017-06-15 16:00,0.07,2017-06-05 11:00,,,,,0.07,0.067,0.065,0.063,0.058,0.05,0.036,SOUTH VALLEY,201 PROSPERITY SE,New Mexico,Bernalillo,South Valley,10740,"Albuquerque, NM",2021-11-07
35,001,0023,44201,1,35.1343,-106.5852,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2017,Parts per million,No Events,8498,99.0,Y,361,365,0,262,0.0,0.0,Certified,0.051122,0.011336,0.085,2017-07-07 12:00,0.08,2017-07-10 15:00,0.077,2017-07-05 12:00,0.076,2017-08-28 13:00,,,,,0.076,0.074,0.07,0.066,0.059,0.051,0.037,DEL NORTE HIGH SCHOOL,4700A SAN MATEO NE,New Mexico,Bernalillo,Albuquerque,10740,"Albuquerque, NM",2021-11-07
35,001,1012,44201,1,35.1852,-106.50815,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2017,Parts per million,No Events,8479,99.0,Y,362,365,0,281,0.0,0.0,Certified,0.053851,0.010538,0.084,2017-06-14 14:00,0.083,2017-07-10 15:00,0.081,2017-07-07 13:00,0.079,2017-07-24 12:00,,,,,0.079,0.074,0.07,0.067,0.062,0.054,0.041,Foothills,8901 LOWELL NE,New Mexico,Bernalillo,Albuquerque,10740,"Albuquerque, NM",2021-11-07
35,001,0029,44201,1,35.01708,-106.65739,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,8525,97.0,Y,354,365,0,0,0.0,0.0,Certified,0.044582,0.011276,0.069,2017-06-15 10:00,0.067,2017-07-06 10:00,0.066,2017-06-03 10:00,0.066,2017-06-14 10:00,,,,,0.066,0.063,0.061,0.059,0.053,0.046,0.029,SOUTH VALLEY,201 PROSPERITY SE,New Mexico,Bernalillo,South Valley,10740,"Albuquerque, NM",2021-11-07
35,001,0023,44201,1,35.1343,-106.5852,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,8546,96.0,Y,352,365,0,0,0.0,0.0,Certified,0.045526,0.011357,0.076,2017-07-07 09:00,0.072,2017-07-10 10:00,0.07,2017-07-05 10:00,0.069,2017-06-14 11:00,,,,,0.069,0.066,0.063,0.059,0.054,0.047,0.03,DEL NORTE HIGH SCHOOL,4700A SAN MATEO NE,New Mexico,Bernalillo,Albuquerque,10740,"Albuquerque, NM",2021-11-07
35,001,1012,44201,1,35.1852,-106.50815,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,8567,98.0,Y,356,365,0,0,0.0,0.0,Certified,0.049579,0.009826,0.076,2017-06-14 11:00,0.076,2017-07-10 10:00,0.072,2017-06-15 11:00,0.071,2017-07-07 09:00,,,,,0.071,0.067,0.065,0.062,0.057,0.05,0.037,Foothills,8901 LOWELL NE,New Mexico,Bernalillo,Albuquerque,10740,"Albuquerque, NM",2021-11-07
35,001,0029,44201,1,35.01708,-106.65739,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,8525,97.0,Y,354,365,0,0,0.0,0.0,Certified,0.044582,0.011276,0.069,2017-06-15 10:00,0.067,2017-07-06 10:00,0.066,2017-06-03 10:00,0.066,2017-06-14 10:00,,,,,0.066,0.063,0.061,0.059,0.053,0.046,0.029,SOUTH VALLEY,201 PROSPERITY SE,New Mexico,Bernalillo,South Valley,10740,"Albuquerque, NM",2021-11-07
35,001,0023,44201,1,35.1343,-106.5852,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,8546,96.0,Y,352,365,0,0,1.0,1.0,Certified,0.045526,0.011357,0.076,2017-07-07 09:00,0.072,2017-07-10 10:00,0.07,2017-07-05 10:00,0.069,2017-06-14 11:00,,,,,0.069,0.066,0.063,0.059,0.054,0.047,0.03,DEL NORTE HIGH SCHOOL,4700A SAN MATEO NE,New Mexico,Bernalillo,Albuquerque,10740,"Albuquerque, NM",2021-11-07
35,001,1012,44201,1,35.1852,-106.50815,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,8567,98.0,Y,356,365,0,0,2.0,2.0,Certified,0.049579,0.009826,0.076,2017-06-14 11:00,0.076,2017-07-10 10:00,0.072,2017-06-15 11:00,0.071,2017-07-07 09:00,,,,,0.071,0.067,0.065,0.062,0.057,0.05,0.037,Foothills,8901 LOWELL NE,New Mexico,Bernalillo,Albuquerque,10740,"Albuquerque, NM",2021-11-07
