state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
36,001,0012,42401,1,42.68075,-73.75733,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,2006,Parts per billion,No Events,8593,98.0,Y,364,365,0,167,0.0,,Uncertified (past due),7.379121,3.807952,26.0,2006-07-26 16:00,25.0,2006-10-31 15:00,21.0,2006-01-28 10:00,21.0,2006-02-15 17:00,,,,,21.0,18.0,15.0,12.0,9.0,6.0,4.0,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2021-11-09
36,001,0012,42101,1,42.68075,-73.75733,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,2006,Parts per million,No Events,8628,98.0,Y,365,365,0,132,0.0,0.0,Uncertified (past due),0.355331,0.148664,1.6,2006-11-27 21:00,1.5,2006-11-27 22:00,1.4,2006-11-27 20:00,1.4,2006-11-27 23:00,,,,,0.8,0.7,0.6,0.5,0.4,0.3,0.2,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2021-11-08
36,001,0012,42101,1,42.68075,-73.75733,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2006,Parts per million,No Events,8700,99.0,Y,365,365,0,0,0.0,0.0,Uncertified (past due),0.356908,0.139694,1.2,2006-11-27 23:00,1.2,2006-11-28 00:00,1.2,2006-11-28 01:00,1.2,2006-11-28 02:00,1.2,2006-11-27 23:00,1.0,2006-02-21 06:00,0.8,0.7,0.6,0.5,0.4,0.3,0.2,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2021-11-08
36,001,0012,42401,1,42.68075,-73.75733,WGS84,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2006,Parts per billion,No Events,2823,97.0,Y,362,365,0,0,,0.0,Uncertified (past due),5.034715,2.425742,20.0,2006-10-31 17:00,19.6,2006-07-26 17:00,19.3,2006-01-28 11:00,19.3,2006-11-07 05:00,,,,,14.6,13.0,10.0,8.0,5.6,4.3,3.0,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2021-11-09
36,001,0012,42401,1,42.68075,-73.75733,WGS84,Sulfur dioxide,X,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,2006,Parts per billion,No Events,364,100.0,Y,364,365,0,0,0.0,,Uncertified (past due),5.07967,2.155721,14.9,2006-02-15 00:00,13.5,2006-11-06 00:00,13.3,2006-02-16 00:00,13.0,2006-02-14 00:00,,,,,13.0,12.2,9.5,7.4,5.8,4.7,3.1,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2021-11-09
36,001,0012,42401,1,42.68075,-73.75733,WGS84,Sulfur dioxide,1,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,2006,Parts per billion,No Events,8593,98.0,Y,364,365,0,167,,,Uncertified (past due),5.067148,2.532568,26.0,2006-07-26 16:00,25.0,2006-10-31 15:00,24.0,2006-07-26 17:00,21.0,2006-01-28 10:00,,,,,15.0,13.0,10.0,8.0,6.0,4.0,3.0,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2021-11-09
36,001,0012,44201,1,42.68075,-73.75733,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2006,Parts per million,No Events,8540,99.0,Y,211,214,0,220,0.0,0.0,Uncertified (past due),0.045227,0.013679,0.086,2006-06-18 12:00,0.081,2006-06-19 15:00,0.078,2006-05-25 17:00,0.077,2006-07-03 16:00,,,,,0.078,0.077,0.071,0.065,0.054,0.046,0.036,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2021-12-25
36,001,0012,44201,1,42.68075,-73.75733,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,8461,97.0,Y,208,214,0,0,0.0,0.0,Uncertified (past due),0.039668,0.012626,0.08,2006-06-18 11:00,0.069,2006-03-31 10:00,0.068,2006-07-10 12:00,0.066,2006-05-25 13:00,,,,,0.068,0.065,0.064,0.058,0.05,0.041,0.032,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2021-12-25
36,001,0012,44201,1,42.68075,-73.75733,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,8461,97.0,Y,208,214,0,0,1.0,1.0,Uncertified (past due),0.039668,0.012626,0.08,2006-06-18 11:00,0.069,2006-03-31 10:00,0.068,2006-07-10 12:00,0.066,2006-05-25 13:00,,,,,0.068,0.065,0.064,0.058,0.05,0.041,0.032,LOUDONVILLE,LOUDONVILLE RESERVOIR  300 ALBANY SHAKER RD,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2021-12-25
36,001,0005,88101,1,42.64225,-73.75464,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,94,77.0,N,94,122,0,27,1.0,1.0,Uncertified (past due),9.710638,7.614226,39.5,2006-06-19 00:00,30.9,2006-01-02 00:00,30.0,2006-01-29 00:00,25.4,2006-02-22 00:00,,,,,39.5,30.9,25.4,22.6,12.4,6.6,3.2,ALBANY COUNTY HEALTH DEPT,ALBANY CO. HEALTH DEPT. GREEN & S FERRY STREETS,New York,Albany,Albany,10580,"Albany-Schenectady-Troy, NY",2021-11-09
