state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
37,003,0005,44201,1,35.9138,-81.191,NAD83,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2017,Parts per million,No Events,5353,96.0,Y,234,245,0,531,0.0,0.0,Certified,0.047368,0.009714,0.074,2017-05-16 15:00,0.069,2017-08-03 18:00,0.068,2017-07-26 17:00,0.066,2017-04-11 14:00,,,,,0.068,0.066,0.063,0.059,0.054,0.048,0.034,Taylorsville Liledoun,700 Liledoun Road,North Carolina,Alexander,Taylorsville,25860,"Hickory-Lenoir-Morganton, NC",2021-11-07
37,003,0005,44201,1,35.9138,-81.191,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,5594,95.0,Y,232,245,0,0,0.0,0.0,Certified,0.042733,0.009603,0.068,2017-05-16 11:00,0.062,2017-04-11 11:00,0.062,2017-05-08 10:00,0.062,2017-08-03 13:00,,,,,0.062,0.061,0.056,0.053,0.049,0.044,0.029,Taylorsville Liledoun,700 Liledoun Road,North Carolina,Alexander,Taylorsville,25860,"Hickory-Lenoir-Morganton, NC",2021-11-07
37,003,0005,44201,1,35.9138,-81.191,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,5594,95.0,Y,232,245,0,0,0.0,0.0,Certified,0.042733,0.009603,0.068,2017-05-16 11:00,0.062,2017-04-11 11:00,0.062,2017-05-08 10:00,0.062,2017-08-03 13:00,,,,,0.062,0.061,0.056,0.053,0.049,0.044,0.029,Taylorsville Liledoun,700 Liledoun Road,North Carolina,Alexander,Taylorsville,25860,"Hickory-Lenoir-Morganton, NC",2021-11-07
37,003,0005,44201,1,35.9138,-81.191,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2017,Parts per million,No Events,3971,96.0,Y,234,245,0,0,0.0,0.0,Certified,0.042624,0.009744,0.068,2017-05-16 11:00,0.062,2017-04-11 11:00,0.062,2017-05-08 10:00,0.062,2017-08-03 13:00,,,,,0.062,0.061,0.056,0.053,0.049,0.044,0.028,Taylorsville Liledoun,700 Liledoun Road,North Carolina,Alexander,Taylorsville,25860,"Hickory-Lenoir-Morganton, NC",2021-11-07
37,003,0005,81102,3,35.9138,-81.191,NAD83,PM10 Total 0-10um STP,1,1 HOUR,,Observed Values,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,2017,Micrograms/cubic meter (25 C),No Events,2141,24.0,N,90,365,0,19,,,Certified,10.735638,7.27158,103.0,2017-03-06 19:00,54.0,2017-01-17 00:00,48.0,2017-01-17 01:00,47.0,2017-01-12 01:00,,,,,34.0,28.0,23.0,20.0,15.0,9.0,3.0,Taylorsville Liledoun,700 Liledoun Road,North Carolina,Alexander,Taylorsville,25860,"Hickory-Lenoir-Morganton, NC",2021-11-07
37,003,0005,81102,3,35.9138,-81.191,NAD83,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,Daily Mean,,2017,Micrograms/cubic meter (25 C),No Events,90,25.0,N,90,365,0,0,0.0,0.0,Certified,10.266667,5.299565,25.0,2017-01-17 00:00,23.0,2017-01-10 00:00,22.0,2017-03-06 00:00,21.0,2017-01-11 00:00,,,,,25.0,23.0,21.0,17.0,14.0,9.0,4.0,Taylorsville Liledoun,700 Liledoun Road,North Carolina,Alexander,Taylorsville,25860,"Hickory-Lenoir-Morganton, NC",2021-11-07
37,011,0002,44201,1,35.972347,-81.933072,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2017,Parts per million,No Events,5420,96.0,Y,206,214,0,464,0.0,0,Certified,0.044985,0.008936,0.071,2017-04-10 13:00,0.068,2017-04-11 16:00,0.066,2017-04-09 17:00,0.065,2017-04-14 15:00,,,,,0.066,0.064,0.06,0.057,0.052,0.047,0.038,Linville Falls,100 Linville Falls Road,North Carolina,Avery,,,,2021-11-07
37,011,0002,44201,1,35.972347,-81.933072,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,5622,93.0,Y,199,214,0,0,0.0,0,Certified,0.040568,0.009464,0.066,2017-04-10 10:00,0.064,2017-04-11 11:00,0.063,2017-05-10 09:00,0.06,2017-04-09 11:00,,,,,0.064,0.06,0.056,0.054,0.048,0.043,0.034,Linville Falls,100 Linville Falls Road,North Carolina,Avery,,,,2021-11-07
37,011,0002,44201,1,35.972347,-81.933072,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,5622,93.0,Y,199,214,0,0,0.0,0,Certified,0.040568,0.009464,0.066,2017-04-10 10:00,0.064,2017-04-11 11:00,0.063,2017-05-10 09:00,0.06,2017-04-09 11:00,,,,,0.064,0.06,0.056,0.054,0.048,0.043,0.034,Linville Falls,100 Linville Falls Road,North Carolina,Avery,,,,2021-11-07
37,011,0002,44201,1,35.972347,-81.933072,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2017,Parts per million,No Events,4016,95.0,Y,204,214,0,0,0.0,0,Certified,0.04049,0.009481,0.066,2017-04-10 10:00,0.064,2017-04-11 11:00,0.063,2017-05-10 09:00,0.06,2017-04-09 11:00,,,,,0.063,0.06,0.056,0.054,0.048,0.043,0.034,Linville Falls,100 Linville Falls Road,North Carolina,Avery,,,,2021-11-07
