state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
38,007,0002,42401,1,46.8943,-103.37853,WGS84,Sulfur dioxide,1,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,2017,Parts per billion,No Events,8619,98.0,Y,360,365,0,72,,,Certified,0.997865,0.828195,6.3,2017-01-25 15:00,5.3,2017-01-25 18:00,5.0,2017-07-07 19:00,4.8,2017-09-28 10:00,,,,,3.2,3.0,2.5,2.1,1.5,0.9,0.0,PAINTED CANYON,13881 I94 EAST,North Dakota,Billings,,19860,"Dickinson, ND",2021-11-07
38,007,0002,42401,1,46.8943,-103.37853,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,2017,Parts per billion,No Events,8619,98.0,Y,360,365,0,72,0.0,,Certified,1.470833,1.013205,6.3,2017-01-25 15:00,5.0,2017-07-07 19:00,4.8,2017-09-28 10:00,4.7,2017-02-06 03:00,,,,,4.7,3.8,3.3,2.9,2.0,1.3,0.2,PAINTED CANYON,13881 I94 EAST,North Dakota,Billings,,19860,"Dickinson, ND",2021-11-07
38,007,0002,42401,1,46.8943,-103.37853,WGS84,Sulfur dioxide,X,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,2017,Parts per billion,No Events,360,99.0,Y,360,365,0,0,0.0,,Certified,1.004167,0.777869,3.4,2017-01-30 00:00,3.3,2017-01-29 00:00,3.3,2017-01-31 00:00,3.1,2017-01-28 00:00,,,,,3.1,2.8,2.5,2.0,1.5,0.9,0.0,PAINTED CANYON,13881 I94 EAST,North Dakota,Billings,,19860,"Dickinson, ND",2021-11-07
38,007,0002,42401,1,46.8943,-103.37853,WGS84,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2017,Parts per billion,No Events,2847,98.0,Y,360,365,0,0,,0.0,Certified,0.97183,0.811508,4.2,2017-07-25 02:00,4.1,2017-07-25 05:00,4.0,2017-07-07 20:00,3.6,2017-02-06 05:00,,,,,3.2,3.0,2.5,2.1,1.5,0.9,0.0,PAINTED CANYON,13881 I94 EAST,North Dakota,Billings,,19860,"Dickinson, ND",2021-11-07
38,007,0002,88101,3,46.8943,-103.37853,WGS84,PM2.5 - Local Conditions,1,1 HOUR,,Observed Values,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2017,Micrograms/cubic meter (LC),No Events,8526,97.0,Y,362,365,0,165,,,Certified,4.10529,6.078743,94.6,2017-09-12 19:00,90.4,2017-09-12 20:00,81.4,2017-09-13 13:00,80.9,2017-09-12 18:00,,,,,27.7,17.6,10.5,8.0,5.4,3.4,-0.1,PAINTED CANYON,13881 I94 EAST,North Dakota,Billings,,19860,"Dickinson, ND",2021-11-07
38,007,0002,88101,3,46.8943,-103.37853,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2006,Daily Mean,,2017,Micrograms/cubic meter (LC),No Events,357,98.0,Y,357,365,0,0,2.0,2.0,Certified,4.062185,5.013891,62.0,2017-09-13 00:00,41.5,2017-09-12 00:00,30.5,2017-09-03 00:00,27.9,2017-09-14 00:00,,,,,27.9,16.6,8.6,7.0,4.8,3.3,0.9,PAINTED CANYON,13881 I94 EAST,North Dakota,Billings,,19860,"Dickinson, ND",2021-11-07
38,007,0002,88101,3,46.8943,-103.37853,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2006,Quarterly Means of Daily Means,,2017,Micrograms/cubic meter (LC),No Events,357,98.0,Y,357,365,0,0,,,Certified,4.062185,5.013891,62.0,2017-09-13 00:00,41.5,2017-09-12 00:00,30.5,2017-09-03 00:00,27.9,2017-09-14 00:00,,,,,27.9,16.6,8.6,7.0,4.8,3.3,0.9,PAINTED CANYON,13881 I94 EAST,North Dakota,Billings,,19860,"Dickinson, ND",2021-11-07
38,007,0002,88101,3,46.8943,-103.37853,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2012,Daily Mean,,2017,Micrograms/cubic meter (LC),No Events,357,98.0,Y,357,365,0,0,2.0,2.0,Certified,4.062185,5.013891,62.0,2017-09-13 00:00,41.5,2017-09-12 00:00,30.5,2017-09-03 00:00,27.9,2017-09-14 00:00,,,,,27.9,16.6,8.6,7.0,4.8,3.3,0.9,PAINTED CANYON,13881 I94 EAST,North Dakota,Billings,,19860,"Dickinson, ND",2021-11-07
38,007,0002,88101,3,46.8943,-103.37853,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2017,Micrograms/cubic meter (LC),No Events,357,98.0,Y,357,365,0,0,,,Certified,4.062185,5.013891,62.0,2017-09-13 00:00,41.5,2017-09-12 00:00,30.5,2017-09-03 00:00,27.9,2017-09-14 00:00,,,,,27.9,16.6,8.6,7.0,4.8,3.3,0.9,PAINTED CANYON,13881 I94 EAST,North Dakota,Billings,,19860,"Dickinson, ND",2021-11-07
38,007,0002,88101,3,46.8943,-103.37853,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2017,Micrograms/cubic meter (LC),No Events,357,98.0,Y,357,365,0,0,,,Certified,4.062185,5.013891,62.0,2017-09-13 00:00,41.5,2017-09-12 00:00,30.5,2017-09-03 00:00,27.9,2017-09-14 00:00,,,,,27.9,16.6,8.6,7.0,4.8,3.3,0.9,PAINTED CANYON,13881 I94 EAST,North Dakota,Billings,,19860,"Dickinson, ND",2021-11-07
