state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
39,001,0001,42401,1,38.79471,-83.53398,NAD83,Sulfur dioxide,1,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,2017,Parts per billion,No Events,8215,94.0,Y,356,365,0,545,,,Requested but not yet concurred,0.629945,1.019355,17.0,2017-03-25 00:00,16.0,2017-08-10 17:00,12.0,2017-11-27 13:00,12.0,2017-12-19 13:00,,,,,5.0,3.0,2.0,2.0,1.0,0.0,0.0,West Union,210 N. WILSON DR.,Ohio,Adams,West Union,,,2021-11-07
39,001,0001,42401,1,38.79471,-83.53398,NAD83,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,2017,Parts per billion,No Events,8215,94.0,Y,356,365,0,545,0.0,,Requested but not yet concurred,2.393258,2.454627,17.0,2017-03-25 00:00,16.0,2017-08-10 17:00,12.0,2017-11-27 13:00,12.0,2017-12-19 13:00,,,,,12.0,9.0,7.0,5.0,3.0,2.0,0.0,West Union,210 N. WILSON DR.,Ohio,Adams,West Union,,,2021-11-07
39,001,0001,42401,1,38.79471,-83.53398,NAD83,Sulfur dioxide,X,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,2017,Parts per billion,No Events,356,98.0,Y,356,365,0,0,0.0,,Requested but not yet concurred,0.627247,0.593784,3.3,2017-11-11 00:00,2.5,2017-12-16 00:00,2.3,2017-03-05 00:00,2.3,2017-11-27 00:00,,,,,2.3,2.0,1.8,1.4,1.0,0.5,0.0,West Union,210 N. WILSON DR.,Ohio,Adams,West Union,,,2021-11-07
39,001,0001,42401,1,38.79471,-83.53398,NAD83,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2017,Parts per billion,No Events,2475,85.0,Y,347,365,0,0,,0.0,Requested but not yet concurred,0.629172,0.873511,8.3,2017-11-27 14:00,7.6,2017-08-10 17:00,7.3,2017-09-18 17:00,6.6,2017-12-19 14:00,,,,,4.0,3.0,2.0,1.6,1.0,0.3,0.0,West Union,210 N. WILSON DR.,Ohio,Adams,West Union,,,2021-11-07
39,003,0009,42401,1,40.770944,-84.0539,NAD83,Sulfur dioxide,1,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE,2017,Parts per billion,No Events,8375,96.0,Y,364,365,0,385,,,Requested but not yet concurred,0.038806,0.227232,6.0,2017-12-02 12:00,5.0,2017-12-02 11:00,4.0,2017-12-02 13:00,4.0,2017-12-02 14:00,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Lima,2650 BIBLE ROAD,Ohio,Allen,Lima,30620,"Lima, OH",2022-05-26
39,003,0009,42401,1,40.770944,-84.0539,NAD83,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE,2017,Parts per billion,No Events,8375,96.0,Y,364,365,0,385,0.0,,Requested but not yet concurred,0.192308,0.531484,6.0,2017-12-02 12:00,3.0,2017-04-03 09:00,2.0,2017-01-10 15:00,2.0,2017-01-21 15:00,,,,,2.0,1.0,1.0,1.0,0.0,0.0,0.0,Lima,2650 BIBLE ROAD,Ohio,Allen,Lima,30620,"Lima, OH",2022-05-26
39,003,0009,42401,1,40.770944,-84.0539,NAD83,Sulfur dioxide,X,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,2017,Parts per billion,No Events,364,100.0,Y,364,365,0,0,0.0,,Requested but not yet concurred,0.036813,0.133884,1.1,2017-12-02 00:00,0.9,2017-03-30 00:00,0.8,2017-04-03 00:00,0.7,2017-01-04 00:00,,,,,0.7,0.6,0.2,0.1,0.0,0.0,0.0,Lima,2650 BIBLE ROAD,Ohio,Allen,Lima,30620,"Lima, OH",2022-05-26
39,003,0009,42401,1,40.770944,-84.0539,NAD83,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2017,Parts per billion,No Events,2543,87.0,Y,361,365,0,0,,0.0,Requested but not yet concurred,0.038026,0.203812,4.6,2017-12-02 14:00,2.6,2017-04-03 11:00,2.0,2017-01-10 17:00,2.0,2017-12-02 17:00,,,,,1.0,1.0,0.3,0.0,0.0,0.0,0.0,Lima,2650 BIBLE ROAD,Ohio,Allen,Lima,30620,"Lima, OH",2022-05-26
39,003,0009,44201,1,40.770944,-84.0539,NAD83,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2017,Parts per million,No Events,5578,100.0,Y,245,245,0,302,0.0,0.0,Requested but not yet concurred,0.048282,0.010256,0.078,2017-07-19 12:00,0.077,2017-06-03 15:00,0.073,2017-05-16 13:00,0.072,2017-04-26 16:00,,,,,0.073,0.072,0.064,0.062,0.055,0.048,0.036,Lima,2650 BIBLE ROAD,Ohio,Allen,Lima,30620,"Lima, OH",2021-11-07
39,003,0009,44201,1,40.770944,-84.0539,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,5849,100.0,Y,244,245,0,0,0.0,0.0,Requested but not yet concurred,0.04407,0.010024,0.074,2017-06-03 11:00,0.07,2017-05-16 09:00,0.07,2017-07-19 09:00,0.069,2017-06-10 11:00,,,,,0.07,0.068,0.06,0.057,0.051,0.043,0.032,Lima,2650 BIBLE ROAD,Ohio,Allen,Lima,30620,"Lima, OH",2021-11-07
