state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
41,005,0004,44201,1,45.25928,-122.588151,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Multiple Methods Used,2017,Parts per million,No Events,3548,96.0,Y,147,153,0,124,0.0,0.0,Certified,0.049061,0.017495,0.124,2017-08-03 14:00,0.102,2017-08-09 14:00,0.101,2017-08-02 14:00,0.097,2017-08-10 16:00,,,,,0.102,0.101,0.084,0.071,0.056,0.045,0.032,CARUS TRAILER/SPANGLER RD,CARUS TRAILER/SPANGLER RD,Oregon,Clackamas,,38900,"Portland-Vancouver-Hillsboro, OR-WA",2021-11-07
41,005,0004,44201,1,45.25928,-122.588151,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,Multiple Methods Used,2017,Parts per million,No Events,3557,95.0,Y,146,153,0,0,3.0,3.0,Certified,0.042342,0.015244,0.116,2017-08-03 12:00,0.092,2017-08-02 12:00,0.085,2017-08-09 12:00,0.083,2017-08-28 12:00,,,,,0.092,0.085,0.075,0.061,0.047,0.04,0.028,CARUS TRAILER/SPANGLER RD,CARUS TRAILER/SPANGLER RD,Oregon,Clackamas,,38900,"Portland-Vancouver-Hillsboro, OR-WA",2021-11-07
41,005,0004,44201,1,45.25928,-122.588151,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,Multiple Methods Used,2017,Parts per million,No Events,3557,95.0,Y,146,153,0,0,7.0,7.0,Certified,0.042342,0.015244,0.116,2017-08-03 12:00,0.092,2017-08-02 12:00,0.085,2017-08-09 12:00,0.083,2017-08-28 12:00,,,,,0.092,0.085,0.075,0.061,0.047,0.04,0.028,CARUS TRAILER/SPANGLER RD,CARUS TRAILER/SPANGLER RD,Oregon,Clackamas,,38900,"Portland-Vancouver-Hillsboro, OR-WA",2021-11-07
41,005,0004,44201,1,45.25928,-122.588151,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,Multiple Methods Used,2017,Parts per million,No Events,2520,95.0,Y,145,153,0,0,8.0,8.0,Certified,0.042434,0.015256,0.116,2017-08-03 12:00,0.092,2017-08-02 12:00,0.085,2017-08-09 12:00,0.083,2017-08-28 12:00,,,,,0.092,0.085,0.075,0.061,0.047,0.04,0.028,CARUS TRAILER/SPANGLER RD,CARUS TRAILER/SPANGLER RD,Oregon,Clackamas,,38900,"Portland-Vancouver-Hillsboro, OR-WA",2021-11-07
41,009,0004,44201,1,45.768531,-122.7721,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Instrumental - Ecotech Serinus 10,2017,Parts per million,No Events,3561,97.0,Y,149,153,0,111,0.0,0.0,Certified,0.041611,0.013198,0.094,2017-08-02 16:00,0.093,2017-08-03 16:00,0.081,2017-08-04 14:00,0.079,2017-08-01 17:00,,,,,0.093,0.081,0.069,0.058,0.047,0.039,0.028,SAUVIE ISLAND-SIS,"SAUVIE ISLAND-SSB/ROUTE 1, BOX 442",Oregon,Columbia,,38900,"Portland-Vancouver-Hillsboro, OR-WA",2021-11-07
41,009,0004,44201,1,45.768531,-122.7721,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,3568,96.0,Y,147,153,0,0,1.0,1.0,Certified,0.035605,0.010832,0.086,2017-08-02 14:00,0.079,2017-08-03 11:00,0.067,2017-08-01 14:00,0.064,2017-08-04 09:00,,,,,0.079,0.067,0.055,0.049,0.04,0.034,0.025,SAUVIE ISLAND-SIS,"SAUVIE ISLAND-SSB/ROUTE 1, BOX 442",Oregon,Columbia,,38900,"Portland-Vancouver-Hillsboro, OR-WA",2021-11-07
41,009,0004,44201,1,45.768531,-122.7721,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,3568,96.0,Y,147,153,0,0,2.0,2.0,Certified,0.035605,0.010832,0.086,2017-08-02 14:00,0.079,2017-08-03 11:00,0.067,2017-08-01 14:00,0.064,2017-08-04 09:00,,,,,0.079,0.067,0.055,0.049,0.04,0.034,0.025,SAUVIE ISLAND-SIS,"SAUVIE ISLAND-SSB/ROUTE 1, BOX 442",Oregon,Columbia,,38900,"Portland-Vancouver-Hillsboro, OR-WA",2021-11-07
41,009,0004,44201,1,45.768531,-122.7721,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2017,Parts per million,No Events,2528,96.0,Y,147,153,0,0,2.0,2.0,Certified,0.035619,0.010819,0.086,2017-08-02 14:00,0.079,2017-08-03 11:00,0.067,2017-08-01 14:00,0.064,2017-08-04 09:00,,,,,0.079,0.067,0.055,0.049,0.04,0.034,0.025,SAUVIE ISLAND-SIS,"SAUVIE ISLAND-SSB/ROUTE 1, BOX 442",Oregon,Columbia,,38900,"Portland-Vancouver-Hillsboro, OR-WA",2021-11-07
41,013,0100,88101,1,44.299787,-120.844773,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,112,92.0,Y,112,122,0,10,7.0,7.0,Was Certified but data changed,11.483036,15.555625,106.0,2017-09-07 00:00,73.2,2017-08-23 00:00,57.6,2017-09-04 00:00,57.1,2017-08-29 00:00,,,,,73.2,57.6,48.3,26.5,11.5,6.3,2.4,Prineville - Davidson Park,"251 SE Court St., Prineville (PDP)",Oregon,Crook,Prineville,39260,"Prineville, OR",2021-11-07
41,013,0100,88101,1,44.299787,-120.844773,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,112,92.0,Y,112,122,0,10,,,Was Certified but data changed,11.483036,15.555625,106.0,2017-09-07 00:00,73.2,2017-08-23 00:00,57.6,2017-09-04 00:00,57.1,2017-08-29 00:00,,,,,73.2,57.6,48.3,26.5,11.5,6.3,2.4,Prineville - Davidson Park,"251 SE Court St., Prineville (PDP)",Oregon,Crook,Prineville,39260,"Prineville, OR",2021-11-07
41,013,0100,88101,1,44.299787,-120.844773,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,112,92.0,Y,112,122,0,10,7.0,7.0,Was Certified but data changed,11.483036,15.555625,106.0,2017-09-07 00:00,73.2,2017-08-23 00:00,57.6,2017-09-04 00:00,57.1,2017-08-29 00:00,,,,,73.2,57.6,48.3,26.5,11.5,6.3,2.4,Prineville - Davidson Park,"251 SE Court St., Prineville (PDP)",Oregon,Crook,Prineville,39260,"Prineville, OR",2021-11-07
41,013,0100,88101,1,44.299787,-120.844773,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,112,92.0,Y,112,122,0,10,,,Was Certified but data changed,11.483036,15.555625,106.0,2017-09-07 00:00,73.2,2017-08-23 00:00,57.6,2017-09-04 00:00,57.1,2017-08-29 00:00,,,,,73.2,57.6,48.3,26.5,11.5,6.3,2.4,Prineville - Davidson Park,"251 SE Court St., Prineville (PDP)",Oregon,Crook,Prineville,39260,"Prineville, OR",2021-11-07
