state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
42,001,0001,42101,1,39.92002,-77.30968,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,2006,Parts per million,No Events,4862,56.0,Y,208,365,0,274,0.0,0.0,Certified,0.060304,0.16692,1.4,2006-05-01 06:00,1.3,2006-05-04 12:00,1.3,2006-05-04 14:00,1.3,2006-05-04 16:00,,,,,0.9,0.8,0.4,0.2,0.0,0.0,0.0,Arendtsville,NARSTO SITE - ARENDTSVILLE,Pennsylvania,Adams,,23900,"Gettysburg, PA",2021-11-08
42,001,0001,42101,1,39.92002,-77.30968,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2006,Parts per million,No Events,4859,55.0,Y,209,365,0,0,0.0,0.0,Certified,0.061083,0.163302,1.3,2006-05-04 18:00,1.2,2006-05-04 16:00,1.2,2006-05-04 17:00,1.2,2006-05-04 19:00,1.3,2006-05-04 18:00,1.2,2006-05-05 00:00,0.9,0.7,0.4,0.2,0.0,0.0,0.0,Arendtsville,NARSTO SITE - ARENDTSVILLE,Pennsylvania,Adams,,23900,"Gettysburg, PA",2021-11-08
42,001,0001,42602,1,39.92002,-77.30968,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2006,Parts per billion,No Events,5116,58.0,N,214,365,0,20,,,Certified,3.731235,2.355811,20.0,2006-10-16 17:00,20.0,2006-10-19 17:00,18.0,2006-10-19 16:00,17.0,2006-04-07 06:00,,,,,13.0,11.0,8.0,7.0,5.0,3.0,2.0,Arendtsville,NARSTO SITE - ARENDTSVILLE,Pennsylvania,Adams,,23900,"Gettysburg, PA",2021-11-09
42,001,0001,42602,1,39.92002,-77.30968,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2006,Parts per billion,No Events,5116,58.0,N,214,365,0,20,0.0,,Certified,7.018692,3.497769,20.0,2006-10-16 17:00,20.0,2006-10-19 17:00,17.0,2006-04-07 06:00,17.0,2006-05-03 07:00,,,,,17.0,17.0,14.0,12.0,9.0,6.0,3.0,Arendtsville,NARSTO SITE - ARENDTSVILLE,Pennsylvania,Adams,,23900,"Gettysburg, PA",2021-11-09
42,001,0002,44201,1,39.93,-77.25,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2006,Parts per million,No Events,5119,100.0,Y,214,214,0,17,0.0,0.0,Certified,0.051528,0.014178,0.086,2006-06-17 16:00,0.084,2006-08-06 18:00,0.082,2006-06-18 13:00,0.08,2006-08-25 17:00,,,,,0.082,0.079,0.075,0.07,0.062,0.052,0.032,Biglerville,UNIVERSITY DRIVE- PENN STATE RESEACH ORCHART,Pennsylvania,Adams,Biglerville,23900,"Gettysburg, PA",2021-12-25
42,001,0002,44201,1,39.93,-77.25,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,5115,100.0,Y,214,214,0,0,0.0,0.0,Certified,0.046598,0.013421,0.077,2006-06-17 11:00,0.076,2006-06-18 11:00,0.076,2006-08-25 11:00,0.074,2006-05-30 09:00,,,,,0.076,0.074,0.069,0.065,0.057,0.047,0.027,Biglerville,UNIVERSITY DRIVE- PENN STATE RESEACH ORCHART,Pennsylvania,Adams,Biglerville,23900,"Gettysburg, PA",2021-12-25
42,001,0002,44201,1,39.93,-77.25,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,5115,100.0,Y,214,214,0,0,3.0,3.0,Certified,0.046598,0.013421,0.077,2006-06-17 11:00,0.076,2006-06-18 11:00,0.076,2006-08-25 11:00,0.074,2006-05-30 09:00,,,,,0.076,0.074,0.069,0.065,0.057,0.047,0.027,Biglerville,UNIVERSITY DRIVE- PENN STATE RESEACH ORCHART,Pennsylvania,Adams,Biglerville,23900,"Gettysburg, PA",2021-12-25
42,001,0002,44201,1,39.93,-77.25,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2006,Parts per million,No Events,3617,99.0,Y,211,214,0,0,6.0,6.0,Certified,0.046403,0.013561,0.077,2006-06-17 11:00,0.076,2006-06-18 11:00,0.076,2006-08-25 11:00,0.074,2006-05-30 09:00,,,,,0.076,0.074,0.069,0.065,0.056,0.047,0.027,Biglerville,UNIVERSITY DRIVE- PENN STATE RESEACH ORCHART,Pennsylvania,Adams,Biglerville,23900,"Gettysburg, PA",2021-12-25
42,001,9991,44201,9,39.9231,-77.3078,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2006,Parts per million,Events Included,8653,99.0,Y,212,214,8653,107,0.0,0.0,Certification not required,0.050514,0.013518,0.081,2006-06-17 16:00,0.08,2006-03-31 16:00,0.08,2006-06-18 13:00,0.079,2006-05-30 17:00,,,,,0.08,0.078,0.073,0.069,0.061,0.052,0.042,Arendtsville,"747 Winding Rd, Biglerville, PA 17307",Pennsylvania,Adams,,23900,"Gettysburg, PA",2021-12-25
42,001,9991,44201,9,39.9231,-77.3078,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,Events Included,8726,99.0,Y,212,214,0,0,0.0,0.0,Certification not required,0.046226,0.012762,0.075,2006-05-30 10:00,0.075,2006-06-18 11:00,0.073,2006-06-17 11:00,0.071,2006-07-19 12:00,,,,,0.073,0.071,0.067,0.063,0.056,0.048,0.039,Arendtsville,"747 Winding Rd, Biglerville, PA 17307",Pennsylvania,Adams,,23900,"Gettysburg, PA",2021-12-25
42,001,9991,44201,9,39.9231,-77.3078,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,Events Included,8726,99.0,Y,212,214,0,0,0.0,0.0,Certification not required,0.046226,0.012762,0.075,2006-05-30 10:00,0.075,2006-06-18 11:00,0.073,2006-06-17 11:00,0.071,2006-07-19 12:00,,,,,0.073,0.071,0.067,0.063,0.056,0.048,0.039,Arendtsville,"747 Winding Rd, Biglerville, PA 17307",Pennsylvania,Adams,,23900,"Gettysburg, PA",2021-12-25
42,001,9991,44201,9,39.9231,-77.3078,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2006,Parts per million,Events Included,6174,100.0,Y,213,214,0,0,5.0,5.0,Certification not required,0.046127,0.012862,0.075,2006-05-30 10:00,0.075,2006-06-18 11:00,0.073,2006-06-17 11:00,0.071,2006-07-19 12:00,,,,,0.073,0.071,0.067,0.063,0.056,0.048,0.039,Arendtsville,"747 Winding Rd, Biglerville, PA 17307",Pennsylvania,Adams,,23900,"Gettysburg, PA",2021-12-25
42,001,0001,88101,1,39.92002,-77.30968,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2006,Micrograms/cubic meter (LC),No Events,360,99.0,Y,360,365,0,0,5.0,5.0,Certified,11.822222,7.950008,47.9,2006-08-01 00:00,43.7,2006-08-02 00:00,39.5,2006-11-29 00:00,36.2,2006-08-07 00:00,,,,,36.2,33.6,28.9,23.2,15.3,9.5,4.2,Arendtsville,NARSTO SITE - ARENDTSVILLE,Pennsylvania,Adams,,23900,"Gettysburg, PA",2021-11-09
42,001,0001,88101,1,39.92002,-77.30968,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2006,Micrograms/cubic meter (LC),No Events,360,99.0,Y,360,365,0,0,,,Certified,11.822222,7.950008,47.9,2006-08-01 00:00,43.7,2006-08-02 00:00,39.5,2006-11-29 00:00,36.2,2006-08-07 00:00,,,,,36.2,33.6,28.9,23.2,15.3,9.5,4.2,Arendtsville,NARSTO SITE - ARENDTSVILLE,Pennsylvania,Adams,,23900,"Gettysburg, PA",2021-11-09
42,001,0001,88101,1,39.92002,-77.30968,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2006,Micrograms/cubic meter (LC),No Events,360,99.0,Y,360,365,0,0,5.0,5.0,Certified,11.822222,7.950008,47.9,2006-08-01 00:00,43.7,2006-08-02 00:00,39.5,2006-11-29 00:00,36.2,2006-08-07 00:00,,,,,36.2,33.6,28.9,23.2,15.3,9.5,4.2,Arendtsville,NARSTO SITE - ARENDTSVILLE,Pennsylvania,Adams,,23900,"Gettysburg, PA",2021-11-09
42,001,0001,88101,1,39.92002,-77.30968,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2006,Micrograms/cubic meter (LC),No Events,360,99.0,Y,360,365,0,0,,,Certified,11.822222,7.950008,47.9,2006-08-01 00:00,43.7,2006-08-02 00:00,39.5,2006-11-29 00:00,36.2,2006-08-07 00:00,,,,,36.2,33.6,28.9,23.2,15.3,9.5,4.2,Arendtsville,NARSTO SITE - ARENDTSVILLE,Pennsylvania,Adams,,23900,"Gettysburg, PA",2021-11-09
42,001,0001,88101,1,39.92002,-77.30968,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2006,Micrograms/cubic meter (LC),No Events,360,99.0,Y,360,365,0,0,0.0,0.0,Certified,11.822222,7.950008,47.9,2006-08-01 00:00,43.7,2006-08-02 00:00,39.5,2006-11-29 00:00,36.2,2006-08-07 00:00,,,,,36.2,33.6,28.9,23.2,15.3,9.5,4.2,Arendtsville,NARSTO SITE - ARENDTSVILLE,Pennsylvania,Adams,,23900,"Gettysburg, PA",2021-11-09
42,001,0001,88101,1,39.92002,-77.30968,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 1997,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2006,Micrograms/cubic meter (LC),No Events,360,99.0,Y,360,365,0,0,,,Certified,11.822222,7.950008,47.9,2006-08-01 00:00,43.7,2006-08-02 00:00,39.5,2006-11-29 00:00,36.2,2006-08-07 00:00,,,,,36.2,33.6,28.9,23.2,15.3,9.5,4.2,Arendtsville,NARSTO SITE - ARENDTSVILLE,Pennsylvania,Adams,,23900,"Gettysburg, PA",2021-11-09
42,003,0010,42101,1,40.445577,-80.016155,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,2006,Parts per million,No Events,8556,98.0,Y,360,365,0,204,0.0,0.0,Certified,0.225187,0.322222,1.8,2006-04-11 09:00,1.5,2006-02-22 09:00,1.5,2006-04-11 08:00,1.5,2006-06-30 22:00,,,,,1.3,1.1,0.9,0.7,0.4,0.1,0.0,LAT/LON IS APPROXIMATE LOCATION OF SCIENCE CENTER,CARNEGIE SCIENCE CENTER - 1 ALLEGHENY RD,Pennsylvania,Allegheny,Pittsburgh,38300,"Pittsburgh, PA",2021-11-08
42,003,0010,42101,1,40.445577,-80.016155,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2006,Parts per million,No Events,8547,98.0,Y,360,365,0,0,0.0,0.0,Certified,0.228349,0.302115,1.4,2006-07-01 04:00,1.4,2006-07-01 05:00,1.4,2006-07-01 06:00,1.4,2006-07-09 02:00,1.4,2006-07-01 04:00,1.4,2006-07-09 02:00,1.1,1.0,0.9,0.7,0.4,0.1,0.0,LAT/LON IS APPROXIMATE LOCATION OF SCIENCE CENTER,CARNEGIE SCIENCE CENTER - 1 ALLEGHENY RD,Pennsylvania,Allegheny,Pittsburgh,38300,"Pittsburgh, PA",2021-11-08
42,003,0038,42101,1,40.438359,-79.99664,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,2006,Parts per million,No Events,8558,98.0,Y,360,365,0,0,0.0,0.0,Certified,0.51727,0.321884,3.1,2006-01-13 08:00,3.0,2006-01-13 07:00,3.0,2006-01-13 09:00,2.6,2006-11-25 11:00,,,,,1.7,1.4,1.1,0.9,0.7,0.5,0.2,Downtown (formerly referred to as the Courthouse),"414 GRANT ST, CITY-COUNTY BLDG, DOWNTOWN",Pennsylvania,Allegheny,Pittsburgh,38300,"Pittsburgh, PA",2021-11-08
42,003,0038,42101,1,40.438359,-79.99664,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2006,Parts per million,No Events,8578,98.0,Y,361,365,0,0,0.0,0.0,Certified,0.524097,0.279106,2.1,2006-01-13 09:00,2.1,2006-01-13 10:00,2.0,2006-01-13 11:00,2.0,2006-12-21 11:00,2.1,2006-01-13 09:00,2.0,2006-12-21 11:00,1.4,1.3,1.0,0.9,0.7,0.5,0.2,Downtown (formerly referred to as the Courthouse),"414 GRANT ST, CITY-COUNTY BLDG, DOWNTOWN",Pennsylvania,Allegheny,Pittsburgh,38300,"Pittsburgh, PA",2021-11-08
42,003,0031,42101,1,40.443367,-79.990293,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,2006,Parts per million,No Events,8704,99.0,Y,365,365,0,0,0.0,0.0,Certified,0.30764,0.270632,2.6,2006-11-06 23:00,2.5,2006-11-10 22:00,2.3,2006-01-13 08:00,2.3,2006-12-21 10:00,,,,,1.4,1.2,0.9,0.6,0.3,0.2,0.1,Flag Plaza,"1275 Bedford Ave, Pittsburgh, PA 15219 (Flag Plaza)",Pennsylvania,Allegheny,Pittsburgh,38300,"Pittsburgh, PA",2021-11-08
42,003,0031,42101,1,40.443367,-79.990293,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2006,Parts per million,No Events,8743,100.0,Y,365,365,0,0,0.0,0.0,Certified,0.312193,0.236718,1.9,2006-12-21 11:00,1.8,2006-12-21 12:00,1.8,2006-12-21 13:00,1.7,2006-12-21 10:00,1.9,2006-12-21 11:00,1.6,2006-01-13 09:00,1.3,1.1,0.8,0.6,0.4,0.2,0.1,Flag Plaza,"1275 Bedford Ave, Pittsburgh, PA 15219 (Flag Plaza)",Pennsylvania,Allegheny,Pittsburgh,38300,"Pittsburgh, PA",2021-11-08
42,003,0010,42401,1,40.445577,-80.016155,WGS84,Sulfur dioxide,1,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE,2006,Parts per billion,No Events,8612,98.0,Y,359,365,0,148,,,Uncertified (past due),6.932768,6.371207,101.0,2006-11-08 11:00,97.0,2006-11-08 10:00,89.0,2006-11-22 11:00,86.0,2006-11-22 10:00,,,,,28.0,23.0,18.0,14.0,9.0,5.0,1.0,LAT/LON IS APPROXIMATE LOCATION OF SCIENCE CENTER,CARNEGIE SCIENCE CENTER - 1 ALLEGHENY RD,Pennsylvania,Allegheny,Pittsburgh,38300,"Pittsburgh, PA",2021-11-09
42,003,0010,42401,1,40.445577,-80.016155,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE,2006,Parts per billion,No Events,8612,98.0,Y,359,365,0,148,3.0,,Uncertified (past due),17.479109,12.127534,101.0,2006-11-08 11:00,89.0,2006-11-22 11:00,79.0,2006-08-30 10:00,73.0,2006-10-16 11:00,,,,,73.0,49.0,39.0,31.0,22.0,15.0,7.0,LAT/LON IS APPROXIMATE LOCATION OF SCIENCE CENTER,CARNEGIE SCIENCE CENTER - 1 ALLEGHENY RD,Pennsylvania,Allegheny,Pittsburgh,38300,"Pittsburgh, PA",2021-11-09
42,003,0010,42401,1,40.445577,-80.016155,WGS84,Sulfur dioxide,X,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,2006,Parts per billion,No Events,359,98.0,Y,359,365,0,0,0.0,,Uncertified (past due),6.933148,3.641358,23.3,2006-08-30 00:00,20.3,2006-11-08 00:00,17.8,2006-11-09 00:00,17.5,2006-08-31 00:00,,,,,17.5,15.8,13.3,11.9,9.0,6.4,2.8,LAT/LON IS APPROXIMATE LOCATION OF SCIENCE CENTER,CARNEGIE SCIENCE CENTER - 1 ALLEGHENY RD,Pennsylvania,Allegheny,Pittsburgh,38300,"Pittsburgh, PA",2021-11-09
42,003,0010,42401,1,40.445577,-80.016155,WGS84,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2006,Parts per billion,No Events,2859,98.0,Y,359,365,0,0,,0.0,Uncertified (past due),6.894683,5.796116,78.0,2006-11-08 11:00,68.0,2006-08-30 14:00,66.0,2006-11-22 11:00,62.0,2006-08-30 11:00,,,,,25.0,21.0,17.3,14.0,9.0,5.3,1.6,LAT/LON IS APPROXIMATE LOCATION OF SCIENCE CENTER,CARNEGIE SCIENCE CENTER - 1 ALLEGHENY RD,Pennsylvania,Allegheny,Pittsburgh,38300,"Pittsburgh, PA",2021-11-09
42,003,0021,42401,1,40.41368,-79.941162,WGS84,Sulfur dioxide,1,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - ULTRA VIOLET STIMULATED FLUORESCNC,2006,Parts per billion,No Events,8711,99.0,Y,365,365,0,0,,,Uncertified (past due),6.303869,6.466505,83.0,2006-01-13 10:00,82.0,2006-02-11 14:00,71.0,2006-11-08 12:00,67.0,2006-08-30 15:00,,,,,31.0,25.0,18.0,14.0,8.0,4.0,1.0,DOWN WIND FROM LTV,GLADSTONE HIGH SCHOOL,Pennsylvania,Allegheny,Pittsburgh,38300,"Pittsburgh, PA",2021-11-09
42,003,0021,42401,1,40.41368,-79.941162,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - ULTRA VIOLET STIMULATED FLUORESCNC,2006,Parts per billion,No Events,8711,99.0,Y,365,365,0,0,2.0,,Uncertified (past due),17.446575,12.947083,83.0,2006-01-13 10:00,82.0,2006-02-11 14:00,71.0,2006-11-08 12:00,67.0,2006-08-30 15:00,,,,,67.0,55.0,45.0,32.0,22.0,14.0,5.0,DOWN WIND FROM LTV,GLADSTONE HIGH SCHOOL,Pennsylvania,Allegheny,Pittsburgh,38300,"Pittsburgh, PA",2021-11-09
42,003,0021,42401,1,40.41368,-79.941162,WGS84,Sulfur dioxide,X,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,2006,Parts per billion,No Events,365,100.0,Y,365,365,0,0,0.0,,Uncertified (past due),6.312329,3.820791,25.0,2006-12-29 00:00,19.0,2006-03-08 00:00,18.8,2006-02-20 00:00,18.5,2006-02-22 00:00,,,,,18.5,16.8,13.6,12.0,8.1,5.4,2.5,DOWN WIND FROM LTV,GLADSTONE HIGH SCHOOL,Pennsylvania,Allegheny,Pittsburgh,38300,"Pittsburgh, PA",2021-11-09
42,003,0021,42401,1,40.41368,-79.941162,WGS84,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2006,Parts per billion,No Events,2881,99.0,Y,365,365,0,0,,0.0,Uncertified (past due),6.268518,5.916485,62.3,2006-01-13 11:00,58.6,2006-11-08 14:00,50.0,2006-02-11 14:00,49.6,2006-03-08 11:00,,,,,29.0,23.0,17.6,13.3,8.0,4.3,1.3,DOWN WIND FROM LTV,GLADSTONE HIGH SCHOOL,Pennsylvania,Allegheny,Pittsburgh,38300,"Pittsburgh, PA",2021-11-09
