state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
72,001,0002,88101,1,18.175378,-66.725988,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,47,39.0,N,47,122,0,44,0.0,0.0,Uncertified (past due),7.874468,6.038589,30.0,2017-05-25 00:00,25.2,2017-05-16 00:00,24.6,2017-05-22 00:00,17.5,2017-02-15 00:00,,,,,30.0,30.0,24.6,13.8,9.1,6.6,2.5,Adjuntas,ROAD #123,Puerto Rico,Adjuntas,Adjuntas,10260,"Adjuntas, PR",2021-11-08
72,001,0002,88101,1,18.175378,-66.725988,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,47,39.0,N,47,122,0,44,,,Uncertified (past due),7.874468,6.038589,30.0,2017-05-25 00:00,25.2,2017-05-16 00:00,24.6,2017-05-22 00:00,17.5,2017-02-15 00:00,,,,,30.0,30.0,24.6,13.8,9.1,6.6,2.5,Adjuntas,ROAD #123,Puerto Rico,Adjuntas,Adjuntas,10260,"Adjuntas, PR",2021-11-08
72,001,0002,88101,1,18.175378,-66.725988,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,47,39.0,N,47,122,0,44,0.0,0.0,Uncertified (past due),7.874468,6.038589,30.0,2017-05-25 00:00,25.2,2017-05-16 00:00,24.6,2017-05-22 00:00,17.5,2017-02-15 00:00,,,,,30.0,30.0,24.6,13.8,9.1,6.6,2.5,Adjuntas,ROAD #123,Puerto Rico,Adjuntas,Adjuntas,10260,"Adjuntas, PR",2021-11-08
72,001,0002,88101,1,18.175378,-66.725988,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,47,39.0,N,47,122,0,44,,,Uncertified (past due),7.874468,6.038589,30.0,2017-05-25 00:00,25.2,2017-05-16 00:00,24.6,2017-05-22 00:00,17.5,2017-02-15 00:00,,,,,30.0,30.0,24.6,13.8,9.1,6.6,2.5,Adjuntas,ROAD #123,Puerto Rico,Adjuntas,Adjuntas,10260,"Adjuntas, PR",2021-11-08
72,001,0002,88101,1,18.175378,-66.725988,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,47,39.0,N,47,122,0,44,0.0,0.0,Uncertified (past due),7.874468,6.038589,30.0,2017-05-25 00:00,25.2,2017-05-16 00:00,24.6,2017-05-22 00:00,17.5,2017-02-15 00:00,,,,,30.0,30.0,24.6,13.8,9.1,6.6,2.5,Adjuntas,ROAD #123,Puerto Rico,Adjuntas,Adjuntas,10260,"Adjuntas, PR",2021-11-08
72,001,0002,88101,1,18.175378,-66.725988,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 1997,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,47,39.0,N,47,122,0,44,,,Uncertified (past due),7.874468,6.038589,30.0,2017-05-25 00:00,25.2,2017-05-16 00:00,24.6,2017-05-22 00:00,17.5,2017-02-15 00:00,,,,,30.0,30.0,24.6,13.8,9.1,6.6,2.5,Adjuntas,ROAD #123,Puerto Rico,Adjuntas,Adjuntas,10260,"Adjuntas, PR",2021-11-08
72,013,0002,14129,1,18.453389,-66.694987,WGS84,Lead (TSP) LC,7,24 HOUR,Lead 3-Month 2009,Observed Values,Hi-Vol - ICP-MS,2017,Micrograms/cubic meter (LC),No Events,36,59.0,N,36,61,0,6,0.0,0.0,Requested but denied,0.065861,0.08111,0.36,2017-03-08 00:00,0.337,2017-03-14 00:00,0.204,2017-03-02 00:00,0.128,2017-07-30 00:00,,,,,0.36,0.36,0.337,0.128,0.085,0.036,0.009,,Road #2,Puerto Rico,Arecibo,,11640,"Arecibo, PR",2021-11-08
72,013,0002,14129,2,18.453389,-66.694987,WGS84,Lead (TSP) LC,7,24 HOUR,Lead 3-Month 2009,Observed Values,Hi-Vol - ICP-MS,2017,Micrograms/cubic meter (LC),No Events,37,61.0,N,37,61,0,5,0.0,0.0,Requested but denied,0.069459,0.090409,0.417,2017-03-08 00:00,0.383,2017-03-14 00:00,0.2,2017-03-02 00:00,0.128,2017-07-30 00:00,,,,,0.417,0.417,0.383,0.128,0.087,0.038,0.009,,Road #2,Puerto Rico,Arecibo,,11640,"Arecibo, PR",2021-11-08
72,013,0001,14129,1,18.457039,-66.696693,WGS84,Lead (TSP) LC,7,24 HOUR,Lead 3-Month 2009,Observed Values,Hi-Vol - ICP-MS,2017,Micrograms/cubic meter (LC),No Events,36,59.0,N,36,61,0,6,0.0,0.0,Requested but denied,0.005861,0.012515,0.058,2017-04-01 00:00,0.055,2017-04-07 00:00,0.006,2017-06-06 00:00,0.005,2017-04-25 00:00,,,,,0.058,0.058,0.055,0.005,0.004,0.003,0.002,,Victor Santoni Cordero,Puerto Rico,Arecibo,,11640,"Arecibo, PR",2021-11-08
72,021,0010,42401,1,18.420089,-66.150615,WGS84,Sulfur dioxide,1,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE,2017,Parts per billion,No Events,4325,49.0,N,179,365,0,1496,,,Requested but denied,1.510266,2.241729,59.1,2017-08-03 10:00,34.1,2017-08-03 11:00,27.5,2017-02-22 14:00,24.2,2017-02-22 11:00,,,,,8.7,7.0,6.2,3.6,1.7,0.8,0.2,Bayamon,Ave. Central Correccional,Puerto Rico,Bayamon,Bayamon,41980,"San Juan-Carolina-Caguas, PR",2021-11-08
