state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
44,003,0002,42602,1,41.615237,-71.72,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - CHEMILUMINESCENCE,2011,Parts per billion,No Events,3218,37.0,N,137,365,0,454,,,Uncertified (past due),1.232318,1.325991,18.1,2011-10-27 05:00,12.6,2011-10-27 04:00,12.2,2011-10-27 03:00,10.8,2011-10-27 01:00,,,,,6.6,5.0,3.5,2.8,1.7,1.0,0.0,AJ,W. ALTON JONES CAMPUS URI PARKERFIELD WE,Rhode Island,Kent,,39300,"Providence-Warwick, RI-MA",2021-11-09
44,003,0002,42602,1,41.615237,-71.72,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,2011,Parts per billion,No Events,3218,37.0,N,137,365,0,454,0.0,,Uncertified (past due),2.630657,2.302798,18.1,2011-10-27 05:00,10.3,2011-10-26 23:00,9.8,2011-09-08 16:00,7.6,2011-10-29 11:00,,,,,10.3,9.8,7.0,5.0,3.1,2.0,1.0,AJ,W. ALTON JONES CAMPUS URI PARKERFIELD WE,Rhode Island,Kent,,39300,"Providence-Warwick, RI-MA",2021-11-09
44,003,0002,88101,3,41.615237,-71.72,WGS84,PM2.5 - Local Conditions,1,1 HOUR,,Observed Values,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2011,Micrograms/cubic meter (LC),No Events,8182,93.0,Y,351,365,0,578,,,Uncertified (past due),6.5099,5.263648,72.0,2011-06-10 20:00,54.0,2011-11-12 22:00,49.0,2011-11-27 01:00,48.0,2011-11-26 23:00,,,,,25.0,21.0,16.0,13.0,9.0,6.0,1.0,AJ,W. ALTON JONES CAMPUS URI PARKERFIELD WE,Rhode Island,Kent,,39300,"Providence-Warwick, RI-MA",2021-11-08
44,003,0002,88101,3,41.615237,-71.72,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2006,Daily Mean,,2011,Micrograms/cubic meter (LC),No Events,336,92.0,Y,336,365,0,0,0.0,0.0,Uncertified (past due),6.438393,3.683175,24.5,2011-07-21 00:00,18.2,2011-01-26 00:00,17.5,2011-01-01 00:00,17.4,2011-07-03 00:00,,,,,17.4,16.1,13.4,11.3,8.5,5.7,2.6,AJ,W. ALTON JONES CAMPUS URI PARKERFIELD WE,Rhode Island,Kent,,39300,"Providence-Warwick, RI-MA",2021-11-08
44,003,0002,88101,3,41.615237,-71.72,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2006,Quarterly Means of Daily Means,,2011,Micrograms/cubic meter (LC),No Events,336,92.0,Y,336,365,0,0,,,Uncertified (past due),6.438393,3.683175,24.5,2011-07-21 00:00,18.2,2011-01-26 00:00,17.5,2011-01-01 00:00,17.4,2011-07-03 00:00,,,,,17.4,16.1,13.4,11.3,8.5,5.7,2.6,AJ,W. ALTON JONES CAMPUS URI PARKERFIELD WE,Rhode Island,Kent,,39300,"Providence-Warwick, RI-MA",2021-11-08
44,003,0002,88101,3,41.615237,-71.72,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2012,Daily Mean,,2011,Micrograms/cubic meter (LC),No Events,336,92.0,Y,336,365,0,0,0.0,0.0,Uncertified (past due),6.438393,3.683175,24.5,2011-07-21 00:00,18.2,2011-01-26 00:00,17.5,2011-01-01 00:00,17.4,2011-07-03 00:00,,,,,17.4,16.1,13.4,11.3,8.5,5.7,2.6,AJ,W. ALTON JONES CAMPUS URI PARKERFIELD WE,Rhode Island,Kent,,39300,"Providence-Warwick, RI-MA",2021-11-08
44,003,0002,88101,3,41.615237,-71.72,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2011,Micrograms/cubic meter (LC),No Events,336,92.0,Y,336,365,0,0,,,Uncertified (past due),6.438393,3.683175,24.5,2011-07-21 00:00,18.2,2011-01-26 00:00,17.5,2011-01-01 00:00,17.4,2011-07-03 00:00,,,,,17.4,16.1,13.4,11.3,8.5,5.7,2.6,AJ,W. ALTON JONES CAMPUS URI PARKERFIELD WE,Rhode Island,Kent,,39300,"Providence-Warwick, RI-MA",2021-11-08
44,003,0002,88101,3,41.615237,-71.72,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2011,Micrograms/cubic meter (LC),No Events,336,92.0,Y,336,365,0,0,,,Uncertified (past due),6.438393,3.683175,24.5,2011-07-21 00:00,18.2,2011-01-26 00:00,17.5,2011-01-01 00:00,17.4,2011-07-03 00:00,,,,,17.4,16.1,13.4,11.3,8.5,5.7,2.6,AJ,W. ALTON JONES CAMPUS URI PARKERFIELD WE,Rhode Island,Kent,,39300,"Providence-Warwick, RI-MA",2021-11-08
44,003,0002,88101,3,41.615237,-71.72,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,Quarterly Means of Daily Means,,2011,Micrograms/cubic meter (LC),No Events,336,92.0,Y,336,365,0,0,8.0,8.0,Uncertified (past due),6.438393,3.683175,24.5,2011-07-21 00:00,18.2,2011-01-26 00:00,17.5,2011-01-01 00:00,17.4,2011-07-03 00:00,,,,,17.4,16.1,13.4,11.3,8.5,5.7,2.6,AJ,W. ALTON JONES CAMPUS URI PARKERFIELD WE,Rhode Island,Kent,,39300,"Providence-Warwick, RI-MA",2021-11-08
44,003,0002,88101,2,41.615237,-71.72,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,52,85.0,N,52,61,0,9,0.0,0.0,Uncertified (past due),6.332692,3.34551,18.7,2011-06-08 00:00,15.1,2011-07-20 00:00,15.0,2011-07-08 00:00,11.1,2011-08-19 00:00,,,,,18.7,15.1,15.0,10.2,7.9,5.8,3.1,AJ,W. ALTON JONES CAMPUS URI PARKERFIELD WE,Rhode Island,Kent,,39300,"Providence-Warwick, RI-MA",2021-11-08
44,003,0002,88101,2,41.615237,-71.72,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,52,85.0,N,52,61,0,9,,,Uncertified (past due),6.332692,3.34551,18.7,2011-06-08 00:00,15.1,2011-07-20 00:00,15.0,2011-07-08 00:00,11.1,2011-08-19 00:00,,,,,18.7,15.1,15.0,10.2,7.9,5.8,3.1,AJ,W. ALTON JONES CAMPUS URI PARKERFIELD WE,Rhode Island,Kent,,39300,"Providence-Warwick, RI-MA",2021-11-08
44,003,0002,88101,2,41.615237,-71.72,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,52,85.0,N,52,61,0,9,0.0,0.0,Uncertified (past due),6.332692,3.34551,18.7,2011-06-08 00:00,15.1,2011-07-20 00:00,15.0,2011-07-08 00:00,11.1,2011-08-19 00:00,,,,,18.7,15.1,15.0,10.2,7.9,5.8,3.1,AJ,W. ALTON JONES CAMPUS URI PARKERFIELD WE,Rhode Island,Kent,,39300,"Providence-Warwick, RI-MA",2021-11-08
44,003,0002,88101,2,41.615237,-71.72,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,52,85.0,N,52,61,0,9,,,Uncertified (past due),6.332692,3.34551,18.7,2011-06-08 00:00,15.1,2011-07-20 00:00,15.0,2011-07-08 00:00,11.1,2011-08-19 00:00,,,,,18.7,15.1,15.0,10.2,7.9,5.8,3.1,AJ,W. ALTON JONES CAMPUS URI PARKERFIELD WE,Rhode Island,Kent,,39300,"Providence-Warwick, RI-MA",2021-11-08
44,003,0002,88101,2,41.615237,-71.72,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,Daily Mean,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,52,85.0,N,52,61,0,9,0.0,0.0,Uncertified (past due),6.332692,3.34551,18.7,2011-06-08 00:00,15.1,2011-07-20 00:00,15.0,2011-07-08 00:00,11.1,2011-08-19 00:00,,,,,18.7,15.1,15.0,10.2,7.9,5.8,3.1,AJ,W. ALTON JONES CAMPUS URI PARKERFIELD WE,Rhode Island,Kent,,39300,"Providence-Warwick, RI-MA",2021-11-08
44,003,0002,88101,2,41.615237,-71.72,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 1997,Quarterly Means of Daily Means,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,52,85.0,N,52,61,0,9,,,Uncertified (past due),6.332692,3.34551,18.7,2011-06-08 00:00,15.1,2011-07-20 00:00,15.0,2011-07-08 00:00,11.1,2011-08-19 00:00,,,,,18.7,15.1,15.0,10.2,7.9,5.8,3.1,AJ,W. ALTON JONES CAMPUS URI PARKERFIELD WE,Rhode Island,Kent,,39300,"Providence-Warwick, RI-MA",2021-11-08
44,003,0002,81102,1,41.615237,-71.72,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,HI-VOL SA/GMW-1200 - GRAVIMETRIC,2011,Micrograms/cubic meter (25 C),No Events,60,98.0,Y,60,61,0,1,0.0,0.0,Uncertified (past due),8.75,4.956164,24.0,2011-06-02 00:00,23.0,2011-05-27 00:00,22.0,2011-06-08 00:00,18.0,2011-07-20 00:00,,,,,24.0,23.0,22.0,16.0,11.0,8.0,4.0,AJ,W. ALTON JONES CAMPUS URI PARKERFIELD WE,Rhode Island,Kent,,39300,"Providence-Warwick, RI-MA",2021-11-08
44,003,0002,44201,1,41.615237,-71.72,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2011,Parts per million,No Events,5575,96.0,Y,175,183,0,305,0.0,0.0,Uncertified (past due),0.05244,0.015272,0.11,2011-07-06 15:00,0.102,2011-07-11 16:00,0.09,2011-06-21 17:00,0.089,2011-07-18 15:00,,,,,0.102,0.089,0.081,0.071,0.061,0.053,0.044,AJ,W. ALTON JONES CAMPUS URI PARKERFIELD WE,Rhode Island,Kent,,39300,"Providence-Warwick, RI-MA",2021-11-30
44,003,0002,44201,1,41.615237,-71.72,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,5586,94.0,Y,172,183,0,0,0.0,0.0,Uncertified (past due),0.04632,0.012591,0.084,2011-07-06 11:00,0.081,2011-07-11 11:00,0.078,2011-06-08 10:00,0.075,2011-07-22 09:00,,,,,0.081,0.075,0.067,0.063,0.055,0.048,0.04,AJ,W. ALTON JONES CAMPUS URI PARKERFIELD WE,Rhode Island,Kent,,39300,"Providence-Warwick, RI-MA",2021-11-30
44,003,0002,44201,1,41.615237,-71.72,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,5586,95.0,Y,173,183,0,0,4.0,4.0,Uncertified (past due),0.046509,0.012797,0.084,2011-07-06 11:00,0.081,2011-07-11 11:00,0.079,2011-06-21 11:00,0.078,2011-06-08 10:00,,,,,0.081,0.078,0.067,0.063,0.055,0.048,0.04,AJ,W. ALTON JONES CAMPUS URI PARKERFIELD WE,Rhode Island,Kent,,39300,"Providence-Warwick, RI-MA",2021-11-30
44,003,0002,44201,1,41.615237,-71.72,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2011,Parts per million,No Events,3967,92.0,Y,168,183,0,0,7.0,7.0,Uncertified (past due),0.04628,0.012984,0.084,2011-07-06 11:00,0.081,2011-07-11 11:00,0.079,2011-06-21 11:00,0.078,2011-06-08 10:00,,,,,0.081,0.078,0.067,0.063,0.055,0.048,0.04,AJ,W. ALTON JONES CAMPUS URI PARKERFIELD WE,Rhode Island,Kent,,39300,"Providence-Warwick, RI-MA",2021-11-30
44,007,0012,42401,1,41.825556,-71.405278,NAD83,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,2011,Parts per billion,No Events,7308,83.0,N,303,365,0,1452,0.0,,Uncertified (past due),4.287129,5.036299,24.0,2011-01-26 05:00,23.0,2011-02-12 07:00,21.0,2011-01-16 18:00,21.0,2011-01-30 08:00,,,,,21.0,21.0,16.0,13.0,5.0,2.0,0.0,Rockefeller Library,"ROCKEFELLER LIBRARY, PROSPECT STREET.",Rhode Island,Providence,Providence,39300,"Providence-Warwick, RI-MA",2021-11-09
44,007,1010,42401,1,41.841039,-71.36097,NAD83,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE,2011,Parts per billion,No Events,7820,89.0,Y,332,365,0,940,0.0,,Uncertified (past due),3.629518,5.14251,30.0,2011-01-24 22:00,28.0,2011-01-26 06:00,27.0,2011-01-30 08:00,26.0,2011-02-12 07:00,,,,,26.0,23.0,14.0,10.0,5.0,2.0,0.0, FRANCIS SCHOOL East Providence,"FRANCIS SCHOOL, 64 BOURNE AVE",Rhode Island,Providence,East Providence,39300,"Providence-Warwick, RI-MA",2021-11-09
44,007,0012,42602,1,41.825556,-71.405278,NAD83,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,2011,Parts per billion,No Events,7970,91.0,Y,332,365,0,790,0.0,,Uncertified (past due),22.042169,10.501533,63.0,2011-02-12 06:00,52.0,2011-02-24 08:00,49.0,2011-01-25 08:00,49.0,2011-01-28 07:00,,,,,49.0,45.0,41.0,38.0,29.0,20.0,10.0,Rockefeller Library,"ROCKEFELLER LIBRARY, PROSPECT STREET.",Rhode Island,Providence,Providence,39300,"Providence-Warwick, RI-MA",2021-11-09
44,007,1010,42602,1,41.841039,-71.36097,NAD83,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,"Instrumental - Chemiluminescence Thermo Electron 42C-TL, 42i-TL",2011,Parts per billion,No Events,3438,39.0,N,144,365,0,234,0.0,,Uncertified (past due),12.034722,5.575186,31.0,2011-10-18 06:00,30.0,2011-10-31 09:00,27.0,2011-07-06 07:00,23.0,2011-07-23 03:00,,,,,30.0,27.0,22.0,20.0,15.0,11.0,6.0, FRANCIS SCHOOL East Providence,"FRANCIS SCHOOL, 64 BOURNE AVE",Rhode Island,Providence,East Providence,39300,"Providence-Warwick, RI-MA",2021-11-09
44,007,1010,42101,1,41.841039,-71.36097,NAD83,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - Gas Filter Correlation Thermo Electron 48i-TLE,2011,Parts per million,No Events,8045,92.0,Y,357,365,0,715,0.0,0.0,Uncertified (past due),0.231904,0.149033,1.8,2011-01-26 07:00,1.8,2011-02-11 07:00,1.7,2011-02-07 07:00,1.63,2011-12-13 08:00,,,,,0.9,0.72,0.5,0.35,0.24,0.2,0.13, FRANCIS SCHOOL East Providence,"FRANCIS SCHOOL, 64 BOURNE AVE",Rhode Island,Providence,East Providence,39300,"Providence-Warwick, RI-MA",2021-11-08
44,007,1010,42101,1,41.841039,-71.36097,NAD83,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2011,Parts per million,No Events,7877,90.0,Y,358,365,0,0,0.0,0.0,Uncertified (past due),0.233109,0.129727,1.4,2011-01-26 07:00,1.4,2011-01-26 08:00,1.4,2011-01-26 09:00,1.3,2011-01-26 04:00,1.4,2011-01-26 07:00,1.3,2011-01-26 12:00,0.8,0.7,0.5,0.4,0.2,0.2,0.1, FRANCIS SCHOOL East Providence,"FRANCIS SCHOOL, 64 BOURNE AVE",Rhode Island,Providence,East Providence,39300,"Providence-Warwick, RI-MA",2021-11-08
44,007,0012,42401,1,41.825556,-71.405278,NAD83,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2011,Parts per billion,No Events,2357,81.0,N,300,365,0,0,,0.0,Uncertified (past due),1.397157,2.575966,20.3,2011-02-12 08:00,18.6,2011-01-26 05:00,18.0,2011-01-24 23:00,17.3,2011-02-10 20:00,,,,,13.3,10.6,7.0,4.0,1.6,0.3,0.0,Rockefeller Library,"ROCKEFELLER LIBRARY, PROSPECT STREET.",Rhode Island,Providence,Providence,39300,"Providence-Warwick, RI-MA",2021-11-09
