state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
45,001,0001,44201,1,34.325318,-82.386376,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2006,Parts per million,No Events,5338,100.0,Y,214,214,0,86,0.0,0,Certified,0.057523,0.013194,0.102,2006-06-21 12:00,0.097,2006-04-24 16:00,0.097,2006-04-25 17:00,0.087,2006-06-11 17:00,,,,,0.097,0.085,0.08,0.073,0.066,0.059,0.042,DUE WEST,59 JIM SCOTT LANE [Due West],South Carolina,Abbeville,Due West,24940,"Greenwood, SC",2021-12-26
45,001,0001,44201,1,34.325318,-82.386376,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,5324,99.0,Y,212,214,0,0,2.0,2,Certified,0.05216,0.012658,0.092,2006-06-21 11:00,0.086,2006-04-24 11:00,0.084,2006-04-25 13:00,0.079,2006-06-11 12:00,,,,,0.084,0.078,0.074,0.066,0.061,0.053,0.038,DUE WEST,59 JIM SCOTT LANE [Due West],South Carolina,Abbeville,Due West,24940,"Greenwood, SC",2021-12-26
45,001,0001,44201,1,34.325318,-82.386376,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,5324,99.0,Y,212,214,0,0,9.0,9,Certified,0.05216,0.012658,0.092,2006-06-21 11:00,0.086,2006-04-24 11:00,0.084,2006-04-25 13:00,0.079,2006-06-11 12:00,,,,,0.084,0.078,0.074,0.066,0.061,0.053,0.038,DUE WEST,59 JIM SCOTT LANE [Due West],South Carolina,Abbeville,Due West,24940,"Greenwood, SC",2021-12-26
45,001,0001,44201,1,34.325318,-82.386376,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2006,Parts per million,No Events,3787,100.0,Y,213,214,0,0,15.0,15,Certified,0.051939,0.01279,0.092,2006-06-21 11:00,0.086,2006-04-24 11:00,0.084,2006-04-25 13:00,0.079,2006-06-11 12:00,,,,,0.084,0.078,0.074,0.066,0.06,0.053,0.038,DUE WEST,59 JIM SCOTT LANE [Due West],South Carolina,Abbeville,Due West,24940,"Greenwood, SC",2021-12-26
45,003,0003,42602,2,33.342226,-81.788731,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - CHEMILUMINESCENCE,2006,Parts per billion,No Events,8679,99.0,Y,365,365,0,81,,,Requested but denied,3.375619,2.961796,26.0,2006-04-05 05:00,25.0,2006-12-05 00:00,24.0,2006-12-05 17:00,24.0,2006-12-19 06:00,,,,,14.0,12.0,9.0,7.0,5.0,3.0,0.0,JACKSON MIDDLE SCHOOL,8217 ATOMIC ROAD (INDIAN DRIVE) [Jackson],South Carolina,Aiken,Jackson,12260,"Augusta-Richmond County, GA-SC",2021-11-09
45,003,0003,42602,2,33.342226,-81.788731,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,2006,Parts per billion,No Events,8679,99.0,Y,365,365,0,81,0.0,,Requested but denied,8.430137,4.686158,26.0,2006-04-05 05:00,25.0,2006-12-05 00:00,24.0,2006-12-19 06:00,23.0,2006-03-14 10:00,,,,,23.0,22.0,17.0,15.0,11.0,8.0,4.0,JACKSON MIDDLE SCHOOL,8217 ATOMIC ROAD (INDIAN DRIVE) [Jackson],South Carolina,Aiken,Jackson,12260,"Augusta-Richmond County, GA-SC",2021-11-09
45,003,0003,44201,2,33.342226,-81.788731,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2006,Parts per million,No Events,5670,99.0,Y,212,214,0,66,0.0,0.0,Certified,0.056887,0.012635,0.086,2006-08-04 11:00,0.084,2006-06-10 12:00,0.084,2006-10-04 15:00,0.083,2006-04-25 11:00,,,,,0.084,0.08,0.077,0.073,0.066,0.058,0.043,JACKSON MIDDLE SCHOOL,8217 ATOMIC ROAD (INDIAN DRIVE) [Jackson],South Carolina,Aiken,Jackson,12260,"Augusta-Richmond County, GA-SC",2021-12-26
45,003,0003,44201,2,33.342226,-81.788731,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,5667,99.0,Y,212,214,0,0,0.0,0.0,Certified,0.050967,0.011907,0.075,2006-06-07 11:00,0.074,2006-04-24 11:00,0.074,2006-10-04 11:00,0.073,2006-06-10 10:00,,,,,0.074,0.073,0.071,0.067,0.06,0.052,0.039,JACKSON MIDDLE SCHOOL,8217 ATOMIC ROAD (INDIAN DRIVE) [Jackson],South Carolina,Aiken,Jackson,12260,"Augusta-Richmond County, GA-SC",2021-12-26
45,003,0003,44201,2,33.342226,-81.788731,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,5667,99.0,Y,212,214,0,0,0.0,0.0,Certified,0.050967,0.011907,0.075,2006-06-07 11:00,0.074,2006-04-24 11:00,0.074,2006-10-04 11:00,0.073,2006-06-10 10:00,,,,,0.074,0.073,0.071,0.067,0.06,0.052,0.039,JACKSON MIDDLE SCHOOL,8217 ATOMIC ROAD (INDIAN DRIVE) [Jackson],South Carolina,Aiken,Jackson,12260,"Augusta-Richmond County, GA-SC",2021-12-26
45,003,0003,44201,2,33.342226,-81.788731,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2006,Parts per million,No Events,4018,99.0,Y,212,214,0,0,11.0,11.0,Certified,0.05091,0.011953,0.075,2006-06-07 11:00,0.074,2006-04-24 11:00,0.074,2006-10-04 11:00,0.073,2006-06-10 10:00,,,,,0.074,0.073,0.071,0.067,0.061,0.052,0.039,JACKSON MIDDLE SCHOOL,8217 ATOMIC ROAD (INDIAN DRIVE) [Jackson],South Carolina,Aiken,Jackson,12260,"Augusta-Richmond County, GA-SC",2021-12-26
45,003,0003,81102,1,33.342226,-81.788731,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,HI-VOL SA/GMW-1200 - GRAVIMETRIC,2006,Micrograms/cubic meter (25 C),No Events,59,97.0,Y,59,61,0,2,0.0,0.0,Certified,20.084746,7.259448,36.0,2006-08-03 00:00,35.0,2006-03-30 00:00,34.0,2006-07-28 00:00,33.0,2006-05-23 00:00,,,,,36.0,35.0,34.0,31.0,26.0,20.0,11.0,JACKSON MIDDLE SCHOOL,8217 ATOMIC ROAD (INDIAN DRIVE) [Jackson],South Carolina,Aiken,Jackson,12260,"Augusta-Richmond County, GA-SC",2021-11-08
45,003,0003,88101,1,33.342226,-81.788731,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,92,75.0,N,92,122,0,2,0.0,0.0,Certified,14.373913,6.26262,29.4,2006-09-11 00:00,28.5,2006-08-03 00:00,27.3,2006-07-01 00:00,26.8,2006-03-30 00:00,,,,,29.4,28.5,25.1,23.0,19.6,13.4,7.1,JACKSON MIDDLE SCHOOL,8217 ATOMIC ROAD (INDIAN DRIVE) [Jackson],South Carolina,Aiken,Jackson,12260,"Augusta-Richmond County, GA-SC",2021-11-09
45,003,0003,88101,1,33.342226,-81.788731,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,92,75.0,N,92,122,0,2,,,Certified,14.373913,6.26262,29.4,2006-09-11 00:00,28.5,2006-08-03 00:00,27.3,2006-07-01 00:00,26.8,2006-03-30 00:00,,,,,29.4,28.5,25.1,23.0,19.6,13.4,7.1,JACKSON MIDDLE SCHOOL,8217 ATOMIC ROAD (INDIAN DRIVE) [Jackson],South Carolina,Aiken,Jackson,12260,"Augusta-Richmond County, GA-SC",2021-11-09
45,003,0003,88101,1,33.342226,-81.788731,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,92,75.0,N,92,122,0,2,0.0,0.0,Certified,14.373913,6.26262,29.4,2006-09-11 00:00,28.5,2006-08-03 00:00,27.3,2006-07-01 00:00,26.8,2006-03-30 00:00,,,,,29.4,28.5,25.1,23.0,19.6,13.4,7.1,JACKSON MIDDLE SCHOOL,8217 ATOMIC ROAD (INDIAN DRIVE) [Jackson],South Carolina,Aiken,Jackson,12260,"Augusta-Richmond County, GA-SC",2021-11-09
