state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
46,011,0002,81102,1,44.310283,-96.80071,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,HI-VOL SA/GMW-1200 - GRAVIMETRIC,2006,Micrograms/cubic meter (25 C),No Events,113,93.0,Y,113,122,0,8,0.0,0.0,Certified,21.460177,13.606088,77.0,2006-11-04 00:00,70.0,2006-07-07 00:00,57.0,2006-05-23 00:00,49.0,2006-09-14 00:00,,,,,70.0,57.0,45.0,40.0,30.0,18.0,7.0,,BROOKINGS CITY HALL BUILDING,South Dakota,Brookings,Brookings,15100,"Brookings, SD",2021-11-08
46,011,0002,88101,1,44.310283,-96.80071,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Andersen RAAS2.5-100 PM2.5 SAM w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,114,93.0,Y,113,122,0,8,0.0,0.0,Certified,8.862281,4.258472,26.2,2006-06-28 00:00,21.9,2006-10-26 00:00,21.6,2006-12-28 00:00,18.9,2006-07-04 00:00,,,,,21.9,21.6,17.5,14.5,10.8,7.8,4.5,,BROOKINGS CITY HALL BUILDING,South Dakota,Brookings,Brookings,15100,"Brookings, SD",2021-11-09
46,011,0002,88101,1,44.310283,-96.80071,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-100 PM2.5 SAM w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,114,93.0,Y,113,122,0,8,,,Certified,8.862281,4.258472,26.2,2006-06-28 00:00,21.9,2006-10-26 00:00,21.6,2006-12-28 00:00,18.9,2006-07-04 00:00,,,,,21.9,21.6,17.5,14.5,10.8,7.8,4.5,,BROOKINGS CITY HALL BUILDING,South Dakota,Brookings,Brookings,15100,"Brookings, SD",2021-11-09
46,011,0002,88101,1,44.310283,-96.80071,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,Andersen RAAS2.5-100 PM2.5 SAM w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,114,93.0,Y,113,122,0,8,0.0,0.0,Certified,8.862281,4.258472,26.2,2006-06-28 00:00,21.9,2006-10-26 00:00,21.6,2006-12-28 00:00,18.9,2006-07-04 00:00,,,,,21.9,21.6,17.5,14.5,10.8,7.8,4.5,,BROOKINGS CITY HALL BUILDING,South Dakota,Brookings,Brookings,15100,"Brookings, SD",2021-11-09
46,011,0002,88101,1,44.310283,-96.80071,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,Andersen RAAS2.5-100 PM2.5 SAM w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,114,93.0,Y,113,122,0,8,,,Certified,8.862281,4.258472,26.2,2006-06-28 00:00,21.9,2006-10-26 00:00,21.6,2006-12-28 00:00,18.9,2006-07-04 00:00,,,,,21.9,21.6,17.5,14.5,10.8,7.8,4.5,,BROOKINGS CITY HALL BUILDING,South Dakota,Brookings,Brookings,15100,"Brookings, SD",2021-11-09
46,011,0002,88101,1,44.310283,-96.80071,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,Daily Mean,Andersen RAAS2.5-100 PM2.5 SAM w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,114,93.0,Y,113,122,0,8,0.0,0.0,Certified,8.862281,4.258472,26.2,2006-06-28 00:00,21.9,2006-10-26 00:00,21.6,2006-12-28 00:00,18.9,2006-07-04 00:00,,,,,21.9,21.6,17.5,14.5,10.8,7.8,4.5,,BROOKINGS CITY HALL BUILDING,South Dakota,Brookings,Brookings,15100,"Brookings, SD",2021-11-09
46,011,0002,88101,1,44.310283,-96.80071,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 1997,Quarterly Means of Daily Means,Andersen RAAS2.5-100 PM2.5 SAM w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,114,93.0,Y,113,122,0,8,,,Certified,8.862281,4.258472,26.2,2006-06-28 00:00,21.9,2006-10-26 00:00,21.6,2006-12-28 00:00,18.9,2006-07-04 00:00,,,,,21.9,21.6,17.5,14.5,10.8,7.8,4.5,,BROOKINGS CITY HALL BUILDING,South Dakota,Brookings,Brookings,15100,"Brookings, SD",2021-11-09
46,013,0003,81102,1,45.4625,-98.486111,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,HI-VOL SA/GMW-1200 - GRAVIMETRIC,2006,Micrograms/cubic meter (25 C),No Events,120,100.0,Y,61,61,0,2,0.0,0.0,Certified,18.841667,10.96978,57.0,2006-07-13 00:00,51.0,2006-10-26 00:00,50.0,2006-07-28 00:00,48.0,2006-07-16 00:00,,,,,51.0,50.0,42.0,34.0,24.0,17.0,8.0,ON TOP OF THE FIRE STATION #1 ROOF,111 2ND AVE SE FIRE STATION #1 ABERDEEN,South Dakota,Brown,Aberdeen,10100,"Aberdeen, SD",2021-11-08
46,013,0003,88101,1,45.4625,-98.486111,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Andersen RAAS2.5-100 PM2.5 SAM w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,121,100.0,Y,61,61,0,1,0.0,0.0,Certified,8.195868,3.638667,21.8,2006-07-01 00:00,20.5,2006-07-04 00:00,18.1,2006-02-28 00:00,17.4,2006-07-07 00:00,,,,,21.8,20.5,17.4,14.2,11.5,10.4,7.6,ON TOP OF THE FIRE STATION #1 ROOF,111 2ND AVE SE FIRE STATION #1 ABERDEEN,South Dakota,Brown,Aberdeen,10100,"Aberdeen, SD",2021-11-09
46,013,0003,88101,1,45.4625,-98.486111,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Andersen RAAS2.5-100 PM2.5 SAM w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,121,100.0,Y,61,61,0,1,,,Certified,8.195868,3.638667,21.8,2006-07-01 00:00,20.5,2006-07-04 00:00,18.1,2006-02-28 00:00,17.4,2006-07-07 00:00,,,,,21.8,20.5,17.4,14.2,11.5,10.4,7.6,ON TOP OF THE FIRE STATION #1 ROOF,111 2ND AVE SE FIRE STATION #1 ABERDEEN,South Dakota,Brown,Aberdeen,10100,"Aberdeen, SD",2021-11-09
