state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
47,001,0028,42401,1,36.027857,-84.151307,WGS84,Sulfur dioxide,1,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,2006,Parts per billion,No Events,8629,99.0,Y,360,365,0,131,,,Uncertified (past due),2.293429,5.132584,121.0,2006-12-27 13:00,100.0,2006-09-08 12:00,93.0,2006-09-08 14:00,91.0,2006-09-08 13:00,,,,,21.0,14.0,7.0,4.0,1.0,1.0,1.0,,TVA BULL RUN 26__0.5 MI NE BULL RUN FP,Tennessee,Anderson,Not in a city,28940,"Knoxville, TN",2021-11-09
47,001,0028,42401,1,36.027857,-84.151307,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,2006,Parts per billion,No Events,8629,99.0,Y,360,365,0,131,5.0,,Uncertified (past due),10.588889,15.485743,121.0,2006-12-27 13:00,100.0,2006-09-08 12:00,88.0,2006-12-05 12:00,84.0,2006-06-23 12:00,,,,,84.0,60.0,40.0,26.0,13.0,5.0,1.0,,TVA BULL RUN 26__0.5 MI NE BULL RUN FP,Tennessee,Anderson,Not in a city,28940,"Knoxville, TN",2021-11-09
47,001,0028,42401,1,36.027857,-84.151307,WGS84,Sulfur dioxide,X,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,2006,Parts per billion,No Events,360,99.0,Y,360,365,0,0,0.0,,Uncertified (past due),2.303333,2.233722,24.6,2006-12-27 00:00,15.4,2006-12-05 00:00,15.0,2006-09-08 00:00,10.1,2006-06-23 00:00,,,,,10.1,7.6,5.9,4.6,2.8,1.5,1.0,,TVA BULL RUN 26__0.5 MI NE BULL RUN FP,Tennessee,Anderson,Not in a city,28940,"Knoxville, TN",2021-11-09
47,001,0028,42401,1,36.027857,-84.151307,WGS84,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2006,Parts per billion,No Events,2858,98.0,Y,359,365,0,0,,0.0,Uncertified (past due),2.260392,4.217932,94.6,2006-09-08 14:00,64.0,2006-12-27 20:00,60.3,2006-06-20 14:00,60.0,2006-06-23 14:00,,,,,18.3,13.3,7.6,4.6,1.6,1.0,1.0,,TVA BULL RUN 26__0.5 MI NE BULL RUN FP,Tennessee,Anderson,Not in a city,28940,"Knoxville, TN",2021-11-09
47,001,0101,44201,1,35.964969,-84.22317,NAD83,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2006,Parts per million,No Events,5568,100.0,Y,244,245,0,312,0.0,0.0,Certified,0.058451,0.016148,0.117,2006-07-19 12:00,0.113,2006-05-31 13:00,0.101,2006-07-18 12:00,0.095,2006-08-24 15:00,,,,,0.101,0.09,0.085,0.076,0.069,0.059,0.039,Freel's Bend O3 and previously also SO2 monitoring,FREELS BEND_STUDY AREA MELTON LAKE Oak Ridge National Lab Reservation,Tennessee,Anderson,Oak Ridge,28940,"Knoxville, TN",2021-12-26
47,001,0101,44201,1,35.964969,-84.22317,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,5843,99.0,Y,243,245,0,0,2.0,2.0,Certified,0.05065,0.014867,0.107,2006-07-19 11:00,0.087,2006-07-18 10:00,0.083,2006-06-16 10:00,0.08,2006-05-24 10:00,,,,,0.083,0.08,0.074,0.069,0.06,0.051,0.031,Freel's Bend O3 and previously also SO2 monitoring,FREELS BEND_STUDY AREA MELTON LAKE Oak Ridge National Lab Reservation,Tennessee,Anderson,Oak Ridge,28940,"Knoxville, TN",2021-12-26
47,001,0101,44201,1,35.964969,-84.22317,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,5843,99.0,Y,243,245,0,0,10.0,10.0,Certified,0.05065,0.014867,0.107,2006-07-19 11:00,0.087,2006-07-18 10:00,0.083,2006-06-16 10:00,0.08,2006-05-24 10:00,,,,,0.083,0.08,0.074,0.069,0.06,0.051,0.031,Freel's Bend O3 and previously also SO2 monitoring,FREELS BEND_STUDY AREA MELTON LAKE Oak Ridge National Lab Reservation,Tennessee,Anderson,Oak Ridge,28940,"Knoxville, TN",2021-12-26
47,001,0101,44201,1,35.964969,-84.22317,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2006,Parts per million,No Events,4145,99.0,Y,243,245,0,0,20.0,20.0,Certified,0.050593,0.014937,0.107,2006-07-19 11:00,0.087,2006-07-18 10:00,0.083,2006-06-16 10:00,0.08,2006-05-24 10:00,,,,,0.083,0.08,0.074,0.069,0.06,0.052,0.031,Freel's Bend O3 and previously also SO2 monitoring,FREELS BEND_STUDY AREA MELTON LAKE Oak Ridge National Lab Reservation,Tennessee,Anderson,Oak Ridge,28940,"Knoxville, TN",2021-12-26
47,009,0006,42401,1,35.768056,-83.976667,WGS84,Sulfur dioxide,1,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,2006,Parts per billion,No Events,8219,94.0,Y,358,365,0,541,,,Uncertified (past due),3.31898,6.740311,91.5,2006-11-25 11:00,90.4,2006-07-07 00:00,89.2,2006-07-07 01:00,80.4,2006-10-07 03:00,,,,,33.6,23.4,15.0,9.0,3.3,0.9,0.0,,RANKIN RD. & JOULE ST.,Tennessee,Blount,Alcoa,28940,"Knoxville, TN",2021-11-09
47,009,0006,42401,1,35.768056,-83.976667,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,2006,Parts per billion,No Events,8219,94.0,Y,358,365,0,541,5.0,,Uncertified (past due),14.631844,15.011323,91.5,2006-11-25 11:00,90.4,2006-07-07 00:00,80.4,2006-10-07 03:00,79.4,2006-12-18 11:00,,,,,79.4,64.9,44.2,31.5,20.4,10.3,1.9,,RANKIN RD. & JOULE ST.,Tennessee,Blount,Alcoa,28940,"Knoxville, TN",2021-11-09
