state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
48,027,1047,44201,1,31.088002,-97.679734,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2017,Parts per million,No Events,8659,99.0,Y,272,275,0,101,0.0,0,Certified,0.050033,0.010269,0.077,2017-04-07 14:00,0.077,2017-09-13 17:00,0.075,2017-05-07 18:00,0.074,2017-05-02 13:00,,,,,0.075,0.074,0.07,0.065,0.057,0.05,0.043,Killeen Skylark Field,1605 Stone Tree Drive,Texas,Bell,Killeen,28660,"Killeen-Temple, TX",2021-11-08
48,027,1047,44201,1,31.088002,-97.679734,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,8717,99.0,Y,273,275,0,0,0.0,0,Certified,0.044835,0.009894,0.071,2017-04-07 11:00,0.069,2017-05-07 11:00,0.069,2017-09-13 10:00,0.068,2017-04-24 11:00,,,,,0.069,0.067,0.064,0.059,0.051,0.045,0.038,Killeen Skylark Field,1605 Stone Tree Drive,Texas,Bell,Killeen,28660,"Killeen-Temple, TX",2021-11-08
48,027,1047,44201,1,31.088002,-97.679734,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,8717,99.0,Y,273,275,0,0,0.0,0,Certified,0.044835,0.009894,0.071,2017-04-07 11:00,0.069,2017-05-07 11:00,0.069,2017-09-13 10:00,0.068,2017-04-24 11:00,,,,,0.069,0.067,0.064,0.059,0.051,0.045,0.038,Killeen Skylark Field,1605 Stone Tree Drive,Texas,Bell,Killeen,28660,"Killeen-Temple, TX",2021-11-08
48,027,1047,44201,1,31.088002,-97.679734,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2017,Parts per million,No Events,6168,99.0,Y,273,275,0,0,1.0,1,Certified,0.044791,0.009962,0.071,2017-04-07 11:00,0.069,2017-05-07 11:00,0.069,2017-09-13 10:00,0.068,2017-04-24 11:00,,,,,0.069,0.067,0.064,0.059,0.051,0.045,0.038,Killeen Skylark Field,1605 Stone Tree Drive,Texas,Bell,Killeen,28660,"Killeen-Temple, TX",2021-11-08
48,027,1045,44201,1,31.122419,-97.431052,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2017,Parts per million,No Events,8634,99.0,Y,273,275,0,126,0.0,0,Certified,0.050659,0.011102,0.087,2017-09-13 16:00,0.079,2017-05-06 16:00,0.078,2017-05-01 17:00,0.078,2017-06-07 18:00,,,,,0.078,0.077,0.072,0.066,0.058,0.051,0.043,Temple Georgia,8406 Georgia Avenue,Texas,Bell,Temple,28660,"Killeen-Temple, TX",2021-11-08
48,027,1045,44201,1,31.122419,-97.431052,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,8689,99.0,Y,272,275,0,0,0.0,0,Certified,0.045676,0.010719,0.08,2017-09-13 10:00,0.075,2017-05-06 10:00,0.072,2017-05-07 11:00,0.072,2017-06-07 12:00,,,,,0.072,0.069,0.065,0.061,0.053,0.046,0.038,Temple Georgia,8406 Georgia Avenue,Texas,Bell,Temple,28660,"Killeen-Temple, TX",2021-11-08
48,027,1045,44201,1,31.122419,-97.431052,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,8689,99.0,Y,272,275,0,0,1.0,1,Certified,0.045676,0.010719,0.08,2017-09-13 10:00,0.075,2017-05-06 10:00,0.072,2017-05-07 11:00,0.072,2017-06-07 12:00,,,,,0.072,0.069,0.065,0.061,0.053,0.046,0.038,Temple Georgia,8406 Georgia Avenue,Texas,Bell,Temple,28660,"Killeen-Temple, TX",2021-11-08
48,027,1045,44201,1,31.122419,-97.431052,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2017,Parts per million,No Events,6157,99.0,Y,273,275,0,0,4.0,4,Certified,0.045615,0.010768,0.08,2017-09-13 10:00,0.075,2017-05-06 10:00,0.072,2017-05-07 11:00,0.072,2017-06-07 12:00,,,,,0.072,0.069,0.065,0.061,0.053,0.046,0.038,Temple Georgia,8406 Georgia Avenue,Texas,Bell,Temple,28660,"Killeen-Temple, TX",2021-11-08
48,029,1069,42101,1,29.529432,-98.391403,NAD83,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,2017,Parts per million,No Events,8538,97.0,Y,363,365,0,222,0.0,0.0,Certified,0.356945,0.150308,1.7,2017-01-30 07:00,1.7,2017-10-30 07:00,1.6,2017-10-18 07:00,1.6,2017-12-10 21:00,,,,,1.0,0.8,0.6,0.5,0.4,0.3,0.2,San Antonio Interstate 35,9904 IH 35 N,Texas,Bexar,San Antonio,41700,"San Antonio-New Braunfels, TX",2021-11-08
48,029,1069,42101,1,29.529432,-98.391403,NAD83,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2017,Parts per million,No Events,8589,98.0,Y,363,365,0,0,0.0,0.0,Certified,0.360112,0.120459,1.1,2017-02-08 02:00,1.1,2017-02-08 03:00,1.1,2017-02-08 04:00,1.1,2017-12-11 00:00,1.1,2017-02-08 02:00,1.1,2017-12-11 00:00,0.8,0.7,0.6,0.5,0.4,0.3,0.3,San Antonio Interstate 35,9904 IH 35 N,Texas,Bexar,San Antonio,41700,"San Antonio-New Braunfels, TX",2021-11-08
