state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
49,003,7001,44201,1,41.945874,-112.233973,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2006,Parts per million,No Events,3230,86.0,Y,131,153,0,1066,0.0,0.0,Uncertified (past due),0.063137,0.009043,0.082,2006-06-12 17:00,0.081,2006-07-14 12:00,0.081,2006-08-19 16:00,0.08,2006-07-18 13:00,,,,,0.081,0.081,0.079,0.073,0.07,0.063,0.052,WASHAKIE,"8600 WEST 24000 NORTH PORTAGE, UTAH",Utah,Box Elder,,36260,"Ogden-Clearfield, UT",2021-12-26
49,003,7001,44201,1,41.945874,-112.233973,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,3229,85.0,Y,130,153,0,0,0.0,0.0,Uncertified (past due),0.058023,0.008489,0.076,2006-07-14 11:00,0.076,2006-07-15 10:00,0.076,2006-07-20 10:00,0.076,2006-07-22 11:00,,,,,0.076,0.076,0.072,0.067,0.064,0.059,0.049,WASHAKIE,"8600 WEST 24000 NORTH PORTAGE, UTAH",Utah,Box Elder,,36260,"Ogden-Clearfield, UT",2021-12-26
49,003,7001,44201,1,41.945874,-112.233973,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,3229,86.0,Y,131,153,0,0,5.0,5.0,Uncertified (past due),0.058183,0.008653,0.079,2006-06-12 09:00,0.076,2006-07-14 11:00,0.076,2006-07-15 10:00,0.076,2006-07-20 10:00,,,,,0.076,0.076,0.073,0.067,0.064,0.059,0.049,WASHAKIE,"8600 WEST 24000 NORTH PORTAGE, UTAH",Utah,Box Elder,,36260,"Ogden-Clearfield, UT",2021-12-26
49,003,7001,44201,1,41.945874,-112.233973,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2006,Parts per million,No Events,2287,86.0,Y,131,153,0,0,9.0,9.0,Uncertified (past due),0.058008,0.008952,0.079,2006-06-12 09:00,0.076,2006-07-14 11:00,0.076,2006-07-15 10:00,0.076,2006-07-20 10:00,,,,,0.076,0.076,0.073,0.067,0.064,0.059,0.048,WASHAKIE,"8600 WEST 24000 NORTH PORTAGE, UTAH",Utah,Box Elder,,36260,"Ogden-Clearfield, UT",2021-12-26
49,003,0003,44201,1,41.492707,-112.018863,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2006,Parts per million,Events Excluded,3173,87.0,Y,133,153,0,451,0.0,0.0,Uncertified (past due),0.061763,0.012822,0.092,2006-06-28 13:00,0.09,2006-07-23 11:00,0.089,2006-07-19 13:00,0.087,2006-06-12 16:00,,,,,0.09,0.089,0.085,0.078,0.069,0.062,0.047,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,36260,"Ogden-Clearfield, UT",2021-12-26
49,003,0003,44201,1,41.492707,-112.018863,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2006,Parts per million,Events Included,3221,87.0,Y,133,153,48,451,0.0,0.0,Uncertified (past due),0.062226,0.013269,0.094,2006-07-14 13:00,0.092,2006-06-28 13:00,0.091,2006-07-16 17:00,0.09,2006-07-23 11:00,,,,,0.092,0.091,0.087,0.078,0.069,0.062,0.047,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,36260,"Ogden-Clearfield, UT",2021-12-26
49,003,0003,44201,1,41.492707,-112.018863,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2006,Parts per million,Concurred Events Excluded,3221,87.0,Y,133,153,48,451,0.0,0.0,Uncertified (past due),0.062226,0.013269,0.094,2006-07-14 13:00,0.092,2006-06-28 13:00,0.091,2006-07-16 17:00,0.09,2006-07-23 11:00,,,,,0.092,0.091,0.087,0.078,0.069,0.062,0.047,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,36260,"Ogden-Clearfield, UT",2021-12-26
49,003,0003,44201,1,41.492707,-112.018863,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,Events Excluded,3197,87.0,Y,133,153,0,0,0.0,0.0,Uncertified (past due),0.055331,0.012157,0.081,2006-06-12 11:00,0.078,2006-06-11 11:00,0.076,2006-07-15 09:00,0.076,2006-07-19 10:00,,,,,0.078,0.076,0.073,0.068,0.063,0.056,0.042,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,36260,"Ogden-Clearfield, UT",2021-12-26
49,003,0003,44201,1,41.492707,-112.018863,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,Events Excluded,3197,87.0,Y,133,153,0,0,4.0,4.0,Uncertified (past due),0.055331,0.012157,0.081,2006-06-12 11:00,0.078,2006-06-11 11:00,0.076,2006-07-15 09:00,0.076,2006-07-19 10:00,,,,,0.078,0.076,0.073,0.068,0.063,0.056,0.042,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,36260,"Ogden-Clearfield, UT",2021-12-26
49,003,0003,44201,1,41.492707,-112.018863,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2006,Parts per million,Events Excluded,2273,87.0,Y,133,153,0,0,10.0,10.0,Uncertified (past due),0.055504,0.011949,0.081,2006-06-12 11:00,0.078,2006-06-11 11:00,0.076,2006-07-15 09:00,0.076,2006-07-19 10:00,,,,,0.078,0.076,0.073,0.068,0.063,0.056,0.042,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,36260,"Ogden-Clearfield, UT",2021-12-26
