state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
49,003,7001,44201,1,41.945874,-112.233973,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2017,Parts per million,No Events,8726,99.0,Y,362,365,0,34,0.0,0.0,Uncertified (past due),0.040989,0.011566,0.073,2017-08-06 15:00,0.073,2017-09-06 13:00,0.069,2017-06-03 15:00,0.069,2017-09-05 16:00,,,,,0.069,0.067,0.062,0.059,0.047,0.038,0.029,WASHAKIE,"8600 WEST 24000 NORTH PORTAGE, UTAH",Utah,Box Elder,,36260,"Ogden-Clearfield, UT",2021-11-08
49,003,7001,44201,1,41.945874,-112.233973,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,8713,99.0,Y,361,365,0,0,0.0,0.0,Uncertified (past due),0.037801,0.011004,0.068,2017-09-06 11:00,0.065,2017-08-06 10:00,0.064,2017-06-03 10:00,0.063,2017-05-30 12:00,,,,,0.063,0.062,0.058,0.056,0.043,0.035,0.026,WASHAKIE,"8600 WEST 24000 NORTH PORTAGE, UTAH",Utah,Box Elder,,36260,"Ogden-Clearfield, UT",2021-11-08
49,003,7001,44201,1,41.945874,-112.233973,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,8713,99.0,Y,361,365,0,0,0.0,0.0,Uncertified (past due),0.037801,0.011004,0.068,2017-09-06 11:00,0.065,2017-08-06 10:00,0.064,2017-06-03 10:00,0.063,2017-05-30 12:00,,,,,0.063,0.062,0.058,0.056,0.043,0.035,0.026,WASHAKIE,"8600 WEST 24000 NORTH PORTAGE, UTAH",Utah,Box Elder,,36260,"Ogden-Clearfield, UT",2021-11-08
49,003,7001,44201,1,41.945874,-112.233973,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2017,Parts per million,No Events,6172,99.0,Y,361,365,0,0,0.0,0.0,Uncertified (past due),0.037806,0.011057,0.068,2017-09-06 11:00,0.065,2017-08-06 10:00,0.064,2017-06-03 10:00,0.063,2017-05-30 12:00,,,,,0.063,0.062,0.058,0.056,0.043,0.035,0.026,WASHAKIE,"8600 WEST 24000 NORTH PORTAGE, UTAH",Utah,Box Elder,,36260,"Ogden-Clearfield, UT",2021-11-08
49,003,0003,44201,1,41.492707,-112.018863,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2017,Parts per million,No Events,7850,89.0,Y,326,365,0,910,0.0,0.0,Requested but not yet concurred,0.047868,0.013891,0.085,2017-07-04 14:00,0.084,2017-09-06 14:00,0.08,2017-07-05 13:00,0.079,2017-06-26 14:00,,,,,0.079,0.077,0.072,0.068,0.058,0.046,0.029,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,36260,"Ogden-Clearfield, UT",2021-11-08
49,003,0003,44201,1,41.492707,-112.018863,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,7842,89.0,Y,326,365,0,0,0.0,0.0,Requested but not yet concurred,0.04261,0.013737,0.073,2017-07-04 10:00,0.072,2017-09-06 11:00,0.071,2017-07-05 10:00,0.068,2017-06-26 10:00,,,,,0.068,0.067,0.065,0.061,0.053,0.042,0.024,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,36260,"Ogden-Clearfield, UT",2021-11-08
49,003,0003,44201,1,41.492707,-112.018863,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,7842,89.0,Y,326,365,0,0,0.0,0.0,Requested but not yet concurred,0.04261,0.013737,0.073,2017-07-04 10:00,0.072,2017-09-06 11:00,0.071,2017-07-05 10:00,0.068,2017-06-26 10:00,,,,,0.068,0.067,0.065,0.061,0.053,0.042,0.024,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,36260,"Ogden-Clearfield, UT",2021-11-08
49,003,0003,44201,1,41.492707,-112.018863,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2017,Parts per million,No Events,5559,90.0,Y,327,365,0,0,3.0,3.0,Requested but not yet concurred,0.042544,0.013874,0.073,2017-07-04 10:00,0.072,2017-09-06 11:00,0.071,2017-07-05 10:00,0.068,2017-06-26 10:00,,,,,0.068,0.067,0.065,0.061,0.053,0.042,0.023,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,36260,"Ogden-Clearfield, UT",2021-11-08
49,003,0003,88101,3,41.492707,-112.018863,WGS84,PM2.5 - Local Conditions,1,1 HOUR,,Observed Values,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,2017,Micrograms/cubic meter (LC),Events Excluded,7606,87.0,Y,320,365,0,1106,,,Requested but not yet concurred,7.417854,6.066757,51.9,2017-09-07 08:00,50.5,2017-09-07 09:00,49.8,2017-09-07 01:00,49.7,2017-11-16 09:00,,,,,29.4,24.7,19.6,14.5,9.7,5.8,1.7,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,36260,"Ogden-Clearfield, UT",2021-11-08
49,003,0003,88101,3,41.492707,-112.018863,WGS84,PM2.5 - Local Conditions,1,1 HOUR,,Observed Values,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,2017,Micrograms/cubic meter (LC),Events Included,7654,87.0,Y,320,365,48,1106,,,Requested but not yet concurred,7.622851,6.619602,56.8,2017-09-05 20:00,56.2,2017-09-05 21:00,54.8,2017-09-05 22:00,54.0,2017-09-05 23:00,,,,,32.7,26.9,20.6,15.0,9.8,5.9,1.7,Brigham City,"140 W.FISHBURN DRIVE, BRIGHAM CITY, UT",Utah,Box Elder,Brigham City,36260,"Ogden-Clearfield, UT",2021-11-08
