state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
50,003,0004,44201,1,42.88759,-73.24984,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2011,Parts per million,No Events,7439,95.0,Y,174,183,0,1321,0.0,0.0,Uncertified (past due),0.041655,0.011841,0.097,2011-07-20 20:00,0.07,2011-06-08 13:00,0.069,2011-07-17 13:00,0.068,2011-06-07 15:00,,,,,0.07,0.068,0.063,0.058,0.051,0.046,0.041,Morse Airport - State of Vermont Property,230 AIRPORT RD S.,Vermont,Bennington,Bennington,13540,"Bennington, VT",2021-12-01
50,003,0004,44201,1,42.88759,-73.24984,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,7756,92.0,Y,168,183,0,0,0.0,0.0,Uncertified (past due),0.037077,0.010848,0.082,2011-07-20 17:00,0.064,2011-06-08 09:00,0.062,2011-07-11 18:00,0.059,2011-07-17 10:00,,,,,0.064,0.059,0.053,0.051,0.047,0.042,0.038,Morse Airport - State of Vermont Property,230 AIRPORT RD S.,Vermont,Bennington,Bennington,13540,"Bennington, VT",2021-12-01
50,003,0004,44201,1,42.88759,-73.24984,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,7756,92.0,Y,168,183,0,0,1.0,1.0,Uncertified (past due),0.037077,0.010848,0.082,2011-07-20 17:00,0.064,2011-06-08 09:00,0.062,2011-07-11 18:00,0.059,2011-07-17 10:00,,,,,0.064,0.059,0.053,0.051,0.047,0.042,0.038,Morse Airport - State of Vermont Property,230 AIRPORT RD S.,Vermont,Bennington,Bennington,13540,"Bennington, VT",2021-12-01
50,003,0004,44201,1,42.88759,-73.24984,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2011,Parts per million,No Events,5508,94.0,Y,172,183,0,0,1.0,1.0,Uncertified (past due),0.036622,0.011131,0.082,2011-07-20 17:00,0.064,2011-06-08 09:00,0.062,2011-07-11 18:00,0.059,2011-07-17 10:00,,,,,0.064,0.059,0.055,0.051,0.047,0.042,0.037,Morse Airport - State of Vermont Property,230 AIRPORT RD S.,Vermont,Bennington,Bennington,13540,"Bennington, VT",2021-12-01
50,003,0004,88101,1,42.88759,-73.24984,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,106,88.0,N,106,121,0,15,0.0,0.0,Uncertified (past due),7.062264,4.493603,20.4,2011-07-20 00:00,20.4,2011-08-19 00:00,19.5,2011-12-14 00:00,19.4,2011-07-11 00:00,,,,,20.4,19.5,17.0,13.7,9.1,6.0,3.0,Morse Airport - State of Vermont Property,230 AIRPORT RD S.,Vermont,Bennington,Bennington,13540,"Bennington, VT",2021-11-08
50,003,0004,88101,1,42.88759,-73.24984,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,106,88.0,N,106,121,0,15,,,Uncertified (past due),7.062264,4.493603,20.4,2011-07-20 00:00,20.4,2011-08-19 00:00,19.5,2011-12-14 00:00,19.4,2011-07-11 00:00,,,,,20.4,19.5,17.0,13.7,9.1,6.0,3.0,Morse Airport - State of Vermont Property,230 AIRPORT RD S.,Vermont,Bennington,Bennington,13540,"Bennington, VT",2021-11-08
50,003,0004,88101,1,42.88759,-73.24984,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,106,88.0,N,106,121,0,15,0.0,0.0,Uncertified (past due),7.062264,4.493603,20.4,2011-07-20 00:00,20.4,2011-08-19 00:00,19.5,2011-12-14 00:00,19.4,2011-07-11 00:00,,,,,20.4,19.5,17.0,13.7,9.1,6.0,3.0,Morse Airport - State of Vermont Property,230 AIRPORT RD S.,Vermont,Bennington,Bennington,13540,"Bennington, VT",2021-11-08
50,003,0004,88101,1,42.88759,-73.24984,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,106,88.0,N,106,121,0,15,,,Uncertified (past due),7.062264,4.493603,20.4,2011-07-20 00:00,20.4,2011-08-19 00:00,19.5,2011-12-14 00:00,19.4,2011-07-11 00:00,,,,,20.4,19.5,17.0,13.7,9.1,6.0,3.0,Morse Airport - State of Vermont Property,230 AIRPORT RD S.,Vermont,Bennington,Bennington,13540,"Bennington, VT",2021-11-08
50,003,0004,88101,1,42.88759,-73.24984,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,106,88.0,N,106,121,0,15,0.0,0.0,Uncertified (past due),7.062264,4.493603,20.4,2011-07-20 00:00,20.4,2011-08-19 00:00,19.5,2011-12-14 00:00,19.4,2011-07-11 00:00,,,,,20.4,19.5,17.0,13.7,9.1,6.0,3.0,Morse Airport - State of Vermont Property,230 AIRPORT RD S.,Vermont,Bennington,Bennington,13540,"Bennington, VT",2021-11-08
50,003,0004,88101,1,42.88759,-73.24984,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 1997,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2011,Micrograms/cubic meter (LC),No Events,106,88.0,N,106,121,0,15,,,Uncertified (past due),7.062264,4.493603,20.4,2011-07-20 00:00,20.4,2011-08-19 00:00,19.5,2011-12-14 00:00,19.4,2011-07-11 00:00,,,,,20.4,19.5,17.0,13.7,9.1,6.0,3.0,Morse Airport - State of Vermont Property,230 AIRPORT RD S.,Vermont,Bennington,Bennington,13540,"Bennington, VT",2021-11-08
