state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
78,010,0012,88101,1,17.712474,-64.784868,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,26,43.0,N,26,61,0,0,0.0,0.0,Requested but denied,6.092308,4.862257,19.4,2017-07-18 00:00,14.7,2017-08-11 00:00,14.2,2017-08-17 00:00,13.8,2017-07-12 00:00,,,,,19.4,19.4,14.7,14.2,7.2,4.6,0.4,,BETHLEHEM VILLAGE HOUSING MGMT OFFICE,Virgin Islands,St Croix,,,,2021-11-08
78,010,0012,88101,1,17.712474,-64.784868,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,26,43.0,N,26,61,0,0,,,Requested but denied,6.092308,4.862257,19.4,2017-07-18 00:00,14.7,2017-08-11 00:00,14.2,2017-08-17 00:00,13.8,2017-07-12 00:00,,,,,19.4,19.4,14.7,14.2,7.2,4.6,0.4,,BETHLEHEM VILLAGE HOUSING MGMT OFFICE,Virgin Islands,St Croix,,,,2021-11-08
78,010,0012,88101,1,17.712474,-64.784868,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,26,43.0,N,26,61,0,0,0.0,0.0,Requested but denied,6.092308,4.862257,19.4,2017-07-18 00:00,14.7,2017-08-11 00:00,14.2,2017-08-17 00:00,13.8,2017-07-12 00:00,,,,,19.4,19.4,14.7,14.2,7.2,4.6,0.4,,BETHLEHEM VILLAGE HOUSING MGMT OFFICE,Virgin Islands,St Croix,,,,2021-11-08
78,010,0012,88101,1,17.712474,-64.784868,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,26,43.0,N,26,61,0,0,,,Requested but denied,6.092308,4.862257,19.4,2017-07-18 00:00,14.7,2017-08-11 00:00,14.2,2017-08-17 00:00,13.8,2017-07-12 00:00,,,,,19.4,19.4,14.7,14.2,7.2,4.6,0.4,,BETHLEHEM VILLAGE HOUSING MGMT OFFICE,Virgin Islands,St Croix,,,,2021-11-08
78,010,0012,88101,1,17.712474,-64.784868,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,Daily Mean,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,26,43.0,N,26,61,0,0,0.0,0.0,Requested but denied,6.092308,4.862257,19.4,2017-07-18 00:00,14.7,2017-08-11 00:00,14.2,2017-08-17 00:00,13.8,2017-07-12 00:00,,,,,19.4,19.4,14.7,14.2,7.2,4.6,0.4,,BETHLEHEM VILLAGE HOUSING MGMT OFFICE,Virgin Islands,St Croix,,,,2021-11-08
78,010,0012,88101,1,17.712474,-64.784868,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 1997,Quarterly Means of Daily Means,BGI Models PQ200-VSCC or PQ200A-VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,26,43.0,N,26,61,0,0,,,Requested but denied,6.092308,4.862257,19.4,2017-07-18 00:00,14.7,2017-08-11 00:00,14.2,2017-08-17 00:00,13.8,2017-07-12 00:00,,,,,19.4,19.4,14.7,14.2,7.2,4.6,0.4,,BETHLEHEM VILLAGE HOUSING MGMT OFFICE,Virgin Islands,St Croix,,,,2021-11-08
78,010,0012,88101,3,17.712474,-64.784868,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Met One E-FRM PM2.5 with WINS - Gravimetric,2018,Micrograms/cubic meter (LC),No Events,22,36.0,N,22,61,0,9,0.0,0.0,Requested but denied,7.468182,5.775431,23.1,2018-08-06 00:00,21.2,2018-09-29 00:00,13.9,2018-07-19 00:00,10.9,2018-07-25 00:00,,,,,23.1,23.1,21.2,13.9,9.9,5.3,2.8,,BETHLEHEM VILLAGE HOUSING MGMT OFFICE,Virgin Islands,St Croix,,,,2021-11-05
78,010,0012,88101,3,17.712474,-64.784868,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Met One E-FRM PM2.5 with WINS - Gravimetric,2018,Micrograms/cubic meter (LC),No Events,22,36.0,N,22,61,0,9,,,Requested but denied,7.468182,5.775431,23.1,2018-08-06 00:00,21.2,2018-09-29 00:00,13.9,2018-07-19 00:00,10.9,2018-07-25 00:00,,,,,23.1,23.1,21.2,13.9,9.9,5.3,2.8,,BETHLEHEM VILLAGE HOUSING MGMT OFFICE,Virgin Islands,St Croix,,,,2021-11-05
78,010,0012,88101,3,17.712474,-64.784868,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,Met One E-FRM PM2.5 with WINS - Gravimetric,2018,Micrograms/cubic meter (LC),No Events,22,36.0,N,22,61,0,9,0.0,0.0,Requested but denied,7.468182,5.775431,23.1,2018-08-06 00:00,21.2,2018-09-29 00:00,13.9,2018-07-19 00:00,10.9,2018-07-25 00:00,,,,,23.1,23.1,21.2,13.9,9.9,5.3,2.8,,BETHLEHEM VILLAGE HOUSING MGMT OFFICE,Virgin Islands,St Croix,,,,2021-11-05
78,010,0012,88101,3,17.712474,-64.784868,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,Met One E-FRM PM2.5 with WINS - Gravimetric,2018,Micrograms/cubic meter (LC),No Events,22,36.0,N,22,61,0,9,,,Requested but denied,7.468182,5.775431,23.1,2018-08-06 00:00,21.2,2018-09-29 00:00,13.9,2018-07-19 00:00,10.9,2018-07-25 00:00,,,,,23.1,23.1,21.2,13.9,9.9,5.3,2.8,,BETHLEHEM VILLAGE HOUSING MGMT OFFICE,Virgin Islands,St Croix,,,,2021-11-05
78,010,0012,88101,3,17.712474,-64.784868,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,Daily Mean,Met One E-FRM PM2.5 with WINS - Gravimetric,2018,Micrograms/cubic meter (LC),No Events,22,36.0,N,22,61,0,9,0.0,0.0,Requested but denied,7.468182,5.775431,23.1,2018-08-06 00:00,21.2,2018-09-29 00:00,13.9,2018-07-19 00:00,10.9,2018-07-25 00:00,,,,,23.1,23.1,21.2,13.9,9.9,5.3,2.8,,BETHLEHEM VILLAGE HOUSING MGMT OFFICE,Virgin Islands,St Croix,,,,2021-11-05
78,010,0012,88101,3,17.712474,-64.784868,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 1997,Quarterly Means of Daily Means,Met One E-FRM PM2.5 with WINS - Gravimetric,2018,Micrograms/cubic meter (LC),No Events,22,36.0,N,22,61,0,9,,,Requested but denied,7.468182,5.775431,23.1,2018-08-06 00:00,21.2,2018-09-29 00:00,13.9,2018-07-19 00:00,10.9,2018-07-25 00:00,,,,,23.1,23.1,21.2,13.9,9.9,5.3,2.8,,BETHLEHEM VILLAGE HOUSING MGMT OFFICE,Virgin Islands,St Croix,,,,2021-11-05
78,030,0010,88101,1,18.343811,-64.931389,WGS84,PM2.5 - Local Conditions,1,1 HOUR,,Observed Values,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,2018,Micrograms/cubic meter (LC),No Events,4394,50.0,N,184,365,0,22,,,Requested but denied,8.358807,5.895102,89.1,2018-11-02 10:00,56.0,2018-09-20 20:00,55.7,2018-09-20 19:00,54.8,2018-09-20 18:00,,,,,37.4,23.8,18.1,14.8,9.9,6.5,4.1,,# 8 Tolbod Gade,Virgin Islands,St Thomas,Charlotte Amalie,,,2021-11-05
78,030,0010,88101,1,18.343811,-64.931389,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2006,Daily Mean,,2018,Micrograms/cubic meter (LC),No Events,183,50.0,N,183,365,0,0,1.0,1.0,Requested but denied,8.33224,5.222773,45.8,2018-09-20 00:00,28.2,2018-08-07 00:00,26.9,2018-09-21 00:00,25.3,2018-09-19 00:00,,,,,28.2,25.3,16.2,13.9,10.4,6.5,4.3,,# 8 Tolbod Gade,Virgin Islands,St Thomas,Charlotte Amalie,,,2021-11-05
78,030,0010,88101,1,18.343811,-64.931389,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2006,Quarterly Means of Daily Means,,2018,Micrograms/cubic meter (LC),No Events,183,50.0,N,183,365,0,0,,,Requested but denied,8.33224,5.222773,45.8,2018-09-20 00:00,28.2,2018-08-07 00:00,26.9,2018-09-21 00:00,25.3,2018-09-19 00:00,,,,,28.2,25.3,16.2,13.9,10.4,6.5,4.3,,# 8 Tolbod Gade,Virgin Islands,St Thomas,Charlotte Amalie,,,2021-11-05
78,030,0010,88101,1,18.343811,-64.931389,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2012,Daily Mean,,2018,Micrograms/cubic meter (LC),No Events,183,50.0,N,183,365,0,0,1.0,1.0,Requested but denied,8.33224,5.222773,45.8,2018-09-20 00:00,28.2,2018-08-07 00:00,26.9,2018-09-21 00:00,25.3,2018-09-19 00:00,,,,,28.2,25.3,16.2,13.9,10.4,6.5,4.3,,# 8 Tolbod Gade,Virgin Islands,St Thomas,Charlotte Amalie,,,2021-11-05
78,030,0010,88101,1,18.343811,-64.931389,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2018,Micrograms/cubic meter (LC),No Events,183,50.0,N,183,365,0,0,,,Requested but denied,8.33224,5.222773,45.8,2018-09-20 00:00,28.2,2018-08-07 00:00,26.9,2018-09-21 00:00,25.3,2018-09-19 00:00,,,,,28.2,25.3,16.2,13.9,10.4,6.5,4.3,,# 8 Tolbod Gade,Virgin Islands,St Thomas,Charlotte Amalie,,,2021-11-05
78,030,0010,88101,1,18.343811,-64.931389,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2018,Micrograms/cubic meter (LC),No Events,183,50.0,N,183,365,0,0,,,Requested but denied,8.33224,5.222773,45.8,2018-09-20 00:00,28.2,2018-08-07 00:00,26.9,2018-09-21 00:00,25.3,2018-09-19 00:00,,,,,28.2,25.3,16.2,13.9,10.4,6.5,4.3,,# 8 Tolbod Gade,Virgin Islands,St Thomas,Charlotte Amalie,,,2021-11-05
78,030,0010,88101,1,18.343811,-64.931389,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,Quarterly Means of Daily Means,,2018,Micrograms/cubic meter (LC),No Events,183,50.0,N,183,365,0,0,13.0,13.0,Requested but denied,8.33224,5.222773,45.8,2018-09-20 00:00,28.2,2018-08-07 00:00,26.9,2018-09-21 00:00,25.3,2018-09-19 00:00,,,,,28.2,25.3,16.2,13.9,10.4,6.5,4.3,,# 8 Tolbod Gade,Virgin Islands,St Thomas,Charlotte Amalie,,,2021-11-05
78,010,0012,88101,3,17.712474,-64.784868,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Met One E-FRM PM2.5 with WINS - Gravimetric,2019,Micrograms/cubic meter (LC),No Events,57,93.0,Y,57,61,0,4,0.0,0.0,Requested but denied,6.252632,4.711616,21.7,2019-06-20 00:00,21.0,2019-08-31 00:00,17.9,2019-07-26 00:00,17.3,2019-08-25 00:00,,,,,21.7,21.0,17.9,15.7,6.6,4.8,2.5,,BETHLEHEM VILLAGE HOUSING MGMT OFFICE,Virgin Islands,St Croix,,,,2021-11-03
78,010,0012,88101,3,17.712474,-64.784868,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Met One E-FRM PM2.5 with WINS - Gravimetric,2019,Micrograms/cubic meter (LC),No Events,57,93.0,Y,57,61,0,4,,,Requested but denied,6.252632,4.711616,21.7,2019-06-20 00:00,21.0,2019-08-31 00:00,17.9,2019-07-26 00:00,17.3,2019-08-25 00:00,,,,,21.7,21.0,17.9,15.7,6.6,4.8,2.5,,BETHLEHEM VILLAGE HOUSING MGMT OFFICE,Virgin Islands,St Croix,,,,2021-11-03
78,010,0012,88101,3,17.712474,-64.784868,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,Met One E-FRM PM2.5 with WINS - Gravimetric,2019,Micrograms/cubic meter (LC),No Events,57,93.0,Y,57,61,0,4,0.0,0.0,Requested but denied,6.252632,4.711616,21.7,2019-06-20 00:00,21.0,2019-08-31 00:00,17.9,2019-07-26 00:00,17.3,2019-08-25 00:00,,,,,21.7,21.0,17.9,15.7,6.6,4.8,2.5,,BETHLEHEM VILLAGE HOUSING MGMT OFFICE,Virgin Islands,St Croix,,,,2021-11-03
