state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
53,005,0002,81102,3,46.21835,-119.204153,WGS84,PM10 Total 0-10um STP,1,1 HOUR,,Observed Values,INSTRUMENTAL-R&P SA246B-INLET - TEOM-GRAVIMETRIC,2011,Micrograms/cubic meter (25 C),Events Excluded,7783,89.0,Y,313,365,0,915,,,Uncertified (past due),16.847231,16.59663,419.0,2011-08-22 15:00,348.0,2011-07-07 14:00,265.0,2011-12-29 03:00,214.0,2011-09-14 21:00,,,,,74.0,58.0,42.0,32.0,21.0,13.0,4.0,KENNEWICK - METALINE,5929 W METALINE (Kennewick Skills Center),Washington,Benton,Kennewick,28420,"Kennewick-Richland, WA",2021-11-08
53,005,0002,81102,3,46.21835,-119.204153,WGS84,PM10 Total 0-10um STP,1,1 HOUR,,Observed Values,INSTRUMENTAL-R&P SA246B-INLET - TEOM-GRAVIMETRIC,2011,Micrograms/cubic meter (25 C),Events Included,7807,89.0,Y,313,365,24,915,,,Uncertified (past due),17.282183,35.769749,2796.0,2011-08-28 19:00,419.0,2011-08-22 15:00,356.0,2011-08-28 20:00,348.0,2011-07-07 14:00,,,,,74.0,58.0,42.0,32.0,21.0,13.0,4.0,KENNEWICK - METALINE,5929 W METALINE (Kennewick Skills Center),Washington,Benton,Kennewick,28420,"Kennewick-Richland, WA",2021-11-08
53,005,0002,81102,3,46.21835,-119.204153,WGS84,PM10 Total 0-10um STP,1,1 HOUR,,Observed Values,INSTRUMENTAL-R&P SA246B-INLET - TEOM-GRAVIMETRIC,2011,Micrograms/cubic meter (25 C),Concurred Events Excluded,7807,89.0,Y,313,365,24,915,,,Uncertified (past due),17.282183,35.769749,2796.0,2011-08-28 19:00,419.0,2011-08-22 15:00,356.0,2011-08-28 20:00,348.0,2011-07-07 14:00,,,,,74.0,58.0,42.0,32.0,21.0,13.0,4.0,KENNEWICK - METALINE,5929 W METALINE (Kennewick Skills Center),Washington,Benton,Kennewick,28420,"Kennewick-Richland, WA",2021-11-08
53,005,0002,81102,3,46.21835,-119.204153,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,Daily Mean,,2011,Micrograms/cubic meter (25 C),Events Excluded,312,86.0,N,313,365,0,0,0.0,0.0,Uncertified (past due),16.397436,10.146312,61.0,2011-08-22 00:00,59.0,2011-07-07 00:00,55.0,2011-09-15 00:00,54.0,2011-09-12 00:00,,,,,54.0,47.0,37.0,30.0,21.0,14.0,6.0,KENNEWICK - METALINE,5929 W METALINE (Kennewick Skills Center),Washington,Benton,Kennewick,28420,"Kennewick-Richland, WA",2021-11-08
53,005,0002,81102,3,46.21835,-119.204153,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,Daily Mean,,2011,Micrograms/cubic meter (25 C),Events Included,313,86.0,N,313,365,0,0,1.0,1.0,Uncertified (past due),16.84984,12.910434,158.0,2011-08-28 00:00,61.0,2011-08-22 00:00,59.0,2011-07-07 00:00,55.0,2011-09-15 00:00,,,,,55.0,48.0,37.0,30.0,21.0,14.0,6.0,KENNEWICK - METALINE,5929 W METALINE (Kennewick Skills Center),Washington,Benton,Kennewick,28420,"Kennewick-Richland, WA",2021-11-08
53,005,0002,81102,3,46.21835,-119.204153,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,Daily Mean,,2011,Micrograms/cubic meter (25 C),Concurred Events Excluded,313,86.0,N,313,365,0,0,1.0,1.0,Uncertified (past due),16.84984,12.910434,158.0,2011-08-28 00:00,61.0,2011-08-22 00:00,59.0,2011-07-07 00:00,55.0,2011-09-15 00:00,,,,,55.0,48.0,37.0,30.0,21.0,14.0,6.0,KENNEWICK - METALINE,5929 W METALINE (Kennewick Skills Center),Washington,Benton,Kennewick,28420,"Kennewick-Richland, WA",2021-11-08
53,009,0013,42101,2,48.29786,-124.62491,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,2011,Parts per million,No Events,7817,89.0,Y,355,365,0,933,0.0,0.0,Uncertified (past due),0.101249,0.037551,0.267,2011-11-01 04:00,0.217,2011-10-26 12:00,0.214,2011-03-20 04:00,0.211,2011-03-20 05:00,,,,,0.176,0.167,0.154,0.147,0.134,0.103,0.051,CHEEKA PEAK,LOCATED IN A TREE FARM (Cheeka Peak),Washington,Clallam,,38820,"Port Angeles, WA",2021-11-08
53,009,0013,42101,2,48.29786,-124.62491,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2011,Parts per million,No Events,8120,93.0,Y,355,365,0,0,0.0,0.0,Uncertified (past due),0.098251,0.039853,0.2,2011-01-01 05:00,0.2,2011-01-01 06:00,0.2,2011-01-01 07:00,0.2,2011-01-01 08:00,0.2,2011-01-01 05:00,0.2,2011-01-01 13:00,0.2,0.2,0.2,0.1,0.1,0.1,0.1,CHEEKA PEAK,LOCATED IN A TREE FARM (Cheeka Peak),Washington,Clallam,,38820,"Port Angeles, WA",2021-11-08
53,009,0013,42401,2,48.29786,-124.62491,WGS84,Sulfur dioxide,1,1 HOUR,SO2 Annual 1971,Observed Values,Multiple Methods Used,2011,Parts per billion,No Events,8110,93.0,Y,354,365,0,640,,,Uncertified (past due),0.282873,0.200822,2.0,2011-05-28 15:00,1.8,2011-05-31 15:00,1.5,2011-05-30 17:00,1.5,2011-07-10 00:00,,,,,0.8,0.8,0.7,0.6,0.4,0.2,0.1,CHEEKA PEAK,LOCATED IN A TREE FARM (Cheeka Peak),Washington,Clallam,,38820,"Port Angeles, WA",2021-11-09
53,009,0013,42401,2,48.29786,-124.62491,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,Multiple Methods Used,2011,Parts per billion,No Events,8110,93.0,Y,354,365,0,640,0.0,,Uncertified (past due),0.476554,0.306656,2.0,2011-05-28 15:00,1.8,2011-05-31 15:00,1.5,2011-05-30 17:00,1.5,2011-07-10 00:00,,,,,1.5,1.3,1.0,0.8,0.6,0.4,0.2,CHEEKA PEAK,LOCATED IN A TREE FARM (Cheeka Peak),Washington,Clallam,,38820,"Port Angeles, WA",2021-11-09
53,009,0013,42401,2,48.29786,-124.62491,WGS84,Sulfur dioxide,X,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,Multiple Methods Used,2011,Parts per billion,No Events,354,97.0,Y,354,365,0,0,0.0,,Uncertified (past due),0.282486,0.169246,0.8,2011-03-30 00:00,0.7,2011-02-10 00:00,0.7,2011-03-21 00:00,0.7,2011-03-31 00:00,,,,,0.7,0.6,0.6,0.5,0.4,0.2,0.1,CHEEKA PEAK,LOCATED IN A TREE FARM (Cheeka Peak),Washington,Clallam,,38820,"Port Angeles, WA",2021-11-09
53,009,0013,42401,2,48.29786,-124.62491,WGS84,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,Multiple Methods Used,2011,Parts per billion,No Events,2441,84.0,Y,341,365,0,0,,0.0,Uncertified (past due),0.263417,0.188896,1.3,2011-05-28 17:00,1.2,2011-04-08 17:00,1.1,2011-03-21 05:00,1.0,2011-02-21 05:00,,,,,0.8,0.7,0.6,0.5,0.4,0.2,0.0,CHEEKA PEAK,LOCATED IN A TREE FARM (Cheeka Peak),Washington,Clallam,,38820,"Port Angeles, WA",2021-11-09
53,009,0013,42401,3,48.29786,-124.62491,WGS84,Sulfur dioxide,H,5 MINUTE,,Observed Values,Instrumental - Ultraviolet Fluorescence API 100 EU,2011,Parts per billion,No Events,20006,19.0,N,73,365,0,1125,,,Certification not required,0.43337,0.289394,20.4,2011-03-23 07:40,16.7,2011-03-23 07:45,8.1,2011-03-08 16:30,5.8,2011-02-24 16:30,,,,,1.0,0.9,0.8,0.7,0.6,0.4,0.2,CHEEKA PEAK,LOCATED IN A TREE FARM (Cheeka Peak),Washington,Clallam,,38820,"Port Angeles, WA",2021-11-09
