state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
54,003,0003,44201,1,39.448105,-77.963845,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRAVIOLET ABSORPTION,2006,Parts per million,No Events,4760,100.0,Y,214,214,0,376,0.0,0.0,Certified,0.051584,0.015237,0.104,2006-05-30 13:00,0.096,2006-08-25 14:00,0.088,2006-06-17 12:00,0.085,2006-08-18 17:00,,,,,0.088,0.084,0.079,0.071,0.062,0.052,0.032,MARTINSBURG BALL FIELD,MARTINSBURG - BALL FIELD,West Virginia,Berkeley,Martinsburg,25180,"Hagerstown-Martinsburg, MD-WV",2021-12-27
54,003,0003,44201,1,39.448105,-77.963845,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,5115,100.0,Y,213,214,0,0,1.0,1.0,Certified,0.045408,0.014503,0.089,2006-05-30 10:00,0.082,2006-08-18 11:00,0.081,2006-08-25 12:00,0.077,2006-08-23 10:00,,,,,0.081,0.076,0.07,0.063,0.056,0.045,0.026,MARTINSBURG BALL FIELD,MARTINSBURG - BALL FIELD,West Virginia,Berkeley,Martinsburg,25180,"Hagerstown-Martinsburg, MD-WV",2021-12-27
54,003,0003,44201,1,39.448105,-77.963845,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,5115,100.0,Y,213,214,0,0,5.0,5.0,Certified,0.045408,0.014503,0.089,2006-05-30 10:00,0.082,2006-08-18 11:00,0.081,2006-08-25 12:00,0.077,2006-08-23 10:00,,,,,0.081,0.076,0.07,0.063,0.056,0.045,0.026,MARTINSBURG BALL FIELD,MARTINSBURG - BALL FIELD,West Virginia,Berkeley,Martinsburg,25180,"Hagerstown-Martinsburg, MD-WV",2021-12-27
54,003,0003,44201,1,39.448105,-77.963845,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2006,Parts per million,No Events,3627,100.0,Y,213,214,0,0,10.0,10.0,Certified,0.045211,0.014711,0.089,2006-05-30 10:00,0.082,2006-08-18 11:00,0.081,2006-08-25 12:00,0.077,2006-08-23 10:00,,,,,0.081,0.076,0.07,0.063,0.056,0.045,0.026,MARTINSBURG BALL FIELD,MARTINSBURG - BALL FIELD,West Virginia,Berkeley,Martinsburg,25180,"Hagerstown-Martinsburg, MD-WV",2021-12-27
54,003,0003,88101,1,39.448105,-77.963845,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Multiple Methods Used,2006,Micrograms/cubic meter (LC),No Events,119,98.0,Y,119,122,0,3,2.0,2.0,Certified,14.938655,8.162171,45.6,2006-11-28 00:00,41.9,2006-07-31 00:00,31.4,2006-02-16 00:00,29.9,2006-05-29 00:00,,,,,41.9,31.4,29.7,26.9,19.9,12.6,6.4,MARTINSBURG BALL FIELD,MARTINSBURG - BALL FIELD,West Virginia,Berkeley,Martinsburg,25180,"Hagerstown-Martinsburg, MD-WV",2021-11-09
54,003,0003,88101,1,39.448105,-77.963845,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Multiple Methods Used,2006,Micrograms/cubic meter (LC),No Events,119,98.0,Y,119,122,0,3,,,Certified,14.938655,8.162171,45.6,2006-11-28 00:00,41.9,2006-07-31 00:00,31.4,2006-02-16 00:00,29.9,2006-05-29 00:00,,,,,41.9,31.4,29.7,26.9,19.9,12.6,6.4,MARTINSBURG BALL FIELD,MARTINSBURG - BALL FIELD,West Virginia,Berkeley,Martinsburg,25180,"Hagerstown-Martinsburg, MD-WV",2021-11-09
54,003,0003,88101,1,39.448105,-77.963845,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,Multiple Methods Used,2006,Micrograms/cubic meter (LC),No Events,119,98.0,Y,119,122,0,3,2.0,2.0,Certified,14.938655,8.162171,45.6,2006-11-28 00:00,41.9,2006-07-31 00:00,31.4,2006-02-16 00:00,29.9,2006-05-29 00:00,,,,,41.9,31.4,29.7,26.9,19.9,12.6,6.4,MARTINSBURG BALL FIELD,MARTINSBURG - BALL FIELD,West Virginia,Berkeley,Martinsburg,25180,"Hagerstown-Martinsburg, MD-WV",2021-11-09
54,003,0003,88101,1,39.448105,-77.963845,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,Multiple Methods Used,2006,Micrograms/cubic meter (LC),No Events,119,98.0,Y,119,122,0,3,,,Certified,14.938655,8.162171,45.6,2006-11-28 00:00,41.9,2006-07-31 00:00,31.4,2006-02-16 00:00,29.9,2006-05-29 00:00,,,,,41.9,31.4,29.7,26.9,19.9,12.6,6.4,MARTINSBURG BALL FIELD,MARTINSBURG - BALL FIELD,West Virginia,Berkeley,Martinsburg,25180,"Hagerstown-Martinsburg, MD-WV",2021-11-09
54,003,0003,88101,1,39.448105,-77.963845,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,Daily Mean,Multiple Methods Used,2006,Micrograms/cubic meter (LC),No Events,119,98.0,Y,119,122,0,3,0.0,0.0,Certified,14.938655,8.162171,45.6,2006-11-28 00:00,41.9,2006-07-31 00:00,31.4,2006-02-16 00:00,29.9,2006-05-29 00:00,,,,,41.9,31.4,29.7,26.9,19.9,12.6,6.4,MARTINSBURG BALL FIELD,MARTINSBURG - BALL FIELD,West Virginia,Berkeley,Martinsburg,25180,"Hagerstown-Martinsburg, MD-WV",2021-11-09
54,003,0003,88101,1,39.448105,-77.963845,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 1997,Quarterly Means of Daily Means,Multiple Methods Used,2006,Micrograms/cubic meter (LC),No Events,119,98.0,Y,119,122,0,3,,,Certified,14.938655,8.162171,45.6,2006-11-28 00:00,41.9,2006-07-31 00:00,31.4,2006-02-16 00:00,29.9,2006-05-29 00:00,,,,,41.9,31.4,29.7,26.9,19.9,12.6,6.4,MARTINSBURG BALL FIELD,MARTINSBURG - BALL FIELD,West Virginia,Berkeley,Martinsburg,25180,"Hagerstown-Martinsburg, MD-WV",2021-11-09
