state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
56,001,0006,81102,2,41.311586,-105.591725,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,HI-VOL SA/GMW-1200 - GRAVIMETRIC,2006,Micrograms/cubic meter (25 C),No Events,53,87.0,Y,53,61,0,8,0,0,Uncertified (past due),19.037736,9.296323,57.0,2006-04-05 00:00,33.0,2006-01-11 00:00,32.0,2006-05-17 00:00,30.0,2006-09-14 00:00,,,,,57.0,33.0,32.0,29.0,24.0,18.0,7.0,Laramie SLAM site,"406 IVINSON, LARAMIE, WY",Wyoming,Albany,Laramie,29660,"Laramie, WY",2021-11-08
56,001,0800,81102,2,41.26917,-105.59444,NAD83,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,Multiple Methods Used,2006,Micrograms/cubic meter (25 C),No Events,44,72.0,N,44,61,0,17,0,0,Uncertified (past due),29.931818,22.932051,130.0,2006-11-13 00:00,93.0,2006-11-07 00:00,82.0,2006-02-22 00:00,50.0,2006-06-04 00:00,,,,,130.0,130.0,82.0,44.0,38.0,24.0,13.0,MT. CEMENT CO. EAST SITE...EAST OF PLANT.,"EAST SITE, MOUNTAIN CEMENT CO. LARAMIE, WY",Wyoming,Albany,,29660,"Laramie, WY",2021-11-08
56,001,0801,81102,1,41.27444,-105.60167,NAD83,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,HI-VOL SA/GMW-1200 - GRAVIMETRIC,2006,Micrograms/cubic meter (25 C),No Events,43,69.0,N,42,61,0,18,0,0,Uncertified (past due),21.55814,11.493896,49.0,2006-10-02 00:00,40.0,2006-07-09 00:00,39.0,2006-11-13 00:00,37.0,2006-08-08 00:00,,,,,49.0,49.0,39.0,37.0,30.0,20.0,7.0,NORTH SITE...NORTH OF MT. CEMENT PLANT,"NORTH SITE, MOUNTAIN CEMENT CO. LARAMIE, WY",Wyoming,Albany,,29660,"Laramie, WY",2021-11-08
56,001,0800,81102,1,41.26917,-105.59444,NAD83,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,HI-VOL SA/GMW-1200 - GRAVIMETRIC,2006,Micrograms/cubic meter (25 C),No Events,48,79.0,N,48,61,0,13,0,0,Uncertified (past due),31.666667,22.842042,109.0,2006-11-13 00:00,100.0,2006-12-13 00:00,91.0,2006-11-07 00:00,87.0,2006-02-22 00:00,,,,,109.0,109.0,91.0,51.0,40.0,25.0,15.0,MT. CEMENT CO. EAST SITE...EAST OF PLANT.,"EAST SITE, MOUNTAIN CEMENT CO. LARAMIE, WY",Wyoming,Albany,,29660,"Laramie, WY",2021-11-08
56,001,9991,44201,9,41.3642,-106.2399,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2006,Parts per million,Events Included,8592,99.0,Y,211,214,8592,168,0,0,Certification not required,0.056218,0.009914,0.08,2006-04-22 19:00,0.076,2006-05-02 20:00,0.075,2006-04-21 10:00,0.074,2006-05-03 04:00,,,,,0.075,0.072,0.071,0.068,0.063,0.059,0.053,Centennial,"Roosevelt National Forest, Centennial, WY 82055",Wyoming,Albany,,29660,"Laramie, WY",2021-12-27
56,001,9991,44201,9,41.3642,-106.2399,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,Events Included,8614,99.0,Y,211,214,0,0,0,0,Certification not required,0.053232,0.009572,0.073,2006-04-21 09:00,0.073,2006-04-22 14:00,0.073,2006-05-02 18:00,0.07,2006-05-03 00:00,,,,,0.073,0.07,0.067,0.064,0.06,0.056,0.051,Centennial,"Roosevelt National Forest, Centennial, WY 82055",Wyoming,Albany,,29660,"Laramie, WY",2021-12-27
56,001,9991,44201,9,41.3642,-106.2399,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,Events Included,8614,99.0,Y,211,214,0,0,0,0,Certification not required,0.053232,0.009572,0.073,2006-04-21 09:00,0.073,2006-04-22 14:00,0.073,2006-05-02 18:00,0.07,2006-05-03 00:00,,,,,0.073,0.07,0.067,0.064,0.06,0.056,0.051,Centennial,"Roosevelt National Forest, Centennial, WY 82055",Wyoming,Albany,,29660,"Laramie, WY",2021-12-27
56,001,9991,44201,9,41.3642,-106.2399,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2006,Parts per million,Events Included,6094,99.0,Y,211,214,0,0,3,3,Certification not required,0.052697,0.009729,0.073,2006-04-21 09:00,0.073,2006-04-22 14:00,0.073,2006-05-02 18:00,0.07,2006-05-09 09:00,,,,,0.073,0.069,0.066,0.064,0.06,0.056,0.05,Centennial,"Roosevelt National Forest, Centennial, WY 82055",Wyoming,Albany,,29660,"Laramie, WY",2021-12-27
56,005,0892,42602,1,44.097074,-105.343164,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2006,Parts per billion,No Events,8526,97.0,Y,356,365,0,234,,,Uncertified (past due),7.637603,8.970675,151.0,2006-09-26 16:00,144.0,2006-09-26 19:00,136.0,2006-09-26 20:00,54.0,2006-09-26 18:00,,,,,31.0,28.0,24.0,21.0,14.0,5.0,0.0,Belle Ayr BA-4,"BELLE AYR BA-4,5N,5S",Wyoming,Campbell,,23940,"Gillette, WY",2021-11-09
56,005,0892,42602,1,44.097074,-105.343164,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2006,Parts per billion,No Events,8526,97.0,Y,356,365,0,234,1.0,,Uncertified (past due),22.471629,10.32562,151.0,2006-09-26 16:00,45.0,2006-07-16 02:00,43.0,2006-08-04 23:00,43.0,2006-11-04 08:00,,,,,43.0,38.9,34.2,31.1,27.0,22.7,10.0,Belle Ayr BA-4,"BELLE AYR BA-4,5N,5S",Wyoming,Campbell,,23940,"Gillette, WY",2021-11-09
