"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2007,269,181,72,15,1,0,0,154,87,43,0,0,197,72,0
"Alabama","Clay",2007,283,142,129,10,2,0,0,166,84,50,0,0,200,83,0
"Alabama","Colbert",2007,283,174,94,15,0,0,0,122,90,48,0,0,199,84,0
"Alabama","DeKalb",2007,362,202,132,27,1,0,0,169,93,47,0,0,307,55,0
"Alabama","Elmore",2007,244,162,75,6,1,0,0,151,77,45,0,0,244,0,0
"Alabama","Escambia",2007,107,56,50,1,0,0,0,137,71,49,0,0,0,107,0
"Alabama","Etowah",2007,323,131,170,22,0,0,0,145,87,54,0,0,129,194,0
"Alabama","Houston",2007,276,183,85,7,1,0,0,158,77,45,0,0,196,80,0
"Alabama","Jefferson",2007,365,31,261,56,16,1,0,203,127,75,20,0,76,213,56
"Alabama","Lawrence",2007,282,149,110,22,1,0,0,156,97,49,0,0,208,74,0
"Alabama","Madison",2007,364,208,131,23,2,0,0,182,93,46,0,0,290,72,2
"Alabama","Mobile",2007,359,261,79,17,2,0,0,164,75,42,0,0,203,69,87
"Alabama","Montgomery",2007,353,157,177,14,5,0,0,157,87,53,0,0,123,230,0
"Alabama","Morgan",2007,284,130,125,27,2,0,0,172,101,54,0,0,203,81,0
"Alabama","Russell",2007,354,133,203,15,3,0,0,163,89,56,0,0,98,256,0
"Alabama","Shelby",2007,284,146,109,23,6,0,0,182,101,50,0,0,202,82,0
"Alabama","Sumter",2007,239,191,46,2,0,0,0,140,74,40,0,0,239,0,0
"Alabama","Talladega",2007,118,57,60,1,0,0,0,113,77,51,0,0,0,118,0
"Alabama","Tuscaloosa",2007,274,154,102,16,2,0,0,159,93,47,0,0,190,84,0
"Alabama","Walker",2007,117,52,63,2,0,0,0,115,79,53,0,0,0,117,0
"Alaska","Aleutians East ",2007,113,111,2,0,0,0,0,56,23,10,0,0,0,113,0
"Alaska","Anchorage ",2007,301,275,25,1,0,0,0,135,47,21,120,0,0,64,117
"Alaska","Denali ",2007,356,354,2,0,0,0,0,51,42,33,0,0,353,3,0
"Alaska","Fairbanks North Star ",2007,332,208,110,12,2,0,0,160,79,32,12,0,0,320,0
"Alaska","Juneau ",2007,135,116,16,3,0,0,0,127,55,17,0,0,0,130,5
"Alaska","Kenai Peninsula ",2007,108,107,1,0,0,0,0,58,13,5,0,0,0,108,0
"Alaska","Matanuska-Susitna ",2007,132,119,12,1,0,0,0,107,49,13,0,0,0,116,16
"Alaska","Wrangell Petersburg",2007,114,114,0,0,0,0,0,25,11,4,0,0,0,114,0
"Arizona","Apache",2007,365,341,24,0,0,0,0,80,44,25,0,0,0,11,354
"Arizona","Cochise",2007,357,239,117,1,0,0,0,108,71,45,0,0,332,16,9
"Arizona","Coconino",2007,357,207,148,2,0,0,0,131,80,49,0,0,342,15,0
"Arizona","Gila",2007,336,138,175,23,0,0,0,126,93,55,0,0,177,27,132
"Arizona","Graham",2007,60,59,1,0,0,0,0,54,31,19,0,0,0,0,60
"Arizona","La Paz",2007,212,112,94,6,0,0,0,136,87,50,0,0,212,0,0
"Arizona","Maricopa",2007,365,42,257,64,1,0,1,417,115,77,0,50,166,19,130
"Arizona","Mohave",2007,120,108,11,1,0,0,0,121,51,23,0,0,0,97,23
"Arizona","Navajo",2007,311,198,111,2,0,0,0,112,77,46,0,0,286,16,9
"Arizona","Pima",2007,365,183,171,11,0,0,0,127,84,50,0,21,271,24,49
"Arizona","Pinal",2007,365,43,114,116,49,19,24,2148,221,108,0,0,59,11,295
"Arizona","Santa Cruz",2007,358,171,173,14,0,0,0,140,88,52,0,0,0,26,332
"Arizona","Yavapai",2007,120,118,2,0,0,0,0,80,36,18,0,0,0,82,38
"Arizona","Yuma",2007,365,205,140,17,3,0,0,198,78,48,0,7,164,0,194
"Arkansas","Arkansas",2007,114,64,50,0,0,0,0,97,68,47,0,0,0,114,0
"Arkansas","Ashley",2007,115,67,48,0,0,0,0,88,66,45,0,0,0,115,0
"Arkansas","Clark",2007,358,323,33,2,0,0,0,129,50,33,0,0,358,0,0
"Arkansas","Crittenden",2007,365,239,96,27,3,0,0,177,93,44,0,58,234,73,0
"Arkansas","Faulkner",2007,111,68,43,0,0,0,0,90,69,44,0,0,0,111,0
"Arkansas","Garland",2007,114,68,46,0,0,0,0,100,66,46,0,0,0,114,0
"Arkansas","Jackson",2007,120,69,50,1,0,0,0,106,72,47,0,0,0,120,0
"Arkansas","Newton",2007,364,274,82,8,0,0,0,147,77,42,0,0,333,31,0
"Arkansas","Phillips",2007,113,61,51,1,0,0,0,103,72,48,0,0,0,113,0
"Arkansas","Polk",2007,364,247,107,8,2,0,0,166,79,44,0,0,303,61,0
"Arkansas","Pope",2007,119,63,55,1,0,0,0,104,68,49,0,0,0,119,0
"Arkansas","Pulaski",2007,365,154,189,18,3,1,0,235,87,54,0,5,110,249,1
"Arkansas","Sebastian",2007,117,72,45,0,0,0,0,98,67,45,0,0,0,117,0
"Arkansas","Union",2007,108,58,50,0,0,0,0,100,72,49,0,0,0,108,0
"Arkansas","Washington",2007,365,324,39,2,0,0,0,115,54,35,0,0,365,0,0
"Arkansas","White",2007,117,66,51,0,0,0,0,100,68,44,0,0,0,117,0
"California","Alameda",2007,365,278,78,8,1,0,0,164,68,38,0,40,209,116,0
"California","Amador",2007,349,270,69,10,0,0,0,122,71,38,0,0,349,0,0
"California","Butte",2007,365,193,132,38,2,0,0,174,101,49,0,0,272,92,1
"California","Calaveras",2007,359,254,91,14,0,0,0,143,80,42,0,0,343,15,1
"California","Colusa",2007,365,279,78,7,1,0,0,152,66,41,0,0,237,128,0
"California","Contra Costa",2007,365,284,70,11,0,0,0,136,67,40,0,28,257,79,1
"California","Del Norte",2007,115,115,0,0,0,0,0,49,27,12,0,0,0,91,24
"California","El Dorado",2007,365,230,87,40,7,1,0,201,112,44,0,0,361,3,1
"California","Fresno",2007,365,22,194,106,43,0,0,190,153,87,0,0,139,225,1
"California","Glenn",2007,365,236,117,12,0,0,0,138,77,44,0,0,225,140,0
"California","Humboldt",2007,339,319,20,0,0,0,0,97,42,29,13,9,271,40,6
"California","Imperial",2007,365,138,172,46,9,0,0,190,112,58,3,64,243,34,21
"California","Inyo",2007,365,170,146,38,8,1,2,623,112,51,0,0,295,4,66
"California","Kern",2007,365,30,151,114,66,4,0,205,160,101,0,1,192,167,5
"California","Kings",2007,365,69,191,83,22,0,0,196,136,77,0,2,165,183,15
"California","Lake",2007,356,347,9,0,0,0,0,77,44,32,0,0,351,5,0
"California","Los Angeles",2007,365,45,193,91,30,6,0,213,150,81,0,76,168,116,5
"California","Madera",2007,363,279,72,12,0,0,0,143,77,40,0,49,314,0,0
"California","Marin",2007,365,359,6,0,0,0,0,78,40,30,3,124,215,23,0
"California","Mariposa",2007,365,115,198,45,7,0,0,192,115,60,0,0,223,141,1
"California","Mendocino",2007,365,358,7,0,0,0,0,90,42,31,0,40,308,8,9
"California","Merced",2007,364,223,99,37,5,0,0,177,105,46,0,42,279,42,1
"California","Mono",2007,276,242,20,1,2,1,10,9916,66,17,0,0,0,30,246
"California","Monterey",2007,365,350,15,0,0,0,0,100,45,35,0,19,321,14,11
"California","Napa",2007,365,213,146,6,0,0,0,120,77,46,0,2,84,278,1
"California","Nevada",2007,365,133,171,52,9,0,0,177,119,57,0,0,239,126,0
"California","Orange",2007,365,151,185,23,4,1,1,381,93,53,0,44,145,174,2
"California","Placer",2007,365,164,156,42,3,0,0,187,106,54,0,15,221,129,0
"California","Plumas",2007,137,70,60,6,1,0,0,160,87,50,0,0,0,134,3
"California","Riverside",2007,365,56,126,115,60,7,1,1108,161,101,0,19,234,79,33
"California","Sacramento",2007,365,123,172,55,14,1,0,218,126,60,0,43,203,119,0
"California","San Benito",2007,365,261,87,17,0,0,0,143,80,43,0,0,355,10,0
"California","San Bernardino",2007,365,64,142,78,66,15,0,234,179,90,0,61,248,39,17
"California","San Diego",2007,365,87,217,51,9,1,0,257,115,67,2,41,219,95,8
"California","San Francisco",2007,365,281,79,5,0,0,0,125,60,38,0,73,93,199,0
"California","San Joaquin",2007,365,201,137,26,1,0,0,154,93,48,0,41,160,163,1
"California","San Luis Obispo",2007,365,191,133,39,2,0,0,156,101,49,0,8,336,12,9
"California","San Mateo",2007,365,274,86,5,0,0,0,126,63,38,0,38,126,201,0
"California","Santa Barbara",2007,365,224,120,19,2,0,0,183,84,48,0,2,341,20,2
"California","Santa Clara",2007,365,236,116,12,1,0,0,152,78,44,0,15,164,186,0
"California","Santa Cruz",2007,365,352,13,0,0,0,0,97,44,34,0,2,343,13,7
"California","Shasta",2007,365,262,81,22,0,0,0,133,90,44,0,0,353,12,0
"California","Siskiyou",2007,348,326,21,1,0,0,0,126,47,32,0,0,328,10,10
"California","Solano",2007,365,216,131,18,0,0,0,126,81,45,0,7,156,202,0
"California","Sonoma",2007,365,332,33,0,0,0,0,93,48,35,1,46,292,26,0
"California","Stanislaus",2007,365,146,167,37,15,0,0,178,115,56,0,1,150,213,1
"California","Sutter",2007,365,205,127,32,1,0,0,151,98,48,0,23,216,125,1
"California","Tehama",2007,359,262,68,28,1,0,0,154,97,39,0,0,352,0,7
"California","Trinity",2007,118,116,2,0,0,0,0,60,29,13,0,0,0,62,56
"California","Tulare",2007,365,59,126,120,60,0,0,192,156,100,0,4,200,160,1
"California","Tuolumne",2007,364,246,79,37,2,0,0,169,101,42,0,0,364,0,0
"California","Ventura",2007,365,181,141,37,6,0,0,190,105,51,0,13,308,42,2
"California","Yolo",2007,365,265,89,9,2,0,0,164,74,43,0,5,257,101,2
"Colorado","Adams",2007,365,181,177,5,2,0,0,161,80,51,0,123,166,44,32
"Colorado","Alamosa",2007,364,350,13,0,0,0,1,387,42,23,0,0,0,12,352
"Colorado","Arapahoe",2007,360,244,105,10,1,0,0,153,84,44,0,0,330,30,0
"Colorado","Archuleta",2007,359,356,3,0,0,0,0,74,32,19,0,0,0,0,359
"Colorado","Boulder",2007,365,218,125,19,3,0,0,156,93,45,0,0,335,30,0
"Colorado","Clear Creek",2007,85,13,29,29,13,1,0,201,164,101,0,0,85,0,0
"Colorado","Delta",2007,106,102,4,0,0,0,0,66,37,23,0,0,0,0,106
"Colorado","Denver",2007,365,167,182,15,1,0,0,154,83,52,1,111,157,81,15
"Colorado","Douglas",2007,359,223,112,23,1,0,0,154,97,44,0,0,340,19,0
"Colorado","El Paso",2007,365,230,125,10,0,0,0,129,80,46,1,0,341,20,3
"Colorado","Elbert",2007,52,50,2,0,0,0,0,52,36,19,0,0,0,52,0
"Colorado","Fremont",2007,56,56,0,0,0,0,0,29,23,17,0,0,0,0,56
"Colorado","Garfield",2007,324,178,145,0,1,0,0,166,77,49,0,0,294,0,30
"Colorado","Gunnison",2007,365,239,125,1,0,0,0,103,68,47,0,0,330,0,35
"Colorado","Jackson",2007,115,115,0,0,0,0,0,38,20,8,0,0,0,115,0
"Colorado","Jefferson",2007,365,225,97,37,6,0,0,182,105,45,0,0,365,0,0
"Colorado","La Plata",2007,365,211,148,6,0,0,0,140,77,48,0,14,350,1,0
"Colorado","Larimer",2007,365,186,144,33,2,0,0,156,100,50,1,0,344,20,0
"Colorado","Mesa",2007,365,246,117,2,0,0,0,114,65,44,2,0,133,49,181
"Colorado","Montezuma",2007,359,222,134,3,0,0,0,105,77,47,0,0,357,2,0
