"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2008,265,210,50,5,0,0,0,133,68,37,0,0,206,59,0
"Alabama","Clay",2008,110,70,40,0,0,0,0,93,61,43,0,0,0,110,0
"Alabama","Colbert",2008,277,201,76,0,0,0,0,97,64,43,0,0,193,84,0
"Alabama","DeKalb",2008,365,261,99,5,0,0,0,122,71,43,0,0,312,53,0
"Alabama","Elmore",2008,245,180,64,1,0,0,0,105,74,42,0,0,245,0,0
"Alabama","Etowah",2008,340,185,154,1,0,0,0,105,71,49,0,0,94,246,0
"Alabama","Houston",2008,277,206,71,0,0,0,0,90,61,40,0,0,187,90,0
"Alabama","Jefferson",2008,366,61,276,25,4,0,0,174,97,67,21,0,63,240,42
"Alabama","Lawrence",2008,110,87,23,0,0,0,0,76,61,35,0,0,0,110,0
"Alabama","Madison",2008,366,180,177,9,0,0,0,147,77,51,0,0,174,192,0
"Alabama","Mobile",2008,357,281,71,5,0,0,0,150,64,36,0,0,180,79,98
"Alabama","Montgomery",2008,349,189,156,4,0,0,0,122,72,48,0,0,97,251,1
"Alabama","Morgan",2008,285,196,89,0,0,0,0,97,67,44,0,0,201,84,0
"Alabama","Russell",2008,342,154,183,5,0,0,0,121,74,52,0,0,71,271,0
"Alabama","Shelby",2008,284,188,87,7,2,0,0,166,77,44,0,0,205,79,0
"Alabama","Sumter",2008,242,227,15,0,0,0,0,84,49,31,0,0,242,0,0
"Alabama","Talladega",2008,107,61,46,0,0,0,0,92,64,49,0,0,0,107,0
"Alabama","Tuscaloosa",2008,267,208,58,1,0,0,0,101,60,40,0,0,180,87,0
"Alabama","Walker",2008,120,69,51,0,0,0,0,96,68,48,0,0,0,120,0
"Alaska","Aleutians East ",2008,109,109,0,0,0,0,0,40,19,8,0,0,0,109,0
"Alaska","Anchorage ",2008,306,283,23,0,0,0,0,86,47,19,127,0,0,72,107
"Alaska","Denali ",2008,360,353,5,2,0,0,0,119,44,31,0,0,358,2,0
"Alaska","Fairbanks North Star ",2008,363,261,73,22,7,0,0,185,91,23,23,0,0,340,0
"Alaska","Juneau ",2008,278,237,39,2,0,0,0,114,59,17,0,0,0,271,7
"Alaska","Kenai Peninsula ",2008,118,118,0,0,0,0,0,40,12,5,0,0,0,118,0
"Alaska","Matanuska-Susitna ",2008,125,107,17,1,0,0,0,140,57,16,0,0,0,108,17
"Alaska","Wrangell Petersburg",2008,108,108,0,0,0,0,0,18,9,4,0,0,0,108,0
"Alaska","Yukon-Koyukuk ",2008,17,17,0,0,0,0,0,13,11,5,0,0,0,17,0
"Arizona","Apache",2008,295,262,33,0,0,0,0,94,52,25,0,0,0,48,247
"Arizona","Cochise",2008,363,235,125,3,0,0,0,150,74,46,0,0,333,20,10
"Arizona","Coconino",2008,365,246,107,12,0,0,0,129,84,47,0,0,360,5,0
"Arizona","Gila",2008,266,129,108,29,0,0,0,147,101,51,0,0,212,23,31
"Arizona","La Paz",2008,178,105,66,7,0,0,0,143,93,48,0,0,178,0,0
"Arizona","Maricopa",2008,366,67,239,59,1,0,0,162,108,65,0,65,171,21,109
"Arizona","Mohave",2008,117,99,18,0,0,0,0,70,54,22,0,0,0,85,32
"Arizona","Navajo",2008,345,219,121,5,0,0,0,115,77,47,0,0,334,11,0
"Arizona","Pima",2008,366,201,148,17,0,0,0,133,90,49,0,32,286,10,38
"Arizona","Pinal",2008,366,60,117,105,60,18,6,505,186,105,0,0,78,12,276
"Arizona","Santa Cruz",2008,356,173,168,15,0,0,0,140,81,51,0,0,0,26,330
