"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2006,280,174,81,24,1,0,0,156,97,46,0,0,219,61,0
"Alabama","Barbour",2006,11,6,5,0,0,0,0,77,63,35,0,0,0,11,0
"Alabama","Clay",2006,286,165,112,9,0,0,0,140,80,48,0,0,201,85,0
"Alabama","Colbert",2006,282,180,95,7,0,0,0,129,74,45,0,0,191,91,0
"Alabama","DeKalb",2006,363,215,133,15,0,0,0,140,84,47,0,0,303,60,0
"Alabama","Elmore",2006,244,166,72,6,0,0,0,112,77,46,0,0,244,0,0
"Alabama","Escambia",2006,121,55,66,0,0,0,0,94,71,52,0,0,0,121,0
"Alabama","Etowah",2006,282,168,108,6,0,0,0,129,74,48,0,0,196,85,1
"Alabama","Houston",2006,285,177,102,6,0,0,0,126,77,46,0,0,194,91,0
"Alabama","Jefferson",2006,365,29,267,56,12,1,0,204,118,79,49,0,63,211,42
"Alabama","Lawrence",2006,281,179,96,6,0,0,0,136,77,46,0,0,208,73,0
"Alabama","Madison",2006,362,229,119,12,2,0,0,156,84,45,0,0,286,70,6
"Alabama","Marengo",2006,16,16,0,0,0,0,0,31,26,19,0,0,0,0,16
"Alabama","Mobile",2006,359,236,99,21,3,0,0,164,84,44,0,0,206,74,79
"Alabama","Montgomery",2006,286,170,107,8,1,0,0,175,80,45,0,0,186,100,0
"Alabama","Morgan",2006,284,150,116,18,0,0,0,136,92,50,0,0,209,75,0
"Alabama","Pike",2006,20,20,0,0,0,0,0,37,34,21,0,0,0,0,20
"Alabama","Russell",2006,280,134,137,9,0,0,0,143,84,51,0,0,179,101,0
"Alabama","Shelby",2006,284,142,111,25,6,0,0,169,101,51,0,0,202,82,0
"Alabama","Sumter",2006,263,194,67,2,0,0,0,119,71,42,0,0,215,48,0
"Alabama","Talladega",2006,277,157,105,15,0,0,0,150,84,48,0,0,209,66,2
"Alabama","Tuscaloosa",2006,277,163,106,7,1,0,0,161,80,47,0,0,188,89,0
"Alabama","Walker",2006,118,53,63,2,0,0,0,112,79,53,0,0,0,118,0
"Alaska","Aleutians East ",2006,117,116,1,0,0,0,0,62,19,10,0,0,0,117,0
