state,county,year,Carbon monoxide,Nitrogen dioxide (NO2),Ozone,PM10 Total 0-10um STP,PM2.5 - Local Conditions,births_low,avg_weight_low,avg_ges_age_low,births_all,avg_weight_all,avg_ges_age_all,pct_low,high_rate
alabama,jefferson,2014,0.578752,28.600838,0.048302,24.918033,11.698347,687.0,1940.866,34.068,7376.0,3216.859,38.508,0.0931,1
alabama,jefferson,2015,0.526681,22.163818,0.047164,23.883333,11.772881,681.0,1903.761,33.633,7032.0,3210.182,38.434,0.0968,1
alabama,jefferson,2016,0.444555,28.544643,0.051325,24.256809,10.781667,709.0,1947.176,34.059,7061.0,3188.066,38.456,0.1004,1
alabama,jefferson,2017,0.367024,20.71261,0.045971,22.300057,10.325455,662.0,1929.279,34.045,6767.0,3202.834,38.456,0.0978,1
alabama,jefferson,2018,0.344179,23.718644,0.049131,22.985533,10.329508,570.0,1959.763,34.04,6560.0,3222.885,38.468,0.0869,1
alabama,jefferson,2019,0.420199,26.045122,0.050222,26.322938,10.621161,558.0,1951.084,34.102,6116.0,3208.512,38.42,0.0912,1
alabama,jefferson,2020,0.345078,22.978,0.045526,26.038204,10.167607,507.0,1945.606,33.933,5959.0,3210.465,38.405,0.0851,1
arizona,maricopa,2013,0.555451,44.628809,0.063694,42.886215,10.63648,2705.0,2000.754,34.09,46333.0,3319.528,38.659,0.0584,0
arizona,maricopa,2014,0.607669,44.090659,0.063311,46.313689,11.128561,2661.0,2020.416,34.385,45085.0,3316.225,38.673,0.059,0
arizona,maricopa,2015,0.894851,40.472222,0.06122,37.181472,9.052419,2720.0,2018.694,34.305,44689.0,3312.149,38.653,0.0609,0
arizona,maricopa,2016,0.915131,45.434426,0.06139,47.276382,13.151613,2682.0,2011.073,34.316,43036.0,3306.389,38.643,0.0623,0
arizona,maricopa,2017,0.498203,46.489011,0.058518,56.850098,10.291747,2437.0,2009.746,34.226,41447.0,3314.089,38.626,0.0588,0
arizona,maricopa,2018,0.521024,43.275281,0.058142,60.82133,10.110572,2372.0,2031.785,34.398,41067.0,3316.153,38.619,0.0578,0
