state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
04,001,1235,88101,2,35.880404,-109.438003,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),Events Included,24,39.0,N,24,61,24,7,0.0,0.0,Certification not required,2.9125,2.123023,10.7,2011-04-15 00:00,5.6,2011-05-09 00:00,5.4,2011-07-20 00:00,4.4,2011-06-15 00:00,,,,,10.7,10.7,5.6,5.4,3.4,2.8,1.1,Nazlini,"Indian Route 27, Mile Post 14, 1/4 Mi N. Power Line Rd.",Arizona,Apache,Nazlini (Trading Post),,,2021-11-08
04,001,1235,88101,2,35.880404,-109.438003,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),Events Included,24,39.0,N,24,61,24,7,,,Certification not required,2.9125,2.123023,10.7,2011-04-15 00:00,5.6,2011-05-09 00:00,5.4,2011-07-20 00:00,4.4,2011-06-15 00:00,,,,,10.7,10.7,5.6,5.4,3.4,2.8,1.1,Nazlini,"Indian Route 27, Mile Post 14, 1/4 Mi N. Power Line Rd.",Arizona,Apache,Nazlini (Trading Post),,,2021-11-08
04,001,1235,88101,2,35.880404,-109.438003,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),Events Included,24,39.0,N,24,61,24,7,0.0,0.0,Certification not required,2.9125,2.123023,10.7,2011-04-15 00:00,5.6,2011-05-09 00:00,5.4,2011-07-20 00:00,4.4,2011-06-15 00:00,,,,,10.7,10.7,5.6,5.4,3.4,2.8,1.1,Nazlini,"Indian Route 27, Mile Post 14, 1/4 Mi N. Power Line Rd.",Arizona,Apache,Nazlini (Trading Post),,,2021-11-08
04,001,1235,88101,2,35.880404,-109.438003,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),Events Included,24,39.0,N,24,61,24,7,,,Certification not required,2.9125,2.123023,10.7,2011-04-15 00:00,5.6,2011-05-09 00:00,5.4,2011-07-20 00:00,4.4,2011-06-15 00:00,,,,,10.7,10.7,5.6,5.4,3.4,2.8,1.1,Nazlini,"Indian Route 27, Mile Post 14, 1/4 Mi N. Power Line Rd.",Arizona,Apache,Nazlini (Trading Post),,,2021-11-08
04,001,1235,88101,2,35.880404,-109.438003,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),Events Included,24,39.0,N,24,61,24,7,0.0,0.0,Certification not required,2.9125,2.123023,10.7,2011-04-15 00:00,5.6,2011-05-09 00:00,5.4,2011-07-20 00:00,4.4,2011-06-15 00:00,,,,,10.7,10.7,5.6,5.4,3.4,2.8,1.1,Nazlini,"Indian Route 27, Mile Post 14, 1/4 Mi N. Power Line Rd.",Arizona,Apache,Nazlini (Trading Post),,,2021-11-08
04,001,1235,88101,2,35.880404,-109.438003,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 1997,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),Events Included,24,39.0,N,24,61,24,7,,,Certification not required,2.9125,2.123023,10.7,2011-04-15 00:00,5.6,2011-05-09 00:00,5.4,2011-07-20 00:00,4.4,2011-06-15 00:00,,,,,10.7,10.7,5.6,5.4,3.4,2.8,1.1,Nazlini,"Indian Route 27, Mile Post 14, 1/4 Mi N. Power Line Rd.",Arizona,Apache,Nazlini (Trading Post),,,2021-11-08
04,001,1235,88101,1,35.880404,-109.438003,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),Events Included,31,51.0,N,31,61,31,1,0.0,0.0,Certification not required,3.66129,2.30314,11.8,2011-04-15 00:00,7.9,2011-04-03 00:00,6.2,2011-06-02 00:00,5.8,2011-05-09 00:00,,,,,11.8,11.8,7.9,5.8,5.0,3.3,1.2,Nazlini,"Indian Route 27, Mile Post 14, 1/4 Mi N. Power Line Rd.",Arizona,Apache,Nazlini (Trading Post),,,2021-11-08
04,001,1235,88101,1,35.880404,-109.438003,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),Events Included,31,51.0,N,31,61,31,1,,,Certification not required,3.66129,2.30314,11.8,2011-04-15 00:00,7.9,2011-04-03 00:00,6.2,2011-06-02 00:00,5.8,2011-05-09 00:00,,,,,11.8,11.8,7.9,5.8,5.0,3.3,1.2,Nazlini,"Indian Route 27, Mile Post 14, 1/4 Mi N. Power Line Rd.",Arizona,Apache,Nazlini (Trading Post),,,2021-11-08
04,001,1235,88101,1,35.880404,-109.438003,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),Events Included,31,51.0,N,31,61,31,1,0.0,0.0,Certification not required,3.66129,2.30314,11.8,2011-04-15 00:00,7.9,2011-04-03 00:00,6.2,2011-06-02 00:00,5.8,2011-05-09 00:00,,,,,11.8,11.8,7.9,5.8,5.0,3.3,1.2,Nazlini,"Indian Route 27, Mile Post 14, 1/4 Mi N. Power Line Rd.",Arizona,Apache,Nazlini (Trading Post),,,2021-11-08
04,001,1235,88101,1,35.880404,-109.438003,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),Events Included,31,51.0,N,31,61,31,1,,,Certification not required,3.66129,2.30314,11.8,2011-04-15 00:00,7.9,2011-04-03 00:00,6.2,2011-06-02 00:00,5.8,2011-05-09 00:00,,,,,11.8,11.8,7.9,5.8,5.0,3.3,1.2,Nazlini,"Indian Route 27, Mile Post 14, 1/4 Mi N. Power Line Rd.",Arizona,Apache,Nazlini (Trading Post),,,2021-11-08
