state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
05,001,0011,88101,1,34.518515,-91.55896,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,116,94.0,Y,115,122,0,0,0.0,0.0,Certified,11.39569,5.136018,32.2,2006-08-24 00:00,24.5,2006-08-18 00:00,23.9,2006-08-03 00:00,23.6,2006-09-08 00:00,,,,,24.5,23.9,21.8,18.0,14.3,10.9,5.7,STUTTGART,1703 N BEURKLE - HWY 63,Arkansas,Arkansas,Stuttgart,,,2021-11-09
05,001,0011,88101,1,34.518515,-91.55896,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,116,94.0,Y,115,122,0,0,,,Certified,11.39569,5.136018,32.2,2006-08-24 00:00,24.5,2006-08-18 00:00,23.9,2006-08-03 00:00,23.6,2006-09-08 00:00,,,,,24.5,23.9,21.8,18.0,14.3,10.9,5.7,STUTTGART,1703 N BEURKLE - HWY 63,Arkansas,Arkansas,Stuttgart,,,2021-11-09
05,001,0011,88101,1,34.518515,-91.55896,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,116,94.0,Y,115,122,0,0,0.0,0.0,Certified,11.39569,5.136018,32.2,2006-08-24 00:00,24.5,2006-08-18 00:00,23.9,2006-08-03 00:00,23.6,2006-09-08 00:00,,,,,24.5,23.9,21.8,18.0,14.3,10.9,5.7,STUTTGART,1703 N BEURKLE - HWY 63,Arkansas,Arkansas,Stuttgart,,,2021-11-09
05,001,0011,88101,1,34.518515,-91.55896,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,116,94.0,Y,115,122,0,0,,,Certified,11.39569,5.136018,32.2,2006-08-24 00:00,24.5,2006-08-18 00:00,23.9,2006-08-03 00:00,23.6,2006-09-08 00:00,,,,,24.5,23.9,21.8,18.0,14.3,10.9,5.7,STUTTGART,1703 N BEURKLE - HWY 63,Arkansas,Arkansas,Stuttgart,,,2021-11-09
05,001,0011,88101,1,34.518515,-91.55896,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,116,94.0,Y,115,122,0,0,0.0,0.0,Certified,11.39569,5.136018,32.2,2006-08-24 00:00,24.5,2006-08-18 00:00,23.9,2006-08-03 00:00,23.6,2006-09-08 00:00,,,,,24.5,23.9,21.8,18.0,14.3,10.9,5.7,STUTTGART,1703 N BEURKLE - HWY 63,Arkansas,Arkansas,Stuttgart,,,2021-11-09
05,001,0011,88101,1,34.518515,-91.55896,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 1997,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,116,94.0,Y,115,122,0,0,,,Certified,11.39569,5.136018,32.2,2006-08-24 00:00,24.5,2006-08-18 00:00,23.9,2006-08-03 00:00,23.6,2006-09-08 00:00,,,,,24.5,23.9,21.8,18.0,14.3,10.9,5.7,STUTTGART,1703 N BEURKLE - HWY 63,Arkansas,Arkansas,Stuttgart,,,2021-11-09
05,001,0011,88101,2,34.518515,-91.55896,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,56,92.0,Y,56,61,0,0,0.0,0.0,Certified,11.4875,4.791738,23.4,2006-09-08 00:00,23.3,2006-08-03 00:00,21.9,2006-06-16 00:00,18.7,2006-03-18 00:00,,,,,23.4,23.3,21.9,17.2,15.5,11.1,5.5,STUTTGART,1703 N BEURKLE - HWY 63,Arkansas,Arkansas,Stuttgart,,,2021-11-09
05,001,0011,88101,2,34.518515,-91.55896,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,56,92.0,Y,56,61,0,0,,,Certified,11.4875,4.791738,23.4,2006-09-08 00:00,23.3,2006-08-03 00:00,21.9,2006-06-16 00:00,18.7,2006-03-18 00:00,,,,,23.4,23.3,21.9,17.2,15.5,11.1,5.5,STUTTGART,1703 N BEURKLE - HWY 63,Arkansas,Arkansas,Stuttgart,,,2021-11-09
05,001,0011,88101,2,34.518515,-91.55896,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,56,92.0,Y,56,61,0,0,0.0,0.0,Certified,11.4875,4.791738,23.4,2006-09-08 00:00,23.3,2006-08-03 00:00,21.9,2006-06-16 00:00,18.7,2006-03-18 00:00,,,,,23.4,23.3,21.9,17.2,15.5,11.1,5.5,STUTTGART,1703 N BEURKLE - HWY 63,Arkansas,Arkansas,Stuttgart,,,2021-11-09
05,001,0011,88101,2,34.518515,-91.55896,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2000 PM2.5 Sampler w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,56,92.0,Y,56,61,0,0,,,Certified,11.4875,4.791738,23.4,2006-09-08 00:00,23.3,2006-08-03 00:00,21.9,2006-06-16 00:00,18.7,2006-03-18 00:00,,,,,23.4,23.3,21.9,17.2,15.5,11.1,5.5,STUTTGART,1703 N BEURKLE - HWY 63,Arkansas,Arkansas,Stuttgart,,,2021-11-09
