state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
08,001,3001,42401,2,39.838119,-104.94984,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE,2011,Parts per billion,No Events,7943,91.0,Y,337,365,0,817,0.0,,Uncertified (past due),6.21365,6.387911,41.0,2011-08-11 09:00,37.0,2011-07-03 09:00,32.0,2011-08-09 10:00,30.0,2011-08-06 10:00,,,,,30.0,24.0,19.0,15.0,9.0,4.0,1.0,Welby,3174 E. 78TH AVE.,Colorado,Adams,Welby,19740,"Denver-Aurora-Lakewood, CO",2021-11-09
08,001,3001,42602,1,39.838119,-104.94984,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2011,Parts per billion,No Events,7825,89.0,Y,338,365,0,927,0.0,,Uncertified (past due),38.778107,13.571042,78.0,2011-01-12 20:00,75.0,2011-01-08 11:00,75.0,2011-02-11 09:00,71.0,2011-04-01 23:00,,,,,71.0,64.0,59.0,55.0,48.0,40.0,22.0,Welby,3174 E. 78TH AVE.,Colorado,Adams,Welby,19740,"Denver-Aurora-Lakewood, CO",2021-11-09
08,001,3001,42101,1,39.838119,-104.94984,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,2011,Parts per million,No Events,8103,93.0,Y,344,365,0,657,0.0,0.0,Uncertified (past due),0.337566,0.245162,2.4,2011-12-13 07:00,2.4,2011-12-24 19:00,2.4,2011-12-24 20:00,2.3,2011-01-13 20:00,,,,,1.3,1.1,0.8,0.6,0.4,0.3,0.1,Welby,3174 E. 78TH AVE.,Colorado,Adams,Welby,19740,"Denver-Aurora-Lakewood, CO",2021-11-08
08,001,3001,42101,1,39.838119,-104.94984,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2011,Parts per million,No Events,8115,93.0,Y,343,365,0,0,0.0,0.0,Uncertified (past due),0.341331,0.205602,2.0,2011-12-25 01:00,1.9,2011-12-25 00:00,1.9,2011-12-25 02:00,1.8,2011-12-24 23:00,2.0,2011-12-25 01:00,1.6,2011-01-12 23:00,1.2,1.0,0.7,0.6,0.4,0.3,0.2,Welby,3174 E. 78TH AVE.,Colorado,Adams,Welby,19740,"Denver-Aurora-Lakewood, CO",2021-11-08
08,001,3001,42401,2,39.838119,-104.94984,WGS84,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2011,Parts per billion,No Events,2467,84.0,Y,336,365,0,0,,0.0,Uncertified (past due),1.353912,1.986733,24.0,2011-08-11 11:00,19.0,2011-08-21 11:00,18.3,2011-08-09 11:00,17.6,2011-08-06 11:00,,,,,9.3,7.3,5.0,3.3,2.0,1.0,0.0,Welby,3174 E. 78TH AVE.,Colorado,Adams,Welby,19740,"Denver-Aurora-Lakewood, CO",2021-11-09
08,001,3001,42401,2,39.838119,-104.94984,WGS84,Sulfur dioxide,X,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,2011,Parts per billion,No Events,337,92.0,Y,337,365,0,0,0.0,,Uncertified (past due),1.368249,1.136005,5.0,2011-08-11 00:00,4.7,2011-08-06 00:00,4.6,2011-08-24 00:00,4.3,2011-08-21 00:00,,,,,4.3,4.0,3.4,3.0,2.0,1.1,0.0,Welby,3174 E. 78TH AVE.,Colorado,Adams,Welby,19740,"Denver-Aurora-Lakewood, CO",2021-11-09
08,001,3001,42401,2,39.838119,-104.94984,WGS84,Sulfur dioxide,1,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE,2011,Parts per billion,No Events,7943,91.0,Y,337,365,0,817,,,Uncertified (past due),1.362835,2.369227,41.0,2011-08-11 09:00,37.0,2011-07-03 09:00,32.0,2011-08-09 10:00,30.0,2011-08-06 10:00,,,,,11.0,9.0,5.0,3.0,2.0,1.0,0.0,Welby,3174 E. 78TH AVE.,Colorado,Adams,Welby,19740,"Denver-Aurora-Lakewood, CO",2021-11-09
08,001,3001,42602,1,39.838119,-104.94984,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2011,Parts per billion,No Events,7825,89.0,Y,338,365,0,927,,,Uncertified (past due),18.142492,15.797163,78.0,2011-01-12 20:00,75.0,2011-01-08 11:00,75.0,2011-02-11 09:00,73.0,2011-01-12 19:00,,,,,55.0,52.0,46.0,42.0,31.0,13.0,2.0,Welby,3174 E. 78TH AVE.,Colorado,Adams,Welby,19740,"Denver-Aurora-Lakewood, CO",2021-11-09
08,001,3001,44201,2,39.838119,-104.94984,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2011,Parts per million,Concurred Events Excluded,8693,99.0,Y,212,214,22,67,0.0,0.0,Uncertified (past due),0.060792,0.012688,0.099,2011-06-24 14:00,0.097,2011-07-18 14:00,0.094,2011-07-24 14:00,0.093,2011-08-24 12:00,,,,,0.094,0.091,0.081,0.076,0.069,0.061,0.05,Welby,3174 E. 78TH AVE.,Colorado,Adams,Welby,19740,"Denver-Aurora-Lakewood, CO",2021-11-27
08,001,3001,44201,2,39.838119,-104.94984,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2011,Parts per million,Events Included,8693,99.0,Y,212,214,22,67,0.0,0.0,Uncertified (past due),0.060792,0.012688,0.099,2011-06-24 14:00,0.097,2011-07-18 14:00,0.094,2011-07-24 14:00,0.093,2011-08-24 12:00,,,,,0.094,0.091,0.081,0.076,0.069,0.061,0.05,Welby,3174 E. 78TH AVE.,Colorado,Adams,Welby,19740,"Denver-Aurora-Lakewood, CO",2021-11-27
