state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
09,001,0012,42401,1,41.195076,-73.163447,NAD83,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,2006,Parts per billion,No Events,8695,99.0,Y,364,365,0,65,0.0,,Certified,10.071429,7.764464,42.0,2006-12-20 08:00,41.0,2006-01-17 07:00,40.0,2006-02-15 05:00,37.0,2006-01-29 02:00,,,,,37.0,31.0,26.0,21.0,14.0,8.0,2.0,,115 BOSTON TERRACE,Connecticut,Fairfield,Bridgeport,14860,"Bridgeport-Stamford-Norwalk, CT",2021-11-09
09,001,0017,42401,1,41.004657,-73.585128,NAD83,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,2006,Parts per billion,No Events,8595,98.0,Y,359,365,0,165,0.0,,Certified,5.941504,5.815067,34.0,2006-11-27 13:00,29.0,2006-01-28 08:00,29.0,2006-12-11 10:00,29.0,2006-12-20 21:00,,,,,29.0,25.0,18.0,14.0,8.0,4.0,1.0,Greenwich Point Park,Tods Driftway (see coordinates),Connecticut,Fairfield,Greenwich (Town of),14860,"Bridgeport-Stamford-Norwalk, CT",2021-11-09
09,001,1123,42401,1,41.399167,-73.443056,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,2006,Parts per billion,No Events,8582,98.0,Y,357,365,0,178,0.0,,Certified,6.719888,5.536901,28.0,2006-12-11 08:00,25.0,2006-01-17 06:00,25.0,2006-02-15 07:00,25.0,2006-02-21 09:00,,,,,25.0,21.0,18.0,15.0,10.0,5.0,1.0,Western Conn State Univ,"White St at 8th Ave, parking garage roof",Connecticut,Fairfield,Danbury,14860,"Bridgeport-Stamford-Norwalk, CT",2021-11-09
09,001,9003,42401,1,41.118333,-73.336667,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,2006,Parts per billion,No Events,8408,96.0,Y,349,365,0,352,0.0,,Certified,6.323782,6.097958,31.0,2006-02-21 07:00,27.0,2006-02-20 05:00,26.0,2006-01-28 02:00,26.0,2006-02-28 05:00,,,,,26.0,26.0,19.0,16.0,8.0,4.0,1.0,Sherwood Island Connector,SHERWOOD ISLAND STATE PARK,Connecticut,Fairfield,Westport,14860,"Bridgeport-Stamford-Norwalk, CT",2021-11-09
09,001,9003,42602,1,41.118333,-73.336667,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,2006,Parts per billion,No Events,8104,93.0,Y,336,365,0,656,0.0,,Certified,30.553571,11.76829,86.0,2006-11-27 16:00,56.0,2006-02-15 21:00,56.0,2006-03-06 19:00,55.0,2006-02-16 08:00,,,,,55.0,53.0,49.0,45.0,39.0,30.0,15.0,Sherwood Island Connector,SHERWOOD ISLAND STATE PARK,Connecticut,Fairfield,Westport,14860,"Bridgeport-Stamford-Norwalk, CT",2021-11-09
09,001,0020,42101,1,41.055833,-73.539444,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - NONDISPERSIVE INFRARED,2006,Parts per million,No Events,8639,99.0,Y,365,365,0,121,0.0,0.0,Certified,0.637354,0.335376,4.0,2006-11-27 18:00,3.6,2006-11-27 17:00,3.6,2006-11-27 19:00,3.4,2006-02-16 20:00,,,,,1.9,1.5,1.2,1.0,0.8,0.6,0.3,, LIBRARY 96 BROAD ST STAMFORD CT,Connecticut,Fairfield,Stamford,14860,"Bridgeport-Stamford-Norwalk, CT",2021-11-08
09,001,0020,42101,1,41.055833,-73.539444,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2006,Parts per million,No Events,8666,99.0,Y,365,365,0,0,0.0,0.0,Certified,0.644184,0.287519,3.1,2006-11-27 21:00,3.1,2006-11-27 22:00,3.1,2006-11-27 23:00,3.1,2006-11-28 00:00,3.1,2006-11-27 21:00,2.5,2006-11-28 02:00,1.6,1.4,1.2,1.0,0.8,0.6,0.3,, LIBRARY 96 BROAD ST STAMFORD CT,Connecticut,Fairfield,Stamford,14860,"Bridgeport-Stamford-Norwalk, CT",2021-11-08
09,001,0012,42401,1,41.195076,-73.163447,NAD83,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2006,Parts per billion,No Events,2879,99.0,Y,362,365,0,0,,0.0,Certified,4.443626,4.929726,33.6,2006-01-17 08:00,33.0,2006-02-21 05:00,31.0,2006-01-29 02:00,31.0,2006-12-11 08:00,,,,,22.3,18.6,14.6,11.3,6.3,3.0,0.0,,115 BOSTON TERRACE,Connecticut,Fairfield,Bridgeport,14860,"Bridgeport-Stamford-Norwalk, CT",2021-11-09
09,001,0017,42401,1,41.004657,-73.585128,NAD83,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2006,Parts per billion,No Events,2847,98.0,Y,357,365,0,0,,0.0,Certified,2.407727,3.258973,30.0,2006-11-27 14:00,25.6,2006-12-20 23:00,25.3,2006-01-28 08:00,24.0,2006-12-11 11:00,,,,,15.0,13.0,9.3,6.3,3.0,1.3,0.0,Greenwich Point Park,Tods Driftway (see coordinates),Connecticut,Fairfield,Greenwich (Town of),14860,"Bridgeport-Stamford-Norwalk, CT",2021-11-09
09,001,1123,42401,1,41.399167,-73.443056,WGS84,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2006,Parts per billion,No Events,2839,97.0,Y,355,365,0,0,,0.0,Certified,3.195949,3.625023,23.0,2006-01-17 08:00,21.3,2006-02-15 08:00,21.3,2006-12-21 08:00,21.0,2006-12-11 08:00,,,,,16.3,14.0,11.0,8.3,4.3,2.0,0.0,Western Conn State Univ,"White St at 8th Ave, parking garage roof",Connecticut,Fairfield,Danbury,14860,"Bridgeport-Stamford-Norwalk, CT",2021-11-09
09,001,9003,42401,1,41.118333,-73.336667,WGS84,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2006,Parts per billion,No Events,2785,95.0,Y,348,365,0,0,,0.0,Certified,2.605745,3.698335,28.6,2006-02-21 08:00,25.3,2006-01-28 05:00,25.3,2006-02-21 05:00,24.6,2006-01-28 08:00,,,,,17.3,14.3,11.0,7.3,3.0,1.3,0.0,Sherwood Island Connector,SHERWOOD ISLAND STATE PARK,Connecticut,Fairfield,Westport,14860,"Bridgeport-Stamford-Norwalk, CT",2021-11-09
09,001,0012,42401,1,41.195076,-73.163447,NAD83,Sulfur dioxide,X,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,2006,Parts per billion,No Events,364,100.0,Y,364,365,0,0,0.0,,Certified,4.459066,4.215164,21.5,2006-02-21 00:00,21.2,2006-12-21 00:00,19.9,2006-01-28 00:00,18.2,2006-02-15 00:00,,,,,18.2,15.2,13.0,10.8,6.5,3.4,0.5,,115 BOSTON TERRACE,Connecticut,Fairfield,Bridgeport,14860,"Bridgeport-Stamford-Norwalk, CT",2021-11-09
09,001,0017,42401,1,41.004657,-73.585128,NAD83,Sulfur dioxide,X,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,2006,Parts per billion,No Events,359,98.0,Y,359,365,0,0,0.0,,Certified,2.430641,2.720255,16.1,2006-12-21 00:00,14.5,2006-01-28 00:00,14.1,2006-12-11 00:00,13.2,2006-02-21 00:00,,,,,13.2,11.3,8.5,6.1,3.0,1.5,0.2,Greenwich Point Park,Tods Driftway (see coordinates),Connecticut,Fairfield,Greenwich (Town of),14860,"Bridgeport-Stamford-Norwalk, CT",2021-11-09
09,001,1123,42401,1,41.399167,-73.443056,WGS84,Sulfur dioxide,X,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,2006,Parts per billion,No Events,357,98.0,Y,357,365,0,0,0.0,,Certified,3.232773,3.143384,16.9,2006-12-21 00:00,14.7,2006-12-11 00:00,13.8,2006-02-15 00:00,13.1,2006-01-08 00:00,,,,,13.1,11.5,10.5,8.4,4.3,2.2,0.4,Western Conn State Univ,"White St at 8th Ave, parking garage roof",Connecticut,Fairfield,Danbury,14860,"Bridgeport-Stamford-Norwalk, CT",2021-11-09
