state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
10,001,0002,44201,1,38.986672,-75.5568,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2017,Parts per million,No Events,8425,100.0,Y,245,245,0,223,0.0,0.0,Certified,0.048069,0.010454,0.081,2017-07-20 16:00,0.08,2017-06-12 17:00,0.074,2017-06-02 13:00,0.073,2017-06-13 17:00,,,,,0.074,0.072,0.066,0.061,0.054,0.048,0.041,PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS,"STATE ROAD 384, KILLENS POND RD",Delaware,Kent,,20100,"Dover, DE",2021-11-06
10,001,0002,44201,1,38.986672,-75.5568,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,8462,100.0,Y,245,245,0,0,0.0,0.0,Certified,0.04371,0.00976,0.071,2017-06-12 10:00,0.07,2017-07-20 11:00,0.069,2017-05-17 10:00,0.066,2017-06-13 10:00,,,,,0.069,0.065,0.059,0.057,0.05,0.044,0.037,PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS,"STATE ROAD 384, KILLENS POND RD",Delaware,Kent,,20100,"Dover, DE",2021-11-06
10,001,0002,44201,1,38.986672,-75.5568,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,8462,100.0,Y,245,245,0,0,0.0,0.0,Certified,0.04371,0.00976,0.071,2017-06-12 10:00,0.07,2017-07-20 11:00,0.069,2017-05-17 10:00,0.066,2017-06-13 10:00,,,,,0.069,0.065,0.059,0.057,0.05,0.044,0.037,PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS,"STATE ROAD 384, KILLENS POND RD",Delaware,Kent,,20100,"Dover, DE",2021-11-06
10,001,0002,44201,1,38.986672,-75.5568,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2017,Parts per million,No Events,5994,100.0,Y,245,245,0,0,1.0,1.0,Certified,0.043486,0.009953,0.071,2017-06-12 10:00,0.07,2017-07-20 11:00,0.069,2017-05-17 10:00,0.066,2017-06-13 10:00,,,,,0.069,0.065,0.059,0.057,0.05,0.044,0.037,PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS,"STATE ROAD 384, KILLENS POND RD",Delaware,Kent,,20100,"Dover, DE",2021-11-06
10,001,0002,88101,3,38.986672,-75.5568,WGS84,PM2.5 - Local Conditions,1,1 HOUR,,Observed Values,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,2017,Micrograms/cubic meter (LC),Events Included,8071,92.0,Y,339,365,8071,577,,,Certification not required,6.802366,4.808569,75.9,2017-02-17 04:00,65.2,2017-02-17 05:00,56.9,2017-02-17 06:00,46.0,2017-02-17 07:00,,,,,22.3,19.1,15.8,13.0,9.1,5.9,1.8,PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS,"STATE ROAD 384, KILLENS POND RD",Delaware,Kent,,20100,"Dover, DE",2021-11-06
10,001,0002,88101,3,38.986672,-75.5568,WGS84,PM2.5 - Local Conditions,1,1 HOUR,,Observed Values,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,2017,Micrograms/cubic meter (LC),Concurred Events Excluded,8071,92.0,Y,339,365,8071,577,,,Certification not required,6.802366,4.808569,75.9,2017-02-17 04:00,65.2,2017-02-17 05:00,56.9,2017-02-17 06:00,46.0,2017-02-17 07:00,,,,,22.3,19.1,15.8,13.0,9.1,5.9,1.8,PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS,"STATE ROAD 384, KILLENS POND RD",Delaware,Kent,,20100,"Dover, DE",2021-11-06
10,001,0002,88101,3,38.986672,-75.5568,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2006,Daily Mean,,2017,Micrograms/cubic meter (LC),Events Included,335,92.0,N,335,365,0,0,0.0,0.0,Certification not required,6.749254,3.803283,26.4,2017-02-17 00:00,20.0,2017-12-04 00:00,18.7,2017-12-03 00:00,18.0,2017-04-29 00:00,,,,,18.0,16.8,13.6,12.0,8.7,6.1,2.6,PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS,"STATE ROAD 384, KILLENS POND RD",Delaware,Kent,,20100,"Dover, DE",2021-11-06
10,001,0002,88101,3,38.986672,-75.5568,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2006,Quarterly Means of Daily Means,,2017,Micrograms/cubic meter (LC),Events Included,335,92.0,N,335,365,0,0,,,Certification not required,6.749254,3.803283,26.4,2017-02-17 00:00,20.0,2017-12-04 00:00,18.7,2017-12-03 00:00,18.0,2017-04-29 00:00,,,,,18.0,16.8,13.6,12.0,8.7,6.1,2.6,PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS,"STATE ROAD 384, KILLENS POND RD",Delaware,Kent,,20100,"Dover, DE",2021-11-06
10,001,0002,88101,3,38.986672,-75.5568,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2012,Daily Mean,,2017,Micrograms/cubic meter (LC),Events Included,335,92.0,N,335,365,0,0,0.0,0.0,Certification not required,6.749254,3.803283,26.4,2017-02-17 00:00,20.0,2017-12-04 00:00,18.7,2017-12-03 00:00,18.0,2017-04-29 00:00,,,,,18.0,16.8,13.6,12.0,8.7,6.1,2.6,PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS,"STATE ROAD 384, KILLENS POND RD",Delaware,Kent,,20100,"Dover, DE",2021-11-06
10,001,0002,88101,3,38.986672,-75.5568,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2017,Micrograms/cubic meter (LC),Events Included,335,92.0,N,335,365,0,0,,,Certification not required,6.749254,3.803283,26.4,2017-02-17 00:00,20.0,2017-12-04 00:00,18.7,2017-12-03 00:00,18.0,2017-04-29 00:00,,,,,18.0,16.8,13.6,12.0,8.7,6.1,2.6,PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS,"STATE ROAD 384, KILLENS POND RD",Delaware,Kent,,20100,"Dover, DE",2021-11-06
