state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
11,001,0041,42401,1,38.895572,-76.958072,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,2017,Parts per billion,No Events,8651,99.0,Y,365,365,0,109,0.0,,Certified,1.733973,0.774062,3.9,2017-09-26 15:00,3.8,2017-12-30 01:00,3.4,2017-11-27 09:00,3.3,2017-07-25 08:00,,,,,3.3,3.2,3.0,2.9,2.4,1.5,0.9,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2021-11-06
11,001,0043,42401,2,38.921847,-77.013178,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,Instrumental - Ultraviolet Fluorescence EC9850T,2017,Parts per billion,No Events,8560,98.0,Y,359,365,0,200,0.0,,Certified,1.510028,1.139813,17.6,2017-09-26 19:00,5.8,2017-12-30 01:00,5.0,2017-01-07 03:00,4.1,2017-01-17 11:00,,,,,4.1,3.5,3.1,2.5,1.8,1.3,0.7,MCMILLAN  NCore-PAMS,"2500 1ST STREET, N.W. WASHINGTON DC",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2021-11-06
11,001,0041,42602,1,38.895572,-76.958072,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,2017,Parts per billion,No Events,8632,99.0,Y,362,365,0,128,0.0,,Certified,22.69337,9.802618,62.0,2017-02-08 08:00,60.0,2017-01-13 08:00,59.0,2017-11-28 10:00,56.0,2017-01-03 08:00,,,,,56.0,43.0,40.0,36.0,29.0,22.0,11.0,RIVER TERRACE,"420 34th Street N.E.,Washington, DC 20019",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2021-11-06
11,001,0043,42602,1,38.921847,-77.013178,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,Multiple Methods Used,2017,Parts per billion,No Events,8389,96.0,Y,352,365,0,371,0.0,,Certified,21.661932,10.368568,52.5,2017-03-09 20:00,51.2,2017-02-18 21:00,50.6,2017-03-17 06:00,47.4,2017-03-06 00:00,,,,,47.4,44.4,40.7,36.3,28.4,20.6,8.8,MCMILLAN  NCore-PAMS,"2500 1ST STREET, N.W. WASHINGTON DC",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2021-11-06
11,001,0050,42602,1,38.970092,-77.016715,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,2017,Parts per billion,No Events,8637,99.0,Y,364,365,0,123,0.0,,Certified,19.893407,9.496078,52.3,2017-10-19 18:00,49.4,2017-03-09 20:00,46.4,2017-10-20 22:00,45.2,2017-03-17 06:00,,,,,45.2,40.5,36.1,33.6,26.7,18.2,9.1,Takoma Rec Center,"301 Van Buren Street, N.W. Washington DC 20012",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2021-11-06
11,001,0051,42602,1,38.89477,-76.953426,NAD83,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,Instrumental - Chemiluminescence Teledyne API 200 EU/501,2017,Parts per billion,No Events,8406,96.0,Y,359,365,0,354,0.0,,Certified,28.892479,11.647453,82.5,2017-02-01 08:00,76.7,2017-02-06 07:00,72.7,2017-02-15 07:00,60.9,2017-03-17 06:00,,,,,60.9,58.3,50.1,42.9,34.7,28.3,14.6,Near Road,3600 Benning Road N.E.,District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2021-11-06
11,001,0043,42101,1,38.921847,-77.013178,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - Gas Filter Correlation Ecotech EC9830T,2017,Parts per million,No Events,8421,96.0,Y,364,365,0,339,0.0,0.0,Certified,0.258983,0.13676,1.862,2017-12-04 08:00,1.809,2017-10-17 22:00,1.808,2017-10-17 21:00,1.792,2017-10-17 23:00,,,,,0.86,0.685,0.491,0.381,0.283,0.225,0.159,MCMILLAN  NCore-PAMS,"2500 1ST STREET, N.W. WASHINGTON DC",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2021-11-06
11,001,0051,42101,1,38.89477,-76.953426,NAD83,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,2017,Parts per million,No Events,8311,95.0,Y,357,365,0,449,0.0,0.0,Certified,0.387189,0.250636,2.796,2017-11-28 07:00,2.782,2017-11-28 08:00,2.617,2017-11-28 05:00,2.565,2017-11-28 06:00,,,,,1.37,1.099,0.868,0.671,0.46,0.316,0.175,Near Road,3600 Benning Road N.E.,District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2021-11-06
11,001,0043,42101,1,38.921847,-77.013178,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2017,Parts per million,No Events,8405,96.0,Y,364,365,0,0,0.0,0.0,Certified,0.26,0.117391,1.4,2017-12-04 10:00,1.4,2017-12-04 11:00,1.3,2017-10-18 01:00,1.3,2017-12-04 08:00,1.4,2017-12-04 10:00,1.3,2017-10-18 01:00,0.8,0.6,0.5,0.4,0.3,0.2,0.2,MCMILLAN  NCore-PAMS,"2500 1ST STREET, N.W. WASHINGTON DC",District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2021-11-06
11,001,0051,42101,1,38.89477,-76.953426,NAD83,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2017,Parts per million,No Events,8487,97.0,Y,357,365,0,0,0.0,0.0,Certified,0.387758,0.213375,2.6,2017-11-28 09:00,2.6,2017-11-28 10:00,2.5,2017-11-28 07:00,2.5,2017-11-28 08:00,2.6,2017-11-28 09:00,2.3,2017-11-28 11:00,1.2,1.0,0.8,0.6,0.5,0.3,0.2,Near Road,3600 Benning Road N.E.,District Of Columbia,District of Columbia,Washington,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2021-11-06
