state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
12,001,3012,44201,1,29.566112,-82.26608,NAD83,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2017,Parts per million,No Events,8208,93.0,Y,341,365,0,552,0.0,0.0,Certified,0.041082,0.010805,0.084,2017-01-30 15:00,0.08,2017-05-09 17:00,0.073,2017-05-08 15:00,0.073,2017-05-10 11:00,,,,,0.073,0.066,0.058,0.054,0.048,0.041,0.027,Paynes Prairie Farm,"9300 CR 234 Micanopy, FL",Florida,Alachua,Micanopy,23540,"Gainesville, FL",2021-11-06
12,001,3012,44201,1,29.566112,-82.26608,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,8178,93.0,Y,340,365,0,0,0.0,0.0,Certified,0.0367,0.01039,0.067,2017-05-08 10:00,0.067,2017-05-09 11:00,0.066,2017-05-10 10:00,0.063,2017-05-11 09:00,,,,,0.063,0.06,0.054,0.05,0.044,0.036,0.023,Paynes Prairie Farm,"9300 CR 234 Micanopy, FL",Florida,Alachua,Micanopy,23540,"Gainesville, FL",2021-11-06
12,001,3012,44201,1,29.566112,-82.26608,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,8178,93.0,Y,340,365,0,0,0.0,0.0,Certified,0.0367,0.01039,0.067,2017-05-08 10:00,0.067,2017-05-09 11:00,0.066,2017-05-10 10:00,0.063,2017-05-11 09:00,,,,,0.063,0.06,0.054,0.05,0.044,0.036,0.023,Paynes Prairie Farm,"9300 CR 234 Micanopy, FL",Florida,Alachua,Micanopy,23540,"Gainesville, FL",2021-11-06
12,001,0023,88101,1,29.706111,-82.387778,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Multiple Methods Used,2017,Micrograms/cubic meter (LC),No Events,117,96.0,Y,117,122,0,5,0.0,0.0,Certified,6.712821,2.864393,18.1,2017-05-31 00:00,17.3,2017-08-05 00:00,16.5,2017-02-18 00:00,12.2,2017-04-28 00:00,,,,,17.3,16.5,11.5,10.7,7.9,6.3,3.9,MILLHOPPER,5400 NW 43RD ST,Florida,Alachua,Gainesville,23540,"Gainesville, FL",2021-11-06
12,001,0023,88101,2,29.706111,-82.387778,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Multiple Methods Used,2017,Micrograms/cubic meter (LC),No Events,32,100.0,Y,30,30,0,0,0.0,0.0,Certified,7.08125,3.066409,17.7,2017-05-31 00:00,11.7,2017-05-19 00:00,11.2,2017-01-31 00:00,11.2,2017-09-28 00:00,,,,,17.7,17.7,11.7,11.2,9.1,6.7,4.5,MILLHOPPER,5400 NW 43RD ST,Florida,Alachua,Gainesville,23540,"Gainesville, FL",2021-11-06
12,001,0023,88101,1,29.706111,-82.387778,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Multiple Methods Used,2017,Micrograms/cubic meter (LC),No Events,117,96.0,Y,117,122,0,5,,,Certified,6.712821,2.864393,18.1,2017-05-31 00:00,17.3,2017-08-05 00:00,16.5,2017-02-18 00:00,12.2,2017-04-28 00:00,,,,,17.3,16.5,11.5,10.7,7.9,6.3,3.9,MILLHOPPER,5400 NW 43RD ST,Florida,Alachua,Gainesville,23540,"Gainesville, FL",2021-11-06
12,001,0023,88101,2,29.706111,-82.387778,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Multiple Methods Used,2017,Micrograms/cubic meter (LC),No Events,32,100.0,Y,30,30,0,0,,,Certified,7.08125,3.066409,17.7,2017-05-31 00:00,11.7,2017-05-19 00:00,11.2,2017-01-31 00:00,11.2,2017-09-28 00:00,,,,,17.7,17.7,11.7,11.2,9.1,6.7,4.5,MILLHOPPER,5400 NW 43RD ST,Florida,Alachua,Gainesville,23540,"Gainesville, FL",2021-11-06
12,001,0023,88101,1,29.706111,-82.387778,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,Multiple Methods Used,2017,Micrograms/cubic meter (LC),No Events,117,96.0,Y,117,122,0,5,0.0,0.0,Certified,6.712821,2.864393,18.1,2017-05-31 00:00,17.3,2017-08-05 00:00,16.5,2017-02-18 00:00,12.2,2017-04-28 00:00,,,,,17.3,16.5,11.5,10.7,7.9,6.3,3.9,MILLHOPPER,5400 NW 43RD ST,Florida,Alachua,Gainesville,23540,"Gainesville, FL",2021-11-06
12,001,0023,88101,2,29.706111,-82.387778,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,Multiple Methods Used,2017,Micrograms/cubic meter (LC),No Events,32,100.0,Y,30,30,0,0,0.0,0.0,Certified,7.08125,3.066409,17.7,2017-05-31 00:00,11.7,2017-05-19 00:00,11.2,2017-01-31 00:00,11.2,2017-09-28 00:00,,,,,17.7,17.7,11.7,11.2,9.1,6.7,4.5,MILLHOPPER,5400 NW 43RD ST,Florida,Alachua,Gainesville,23540,"Gainesville, FL",2021-11-06
12,001,0023,88101,1,29.706111,-82.387778,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,Multiple Methods Used,2017,Micrograms/cubic meter (LC),No Events,117,96.0,Y,117,122,0,5,,,Certified,6.712821,2.864393,18.1,2017-05-31 00:00,17.3,2017-08-05 00:00,16.5,2017-02-18 00:00,12.2,2017-04-28 00:00,,,,,17.3,16.5,11.5,10.7,7.9,6.3,3.9,MILLHOPPER,5400 NW 43RD ST,Florida,Alachua,Gainesville,23540,"Gainesville, FL",2021-11-06
