state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
13,015,0003,14129,1,34.23666,-84.805,WGS84,Lead (TSP) LC,7,24 HOUR,Lead 3-Month 2009,Observed Values,Hi-Vol - ICAP SPECTRA (ICP-MS); 0.45M HNO3 Boil30 min,2011,Micrograms/cubic meter (LC),No Events,60,98.0,Y,60,61,0,1,0.0,0,Certified,0.014733,0.01176,0.044,2011-03-22 00:00,0.043,2011-10-06 00:00,0.04,2011-02-14 00:00,0.04,2011-10-30 00:00,,,,,0.044,0.043,0.04,0.036,0.021,0.011,0.003,,"Cartersville Lead, 420 Peebles Valley Road NE, Cartersville, GA 30121",Georgia,Bartow,,12060,"Atlanta-Sandy Springs-Roswell, GA",2021-11-08
13,021,0012,42401,1,32.805264,-83.543493,NAD83,Sulfur dioxide,1,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - PULSED FLUORESCENT,2011,Parts per billion,No Events,8376,96.0,Y,352,365,0,384,,,Certified,1.270463,1.296609,25.2,2011-08-12 11:00,24.0,2011-01-27 12:00,23.5,2011-08-12 12:00,21.8,2011-01-22 14:00,,,,,7.6,5.1,2.4,1.3,1.0,1.0,1.0,Macon-Forestry,"Georgia Forestry Commision, 5645 Riggins Mill Road, Dry Branch, Georgia, 31020",Georgia,Bibb,Macon,31420,"Macon, GA",2021-11-09
13,021,0012,42401,1,32.805264,-83.543493,NAD83,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,2011,Parts per billion,No Events,8376,96.0,Y,352,365,0,384,0.0,,Certified,3.206818,3.963733,25.2,2011-08-12 11:00,24.0,2011-01-27 12:00,21.8,2011-01-22 14:00,20.7,2011-12-23 14:00,,,,,20.7,16.5,11.2,8.1,3.5,1.4,1.0,Macon-Forestry,"Georgia Forestry Commision, 5645 Riggins Mill Road, Dry Branch, Georgia, 31020",Georgia,Bibb,Macon,31420,"Macon, GA",2021-11-09
13,021,0012,42401,1,32.805264,-83.543493,NAD83,Sulfur dioxide,X,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,2011,Parts per billion,No Events,352,96.0,Y,352,365,0,0,0.0,,Certified,1.267045,0.565075,5.7,2011-12-23 00:00,4.7,2011-01-14 00:00,4.3,2011-12-02 00:00,4.1,2011-08-12 00:00,,,,,4.1,2.7,2.4,2.0,1.2,1.0,1.0,Macon-Forestry,"Georgia Forestry Commision, 5645 Riggins Mill Road, Dry Branch, Georgia, 31020",Georgia,Bibb,Macon,31420,"Macon, GA",2021-11-09
13,021,0012,42401,1,32.805264,-83.543493,NAD83,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2011,Parts per billion,No Events,2732,94.0,Y,347,365,0,0,,0.0,Certified,1.26519,1.098596,15.9,2011-12-23 14:00,15.0,2011-01-14 17:00,14.1,2011-12-02 17:00,13.2,2011-08-12 14:00,,,,,6.7,4.9,2.6,1.4,1.0,1.0,1.0,Macon-Forestry,"Georgia Forestry Commision, 5645 Riggins Mill Road, Dry Branch, Georgia, 31020",Georgia,Bibb,Macon,31420,"Macon, GA",2021-11-09
13,021,0007,81102,1,32.777465,-83.640996,NAD83,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,R&P Model 2000 Partisol - GRAVIMETRIC,2011,Micrograms/cubic meter (25 C),No Events,60,97.0,Y,59,61,0,2,0.0,0.0,Certified,20.666667,11.661419,55.0,2011-06-08 00:00,50.0,2011-03-22 00:00,49.0,2011-06-02 00:00,36.0,2011-04-27 00:00,,,,,55.0,50.0,49.0,34.0,30.0,20.0,8.0,Macon-Alllied,"300 Allied Industrial Bvld., Macon, Georgia 31206",Georgia,Bibb,Macon,31420,"Macon, GA",2021-11-08
13,021,0007,81102,2,32.777465,-83.640996,NAD83,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,R&P Model 2000 Partisol - GRAVIMETRIC,2011,Micrograms/cubic meter (25 C),No Events,58,95.0,Y,58,61,0,2,0.0,0.0,Certified,21.793103,11.651005,57.0,2011-06-08 00:00,50.0,2011-03-22 00:00,49.0,2011-06-02 00:00,40.0,2011-07-20 00:00,,,,,57.0,50.0,49.0,35.0,30.0,21.0,8.0,Macon-Alllied,"300 Allied Industrial Bvld., Macon, Georgia 31206",Georgia,Bibb,Macon,31420,"Macon, GA",2021-11-08
13,021,0007,88101,1,32.777465,-83.640996,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Multiple Methods Used,2011,Micrograms/cubic meter (LC),No Events,314,86.0,N,314,365,0,51,0.0,0.0,Certified,14.009236,6.366788,34.4,2011-06-08 00:00,33.7,2011-06-10 00:00,32.5,2011-02-18 00:00,32.0,2011-05-10 00:00,,,,,32.0,29.7,26.2,21.7,18.2,13.1,6.5,Macon-Alllied,"300 Allied Industrial Bvld., Macon, Georgia 31206",Georgia,Bibb,Macon,31420,"Macon, GA",2021-11-08
13,021,0007,88101,1,32.777465,-83.640996,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Multiple Methods Used,2011,Micrograms/cubic meter (LC),No Events,314,86.0,N,314,365,0,51,,,Certified,14.009236,6.366788,34.4,2011-06-08 00:00,33.7,2011-06-10 00:00,32.5,2011-02-18 00:00,32.0,2011-05-10 00:00,,,,,32.0,29.7,26.2,21.7,18.2,13.1,6.5,Macon-Alllied,"300 Allied Industrial Bvld., Macon, Georgia 31206",Georgia,Bibb,Macon,31420,"Macon, GA",2021-11-08
13,021,0007,88101,1,32.777465,-83.640996,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,Multiple Methods Used,2011,Micrograms/cubic meter (LC),No Events,314,86.0,N,314,365,0,51,0.0,0.0,Certified,14.009236,6.366788,34.4,2011-06-08 00:00,33.7,2011-06-10 00:00,32.5,2011-02-18 00:00,32.0,2011-05-10 00:00,,,,,32.0,29.7,26.2,21.7,18.2,13.1,6.5,Macon-Alllied,"300 Allied Industrial Bvld., Macon, Georgia 31206",Georgia,Bibb,Macon,31420,"Macon, GA",2021-11-08
