state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
15,001,2016,42401,1,19.2039,-155.480183,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,2017,Parts per billion,Concurred Events Excluded,8416,96.0,Y,360,365,1028,344,230.0,,Certified,147.092778,139.99881,857.9,2017-04-09 02:00,826.6,2017-01-18 08:00,716.5,2017-01-28 04:00,674.3,2017-11-26 16:00,,,,,674.3,586.2,437.4,332.7,185.7,104.8,22.7,Pahala,96-3150 PIKAKE ST,Hawaii,Hawaii,Pahala,25900,"Hilo, HI",2021-11-06
15,001,2016,42401,1,19.2039,-155.480183,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,2017,Parts per billion,Events Included,8416,96.0,Y,360,365,1028,344,230.0,,Certified,147.092778,139.99881,857.9,2017-04-09 02:00,826.6,2017-01-18 08:00,716.5,2017-01-28 04:00,674.3,2017-11-26 16:00,,,,,674.3,586.2,437.4,332.7,185.7,104.8,22.7,Pahala,96-3150 PIKAKE ST,Hawaii,Hawaii,Pahala,25900,"Hilo, HI",2021-11-06
15,001,2016,42401,1,19.2039,-155.480183,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,2017,Parts per billion,Events Excluded,7388,96.0,Y,360,365,0,344,8.0,,Certified,54.988611,21.842073,207.0,2017-12-14 13:00,99.1,2017-05-15 06:00,96.1,2017-03-12 08:00,78.7,2017-06-04 02:00,,,,,78.7,77.3,74.8,73.6,70.5,61.4,22.7,Pahala,96-3150 PIKAKE ST,Hawaii,Hawaii,Pahala,25900,"Hilo, HI",2021-11-06
15,001,2023,42401,1,19.555444,-155.102028,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,2017,Parts per billion,Concurred Events Excluded,7252,83.0,N,306,365,31,1508,15.0,,Requested but denied,15.581699,51.327978,503.3,2017-04-29 09:00,464.3,2017-03-01 15:00,304.1,2017-05-01 13:00,280.9,2017-04-30 02:00,,,,,280.9,130.7,72.0,40.7,3.0,1.5,0.6,Mountain View 23,18-1235 VOLCANO ROAD,Hawaii,Hawaii,Mountain View,25900,"Hilo, HI",2021-11-06
15,001,2023,42401,1,19.555444,-155.102028,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,2017,Parts per billion,Events Included,7252,83.0,N,306,365,31,1508,15.0,,Requested but denied,15.581699,51.327978,503.3,2017-04-29 09:00,464.3,2017-03-01 15:00,304.1,2017-05-01 13:00,280.9,2017-04-30 02:00,,,,,280.9,130.7,72.0,40.7,3.0,1.5,0.6,Mountain View 23,18-1235 VOLCANO ROAD,Hawaii,Hawaii,Mountain View,25900,"Hilo, HI",2021-11-06
15,001,2023,42401,1,19.555444,-155.102028,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,2017,Parts per billion,Events Excluded,7221,83.0,N,306,365,0,1508,1.0,,Requested but denied,8.876797,17.736365,78.7,2017-12-26 09:00,74.7,2017-03-01 21:00,74.4,2017-10-13 01:00,73.9,2017-12-12 10:00,,,,,73.9,70.2,57.0,39.1,3.0,1.5,0.6,Mountain View 23,18-1235 VOLCANO ROAD,Hawaii,Hawaii,Mountain View,25900,"Hilo, HI",2021-11-06
15,001,2010,42401,1,19.463989,-154.898706,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,2017,Parts per billion,Events Included,586,7.0,N,25,365,586,14,0.0,,Certification not required,3.124,1.92598,11.5,2017-01-05 14:00,5.7,2017-01-04 09:00,4.3,2017-01-06 08:00,4.1,2017-01-07 07:00,,,,,11.5,11.5,5.7,4.3,2.6,2.4,2.3,Puna E,13-763 LEILANI AVE,Hawaii,Hawaii,Leilani Estates,25900,"Hilo, HI",2021-11-06
15,001,2020,42401,1,19.117561,-155.778136,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,2017,Parts per billion,Concurred Events Excluded,8556,98.0,Y,365,365,328,204,122.0,,Certified,77.337808,91.647168,738.8,2017-02-15 06:00,572.5,2017-10-14 03:00,545.6,2017-02-18 05:00,479.9,2017-02-28 06:00,,,,,479.9,351.2,246.9,185.2,103.8,44.6,9.6,HOVE,"ORCHID PARKWAY, HAWAIIAN OCEAN VIEW ESTATES",Hawaii,Hawaii,Hawaiian Ocean View,25900,"Hilo, HI",2021-11-06
15,001,2020,42401,1,19.117561,-155.778136,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,2017,Parts per billion,Events Included,8556,98.0,Y,365,365,328,204,122.0,,Certified,77.337808,91.647168,738.8,2017-02-15 06:00,572.5,2017-10-14 03:00,545.6,2017-02-18 05:00,479.9,2017-02-28 06:00,,,,,479.9,351.2,246.9,185.2,103.8,44.6,9.6,HOVE,"ORCHID PARKWAY, HAWAIIAN OCEAN VIEW ESTATES",Hawaii,Hawaii,Hawaiian Ocean View,25900,"Hilo, HI",2021-11-06
15,001,2020,42401,1,19.117561,-155.778136,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - PULSED FLUORESCENT,2017,Parts per billion,Events Excluded,8228,98.0,Y,365,365,0,204,4.0,,Certified,40.055342,23.171636,81.7,2017-04-26 23:00,79.3,2017-04-23 16:00,79.3,2017-05-16 16:00,79.1,2017-07-27 21:00,,,,,79.1,75.0,73.4,71.2,62.4,39.6,9.5,HOVE,"ORCHID PARKWAY, HAWAIIAN OCEAN VIEW ESTATES",Hawaii,Hawaii,Hawaiian Ocean View,25900,"Hilo, HI",2021-11-06
