state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
16,001,0010,42401,1,43.600699,-116.347853,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,Instrumental - Ultraviolet Fluorescence API 100 EU,2017,Parts per billion,No Events,8616,98.0,Y,362,365,0,144,0.0,,Certified,0.808564,0.660989,5.2,2017-02-14 08:00,3.3,2017-12-05 07:00,3.2,2017-01-16 07:00,3.2,2017-10-31 07:00,,,,,3.2,2.7,2.2,1.7,1.0,0.6,0.2,Meridian - St. Luke's,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,,14260,"Boise City, ID",2021-11-06
16,001,0023,42602,2,43.593929,-116.38125,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2017,Parts per billion,No Events,2280,26.0,N,96,365,0,38,0.0,,Certified,30.332292,9.565426,53.1,2017-02-20 18:00,50.4,2017-02-16 17:00,45.5,2017-01-12 19:00,44.9,2017-01-18 07:00,,,,,53.1,50.4,43.8,42.5,37.3,30.4,18.5,,1311 East Central Drive,Idaho,Ada,Meridian,14260,"Boise City, ID",2021-11-06
16,001,0023,42101,1,43.593929,-116.38125,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,2017,Parts per million,No Events,2299,26.0,Y,97,365,0,19,0.0,0.0,Certified,0.297098,0.126236,1.088,2017-01-11 20:00,1.052,2017-01-11 19:00,1.023,2017-01-16 07:00,0.994,2017-01-16 08:00,,,,,0.751,0.664,0.534,0.445,0.352,0.266,0.175,,1311 East Central Drive,Idaho,Ada,Meridian,14260,"Boise City, ID",2021-11-06
16,001,0014,42101,1,43.616379,-116.203817,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,2017,Parts per million,No Events,8342,95.0,Y,350,365,0,418,0.0,0.0,Certified,0.442987,0.434205,20.0,2017-01-20 07:00,15.9,2017-01-20 08:00,9.8,2017-01-20 09:00,6.1,2017-01-19 18:00,,,,,1.4,1.2,0.9,0.8,0.6,0.4,0.2,Boise - Eastman Garage,EASTMAN BLDG/166 N. 9TH ST,Idaho,Ada,Boise (corporate name Boise City),14260,"Boise City, ID",2021-11-06
16,001,0010,42101,1,43.600699,-116.347853,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,2017,Parts per million,No Events,7820,89.0,Y,333,365,0,940,0.0,0.0,Certified,0.226234,0.122676,1.012,2017-02-14 08:00,0.967,2017-01-11 20:00,0.936,2017-01-07 01:00,0.921,2017-10-25 07:00,,,,,0.68,0.59,0.48,0.387,0.271,0.189,0.121,Meridian - St. Luke's,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,,14260,"Boise City, ID",2021-11-06
16,001,0023,42101,1,43.593929,-116.38125,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2017,Parts per million,No Events,2303,26.0,Y,97,365,0,0,0.0,0.0,Certified,0.297568,0.094933,0.7,2017-01-07 06:00,0.7,2017-01-07 07:00,0.7,2017-01-16 10:00,0.7,2017-01-16 11:00,0.7,2017-01-07 06:00,0.7,2017-01-16 10:00,0.6,0.6,0.5,0.4,0.3,0.3,0.2,,1311 East Central Drive,Idaho,Ada,Meridian,14260,"Boise City, ID",2021-11-06
16,001,0014,42101,1,43.616379,-116.203817,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2017,Parts per million,No Events,8355,95.0,Y,350,365,0,0,0.0,0.0,Certified,0.447959,0.34873,7.5,2017-01-20 11:00,7.4,2017-01-20 12:00,7.3,2017-01-20 13:00,7.2,2017-01-20 10:00,7.5,2017-01-20 11:00,4.1,2017-01-19 23:00,1.4,1.1,0.9,0.7,0.6,0.4,0.2,Boise - Eastman Garage,EASTMAN BLDG/166 N. 9TH ST,Idaho,Ada,Boise (corporate name Boise City),14260,"Boise City, ID",2021-11-06
16,001,0010,42101,1,43.600699,-116.347853,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2017,Parts per million,No Events,7793,89.0,Y,332,365,0,0,0.0,0.0,Certified,0.225998,0.104869,0.8,2017-01-07 05:00,0.7,2017-01-07 02:00,0.7,2017-01-07 03:00,0.7,2017-01-07 04:00,0.8,2017-01-07 05:00,0.7,2017-08-06 00:00,0.6,0.5,0.4,0.4,0.3,0.2,0.1,Meridian - St. Luke's,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,,14260,"Boise City, ID",2021-11-06
16,001,0010,42401,1,43.600699,-116.347853,WGS84,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2017,Parts per billion,No Events,2851,98.0,Y,359,365,0,0,,0.0,Certified,0.271168,0.272474,3.7,2017-02-14 08:00,2.9,2017-10-31 08:00,2.6,2017-12-05 08:00,2.5,2017-12-29 11:00,,,,,1.4,1.1,0.8,0.5,0.3,0.2,0.1,Meridian - St. Luke's,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,,14260,"Boise City, ID",2021-11-06
16,001,0010,42401,1,43.600699,-116.347853,WGS84,Sulfur dioxide,X,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,2017,Parts per billion,No Events,362,99.0,Y,362,365,0,0,0.0,,Certified,0.298619,0.171593,1.1,2017-12-29 00:00,1.0,2017-12-05 00:00,0.9,2017-12-01 00:00,0.9,2017-12-02 00:00,,,,,0.9,0.8,0.6,0.5,0.4,0.3,0.1,Meridian - St. Luke's,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,,14260,"Boise City, ID",2021-11-06
