state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
18,003,0004,88101,3,41.094965,-85.101816,WGS84,PM2.5 - Local Conditions,1,1 HOUR,,Observed Values,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2017,Micrograms/cubic meter (LC),No Events,8082,92.0,Y,348,365,0,678,,,Certification not required,8.161792,5.731264,44.8,2017-02-20 02:00,41.2,2017-01-15 09:00,39.1,2017-02-20 05:00,37.4,2017-07-04 21:00,,,,,27.2,23.1,18.7,15.4,11.0,7.3,1.9,Ft. Wayne- Beacon St.,2022 NORTH BEACON/ Fort Wayne- Beacon St.,Indiana,Allen,Fort Wayne,23060,"Fort Wayne, IN",2022-02-08
18,003,0004,88101,3,41.094965,-85.101816,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2006,Daily Mean,,2017,Micrograms/cubic meter (LC),No Events,335,92.0,Y,335,365,0,0,0.0,0.0,Certification not required,8.122388,4.505912,28.9,2017-01-15 00:00,28.2,2017-01-16 00:00,22.7,2017-02-20 00:00,22.1,2017-02-06 00:00,,,,,22.1,20.2,16.4,13.6,10.5,7.8,3.0,Ft. Wayne- Beacon St.,2022 NORTH BEACON/ Fort Wayne- Beacon St.,Indiana,Allen,Fort Wayne,23060,"Fort Wayne, IN",2022-02-08
18,003,0004,88101,3,41.094965,-85.101816,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2006,Quarterly Means of Daily Means,,2017,Micrograms/cubic meter (LC),No Events,335,92.0,Y,335,365,0,0,,,Certification not required,8.122388,4.505912,28.9,2017-01-15 00:00,28.2,2017-01-16 00:00,22.7,2017-02-20 00:00,22.1,2017-02-06 00:00,,,,,22.1,20.2,16.4,13.6,10.5,7.8,3.0,Ft. Wayne- Beacon St.,2022 NORTH BEACON/ Fort Wayne- Beacon St.,Indiana,Allen,Fort Wayne,23060,"Fort Wayne, IN",2022-02-08
18,003,0004,88101,3,41.094965,-85.101816,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2012,Daily Mean,,2017,Micrograms/cubic meter (LC),No Events,335,92.0,Y,335,365,0,0,0.0,0.0,Certification not required,8.122388,4.505912,28.9,2017-01-15 00:00,28.2,2017-01-16 00:00,22.7,2017-02-20 00:00,22.1,2017-02-06 00:00,,,,,22.1,20.2,16.4,13.6,10.5,7.8,3.0,Ft. Wayne- Beacon St.,2022 NORTH BEACON/ Fort Wayne- Beacon St.,Indiana,Allen,Fort Wayne,23060,"Fort Wayne, IN",2022-02-08
18,003,0004,88101,3,41.094965,-85.101816,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2017,Micrograms/cubic meter (LC),No Events,335,92.0,Y,335,365,0,0,,,Certification not required,8.122388,4.505912,28.9,2017-01-15 00:00,28.2,2017-01-16 00:00,22.7,2017-02-20 00:00,22.1,2017-02-06 00:00,,,,,22.1,20.2,16.4,13.6,10.5,7.8,3.0,Ft. Wayne- Beacon St.,2022 NORTH BEACON/ Fort Wayne- Beacon St.,Indiana,Allen,Fort Wayne,23060,"Fort Wayne, IN",2022-02-08
18,003,0004,88101,3,41.094965,-85.101816,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2017,Micrograms/cubic meter (LC),No Events,335,92.0,Y,335,365,0,0,,,Certification not required,8.122388,4.505912,28.9,2017-01-15 00:00,28.2,2017-01-16 00:00,22.7,2017-02-20 00:00,22.1,2017-02-06 00:00,,,,,22.1,20.2,16.4,13.6,10.5,7.8,3.0,Ft. Wayne- Beacon St.,2022 NORTH BEACON/ Fort Wayne- Beacon St.,Indiana,Allen,Fort Wayne,23060,"Fort Wayne, IN",2022-02-08
18,003,0004,88101,3,41.094965,-85.101816,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,Quarterly Means of Daily Means,,2017,Micrograms/cubic meter (LC),No Events,335,92.0,Y,335,365,0,0,25.0,25.0,Certification not required,8.122388,4.505912,28.9,2017-01-15 00:00,28.2,2017-01-16 00:00,22.7,2017-02-20 00:00,22.1,2017-02-06 00:00,,,,,22.1,20.2,16.4,13.6,10.5,7.8,3.0,Ft. Wayne- Beacon St.,2022 NORTH BEACON/ Fort Wayne- Beacon St.,Indiana,Allen,Fort Wayne,23060,"Fort Wayne, IN",2022-02-08
18,003,0004,88101,1,41.094965,-85.101816,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,118,97.0,Y,118,122,0,4,0.0,0.0,Certified,8.181356,4.545947,31.2,2017-01-16 00:00,21.5,2017-12-03 00:00,20.2,2017-02-06 00:00,18.2,2017-03-17 00:00,,,,,21.5,20.2,17.0,13.5,10.8,7.6,3.5,Ft. Wayne- Beacon St.,2022 NORTH BEACON/ Fort Wayne- Beacon St.,Indiana,Allen,Fort Wayne,23060,"Fort Wayne, IN",2021-11-06
18,003,0004,88101,1,41.094965,-85.101816,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,118,97.0,Y,118,122,0,4,,,Certified,8.181356,4.545947,31.2,2017-01-16 00:00,21.5,2017-12-03 00:00,20.2,2017-02-06 00:00,18.2,2017-03-17 00:00,,,,,21.5,20.2,17.0,13.5,10.8,7.6,3.5,Ft. Wayne- Beacon St.,2022 NORTH BEACON/ Fort Wayne- Beacon St.,Indiana,Allen,Fort Wayne,23060,"Fort Wayne, IN",2021-11-06
18,003,0004,88101,1,41.094965,-85.101816,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,118,97.0,Y,118,122,0,4,0.0,0.0,Certified,8.181356,4.545947,31.2,2017-01-16 00:00,21.5,2017-12-03 00:00,20.2,2017-02-06 00:00,18.2,2017-03-17 00:00,,,,,21.5,20.2,17.0,13.5,10.8,7.6,3.5,Ft. Wayne- Beacon St.,2022 NORTH BEACON/ Fort Wayne- Beacon St.,Indiana,Allen,Fort Wayne,23060,"Fort Wayne, IN",2021-11-06
