state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
20,045,0004,44201,1,39.00436,-95.22384,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2006,Parts per million,No Events,5932,74.0,N,158,214,0,44,0.0,0.0,Certified,0.061487,0.013877,0.098,2006-08-07 17:00,0.096,2006-08-22 15:00,0.095,2006-08-11 15:00,0.094,2006-07-18 13:00,,,,,0.096,0.094,0.089,0.078,0.07,0.061,0.048,LAWRENCE AIRPORT,1902 N 7TH,Kansas,Douglas,Lawrence,29940,"Lawrence, KS",2021-12-24
20,045,0004,44201,1,39.00436,-95.22384,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,5959,74.0,N,158,214,0,0,1.0,1.0,Certified,0.055329,0.012424,0.085,2006-08-07 12:00,0.084,2006-07-01 10:00,0.084,2006-08-22 10:00,0.081,2006-07-18 10:00,,,,,0.084,0.081,0.076,0.071,0.064,0.056,0.043,LAWRENCE AIRPORT,1902 N 7TH,Kansas,Douglas,Lawrence,29940,"Lawrence, KS",2021-12-24
20,045,0004,44201,1,39.00436,-95.22384,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,5959,74.0,N,158,214,0,0,9.0,9.0,Certified,0.055329,0.012424,0.085,2006-08-07 12:00,0.084,2006-07-01 10:00,0.084,2006-08-22 10:00,0.081,2006-07-18 10:00,,,,,0.084,0.081,0.076,0.071,0.064,0.056,0.043,LAWRENCE AIRPORT,1902 N 7TH,Kansas,Douglas,Lawrence,29940,"Lawrence, KS",2021-12-24
20,045,0004,44201,1,39.00436,-95.22384,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2006,Parts per million,No Events,4216,74.0,N,158,214,0,0,18.0,18.0,Certified,0.055152,0.012578,0.085,2006-08-07 12:00,0.084,2006-07-01 10:00,0.084,2006-08-22 10:00,0.081,2006-07-18 10:00,,,,,0.084,0.081,0.076,0.071,0.064,0.055,0.043,LAWRENCE AIRPORT,1902 N 7TH,Kansas,Douglas,Lawrence,29940,"Lawrence, KS",2021-12-24
20,057,0001,81102,1,37.771964,-100.01819,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,HI-VOL SA/GMW-1200 - GRAVIMETRIC,2006,Micrograms/cubic meter (25 C),No Events,23,38.0,N,23,61,0,27,0.0,0.0,Certified,26.0,20.144929,85.0,2006-01-11 00:00,83.0,2006-03-12 00:00,37.0,2006-06-22 00:00,35.0,2006-04-11 00:00,,,,,85.0,85.0,83.0,37.0,30.0,19.0,12.0,DODGE CITY,PUMP STATION 2100 1ST AVE,Kansas,Ford,Dodge City,19980,"Dodge City, KS",2021-11-08
20,091,0007,88101,1,38.974457,-94.687013,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,115,94.0,Y,115,122,0,8,0.0,0.0,Certified,9.642609,4.425426,21.2,2006-05-23 00:00,21.1,2006-06-16 00:00,20.8,2006-08-12 00:00,20.3,2006-01-23 00:00,,,,,21.1,20.8,18.3,16.2,12.1,8.8,4.6,JUSTICE CENTER,85TH AND ANTIOCH,Kansas,Johnson,Overland Park,28140,"Kansas City, MO-KS",2021-11-09
20,091,0007,88101,1,38.974457,-94.687013,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,115,94.0,Y,115,122,0,8,,,Certified,9.642609,4.425426,21.2,2006-05-23 00:00,21.1,2006-06-16 00:00,20.8,2006-08-12 00:00,20.3,2006-01-23 00:00,,,,,21.1,20.8,18.3,16.2,12.1,8.8,4.6,JUSTICE CENTER,85TH AND ANTIOCH,Kansas,Johnson,Overland Park,28140,"Kansas City, MO-KS",2021-11-09
20,091,0007,88101,1,38.974457,-94.687013,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,115,94.0,Y,115,122,0,8,0.0,0.0,Certified,9.642609,4.425426,21.2,2006-05-23 00:00,21.1,2006-06-16 00:00,20.8,2006-08-12 00:00,20.3,2006-01-23 00:00,,,,,21.1,20.8,18.3,16.2,12.1,8.8,4.6,JUSTICE CENTER,85TH AND ANTIOCH,Kansas,Johnson,Overland Park,28140,"Kansas City, MO-KS",2021-11-09
20,091,0007,88101,1,38.974457,-94.687013,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,115,94.0,Y,115,122,0,8,,,Certified,9.642609,4.425426,21.2,2006-05-23 00:00,21.1,2006-06-16 00:00,20.8,2006-08-12 00:00,20.3,2006-01-23 00:00,,,,,21.1,20.8,18.3,16.2,12.1,8.8,4.6,JUSTICE CENTER,85TH AND ANTIOCH,Kansas,Johnson,Overland Park,28140,"Kansas City, MO-KS",2021-11-09
20,091,0007,88101,1,38.974457,-94.687013,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM2.5 Sequential w/WINS - GRAVIMETRIC,2006,Micrograms/cubic meter (LC),No Events,115,94.0,Y,115,122,0,8,0.0,0.0,Certified,9.642609,4.425426,21.2,2006-05-23 00:00,21.1,2006-06-16 00:00,20.8,2006-08-12 00:00,20.3,2006-01-23 00:00,,,,,21.1,20.8,18.3,16.2,12.1,8.8,4.6,JUSTICE CENTER,85TH AND ANTIOCH,Kansas,Johnson,Overland Park,28140,"Kansas City, MO-KS",2021-11-09
