state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
22,005,0004,42602,1,30.229653,-90.965628,NAD83,Nitrogen dioxide (NO2),1,1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - CHEMILUMINESCENCE,2006,Parts per billion,No Events,8349,95.0,Y,357,365,0,0,,,Certified,9.79782,7.525669,60.0,2006-01-11 19:00,57.0,2006-01-11 20:00,52.0,2006-03-04 20:00,51.0,2006-12-06 18:00,,,,,36.0,32.0,25.0,20.0,13.0,8.0,3.0,Dutchtown,11153 Kling Road,Louisiana,Ascension,,12940,"Baton Rouge, LA",2021-11-09
22,005,0004,42602,1,30.229653,-90.965628,NAD83,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,INSTRUMENTAL - CHEMILUMINESCENCE,2006,Parts per billion,No Events,8349,95.0,Y,357,365,0,0,0.0,,Certified,22.403361,10.053776,60.0,2006-01-11 19:00,52.0,2006-03-04 20:00,51.0,2006-12-06 18:00,50.0,2006-01-03 19:00,,,,,50.0,46.0,41.0,36.0,29.0,21.0,10.0,Dutchtown,11153 Kling Road,Louisiana,Ascension,,12940,"Baton Rouge, LA",2021-11-09
22,005,0004,44201,1,30.229653,-90.965628,NAD83,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2006,Parts per million,No Events,8480,98.0,Y,358,365,0,0,0.0,0,Uncertified (past due),0.052704,0.018441,0.123,2006-06-02 14:00,0.114,2006-07-21 15:00,0.105,2006-06-01 12:00,0.102,2006-06-06 16:00,,,,,0.102,0.099,0.088,0.079,0.063,0.05,0.032,Dutchtown,11153 Kling Road,Louisiana,Ascension,,12940,"Baton Rouge, LA",2022-08-02
22,005,0004,44201,1,30.229653,-90.965628,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,8599,97.0,Y,355,365,0,0,6.0,6,Uncertified (past due),0.044907,0.01554,0.093,2006-07-21 10:00,0.092,2006-06-10 09:00,0.088,2006-06-02 10:00,0.087,2006-06-01 09:00,,,,,0.087,0.081,0.075,0.066,0.055,0.042,0.027,Dutchtown,11153 Kling Road,Louisiana,Ascension,,12940,"Baton Rouge, LA",2022-08-02
22,005,0004,44201,1,30.229653,-90.965628,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,8599,97.0,Y,355,365,0,0,14.0,14,Uncertified (past due),0.044907,0.01554,0.093,2006-07-21 10:00,0.092,2006-06-10 09:00,0.088,2006-06-02 10:00,0.087,2006-06-01 09:00,,,,,0.087,0.081,0.075,0.066,0.055,0.042,0.027,Dutchtown,11153 Kling Road,Louisiana,Ascension,,12940,"Baton Rouge, LA",2022-08-02
22,005,0004,44201,1,30.229653,-90.965628,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2006,Parts per million,No Events,6096,98.0,Y,356,365,0,0,26.0,26,Uncertified (past due),0.04489,0.01564,0.093,2006-07-21 10:00,0.092,2006-06-10 09:00,0.088,2006-06-02 10:00,0.087,2006-06-01 09:00,,,,,0.087,0.081,0.075,0.066,0.055,0.042,0.027,Dutchtown,11153 Kling Road,Louisiana,Ascension,,12940,"Baton Rouge, LA",2022-08-02
22,015,0008,42401,1,32.535293,-93.747041,NAD83,Sulfur dioxide,1,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE,2006,Parts per billion,No Events,8347,95.0,Y,358,365,0,0,,,Certified,2.692464,1.818494,37.0,2006-06-23 10:00,31.0,2006-01-03 13:00,23.0,2006-06-23 09:00,19.0,2006-07-18 10:00,,,,,8.0,7.0,5.0,5.0,4.0,3.0,1.0,Shreveport / Airport,1425 Airport Drive,Louisiana,Bossier,Shreveport,43340,"Shreveport-Bossier City, LA",2021-11-09
22,015,0008,42401,1,32.535293,-93.747041,NAD83,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE,2006,Parts per billion,No Events,8347,95.0,Y,358,365,0,0,0.0,,Certified,4.927374,3.75515,37.0,2006-06-23 10:00,31.0,2006-01-03 13:00,19.0,2006-07-18 10:00,18.0,2006-04-19 10:00,,,,,18.0,15.0,12.0,9.0,6.0,4.0,2.0,Shreveport / Airport,1425 Airport Drive,Louisiana,Bossier,Shreveport,43340,"Shreveport-Bossier City, LA",2021-11-09
22,015,0008,42401,1,32.535293,-93.747041,NAD83,Sulfur dioxide,X,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,2006,Parts per billion,No Events,358,98.0,Y,358,365,0,0,0.0,,Certified,2.7,1.375414,7.4,2006-04-19 00:00,6.2,2006-11-25 00:00,6.0,2006-11-17 00:00,5.8,2006-04-23 00:00,,,,,5.8,5.3,4.9,4.4,3.6,2.8,0.8,Shreveport / Airport,1425 Airport Drive,Louisiana,Bossier,Shreveport,43340,"Shreveport-Bossier City, LA",2021-11-09
22,015,0008,42401,1,32.535293,-93.747041,NAD83,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2006,Parts per billion,No Events,2688,92.0,Y,346,365,0,0,,0.0,Certified,2.671354,1.677176,24.0,2006-06-23 11:00,15.6,2006-04-19 11:00,12.6,2006-08-21 08:00,12.0,2006-01-03 14:00,,,,,7.6,6.3,5.3,4.6,3.6,3.0,0.6,Shreveport / Airport,1425 Airport Drive,Louisiana,Bossier,Shreveport,43340,"Shreveport-Bossier City, LA",2021-11-09
