state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
23,001,0014,44201,2,43.974622,-70.124608,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2017,Parts per million,No Events,5575,100.0,Y,183,183,0,344,0.0,0.0,Certified,0.040639,0.010965,0.077,2017-06-12 17:00,0.075,2017-05-17 16:00,0.074,2017-04-11 15:00,0.071,2017-08-22 14:00,,,,,0.075,0.071,0.06,0.055,0.048,0.043,0.035,DURHAM FIRE STATION,"ROUTE 9, DURHAM",Maine,Androscoggin,,30340,"Lewiston-Auburn, ME",2021-11-07
23,001,0014,44201,2,43.974622,-70.124608,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,5639,100.0,Y,183,183,0,0,0.0,0.0,Certified,0.036339,0.009646,0.07,2017-06-12 10:00,0.069,2017-04-11 10:00,0.064,2017-05-17 12:00,0.062,2017-06-11 10:00,,,,,0.069,0.062,0.054,0.048,0.044,0.039,0.032,DURHAM FIRE STATION,"ROUTE 9, DURHAM",Maine,Androscoggin,,30340,"Lewiston-Auburn, ME",2021-11-07
23,001,0014,44201,2,43.974622,-70.124608,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,5639,100.0,Y,183,183,0,0,0.0,0.0,Certified,0.036339,0.009646,0.07,2017-06-12 10:00,0.069,2017-04-11 10:00,0.064,2017-05-17 12:00,0.062,2017-06-11 10:00,,,,,0.069,0.062,0.054,0.048,0.044,0.039,0.032,DURHAM FIRE STATION,"ROUTE 9, DURHAM",Maine,Androscoggin,,30340,"Lewiston-Auburn, ME",2021-11-07
23,001,0014,44201,2,43.974622,-70.124608,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2017,Parts per million,No Events,4003,99.0,Y,182,183,0,0,0.0,0.0,Certified,0.036247,0.009766,0.07,2017-06-12 10:00,0.069,2017-04-11 10:00,0.064,2017-05-17 12:00,0.062,2017-06-11 10:00,,,,,0.069,0.062,0.054,0.048,0.044,0.04,0.032,DURHAM FIRE STATION,"ROUTE 9, DURHAM",Maine,Androscoggin,,30340,"Lewiston-Auburn, ME",2021-11-07
23,001,0011,88101,4,44.089406,-70.214219,WGS84,PM2.5 - Local Conditions,1,1 HOUR,,Observed Values,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,2017,Micrograms/cubic meter (LC),No Events,8537,97.0,Y,360,365,0,223,,,Uncertified (past due),8.246808,5.708916,105.0,2017-07-28 03:00,87.0,2017-07-15 01:00,65.0,2017-01-13 01:00,53.0,2017-11-08 21:00,,,,,26.0,23.0,19.0,15.0,11.0,7.0,2.0,COUNTRY KITCHEN BAKERY PARKING LOT,Lewiston Country Kitchen Bakery Lot & CANAL ST,Maine,Androscoggin,Lewiston,30340,"Lewiston-Auburn, ME",2021-11-07
23,001,0011,88101,4,44.089406,-70.214219,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2006,Daily Mean,,2017,Micrograms/cubic meter (LC),No Events,354,97.0,Y,354,365,0,0,0.0,0.0,Uncertified (past due),8.201412,3.968884,22.1,2017-02-24 00:00,21.0,2017-08-22 00:00,20.1,2017-01-10 00:00,18.6,2017-02-02 00:00,,,,,18.6,17.7,15.9,13.7,9.9,7.9,3.3,COUNTRY KITCHEN BAKERY PARKING LOT,Lewiston Country Kitchen Bakery Lot & CANAL ST,Maine,Androscoggin,Lewiston,30340,"Lewiston-Auburn, ME",2021-11-07
23,001,0011,88101,4,44.089406,-70.214219,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2006,Quarterly Means of Daily Means,,2017,Micrograms/cubic meter (LC),No Events,354,97.0,Y,354,365,0,0,,,Uncertified (past due),8.201412,3.968884,22.1,2017-02-24 00:00,21.0,2017-08-22 00:00,20.1,2017-01-10 00:00,18.6,2017-02-02 00:00,,,,,18.6,17.7,15.9,13.7,9.9,7.9,3.3,COUNTRY KITCHEN BAKERY PARKING LOT,Lewiston Country Kitchen Bakery Lot & CANAL ST,Maine,Androscoggin,Lewiston,30340,"Lewiston-Auburn, ME",2021-11-07
23,001,0011,88101,4,44.089406,-70.214219,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2012,Daily Mean,,2017,Micrograms/cubic meter (LC),No Events,354,97.0,Y,354,365,0,0,0.0,0.0,Uncertified (past due),8.201412,3.968884,22.1,2017-02-24 00:00,21.0,2017-08-22 00:00,20.1,2017-01-10 00:00,18.6,2017-02-02 00:00,,,,,18.6,17.7,15.9,13.7,9.9,7.9,3.3,COUNTRY KITCHEN BAKERY PARKING LOT,Lewiston Country Kitchen Bakery Lot & CANAL ST,Maine,Androscoggin,Lewiston,30340,"Lewiston-Auburn, ME",2021-11-07
23,001,0011,88101,4,44.089406,-70.214219,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 2012,Quarterly Means of Daily Means,,2017,Micrograms/cubic meter (LC),No Events,354,97.0,Y,354,365,0,0,,,Uncertified (past due),8.201412,3.968884,22.1,2017-02-24 00:00,21.0,2017-08-22 00:00,20.1,2017-01-10 00:00,18.6,2017-02-02 00:00,,,,,18.6,17.7,15.9,13.7,9.9,7.9,3.3,COUNTRY KITCHEN BAKERY PARKING LOT,Lewiston Country Kitchen Bakery Lot & CANAL ST,Maine,Androscoggin,Lewiston,30340,"Lewiston-Auburn, ME",2021-11-07
23,001,0011,88101,4,44.089406,-70.214219,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 1997,Daily Mean,,2017,Micrograms/cubic meter (LC),No Events,354,97.0,Y,354,365,0,0,,,Uncertified (past due),8.201412,3.968884,22.1,2017-02-24 00:00,21.0,2017-08-22 00:00,20.1,2017-01-10 00:00,18.6,2017-02-02 00:00,,,,,18.6,17.7,15.9,13.7,9.9,7.9,3.3,COUNTRY KITCHEN BAKERY PARKING LOT,Lewiston Country Kitchen Bakery Lot & CANAL ST,Maine,Androscoggin,Lewiston,30340,"Lewiston-Auburn, ME",2021-11-07
