state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
25,001,0002,42602,1,41.975804,-70.023598,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2006,Parts per billion,No Events,4192,48.0,N,180,365,0,200,,,Certified,2.518607,1.092539,11.0,2006-04-11 09:00,11.0,2006-04-11 10:00,9.0,2006-04-11 16:00,9.0,2006-05-16 19:00,,,,,6.0,6.0,5.0,4.0,3.0,2.0,2.0,TRURO NATIONAL SEASHORE,FOX BOTTOM AREA,Massachusetts,Barnstable,Truro,12700,"Barnstable Town, MA",2021-11-09
25,001,0002,42602,1,41.975804,-70.023598,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,2006,Parts per billion,No Events,4192,48.0,N,180,365,0,200,0.0,,Certified,3.861111,1.584717,11.0,2006-04-11 09:00,9.0,2006-05-16 19:00,8.0,2006-07-06 18:00,8.0,2006-09-27 04:00,,,,,9.0,8.0,7.0,6.0,5.0,4.0,2.0,TRURO NATIONAL SEASHORE,FOX BOTTOM AREA,Massachusetts,Barnstable,Truro,12700,"Barnstable Town, MA",2021-11-09
25,001,0002,44201,1,41.975804,-70.023598,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2006,Parts per million,No Events,4246,99.0,Y,182,183,0,146,0.0,0,Certified,0.055434,0.016301,0.124,2006-08-01 20:00,0.117,2006-07-18 18:00,0.105,2006-08-02 15:00,0.094,2006-06-18 16:00,,,,,0.117,0.094,0.083,0.074,0.064,0.053,0.038,TRURO NATIONAL SEASHORE,FOX BOTTOM AREA,Massachusetts,Barnstable,Truro,12700,"Barnstable Town, MA",2021-12-24
25,001,0002,44201,1,41.975804,-70.023598,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,4333,98.0,Y,179,183,0,0,3.0,3,Certified,0.05086,0.014939,0.106,2006-08-01 16:00,0.104,2006-07-18 16:00,0.098,2006-08-02 11:00,0.082,2006-06-19 09:00,,,,,0.104,0.082,0.078,0.07,0.059,0.049,0.034,TRURO NATIONAL SEASHORE,FOX BOTTOM AREA,Massachusetts,Barnstable,Truro,12700,"Barnstable Town, MA",2021-12-24
25,001,0002,44201,1,41.975804,-70.023598,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,4333,98.0,Y,179,183,0,0,12.0,12,Certified,0.05086,0.014939,0.106,2006-08-01 16:00,0.104,2006-07-18 16:00,0.098,2006-08-02 11:00,0.082,2006-06-19 09:00,,,,,0.104,0.082,0.078,0.07,0.059,0.049,0.034,TRURO NATIONAL SEASHORE,FOX BOTTOM AREA,Massachusetts,Barnstable,Truro,12700,"Barnstable Town, MA",2021-12-24
25,001,0002,44201,1,41.975804,-70.023598,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2006,Parts per million,No Events,3073,97.0,Y,178,183,0,0,16.0,16,Certified,0.049983,0.01522,0.106,2006-08-01 16:00,0.104,2006-07-18 16:00,0.098,2006-08-02 11:00,0.082,2006-06-19 09:00,,,,,0.104,0.082,0.077,0.07,0.059,0.049,0.033,TRURO NATIONAL SEASHORE,FOX BOTTOM AREA,Massachusetts,Barnstable,Truro,12700,"Barnstable Town, MA",2021-12-24
25,003,4002,44201,1,42.63668,-73.167428,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2006,Parts per million,No Events,4016,94.0,Y,172,183,0,376,0.0,0.0,Certified,0.05239,0.014052,0.09,2006-06-18 09:00,0.085,2006-06-19 04:00,0.083,2006-06-17 20:00,0.082,2006-08-14 19:00,,,,,0.085,0.082,0.078,0.071,0.061,0.053,0.034,MT GREYLOCK SUMMIT,ROUTE 8 ADAMS,Massachusetts,Berkshire,Adams,38340,"Pittsfield, MA",2021-12-24
25,003,4002,44201,1,42.63668,-73.167428,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,4098,93.0,Y,171,183,0,0,0.0,0.0,Certified,0.048754,0.012812,0.082,2006-06-18 18:00,0.079,2006-06-19 00:00,0.077,2006-08-14 16:00,0.076,2006-06-17 19:00,,,,,0.079,0.076,0.069,0.065,0.057,0.05,0.032,MT GREYLOCK SUMMIT,ROUTE 8 ADAMS,Massachusetts,Berkshire,Adams,38340,"Pittsfield, MA",2021-12-24
25,003,4002,44201,1,42.63668,-73.167428,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2006,Parts per million,No Events,4098,93.0,Y,171,183,0,0,4.0,4.0,Certified,0.048754,0.012812,0.082,2006-06-18 18:00,0.079,2006-06-19 00:00,0.077,2006-08-14 16:00,0.076,2006-06-17 19:00,,,,,0.079,0.076,0.069,0.065,0.057,0.05,0.032,MT GREYLOCK SUMMIT,ROUTE 8 ADAMS,Massachusetts,Berkshire,Adams,38340,"Pittsfield, MA",2021-12-24
25,003,4002,44201,1,42.63668,-73.167428,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2006,Parts per million,No Events,2908,93.0,Y,171,183,0,0,7.0,7.0,Certified,0.04776,0.013092,0.082,2006-06-18 18:00,0.077,2006-08-14 16:00,0.076,2006-06-17 19:00,0.074,2006-05-25 15:00,,,,,0.077,0.074,0.069,0.065,0.057,0.049,0.031,MT GREYLOCK SUMMIT,ROUTE 8 ADAMS,Massachusetts,Berkshire,Adams,38340,"Pittsfield, MA",2021-12-24
25,003,5001,88101,1,42.448009,-73.254108,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,Multiple Methods Used,2006,Micrograms/cubic meter (LC),No Events,123,94.0,Y,115,122,0,8,1.0,1.0,Certified,8.93252,7.417154,38.2,2006-06-19 00:00,30.6,2006-05-05 00:00,26.7,2006-01-29 00:00,26.2,2006-02-16 00:00,,,,,30.6,26.7,24.2,22.7,12.2,6.6,3.0,AT THE CORNER OF CENTER ST AND COLUMBUS AVE,78 CENTER ST,Massachusetts,Berkshire,Pittsfield,38340,"Pittsfield, MA",2021-11-09
25,003,5001,88101,1,42.448009,-73.254108,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,Multiple Methods Used,2006,Micrograms/cubic meter (LC),No Events,123,94.0,Y,115,122,0,8,,,Certified,8.93252,7.417154,38.2,2006-06-19 00:00,30.6,2006-05-05 00:00,26.7,2006-01-29 00:00,26.2,2006-02-16 00:00,,,,,30.6,26.7,24.2,22.7,12.2,6.6,3.0,AT THE CORNER OF CENTER ST AND COLUMBUS AVE,78 CENTER ST,Massachusetts,Berkshire,Pittsfield,38340,"Pittsfield, MA",2021-11-09
25,003,5001,88101,1,42.448009,-73.254108,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,Multiple Methods Used,2006,Micrograms/cubic meter (LC),No Events,123,94.0,Y,115,122,0,8,1.0,1.0,Certified,8.93252,7.417154,38.2,2006-06-19 00:00,30.6,2006-05-05 00:00,26.7,2006-01-29 00:00,26.2,2006-02-16 00:00,,,,,30.6,26.7,24.2,22.7,12.2,6.6,3.0,AT THE CORNER OF CENTER ST AND COLUMBUS AVE,78 CENTER ST,Massachusetts,Berkshire,Pittsfield,38340,"Pittsfield, MA",2021-11-09
25,003,5001,88101,1,42.448009,-73.254108,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,Multiple Methods Used,2006,Micrograms/cubic meter (LC),No Events,123,94.0,Y,115,122,0,8,,,Certified,8.93252,7.417154,38.2,2006-06-19 00:00,30.6,2006-05-05 00:00,26.7,2006-01-29 00:00,26.2,2006-02-16 00:00,,,,,30.6,26.7,24.2,22.7,12.2,6.6,3.0,AT THE CORNER OF CENTER ST AND COLUMBUS AVE,78 CENTER ST,Massachusetts,Berkshire,Pittsfield,38340,"Pittsfield, MA",2021-11-09
25,003,5001,88101,1,42.448009,-73.254108,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,Daily Mean,Multiple Methods Used,2006,Micrograms/cubic meter (LC),No Events,123,94.0,Y,115,122,0,8,0.0,0.0,Certified,8.93252,7.417154,38.2,2006-06-19 00:00,30.6,2006-05-05 00:00,26.7,2006-01-29 00:00,26.2,2006-02-16 00:00,,,,,30.6,26.7,24.2,22.7,12.2,6.6,3.0,AT THE CORNER OF CENTER ST AND COLUMBUS AVE,78 CENTER ST,Massachusetts,Berkshire,Pittsfield,38340,"Pittsfield, MA",2021-11-09
25,003,5001,88101,1,42.448009,-73.254108,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 1997,Quarterly Means of Daily Means,Multiple Methods Used,2006,Micrograms/cubic meter (LC),No Events,123,94.0,Y,115,122,0,8,,,Certified,8.93252,7.417154,38.2,2006-06-19 00:00,30.6,2006-05-05 00:00,26.7,2006-01-29 00:00,26.2,2006-02-16 00:00,,,,,30.6,26.7,24.2,22.7,12.2,6.6,3.0,AT THE CORNER OF CENTER ST AND COLUMBUS AVE,78 CENTER ST,Massachusetts,Berkshire,Pittsfield,38340,"Pittsfield, MA",2021-11-09
25,005,1004,42401,1,41.685707,-71.169235,WGS84,Sulfur dioxide,1,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE,2006,Parts per billion,No Events,8535,97.0,Y,364,365,0,225,,,Uncertified (past due),4.595079,5.790222,87.0,2006-01-16 00:00,79.0,2006-01-15 22:00,78.0,2006-02-24 21:00,73.0,2006-01-15 23:00,,,,,26.0,21.0,15.0,10.0,6.0,3.0,0.0,FALL RIVER,659 GLOBE ST,Massachusetts,Bristol,Fall River,39300,"Providence-Warwick, RI-MA",2021-11-09
25,005,1004,42401,1,41.685707,-71.169235,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE,2006,Parts per billion,No Events,8535,97.0,Y,364,365,0,225,3.0,,Uncertified (past due),13.840659,12.264617,87.0,2006-01-16 00:00,79.0,2006-01-15 22:00,78.0,2006-02-24 21:00,67.0,2006-01-26 18:00,,,,,67.0,46.0,35.0,27.0,19.0,11.0,2.0,FALL RIVER,659 GLOBE ST,Massachusetts,Bristol,Fall River,39300,"Providence-Warwick, RI-MA",2021-11-09
