state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
26,005,0003,44201,1,42.767786,-86.148577,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2017,Parts per million,No Events,5621,100.0,Y,245,245,0,259,0.0,0.0,Certified,0.048376,0.012276,0.083,2017-06-15 19:00,0.081,2017-06-02 16:00,0.078,2017-06-12 13:00,0.078,2017-09-26 16:00,,,,,0.078,0.077,0.071,0.066,0.056,0.046,0.034,Holland,966 W. 32ND (HOLLAND),Michigan,Allegan,Holland,26090,"Holland, MI",2021-11-07
26,005,0003,44201,1,42.767786,-86.148577,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,5876,100.0,Y,245,245,0,0,0.0,0.0,Certified,0.0442,0.011136,0.075,2017-06-02 12:00,0.074,2017-06-12 10:00,0.074,2017-06-15 13:00,0.071,2017-06-10 13:00,,,,,0.074,0.069,0.064,0.06,0.051,0.043,0.03,Holland,966 W. 32ND (HOLLAND),Michigan,Allegan,Holland,26090,"Holland, MI",2021-11-07
26,005,0003,44201,1,42.767786,-86.148577,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,5876,100.0,Y,245,245,0,0,0.0,0.0,Certified,0.0442,0.011136,0.075,2017-06-02 12:00,0.074,2017-06-12 10:00,0.074,2017-06-15 13:00,0.071,2017-06-10 13:00,,,,,0.074,0.069,0.064,0.06,0.051,0.043,0.03,Holland,966 W. 32ND (HOLLAND),Michigan,Allegan,Holland,26090,"Holland, MI",2021-11-07
26,005,0003,44201,1,42.767786,-86.148577,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2017,Parts per million,No Events,4161,100.0,Y,244,245,0,0,4.0,4.0,Certified,0.04398,0.011338,0.075,2017-06-02 12:00,0.074,2017-06-12 10:00,0.074,2017-06-15 13:00,0.071,2017-06-10 13:00,,,,,0.074,0.069,0.064,0.06,0.051,0.043,0.029,Holland,966 W. 32ND (HOLLAND),Michigan,Allegan,Holland,26090,"Holland, MI",2021-11-07
26,005,0003,88101,1,42.767786,-86.148577,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,118,97.0,Y,118,122,0,2,0.0,0.0,Certified,7.458475,4.94775,26.2,2017-09-13 00:00,26.0,2017-07-03 00:00,24.6,2017-01-16 00:00,21.2,2017-02-06 00:00,,,,,26.0,24.6,17.7,13.1,9.4,6.8,2.4,Holland,966 W. 32ND (HOLLAND),Michigan,Allegan,Holland,26090,"Holland, MI",2021-11-07
26,005,0003,88101,1,42.767786,-86.148577,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,118,97.0,Y,118,122,0,2,,,Certified,7.458475,4.94775,26.2,2017-09-13 00:00,26.0,2017-07-03 00:00,24.6,2017-01-16 00:00,21.2,2017-02-06 00:00,,,,,26.0,24.6,17.7,13.1,9.4,6.8,2.4,Holland,966 W. 32ND (HOLLAND),Michigan,Allegan,Holland,26090,"Holland, MI",2021-11-07
26,005,0003,88101,1,42.767786,-86.148577,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,118,97.0,Y,118,122,0,2,0.0,0.0,Certified,7.458475,4.94775,26.2,2017-09-13 00:00,26.0,2017-07-03 00:00,24.6,2017-01-16 00:00,21.2,2017-02-06 00:00,,,,,26.0,24.6,17.7,13.1,9.4,6.8,2.4,Holland,966 W. 32ND (HOLLAND),Michigan,Allegan,Holland,26090,"Holland, MI",2021-11-07
26,005,0003,88101,1,42.767786,-86.148577,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,118,97.0,Y,118,122,0,2,,,Certified,7.458475,4.94775,26.2,2017-09-13 00:00,26.0,2017-07-03 00:00,24.6,2017-01-16 00:00,21.2,2017-02-06 00:00,,,,,26.0,24.6,17.7,13.1,9.4,6.8,2.4,Holland,966 W. 32ND (HOLLAND),Michigan,Allegan,Holland,26090,"Holland, MI",2021-11-07
26,005,0003,88101,1,42.767786,-86.148577,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,118,97.0,Y,118,122,0,2,0.0,0.0,Certified,7.458475,4.94775,26.2,2017-09-13 00:00,26.0,2017-07-03 00:00,24.6,2017-01-16 00:00,21.2,2017-02-06 00:00,,,,,26.0,24.6,17.7,13.1,9.4,6.8,2.4,Holland,966 W. 32ND (HOLLAND),Michigan,Allegan,Holland,26090,"Holland, MI",2021-11-07
26,005,0003,88101,1,42.767786,-86.148577,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 1997,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,118,97.0,Y,118,122,0,2,,,Certified,7.458475,4.94775,26.2,2017-09-13 00:00,26.0,2017-07-03 00:00,24.6,2017-01-16 00:00,21.2,2017-02-06 00:00,,,,,26.0,24.6,17.7,13.1,9.4,6.8,2.4,Holland,966 W. 32ND (HOLLAND),Michigan,Allegan,Holland,26090,"Holland, MI",2021-11-07
26,017,0014,88101,1,43.571391,-83.890721,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,120,98.0,Y,120,122,0,2,0.0,0.0,Certified,6.770833,4.360892,25.8,2017-01-16 00:00,22.9,2017-12-18 00:00,22.4,2017-12-03 00:00,19.6,2017-01-19 00:00,,,,,22.9,22.4,15.1,12.0,8.7,5.8,2.5,"JENISON ST ABOUT 70 FT WEST, 2 LANE RESIDENTIAL",1101 JENNISON STREET (BAY CITY),Michigan,Bay,Bay City,13020,"Bay City, MI",2021-11-07
26,017,0014,88101,1,43.571391,-83.890721,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,120,98.0,Y,120,122,0,2,,,Certified,6.770833,4.360892,25.8,2017-01-16 00:00,22.9,2017-12-18 00:00,22.4,2017-12-03 00:00,19.6,2017-01-19 00:00,,,,,22.9,22.4,15.1,12.0,8.7,5.8,2.5,"JENISON ST ABOUT 70 FT WEST, 2 LANE RESIDENTIAL",1101 JENNISON STREET (BAY CITY),Michigan,Bay,Bay City,13020,"Bay City, MI",2021-11-07
26,017,0014,88101,1,43.571391,-83.890721,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,120,98.0,Y,120,122,0,2,0.0,0.0,Certified,6.770833,4.360892,25.8,2017-01-16 00:00,22.9,2017-12-18 00:00,22.4,2017-12-03 00:00,19.6,2017-01-19 00:00,,,,,22.9,22.4,15.1,12.0,8.7,5.8,2.5,"JENISON ST ABOUT 70 FT WEST, 2 LANE RESIDENTIAL",1101 JENNISON STREET (BAY CITY),Michigan,Bay,Bay City,13020,"Bay City, MI",2021-11-07
26,017,0014,88101,1,43.571391,-83.890721,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,120,98.0,Y,120,122,0,2,,,Certified,6.770833,4.360892,25.8,2017-01-16 00:00,22.9,2017-12-18 00:00,22.4,2017-12-03 00:00,19.6,2017-01-19 00:00,,,,,22.9,22.4,15.1,12.0,8.7,5.8,2.5,"JENISON ST ABOUT 70 FT WEST, 2 LANE RESIDENTIAL",1101 JENNISON STREET (BAY CITY),Michigan,Bay,Bay City,13020,"Bay City, MI",2021-11-07
