state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
27,003,1002,42602,1,45.13768,-93.207615,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 Annual 1971,Observed values,INSTRUMENTAL - GAS-PHASE CHEMILUMINESCENCE,2011,Parts per billion,No Events,8260,94.0,Y,343,365,0,500,,,Uncertified (past due),7.929177,8.937024,52.0,2011-02-11 07:00,52.0,2011-02-11 08:00,52.0,2011-03-29 06:00,51.0,2011-03-30 06:00,,,,,40.0,35.0,27.0,21.0,11.0,5.0,0.0,Anoka County Airport,9399 Lima St,Minnesota,Anoka,Blaine,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2021-11-09
27,003,1002,42602,1,45.13768,-93.207615,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,Daily Maximum 1-hour average,INSTRUMENTAL - GAS-PHASE CHEMILUMINESCENCE,2011,Parts per billion,No Events,8260,94.0,Y,343,365,0,500,0.0,,Uncertified (past due),19.370262,12.390099,52.0,2011-02-11 07:00,52.0,2011-03-29 06:00,51.0,2011-03-30 06:00,47.0,2011-02-05 00:00,,,,,47.0,46.0,42.0,37.0,28.0,19.0,5.0,Anoka County Airport,9399 Lima St,Minnesota,Anoka,Blaine,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2021-11-09
27,003,1002,42401,2,45.13768,-93.207615,WGS84,Sulfur dioxide,H,5 MINUTE,,Observed Values,Instrumental - Ultraviolet Fluorescence EC9850T,2011,Parts per billion,No Events,81690,78.0,N,296,365,0,22804,,,Certification not required,0.867857,1.035921,40.2,2011-01-15 03:40,38.9,2011-01-14 03:40,37.9,2011-01-16 03:40,34.1,2011-01-15 01:40,,,,,4.2,3.3,2.2,1.6,1.1,0.7,0.0,Anoka County Airport,9399 Lima St,Minnesota,Anoka,Blaine,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2021-11-09
27,003,1002,42401,1,45.13768,-93.207615,WGS84,Sulfur dioxide,1,1 HOUR,SO2 Annual 1971,Observed Values,Instrumental - Ultraviolet Fluorescence EC9850T,2011,Parts per billion,No Events,7007,80.0,N,301,365,0,1420,,,Uncertified (past due),0.868803,0.968447,21.0,2011-01-18 17:00,20.9,2011-01-18 18:00,20.8,2011-01-18 19:00,18.2,2011-01-18 16:00,,,,,3.9,3.2,2.2,1.6,1.1,0.8,0.0,Anoka County Airport,9399 Lima St,Minnesota,Anoka,Blaine,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2021-11-09
27,003,1002,42401,1,45.13768,-93.207615,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,Instrumental - Ultraviolet Fluorescence EC9850T,2011,Parts per billion,No Events,7007,80.0,N,301,365,0,1420,0.0,,Uncertified (past due),2.024585,1.641095,12.8,2011-02-28 16:00,12.3,2011-01-09 13:00,9.8,2011-07-22 23:00,9.5,2011-01-02 18:00,,,,,9.8,7.0,4.8,3.7,2.4,1.5,0.5,Anoka County Airport,9399 Lima St,Minnesota,Anoka,Blaine,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2021-11-09
27,003,1002,42401,1,45.13768,-93.207615,WGS84,Sulfur dioxide,X,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,2011,Parts per billion,No Events,301,82.0,N,301,365,0,0,0.0,,Uncertified (past due),0.899336,0.581664,5.8,2011-01-09 00:00,3.0,2011-01-17 00:00,2.9,2011-01-14 00:00,2.8,2011-01-04 00:00,,,,,2.8,2.2,1.8,1.5,1.1,0.9,0.2,Anoka County Airport,9399 Lima St,Minnesota,Anoka,Blaine,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2021-11-09
27,003,1002,42401,1,45.13768,-93.207615,WGS84,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2011,Parts per billion,No Events,1859,64.0,N,246,365,0,0,,0.0,Uncertified (past due),0.86724,0.868196,14.9,2011-01-18 20:00,10.9,2011-01-09 14:00,8.1,2011-01-09 11:00,7.9,2011-01-09 08:00,,,,,3.9,3.1,2.1,1.6,1.1,0.8,0.0,Anoka County Airport,9399 Lima St,Minnesota,Anoka,Blaine,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2021-11-09
27,003,1002,42101,1,45.13768,-93.207615,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - Gas Filter Correlation Ecotech EC9830T,2011,Parts per million,No Events,6263,71.0,Y,305,365,0,2445,0.0,0.0,Uncertified (past due),0.202664,0.122296,0.995,2011-10-06 19:00,0.994,2011-11-11 04:00,0.989,2011-11-09 17:00,0.988,2011-11-15 14:00,,,,,0.756,0.595,0.428,0.323,0.227,0.172,0.108,Anoka County Airport,9399 Lima St,Minnesota,Anoka,Blaine,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2021-11-08
27,003,1002,42101,1,45.13768,-93.207615,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2011,Parts per million,No Events,6384,73.0,Y,302,365,0,0,0.0,0.0,Uncertified (past due),0.200501,0.107087,1.0,2011-10-06 19:00,1.0,2011-10-06 20:00,1.0,2011-10-06 21:00,1.0,2011-10-06 22:00,1.0,2011-10-06 19:00,1.0,2011-10-07 03:00,0.6,0.5,0.4,0.3,0.2,0.2,0.1,Anoka County Airport,9399 Lima St,Minnesota,Anoka,Blaine,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2021-11-08
27,003,6020,14129,1,45.198083,-93.370916,WGS84,Lead (TSP) LC,7,24 HOUR,Lead 3-Month 2009,Observed Values,Multiple Methods Used,2011,Micrograms/cubic meter (LC),No Events,52,85.0,N,52,61,0,3,0.0,0.0,Uncertified (past due),0.017308,0.029975,0.17,2011-11-29 00:00,0.1,2011-05-03 00:00,0.07,2011-04-27 00:00,0.06,2011-01-27 00:00,,,,,0.17,0.1,0.07,0.06,0.01,0.01,0.0,Federal Cartridge,900 Ehlen Dr,Minnesota,Anoka,Anoka,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2021-11-08
