state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
28,001,0004,44201,1,31.560752,-91.390405,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),Multiple Methods Used,2011,Parts per million,No Events,3968,71.0,N,174,245,0,448,0.0,0.0,Certified,0.050224,0.012513,0.083,2011-05-18 17:00,0.076,2011-07-02 13:00,0.074,2011-07-01 14:00,0.072,2011-06-02 18:00,,,,,0.076,0.072,0.069,0.068,0.06,0.049,0.033,Natchez,Natchez Municipal Water Works Brenham St,Mississippi,Adams,Natchez,35020,"Natchez, MS-LA",2021-11-29
28,001,0004,44201,1,31.560752,-91.390405,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,Multiple Methods Used,2011,Parts per million,No Events,4157,70.0,N,172,245,0,0,0.0,0.0,Certified,0.04475,0.011466,0.071,2011-05-18 11:00,0.07,2011-07-02 10:00,0.067,2011-08-27 11:00,0.066,2011-08-19 10:00,,,,,0.07,0.066,0.065,0.06,0.053,0.044,0.03,Natchez,Natchez Municipal Water Works Brenham St,Mississippi,Adams,Natchez,35020,"Natchez, MS-LA",2021-11-29
28,001,0004,44201,1,31.560752,-91.390405,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,Multiple Methods Used,2011,Parts per million,No Events,4157,70.0,N,172,245,0,0,0.0,0.0,Certified,0.04475,0.011466,0.071,2011-05-18 11:00,0.07,2011-07-02 10:00,0.067,2011-08-27 11:00,0.066,2011-08-19 10:00,,,,,0.07,0.066,0.065,0.06,0.053,0.044,0.03,Natchez,Natchez Municipal Water Works Brenham St,Mississippi,Adams,Natchez,35020,"Natchez, MS-LA",2021-11-29
28,001,0004,44201,1,31.560752,-91.390405,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,Multiple Methods Used,2011,Parts per million,No Events,2949,71.0,N,173,245,0,0,1.0,1.0,Certified,0.044549,0.011555,0.071,2011-05-18 11:00,0.07,2011-07-02 10:00,0.067,2011-08-27 11:00,0.066,2011-08-19 10:00,,,,,0.07,0.066,0.065,0.06,0.053,0.043,0.03,Natchez,Natchez Municipal Water Works Brenham St,Mississippi,Adams,Natchez,35020,"Natchez, MS-LA",2021-11-29
28,011,0001,44201,1,33.746056,-90.723028,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2011,Parts per million,No Events,5302,95.0,Y,233,245,0,578,0.0,0.0,Certified,0.052923,0.011128,0.084,2011-05-07 14:00,0.081,2011-06-04 13:00,0.081,2011-08-31 13:00,0.078,2011-08-04 13:00,,,,,0.081,0.077,0.073,0.067,0.061,0.052,0.039,Cleveland,213 N. BAYOU AVE.,Mississippi,Bolivar,Cleveland,17380,"Cleveland, MS",2021-11-29
28,011,0001,44201,1,33.746056,-90.723028,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,5529,92.0,Y,225,245,0,0,0.0,0.0,Certified,0.047724,0.010866,0.077,2011-05-07 10:00,0.076,2011-06-04 10:00,0.076,2011-08-31 10:00,0.073,2011-06-03 10:00,,,,,0.076,0.071,0.068,0.062,0.055,0.047,0.034,Cleveland,213 N. BAYOU AVE.,Mississippi,Bolivar,Cleveland,17380,"Cleveland, MS",2021-11-29
28,011,0001,44201,1,33.746056,-90.723028,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,5529,92.0,Y,225,245,0,0,3.0,3.0,Certified,0.047724,0.010866,0.077,2011-05-07 10:00,0.076,2011-06-04 10:00,0.076,2011-08-31 10:00,0.073,2011-06-03 10:00,,,,,0.076,0.071,0.068,0.062,0.055,0.047,0.034,Cleveland,213 N. BAYOU AVE.,Mississippi,Bolivar,Cleveland,17380,"Cleveland, MS",2021-11-29
28,011,0001,44201,1,33.746056,-90.723028,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2011,Parts per million,No Events,3930,94.0,Y,230,245,0,0,6.0,6.0,Certified,0.047726,0.011045,0.077,2011-05-07 10:00,0.076,2011-06-04 10:00,0.076,2011-08-31 10:00,0.073,2011-06-03 10:00,,,,,0.076,0.071,0.068,0.062,0.055,0.047,0.034,Cleveland,213 N. BAYOU AVE.,Mississippi,Bolivar,Cleveland,17380,"Cleveland, MS",2021-11-29
28,033,0002,44201,1,34.82056,-89.98778,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2011,Parts per million,No Events,5602,100.0,Y,245,245,0,278,0.0,0.0,Certified,0.052453,0.013293,0.105,2011-08-16 15:00,0.089,2011-08-04 14:00,0.087,2011-06-04 13:00,0.085,2011-06-01 12:00,,,,,0.087,0.085,0.073,0.069,0.061,0.052,0.037,Hernando,5 EAST SOUTH ST. (HERNANDO),Mississippi,DeSoto,Hernando,32820,"Memphis, TN-MS-AR",2021-11-29
28,033,0002,44201,1,34.82056,-89.98778,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,5861,100.0,Y,244,245,0,0,0.0,0.0,Certified,0.047127,0.011845,0.079,2011-08-16 11:00,0.078,2011-06-01 10:00,0.078,2011-06-04 09:00,0.072,2011-08-04 08:00,,,,,0.078,0.07,0.066,0.063,0.055,0.048,0.033,Hernando,5 EAST SOUTH ST. (HERNANDO),Mississippi,DeSoto,Hernando,32820,"Memphis, TN-MS-AR",2021-11-29
