state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
30,003,0011,81102,1,45.053865,-106.812842,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,HI-VOL SA/GMW-1200 - GRAVIMETRIC,2006,Micrograms/cubic meter (25 C),Events Excluded,55,97.0,Y,59,61,0,2,0.0,0,Uncertified (past due),33.309091,19.89963,116.0,2006-12-13 00:00,79.0,2006-07-28 00:00,77.0,2006-12-19 00:00,64.0,2006-09-02 00:00,,,,,116.0,79.0,77.0,58.0,39.0,29.0,7.0,Decker # 1 - W Decker Loop,DECKER COAL #1 DECKER MT,Montana,Big Horn,,,,2021-11-08
30,003,0011,81102,1,45.053865,-106.812842,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,HI-VOL SA/GMW-1200 - GRAVIMETRIC,2006,Micrograms/cubic meter (25 C),Events Included,59,97.0,Y,59,61,4,2,0.0,0,Uncertified (past due),36.101695,22.094386,116.0,2006-12-13 00:00,84.0,2006-07-16 00:00,84.0,2006-09-08 00:00,79.0,2006-07-28 00:00,,,,,116.0,84.0,84.0,76.0,45.0,31.0,13.0,Decker # 1 - W Decker Loop,DECKER COAL #1 DECKER MT,Montana,Big Horn,,,,2021-11-08
30,003,0011,81102,1,45.053865,-106.812842,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,HI-VOL SA/GMW-1200 - GRAVIMETRIC,2006,Micrograms/cubic meter (25 C),Concurred Events Excluded,59,97.0,Y,59,61,4,2,0.0,0,Uncertified (past due),36.101695,22.094386,116.0,2006-12-13 00:00,84.0,2006-07-16 00:00,84.0,2006-09-08 00:00,79.0,2006-07-28 00:00,,,,,116.0,84.0,84.0,76.0,45.0,31.0,13.0,Decker # 1 - W Decker Loop,DECKER COAL #1 DECKER MT,Montana,Big Horn,,,,2021-11-08
30,003,0014,81102,1,45.064143,-106.788952,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,HI-VOL SA/GMW-1200 - GRAVIMETRIC,2006,Micrograms/cubic meter (25 C),Events Excluded,56,97.0,Y,59,61,0,2,0.0,0,Uncertified (past due),17.821429,11.231623,67.0,2006-07-28 00:00,41.0,2006-08-09 00:00,37.0,2006-01-17 00:00,33.0,2006-06-28 00:00,,,,,67.0,41.0,37.0,30.0,24.0,16.0,5.0,Decker # 4 - E Decker Office,DECKER COAL #4 DECKER MT,Montana,Big Horn,,,,2021-11-08
30,003,0014,81102,1,45.064143,-106.788952,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,HI-VOL SA/GMW-1200 - GRAVIMETRIC,2006,Micrograms/cubic meter (25 C),Events Included,59,97.0,Y,59,61,3,2,0.0,0,Uncertified (past due),18.949153,12.026442,67.0,2006-07-28 00:00,45.0,2006-09-14 00:00,41.0,2006-08-09 00:00,40.0,2006-09-08 00:00,,,,,67.0,45.0,41.0,35.0,26.0,17.0,6.0,Decker # 4 - E Decker Office,DECKER COAL #4 DECKER MT,Montana,Big Horn,,,,2021-11-08
30,003,0014,81102,1,45.064143,-106.788952,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,HI-VOL SA/GMW-1200 - GRAVIMETRIC,2006,Micrograms/cubic meter (25 C),Concurred Events Excluded,59,97.0,Y,59,61,3,2,0.0,0,Uncertified (past due),18.949153,12.026442,67.0,2006-07-28 00:00,45.0,2006-09-14 00:00,41.0,2006-08-09 00:00,40.0,2006-09-08 00:00,,,,,67.0,45.0,41.0,35.0,26.0,17.0,6.0,Decker # 4 - E Decker Office,DECKER COAL #4 DECKER MT,Montana,Big Horn,,,,2021-11-08
30,003,0017,81102,1,45.053953,-106.737901,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,HI-VOL SA/GMW-1200 - GRAVIMETRIC,2006,Micrograms/cubic meter (25 C),Events Excluded,57,98.0,Y,60,61,0,1,1.0,1,Uncertified (past due),26.245614,36.211818,255.0,2006-01-17 00:00,92.0,2006-01-23 00:00,75.0,2006-03-06 00:00,70.0,2006-01-05 00:00,,,,,255.0,92.0,75.0,47.0,33.0,15.0,5.0,Decker # 7 - Holms Ranch,DECKER COAL #7 DECKER MT,Montana,Big Horn,,,,2021-11-08
30,003,0017,81102,1,45.053953,-106.737901,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,HI-VOL SA/GMW-1200 - GRAVIMETRIC,2006,Micrograms/cubic meter (25 C),Events Included,60,98.0,Y,60,61,3,1,1.0,1,Uncertified (past due),26.683333,35.369474,255.0,2006-01-17 00:00,92.0,2006-01-23 00:00,75.0,2006-03-06 00:00,70.0,2006-01-05 00:00,,,,,255.0,92.0,75.0,47.0,34.0,17.0,5.0,Decker # 7 - Holms Ranch,DECKER COAL #7 DECKER MT,Montana,Big Horn,,,,2021-11-08
30,003,0017,81102,1,45.053953,-106.737901,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,HI-VOL SA/GMW-1200 - GRAVIMETRIC,2006,Micrograms/cubic meter (25 C),Concurred Events Excluded,60,98.0,Y,60,61,3,1,1.0,1,Uncertified (past due),26.683333,35.369474,255.0,2006-01-17 00:00,92.0,2006-01-23 00:00,75.0,2006-03-06 00:00,70.0,2006-01-05 00:00,,,,,255.0,92.0,75.0,47.0,34.0,17.0,5.0,Decker # 7 - Holms Ranch,DECKER COAL #7 DECKER MT,Montana,Big Horn,,,,2021-11-08
30,003,0018,81102,1,45.117198,-106.877011,WGS84,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Daily Mean,R - P Co Partisol Model 2000 - Gravimetric,2006,Micrograms/cubic meter (25 C),Events Excluded,55,97.0,Y,59,61,0,2,0.0,0,Uncertified (past due),19.8,13.281008,77.0,2006-12-19 00:00,69.0,2006-12-13 00:00,36.0,2006-07-28 00:00,34.0,2006-08-03 00:00,,,,,77.0,69.0,36.0,32.0,25.0,16.0,5.0,Spring Creek # 1 - North of Office,"SPRING CREEK COAL, SITE #1, DECKER, MT",Montana,Big Horn,,,,2021-11-08
