state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
31,025,0002,81102,1,40.865557,-96.146955,WGS84,PM10 Total 0-10um STP,1,1 HOUR,,Observed Values,INSTRUMENT MET ONE 4 MODELS - BETA ATTENUATION,2017,Micrograms/cubic meter (25 C),No Events,7087,81.0,Y,291,365,0,1665,,,Certified,21.461126,16.95337,264.0,2017-11-30 20:00,222.0,2017-11-30 21:00,164.0,2017-10-28 21:00,164.0,2017-10-28 22:00,,,,,86.0,67.0,51.0,40.0,27.0,18.0,6.0,,CITY SANITATION BLDG (WEEPING WATER),Nebraska,Cass,Weeping Water,36540,"Omaha-Council Bluffs, NE-IA",2021-11-07
31,025,0002,81102,1,40.865557,-96.146955,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,Daily Mean,,2017,Micrograms/cubic meter (25 C),No Events,291,80.0,N,291,365,0,0,0.0,0.0,Certified,21.09622,11.87366,67.0,2017-12-02 00:00,62.0,2017-11-08 00:00,60.0,2017-11-30 00:00,59.0,2017-09-13 00:00,,,,,60.0,55.0,44.0,36.0,28.0,19.0,8.0,,CITY SANITATION BLDG (WEEPING WATER),Nebraska,Cass,Weeping Water,36540,"Omaha-Council Bluffs, NE-IA",2021-11-07
31,025,0009,81102,1,40.873309,-96.183359,WGS84,PM10 Total 0-10um STP,1,1 HOUR,,Observed Values,INSTRUMENTAL-R&P SA246B-INLET - TEOM-GRAVIMETRIC,2017,Micrograms/cubic meter (25 C),No Events,8628,98.0,Y,360,365,0,132,,,Certified,28.138387,36.134861,791.0,2017-12-05 13:00,751.0,2017-08-03 20:00,605.0,2017-12-05 12:00,536.0,2017-12-11 07:00,,,,,175.0,128.0,77.0,56.0,34.0,19.0,5.0,,5102 HIGHWAY 50,Nebraska,Cass,Weeping Water,36540,"Omaha-Council Bluffs, NE-IA",2021-11-07
31,025,0009,81102,1,40.873309,-96.183359,WGS84,PM10 Total 0-10um STP,X,24-HR BLK AVG,PM10 24-hour 2006,Daily Mean,,2017,Micrograms/cubic meter (25 C),No Events,360,99.0,Y,360,365,0,0,0.0,0.0,Certified,27.536111,19.071594,120.0,2017-11-30 00:00,113.0,2017-12-04 00:00,108.0,2017-12-05 00:00,90.0,2017-10-25 00:00,,,,,90.0,81.0,63.0,54.0,35.0,23.0,8.0,,5102 HIGHWAY 50,Nebraska,Cass,Weeping Water,36540,"Omaha-Council Bluffs, NE-IA",2021-11-07
31,053,0005,14129,1,41.424819,-96.480819,WGS84,Lead (TSP) LC,7,24 HOUR,Lead 3-Month 2009,Observed Values,Hi-Vol - ICP-MS  Extracted on a hot plate with 3M HNO3 according to refrn methd.  SW-846 Meth 6020A,2017,Micrograms/cubic meter (LC),No Events,58,95.0,Y,58,61,0,3,0.0,0.0,Certified,0.020466,0.041831,0.304,2017-08-23 00:00,0.07,2017-12-15 00:00,0.069,2017-07-06 00:00,0.061,2017-10-16 00:00,,,,,0.304,0.07,0.069,0.059,0.019,0.009,0.003,,"1255 Front Street, Fremont, NE",Nebraska,Dodge,,23340,"Fremont, NE",2021-11-07
31,053,0005,14129,2,41.424819,-96.480819,WGS84,Lead (TSP) LC,7,24 HOUR,Lead 3-Month 2009,Observed Values,Hi-Vol - ICP-MS  Extracted on a hot plate with 3M HNO3 according to refrn methd.  SW-846 Meth 6020A,2017,Micrograms/cubic meter (LC),No Events,31,100.0,N,30,30,0,2,0.0,0.0,Certified,0.012968,0.017163,0.065,2017-07-06 00:00,0.062,2017-06-12 00:00,0.056,2017-07-18 00:00,0.027,2017-03-08 00:00,,,,,0.065,0.065,0.062,0.027,0.015,0.007,0.002,,"1255 Front Street, Fremont, NE",Nebraska,Dodge,,23340,"Fremont, NE",2021-11-07
31,055,0019,14129,1,41.247486,-95.973142,WGS84,Lead (TSP) LC,7,24 HOUR,Lead 3-Month 2009,Observed Values,Hi-Vol - ICP-MS  Extracted on a hot plate with 3M HNO3 according to refrn methd.  SW-846 Meth 6020A,2017,Micrograms/cubic meter (LC),No Events,58,95.0,Y,58,61,0,3,0.0,0.0,Certified,0.002034,0.001337,0.007,2017-04-13 00:00,0.005,2017-03-20 00:00,0.005,2017-08-29 00:00,0.004,2017-12-03 00:00,,,,,0.007,0.005,0.005,0.003,0.003,0.002,0.0,4102 Woolworth Ave. on Healthcenter Warehouse,DOUGLAS COUNTY HOSP  42ND & WOOLWORTH,Nebraska,Douglas,Omaha,36540,"Omaha-Council Bluffs, NE-IA",2021-11-07
31,055,0019,42101,1,41.247486,-95.973142,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - Gas Filter Correlation Thermo Electron 48i-TLE,2017,Parts per million,No Events,8595,98.0,Y,365,365,0,165,0.0,0.0,Certified,0.184667,0.073465,1.35,2017-04-09 05:00,1.31,2017-04-09 04:00,1.3,2017-04-09 00:00,1.11,2017-04-08 22:00,,,,,0.46,0.39,0.3,0.26,0.2,0.17,0.12,4102 Woolworth Ave. on Healthcenter Warehouse,DOUGLAS COUNTY HOSP  42ND & WOOLWORTH,Nebraska,Douglas,Omaha,36540,"Omaha-Council Bluffs, NE-IA",2021-11-07
31,055,0019,42101,1,41.247486,-95.973142,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2017,Parts per million,No Events,8742,100.0,Y,365,365,0,0,0.0,0.0,Certified,0.187943,0.068679,1.0,2017-04-09 00:00,1.0,2017-04-09 01:00,1.0,2017-04-09 02:00,1.0,2017-04-09 03:00,1.0,2017-04-09 00:00,1.0,2017-04-09 08:00,0.4,0.3,0.3,0.2,0.2,0.2,0.1,4102 Woolworth Ave. on Healthcenter Warehouse,DOUGLAS COUNTY HOSP  42ND & WOOLWORTH,Nebraska,Douglas,Omaha,36540,"Omaha-Council Bluffs, NE-IA",2021-11-07
31,055,0019,42401,1,41.247486,-95.973142,WGS84,Sulfur dioxide,1,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE,2017,Parts per billion,No Events,8494,97.0,Y,358,365,0,266,,,Certified,0.615952,2.594487,105.0,2017-05-11 08:00,75.4,2017-08-19 09:00,52.5,2017-05-12 08:00,45.6,2017-08-02 09:00,,,,,9.7,6.1,2.6,1.0,0.3,0.1,0.0,4102 Woolworth Ave. on Healthcenter Warehouse,DOUGLAS COUNTY HOSP  42ND & WOOLWORTH,Nebraska,Douglas,Omaha,36540,"Omaha-Council Bluffs, NE-IA",2021-11-07
