state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
32,001,0002,44201,1,39.472471,-118.783624,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2011,Parts per million,No Events,5017,99.0,Y,211,214,0,119,0.0,0.0,Uncertified (past due),0.040972,0.009182,0.068,2011-04-14 15:00,0.061,2011-04-11 17:00,0.061,2011-05-14 23:00,0.06,2011-05-15 00:00,,,,,0.061,0.059,0.057,0.053,0.048,0.039,0.03,Fallon,280 SOUTH RUSSELL STREET,Nevada,Churchill,Fallon,21980,"Fallon, NV",2021-11-29
32,001,0002,44201,1,39.472471,-118.783624,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,5019,98.0,Y,209,214,0,0,0.0,0.0,Uncertified (past due),0.036928,0.008836,0.063,2011-04-14 11:00,0.056,2011-06-25 16:00,0.054,2011-04-12 10:00,0.054,2011-04-27 09:00,,,,,0.054,0.054,0.052,0.049,0.044,0.036,0.026,Fallon,280 SOUTH RUSSELL STREET,Nevada,Churchill,Fallon,21980,"Fallon, NV",2021-11-29
32,001,0002,44201,1,39.472471,-118.783624,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,5019,98.0,Y,209,214,0,0,0.0,0.0,Uncertified (past due),0.036928,0.008836,0.063,2011-04-14 11:00,0.056,2011-06-25 16:00,0.054,2011-04-12 10:00,0.054,2011-04-27 09:00,,,,,0.054,0.054,0.052,0.049,0.044,0.036,0.026,Fallon,280 SOUTH RUSSELL STREET,Nevada,Churchill,Fallon,21980,"Fallon, NV",2021-11-29
32,001,0002,44201,1,39.472471,-118.783624,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2011,Parts per million,No Events,3562,98.0,Y,209,214,0,0,0.0,0.0,Uncertified (past due),0.036957,0.008823,0.063,2011-04-14 11:00,0.056,2011-06-25 16:00,0.054,2011-04-12 10:00,0.054,2011-04-27 09:00,,,,,0.054,0.054,0.052,0.049,0.044,0.036,0.026,Fallon,280 SOUTH RUSSELL STREET,Nevada,Churchill,Fallon,21980,"Fallon, NV",2021-11-29
32,003,2002,42101,1,36.191251,-115.122953,NAD83,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,2011,Parts per million,No Events,8578,98.0,Y,364,365,0,181,0.0,0.0,Uncertified (past due),0.357111,0.3962,2.9,2011-12-08 07:00,2.9,2011-12-10 18:00,2.8,2011-12-24 00:00,2.7,2011-12-10 19:00,,,,,1.8,1.6,1.2,0.9,0.5,0.2,0.0,JD Smith,1301B EAST TONOPAH,Nevada,Clark,North Las Vegas,29820,"Las Vegas-Henderson-Paradise, NV",2021-11-08
32,003,2002,42101,1,36.191251,-115.122953,NAD83,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2011,Parts per million,No Events,8611,98.0,Y,363,365,0,0,0.0,0.0,Uncertified (past due),0.360005,0.318283,2.4,2011-12-24 02:00,2.3,2011-12-24 01:00,2.3,2011-12-24 03:00,2.2,2011-12-24 04:00,2.4,2011-12-24 02:00,1.9,2011-11-24 02:00,1.4,1.3,1.0,0.8,0.5,0.3,0.1,JD Smith,1301B EAST TONOPAH,Nevada,Clark,North Las Vegas,29820,"Las Vegas-Henderson-Paradise, NV",2021-11-08
32,003,0561,42101,1,36.163962,-115.11393,NAD83,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,2011,Parts per million,No Events,8615,98.0,Y,365,365,0,145,0.0,0.0,Uncertified (past due),0.593511,0.555907,3.7,2011-12-10 22:00,3.5,2011-12-31 21:00,3.5,2011-12-31 22:00,3.4,2011-01-21 21:00,,,,,2.5,2.3,1.9,1.4,0.7,0.4,0.2,Sunrise Acres,2501 SUNRISE AVENUE,Nevada,Clark,Las Vegas,29820,"Las Vegas-Henderson-Paradise, NV",2021-11-08
32,003,0561,42101,1,36.163962,-115.11393,NAD83,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2011,Parts per million,No Events,8706,99.0,Y,365,365,0,0,0.0,0.0,Uncertified (past due),0.596853,0.483213,3.1,2011-01-22 01:00,3.1,2011-01-22 02:00,3.0,2011-12-11 01:00,3.0,2011-12-11 02:00,3.1,2011-01-22 01:00,3.0,2011-12-11 01:00,2.3,2.1,1.7,1.3,0.7,0.4,0.2,Sunrise Acres,2501 SUNRISE AVENUE,Nevada,Clark,Las Vegas,29820,"Las Vegas-Henderson-Paradise, NV",2021-11-08
32,003,0540,42101,1,36.141875,-115.078742,NAD83,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,2011,Parts per million,No Events,8562,98.0,Y,365,365,0,152,0.0,0.0,Uncertified (past due),0.466952,0.50351,3.265,2011-12-31 23:00,3.195,2011-11-29 22:00,3.091,2011-12-31 22:00,3.013,2011-11-29 23:00,,,,,2.29,2.044,1.675,1.23,0.532,0.224,0.147,Jerome Mack-NCore,4250 Karen Ave,Nevada,Clark,Sunrise Manor,29820,"Las Vegas-Henderson-Paradise, NV",2021-11-08
32,003,0540,42101,1,36.141875,-115.078742,NAD83,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2011,Parts per million,No Events,8618,98.0,Y,365,365,0,0,0.0,0.0,Uncertified (past due),0.466094,0.443418,2.6,2011-11-29 02:00,2.6,2011-11-30 00:00,2.6,2011-11-30 01:00,2.6,2011-11-30 02:00,2.6,2011-11-29 02:00,2.6,2011-11-30 00:00,2.1,1.9,1.5,1.1,0.6,0.3,0.2,Jerome Mack-NCore,4250 Karen Ave,Nevada,Clark,Sunrise Manor,29820,"Las Vegas-Henderson-Paradise, NV",2021-11-08
32,003,0538,42101,1,36.142957,-115.056305,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,Obseved hourly values,INSTRUMENTAL - GAS FILTER CORRELATION CO ANALYZER,2011,Parts per million,No Events,8686,99.0,Y,365,365,0,74,0.0,0.0,Uncertified (past due),0.466659,0.409083,3.4,2011-01-28 06:00,2.9,2011-01-14 06:00,2.9,2011-12-25 00:00,2.8,2011-11-29 20:00,,,,,2.0,1.7,1.4,1.1,0.6,0.3,0.2,Winterwood,"5483 CLUBHOUSE DR-WINTERWOOD, LAS VEGAS",Nevada,Clark,Sunrise Manor,29820,"Las Vegas-Henderson-Paradise, NV",2021-11-08
32,003,0538,42101,1,36.142957,-115.056305,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,8-Hour running average (end hour) of observed hourly values,,2011,Parts per million,No Events,8723,100.0,Y,365,365,0,0,0.0,0.0,Uncertified (past due),0.470595,0.339052,2.4,2011-12-24 05:00,2.4,2011-12-24 06:00,2.4,2011-12-24 07:00,2.4,2011-12-25 01:00,2.4,2011-12-24 05:00,2.4,2011-12-25 01:00,1.6,1.4,1.2,1.0,0.6,0.3,0.2,Winterwood,"5483 CLUBHOUSE DR-WINTERWOOD, LAS VEGAS",Nevada,Clark,Sunrise Manor,29820,"Las Vegas-Henderson-Paradise, NV",2021-11-08
32,003,0540,42401,1,36.141875,-115.078742,NAD83,Sulfur dioxide,1,1 HOUR,SO2 Annual 1971,Observed Values,Instrumental - Ultraviolet Fluorescence API 100 EU,2011,Parts per billion,No Events,8412,96.0,Y,352,365,0,302,,,Uncertified (past due),1.223704,1.389281,8.7,2011-11-29 22:00,8.6,2011-11-28 23:00,8.5,2011-11-29 21:00,8.4,2011-11-29 23:00,,,,,6.3,5.7,4.5,3.3,1.3,0.7,0.3,Jerome Mack-NCore,4250 Karen Ave,Nevada,Clark,Sunrise Manor,29820,"Las Vegas-Henderson-Paradise, NV",2021-11-09
32,003,0540,42401,1,36.141875,-115.078742,NAD83,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,Instrumental - Ultraviolet Fluorescence API 100 EU,2011,Parts per billion,No Events,8412,96.0,Y,352,365,0,302,0.0,,Uncertified (past due),2.682955,2.113555,8.7,2011-11-29 22:00,8.6,2011-11-28 23:00,8.3,2011-12-08 23:00,8.2,2011-12-28 23:00,,,,,8.2,7.6,6.8,6.1,4.1,2.0,0.6,Jerome Mack-NCore,4250 Karen Ave,Nevada,Clark,Sunrise Manor,29820,"Las Vegas-Henderson-Paradise, NV",2021-11-09
32,003,0540,42401,1,36.141875,-115.078742,NAD83,Sulfur dioxide,X,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,2011,Parts per billion,No Events,352,96.0,Y,352,365,0,0,0.0,,Uncertified (past due),1.222727,0.986141,5.0,2011-11-29 00:00,4.3,2011-12-28 00:00,4.1,2011-12-08 00:00,4.1,2011-12-09 00:00,,,,,4.1,3.8,3.4,2.8,1.8,0.8,0.3,Jerome Mack-NCore,4250 Karen Ave,Nevada,Clark,Sunrise Manor,29820,"Las Vegas-Henderson-Paradise, NV",2021-11-09
