state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
33,001,2004,44201,1,43.566122,-71.496335,NAD83,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET,2011,Parts per million,No Events,4320,100.0,Y,183,183,0,72,0.0,0.0,Certified,0.041842,0.011697,0.078,2011-05-27 18:00,0.075,2011-07-12 00:00,0.067,2011-04-10 13:00,0.066,2011-06-01 23:00,,,,,0.075,0.066,0.063,0.057,0.05,0.042,0.027,FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON,"GREEN STREET, LACONIA",New Hampshire,Belknap,Laconia,29060,"Laconia, NH",2021-11-29
33,001,2004,44201,1,43.566122,-71.496335,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,4352,98.0,Y,180,183,0,0,0.0,0.0,Certified,0.0382,0.011075,0.068,2011-05-27 13:00,0.064,2011-04-10 10:00,0.062,2011-05-26 10:00,0.061,2011-06-01 18:00,,,,,0.064,0.061,0.058,0.052,0.047,0.038,0.024,FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON,"GREEN STREET, LACONIA",New Hampshire,Belknap,Laconia,29060,"Laconia, NH",2021-11-29
33,001,2004,44201,1,43.566122,-71.496335,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2011,Parts per million,No Events,4352,98.0,Y,180,183,0,0,0.0,0.0,Certified,0.0382,0.011075,0.068,2011-05-27 13:00,0.064,2011-04-10 10:00,0.062,2011-05-26 10:00,0.061,2011-06-01 18:00,,,,,0.064,0.061,0.058,0.052,0.047,0.038,0.024,FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON,"GREEN STREET, LACONIA",New Hampshire,Belknap,Laconia,29060,"Laconia, NH",2021-11-29
33,001,2004,44201,1,43.566122,-71.496335,NAD83,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,,2011,Parts per million,No Events,3089,99.0,Y,181,183,0,0,0.0,0.0,Certified,0.037812,0.011129,0.068,2011-05-27 13:00,0.064,2011-04-10 10:00,0.062,2011-05-26 10:00,0.061,2011-06-01 18:00,,,,,0.064,0.061,0.057,0.052,0.047,0.037,0.023,FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON,"GREEN STREET, LACONIA",New Hampshire,Belknap,Laconia,29060,"Laconia, NH",2021-11-29
33,001,2004,88101,1,43.566122,-71.496335,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,BGI Model PQ200 PM2.5 Sampler w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,57,93.0,Y,57,61,0,4,0.0,0.0,Uncertified (past due),5.991228,3.780461,18.9,2011-07-20 00:00,16.0,2011-05-27 00:00,15.5,2011-08-19 00:00,12.6,2011-06-08 00:00,,,,,18.9,16.0,15.5,10.7,7.9,4.9,2.3,FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON,"GREEN STREET, LACONIA",New Hampshire,Belknap,Laconia,29060,"Laconia, NH",2021-11-08
33,001,2004,88101,1,43.566122,-71.496335,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2006,Quarterly Means of Daily Means,BGI Model PQ200 PM2.5 Sampler w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,57,93.0,Y,57,61,0,4,,,Uncertified (past due),5.991228,3.780461,18.9,2011-07-20 00:00,16.0,2011-05-27 00:00,15.5,2011-08-19 00:00,12.6,2011-06-08 00:00,,,,,18.9,16.0,15.5,10.7,7.9,4.9,2.3,FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON,"GREEN STREET, LACONIA",New Hampshire,Belknap,Laconia,29060,"Laconia, NH",2021-11-08
33,001,2004,88101,1,43.566122,-71.496335,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2012,Daily Mean,BGI Model PQ200 PM2.5 Sampler w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,57,93.0,Y,57,61,0,4,0.0,0.0,Uncertified (past due),5.991228,3.780461,18.9,2011-07-20 00:00,16.0,2011-05-27 00:00,15.5,2011-08-19 00:00,12.6,2011-06-08 00:00,,,,,18.9,16.0,15.5,10.7,7.9,4.9,2.3,FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON,"GREEN STREET, LACONIA",New Hampshire,Belknap,Laconia,29060,"Laconia, NH",2021-11-08
33,001,2004,88101,1,43.566122,-71.496335,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 2012,Quarterly Means of Daily Means,BGI Model PQ200 PM2.5 Sampler w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,57,93.0,Y,57,61,0,4,,,Uncertified (past due),5.991228,3.780461,18.9,2011-07-20 00:00,16.0,2011-05-27 00:00,15.5,2011-08-19 00:00,12.6,2011-06-08 00:00,,,,,18.9,16.0,15.5,10.7,7.9,4.9,2.3,FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON,"GREEN STREET, LACONIA",New Hampshire,Belknap,Laconia,29060,"Laconia, NH",2021-11-08
33,001,2004,88101,1,43.566122,-71.496335,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 1997,Daily Mean,BGI Model PQ200 PM2.5 Sampler w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,57,93.0,Y,57,61,0,4,0.0,0.0,Uncertified (past due),5.991228,3.780461,18.9,2011-07-20 00:00,16.0,2011-05-27 00:00,15.5,2011-08-19 00:00,12.6,2011-06-08 00:00,,,,,18.9,16.0,15.5,10.7,7.9,4.9,2.3,FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON,"GREEN STREET, LACONIA",New Hampshire,Belknap,Laconia,29060,"Laconia, NH",2021-11-08
33,001,2004,88101,1,43.566122,-71.496335,NAD83,PM2.5 - Local Conditions,7,24 HOUR,PM25 Annual 1997,Quarterly Means of Daily Means,BGI Model PQ200 PM2.5 Sampler w/WINS - GRAVIMETRIC,2011,Micrograms/cubic meter (LC),No Events,57,93.0,Y,57,61,0,4,,,Uncertified (past due),5.991228,3.780461,18.9,2011-07-20 00:00,16.0,2011-05-27 00:00,15.5,2011-08-19 00:00,12.6,2011-06-08 00:00,,,,,18.9,16.0,15.5,10.7,7.9,4.9,2.3,FIELD OFFICE ON THE GROUNDS OF THE FORMER STATE PRISON,"GREEN STREET, LACONIA",New Hampshire,Belknap,Laconia,29060,"Laconia, NH",2021-11-08
