state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,metric_used,method,year,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,valid_day_count,required_day_count,exceptional_data_count,null_observation_count,primary_exceedance_count,secondary_exceedance_count,certification_indicator,arithmetic_mean,standard_deviation,first_max_value,first_max_datetime,second_max_value,second_max_datetime,third_max_value,third_max_datetime,fourth_max_value,fourth_max_datetime,first_max_nonoverlap_value,first_max_n_o_datetime,second_max_nonoverlap_value,second_max_n_o_datetime,ninety_ninth_percentile,ninety_eighth_percentile,ninety_fifth_percentile,ninetieth_percentile,seventy_fifth_percentile,fiftieth_percentile,tenth_percentile,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
34,001,0006,42401,1,39.464872,-74.448736,WGS84,Sulfur dioxide,1,1 HOUR,SO2 1-hour 2010,Daily maximum 1-hour average,INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE,2017,Parts per billion,No Events,8358,95.0,Y,363,365,0,94,0.0,,Certified,0.441047,0.558754,4.6,2017-03-21 23:00,4.1,2017-09-29 21:00,3.5,2017-10-18 00:00,3.1,2017-10-19 03:00,,,,,3.1,1.8,1.4,1.1,0.6,0.3,0.0,Brigantine,"Edwin B. Forsythe National Wildlife Refuge Visitor Center, 800 Great Creek Road",New Jersey,Atlantic,Galloway (Township of),12100,"Atlantic City-Hammonton, NJ",2021-11-07
34,001,0006,42401,1,39.464872,-74.448736,WGS84,Sulfur dioxide,Y,3-HR BLK AVG,SO2 3-hour 1971,3-Hour block average of observed hourly values,,2017,Parts per billion,No Events,2541,87.0,Y,361,365,0,0,,0.0,Certified,0.109052,0.191113,2.1,2017-12-29 14:00,2.0,2017-12-29 17:00,1.9,2017-03-21 23:00,1.9,2017-09-29 23:00,,,,,0.9,0.7,0.5,0.3,0.1,0.0,0.0,Brigantine,"Edwin B. Forsythe National Wildlife Refuge Visitor Center, 800 Great Creek Road",New Jersey,Atlantic,Galloway (Township of),12100,"Atlantic City-Hammonton, NJ",2021-11-07
34,001,0006,42401,1,39.464872,-74.448736,WGS84,Sulfur dioxide,X,24-HR BLK AVG,SO2 24-hour 1971,Daily Average of observed values,,2017,Parts per billion,No Events,363,99.0,Y,363,365,0,0,0.0,,Certified,0.117355,0.14356,0.9,2017-12-29 00:00,0.7,2017-03-16 00:00,0.6,2017-02-19 00:00,0.6,2017-03-17 00:00,,,,,0.6,0.5,0.4,0.3,0.2,0.1,0.0,Brigantine,"Edwin B. Forsythe National Wildlife Refuge Visitor Center, 800 Great Creek Road",New Jersey,Atlantic,Galloway (Township of),12100,"Atlantic City-Hammonton, NJ",2021-11-07
34,001,0006,42401,1,39.464872,-74.448736,WGS84,Sulfur dioxide,1,1 HOUR,SO2 Annual 1971,Observed Values,INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE,2017,Parts per billion,No Events,8358,95.0,Y,363,365,0,94,,,Certified,0.121764,0.221532,4.6,2017-03-21 23:00,4.1,2017-09-29 21:00,3.5,2017-10-18 00:00,3.1,2017-10-19 03:00,,,,,1.0,0.8,0.5,0.3,0.2,0.0,0.0,Brigantine,"Edwin B. Forsythe National Wildlife Refuge Visitor Center, 800 Great Creek Road",New Jersey,Atlantic,Galloway (Township of),12100,"Atlantic City-Hammonton, NJ",2021-11-07
34,001,0006,42401,3,39.464872,-74.448736,WGS84,Sulfur dioxide,H,5 MINUTE,,Observed Values,INSTRUMENTAL - Pulsed Fluorescent 43C-TLE/43i-TLE,2017,Parts per billion,No Events,101912,97.0,Y,363,365,0,0,,,Certification not required,0.128561,0.24222,9.4,2017-10-18 00:40,7.9,2017-10-18 00:45,7.8,2017-10-18 00:35,6.9,2017-09-29 21:15,,,,,1.0,0.8,0.5,0.3,0.2,0.1,0.0,Brigantine,"Edwin B. Forsythe National Wildlife Refuge Visitor Center, 800 Great Creek Road",New Jersey,Atlantic,Galloway (Township of),12100,"Atlantic City-Hammonton, NJ",2021-11-07
34,001,0006,44201,1,39.464872,-74.448736,WGS84,Ozone,1,1 HOUR,Ozone 1-hour 1979,Daily maxima of observed hourly values (between 9:00 AM and 8:00 PM),INSTRUMENTAL - ULTRA VIOLET ABSORPTION,2017,Parts per million,No Events,8147,100.0,Y,244,245,0,332,0.0,0.0,Certified,0.047447,0.009843,0.076,2017-07-21 19:00,0.073,2017-06-12 13:00,0.073,2017-08-01 12:00,0.069,2017-07-03 14:00,,,,,0.073,0.069,0.063,0.061,0.054,0.047,0.04,Brigantine,"Edwin B. Forsythe National Wildlife Refuge Visitor Center, 800 Great Creek Road",New Jersey,Atlantic,Galloway (Township of),12100,"Atlantic City-Hammonton, NJ",2021-11-07
34,001,0006,44201,1,39.464872,-74.448736,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,8408,97.0,Y,237,245,0,0,0.0,0.0,Certified,0.043473,0.008821,0.067,2017-08-01 12:00,0.066,2017-06-12 09:00,0.066,2017-07-21 13:00,0.063,2017-07-03 11:00,,,,,0.066,0.063,0.058,0.056,0.049,0.043,0.037,Brigantine,"Edwin B. Forsythe National Wildlife Refuge Visitor Center, 800 Great Creek Road",New Jersey,Atlantic,Galloway (Township of),12100,"Atlantic City-Hammonton, NJ",2021-11-07
34,001,0006,44201,1,39.464872,-74.448736,WGS84,Ozone,W,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,Daily maximum of 8 hour running average of observed hourly values,,2017,Parts per million,No Events,8408,97.0,Y,237,245,0,0,0.0,0.0,Certified,0.043473,0.008821,0.067,2017-08-01 12:00,0.066,2017-06-12 09:00,0.066,2017-07-21 13:00,0.063,2017-07-03 11:00,,,,,0.066,0.063,0.058,0.056,0.049,0.043,0.037,Brigantine,"Edwin B. Forsythe National Wildlife Refuge Visitor Center, 800 Great Creek Road",New Jersey,Atlantic,Galloway (Township of),12100,"Atlantic City-Hammonton, NJ",2021-11-07
34,001,1006,88101,1,39.36326,-74.431,WGS84,PM2.5 - Local Conditions,7,24 HOUR,PM25 24-hour 2006,Daily Mean,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,2017,Micrograms/cubic meter (LC),No Events,113,93.0,Y,113,122,0,1,0.0,0.0,Certified,6.850442,3.623931,23.3,2017-07-21 00:00,19.0,2017-01-22 00:00,17.6,2017-02-06 00:00,16.5,2017-06-12 00:00,,,,,19.0,17.6,14.0,11.7,8.0,6.0,3.6,Atlantic City,"Atlantic Cape Community College, 1535 Bacharach Boulevard",New Jersey,Atlantic,Atlantic City,12100,"Atlantic City-Hammonton, NJ",2021-11-07
34,001,0006,88101,3,39.464872,-74.448736,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 24-hour 2006,Daily Mean,,2017,Micrograms/cubic meter (LC),No Events,223,61.0,N,223,365,0,0,0.0,0.0,Uncertified (past due),7.831839,3.575255,18.0,2017-07-21 00:00,17.0,2017-06-14 00:00,16.6,2017-06-12 00:00,16.4,2017-05-18 00:00,,,,,16.6,15.7,14.4,13.2,10.4,7.2,3.6,Brigantine,"Edwin B. Forsythe National Wildlife Refuge Visitor Center, 800 Great Creek Road",New Jersey,Atlantic,Galloway (Township of),12100,"Atlantic City-Hammonton, NJ",2021-11-07
